台词ID	下一句台词ID	显示类型	[对话角色]类型	[对话角色]ID
3481204	3481205		1	1245
3481205	3481206		1	1245
3481206	3481207		1	1245
3481207	3481208		1	1245
3481208	3481209			
3481209				
3481301	3481303		1	1245
3481303	3481304		1	1245
3481304	3481305		1	1245
3481305	3481306		1	1245
3481306	3481307		1	1245
3481307			1	1245
3481401	3481402		1	1245
3481402	3481403		1	1245
3481403	3481404		1	1245
3481404	3481405		1	1245
3481405	3481406		1	1245
3481406	3481407		1	1245
3481407	3481408		1	1245
3481408			1	1245
3481501	3481503		1	1245
3481503	3481504		1	1245
3481504	3481505		1	1245
3481505	3481506		1	1245
3481506			1	1245
3481601	3481602		1	1245
3481602	3481603		1	1245
3481603	3481604		1	1245
3481604	3481605		1	1245
3481605	3481606		1	1245
3481606	3481607		1	1245
3481607			1	1245
3490101	3490103		1	1244
3490103	3490104		1	1244
3490104			1	1244
3490201	3490203		1	1244
3490203	3490204		1	1244
3490204			1	1244
3490301	3490303		1	1244
3490303	3490304		1	1244
3490304			1	1244
3490401	3490403		1	1244
3490403	3490404		1	1244
3490404			1	1244
3490501	3490503		1	1244
3490503	3490504		1	1244
3490504			1	1244
3490601	3490603		1	1244
3490603	3490604		1	1244
3490604			1	1244
3490701	3490703		1	1244
3490703	3490704		1	1244
3490704			1	1244
3490801	3490803		1	1244
3490803	3490804		1	1244
3490804			1	1244
3490901	3490903		1	1244
3490903	3490904		1	1244
3490904			1	1244
3491001	3491003		1	1244
3491003	3491004		1	1244
3491004			1	1244
3491101	3491103		1	1244
3491103	3491104		1	1244
3491104			1	1244
3491201	3491203		1	1244
3491203	3491204		1	1244
3491204	3491205		1	1005
3491205			1	1244
3500001			2	
3500101			1	1005
3500201			2	
3500301			2	
3500302			2	
3500303			2	
3500304			2	
3500305			2	
3500306			2	
3500307			2	
3500308			2	
3500309			2	
3500310			2	
3500311			2	
3510005			1	1005
3510006			1	1005
3510001			1	1005
3510007			1	1005
3510008			1	1005
3510101			1	1005
3510102			1	1005
3510103			2	
3510104			1	1005
3510105			1	1005
3520001			1	1005
3521601	3521602		1	1005
3521602	3521603		1	1005
3521603	3521604		1	1005
3521604	3521605		1	1005
3521605			1	1005
3521701			1	1005
3521702			1	1005
3521703			1	1005
3521704			1	1005
3520301			1	1005
3520501			1	1005
3520601			1	1005
3520701			1	1005
3521001	3521002		1	1005
3521002		1	2	
3532801	3532802		1	1005
3532802	3532803		1	1005
3532803	3532804,3532807		1	1005
3532804	3532805		2	
3532805	3532809		1	1005
3532807	3532808		2	
3532808	3532809		1	1005
3532809	3532817		1	1005
3532817	3532810		1	1005
3532810	3532811		1	1005
3532811	3532812		1	1005
3532812	3532813		1	1005
3532813			1	1005
3532901			2	
3532902			2	
3532903			2	
3532904			2	
3532905			2	
3530301			1	1005
3530401			1	1005
3530501			1	1005
3530502			1	1005
3530503			1	1005
3530504			1	1005
3610000			1	1005
3610001			1	1005
3610002			1	1005
3550001			1	1005
3550002			1	1001
3550003			1	1001
3550004			1	1005
3550005			1	1005
3550006			1	1001
3550007			1	1001
3550008			2	
3550009			2	
3550701	3550702		1	1005
3550702	3550703,3550704		1	1005
3550703	3550705		2	
3550704	3550705		2	
3550705	3550706		1	1005
3550706	3550707,3550709		1	1005
3550707	3550708		2	
3550708	3550711		1	1005
3550709	3550710		2	
3550710	3550711		1	1005
3550711	3550712		1	1005
3550712	3550713		1	1005
3550713			1	1005
3550501			1	1005
3550601	3550602		1	1005
3550602	3550603		1	1005
3550603			1	1005
3540002			1	1002
3540401	3540402		1	1002
3540402	3540403		1	1002
3540403	3540404		1	1002
3540404	3540405		1	1005
3540405	3540406		1	1002
3540406	3540407	1	2	
3540407	3540408		1	1002
3540408	3540409,3540412		1	1002
3540409	3540410		2	
3540410	3540411		1	1005
3540411	3540414		1	1005
3540412	3540413		2	
3540413	3540414		1	1005
3540414	3540415		1	1002
3540415	3540416		1	1002
3540416	3540417		1	1002
3540417	3540418		1	1005
3540418	3540419		1	1002
3540419	3540420,3540421		1	1002
3540420	3540422		2	
3540421	3540422		2	
3540422	3540423		1	1002
3540423	3540424		1	1002
3540424	3540425		1	1005
3540425			1	1002
3540217			1	1002
3540218			1	1005
3540219			1	1005
3540220			1	1002
3540221			1	1002
3540222			1	1002
3540223			1	1005
3540224			1	1002
3600001			1	1005
3600004			1	1002
3600002			1	1002
3600005			1	1002
3600003			1	1002
3600006			1	1002
3600101	3600102		1	1002
3600102	3600103		1	1002
3600103	3600104,3600105		1	1002
3600104	3600106		2	
3600105	3600106		2	
3600106	3600107		1	1005
3600107	3600108		1	1005
3600108	3600109		1	1002
3600109	3600110		1	1002
3600110	3600111		1	1002
3600111	3600112		1	1005
3600112	3600113		1	1002
3600113			1	1002
3560101	3560102		1	1002
3560102	3560103		1	1002
3560103	3560104		1	1005
3560104	3560105		1	1005
3560105	3560106		1	1002
3560106	3560107		1	1002
3560107	3560108		1	1005
3560108	3560109		1	1002
3560109	3560110,3560111		1	1002
3560110	3560112		2	
3560111	3560112		2	
3560112	3560113		1	1002
3560113	3560114		1	1002
3560114	3560115		1	1005
3560115	3560116		1	1002
3560116	3560117		1	1002
3560117	3560118		1	1005
3560118			1	1002
3560202			1	1002
3560203			1	1002
3560401	3560402		1	1002
3560402	3560403		1	1002
3560403	3560404		1	1002
3560404	3560405		1	1002
3560405	3560406		1	1005
3560406	3560407		1	1002
3560407	3560408		1	1002
3560408			1	1002
3571001			1	1005
3572100			1	1002
3572101			1	1002
3572106			1	1002
3572102			1	1004
3572103			1	1004
3572104			1	1002
3572105			1	1002
3572201			1	1002
3572202			1	1002
3572203			2	
3572204			2	
3572205			2	
3572206			2	
3572301	3572302		1	1002
3572302	3572303		1	1002
3572303	3572304		1	1004
3572304	3572305		1	1002
3572305	3572306		1	1002
3572306	3572307		1	1004
3572307	3572308		1	1002
3572308	3572309		1	1004
3572309	3572310		1	1004
3572310	3572311		1	1004
3572311	3572312		1	1004
3572312	3572313		1	1004
3572313	3572314,3572315		1	1004
3572314	3572318		2	
3572315	3572316		2	
3572316	3572317		1	1004
3572317	3572318		2	
3572318	3572319		1	1004
3572319			1	1004
3570900			1	1006
3570901			1	1007
3570902			1	1006
3570903			1	1007
3570904			1	1004
3570905			1	1006
3580101	3580102		1	1004
3580102	3580103		1	1006
3580103	3580104		1	1006
3580104	3580105		1	1007
3580105	3580106		1	1007
3580106	3580107		1	1007
3580107	3580108		1	1007
3580108	3580109		1	1007
3580109	3580110		1	1007
3580110	3580111		1	1006
3580111	3580112,3580114		1	1006
3580112	3580113		2	
3580113	3580116		1	1005
3580114	3580115		2	
3580115	3580116		1	1005
3580116	3580117		1	1004
3580117	3580118		1	1006
3580118	3580119		1	1006
3580119	3580120		1	1004
3580120	3580121		1	1007
3580121	3580122		1	1007
3580122	3580123		1	1006
3580123	3580124		1	1006
3580124	3580125,3580126		1	1005
3580125	3580127		2	
3580126	3580127		2	
3580127	3580128		1	1006
3580128	3580129		1	1006
3580129			1	1006
3060301	3060302,3060307,3060310		1	1002
3060302	3060303		2	
3060303	3060304		1	1002
3060304	3060305		1	1002
3060305	3060306		1	1002
3060306			1	1002
3060307	3060308		2	
3060308	3060309		1	1002
3060309			1	1002
3060310	3060311		2	
3060311			1	1002
3061101	3061102		1	1002
3061102	3061103		1	1002
3061103	3061104		1	1002
3061104	3061105,3061106		1	1002
3061105	3061107		2	
3061106	3061107		2	
3061107	3061108		1	1002
3061108	3061109		1	1002
3061109	3061110		1	1005
3061110	3061111		1	1002
3061111	3061112		1	1002
3061112			1	1002
3061001	3061002		1	1002
3061002	3061003		1	1002
3061003	3061004		1	1002
3061004	3061005		1	1002
3061005	3061006		1	1002
3061006	3061007,3061008		1	1002
3061007	3061009		2	
3061008	3061009		2	
3061009	3061010		1	1002
3061010	3061011		1	1002
3061011	3061012		1	1002
3061012	3061013		1	1002
3061013			1	1002
3070301	3070302,3070308,3070313		1	1004
3070302	3070303		2	
3070303	3070304		1	1004
3070304	3070305		1	1004
3070305	3070306		1	1004
3070306	3070307		1	1004
3070307			1	1004
3070308	3070309		2	
3070309	3070310		1	1004
3070310	3070311		1	1004
3070311	3070312		1	1004
3070312			1	1004
3070313	3070314		2	
3070314			1	1004
3071101	3071102		1	1004
3071102	3071103,3071104		1	1004
3071103	3071105		2	
3071104	3071105		2	
3071105	3071106		1	1004
3071106	3071107		1	1004
3071107	3071108,3071110		1	1004
3071108	3071109		2	
3071109	3071112		1	1004
3071110	3071111		2	
3071111	3071112		1	1004
3071112	3071113		1	1004
3071113	3071114		1	1004
3071114	3071115		1	1004
3071115			1	1004
3071201			1	1004
3071501	3071502		1	1004
3071502	3071503		1	1004
3071503	3071504,3071505		1	1004
3071504	3071506		2	
3071505	3071506		2	
3071506	3071507		1	1004
3071507	3071508		1	1004
3071508	3071509		1	1004
3071509			1	1004
3071309			1	1004
3071310			1	1005
3071311			1	1004
3071312			1	1005
3071313			1	1004
3071314			1	1178
3071315			1	1004
3071316			1	1178
3071317			1	1009
3071318			1	1009
3071319			1	1004
3080301	3080302,3080307,3080312		1	1007
3080302	3080303		2	
3080303	3080304		1	1007
3080304	3080305		1	1007
3080305	3080306		1	1007
3080306			1	1007
3080307	3080308		2	
3080308	3080309		1	1007
3080309	3080310		1	1007
3080310	3080311		1	1007
3080311			1	1007
3080312	3080313		2	
3080313			1	1007
3081101	3081102		1	1007
3081102	3081103		1	1007
3081103	3081104,3081108		1	1007
3081104	3081105		2	
3081105	3081106		1	1007
3081106	3081107		1	1007
3081107	3081111		1	1005
3081108	3081109		2	
3081109	3081110		1	1007
3081110	3081111		1	1007
3081111			1	1007
3081201			1	1007
3081401	3081402		1	1007
3081402	3081403		1	1007
3081403	3081404		1	1007
3081404	3081405		1	1007
3081405	3081406		1	1007
3081406	3081407,3081408		1	1007
3081407	3081409		2	
3081408	3081409		2	
3081409	3081410		1	1007
3081410	3081411		1	1005
3081411	3081412		1	1007
3081412	3081413		1	1007
3081413	3081414		1	1005
3081414	3081415		1	1005
3081415	3081416		1	1007
3081416	3081417		1	1007
3081417			1	1007
3090201	3090202		1	1005
3090202	3090203		1	1005
3090203	3090204		1	1005
3090204	3090205		1	1005
3090205	3090206		1	1005
3090206	3090207		1	1005
3090207	3090208		1	1005
3090208	3090209		1	1005
3090209	3090210		1	1005
3090210	3090211		1	1005
3090211	3090212		1	1005
3090212	3090213		1	1005
3090213	3090214		1	1005
3090214	3090215		1	1005
3090215	3090216		1	1005
3090216			1	1005
3090301	3090302,3090307,3090311		1	1006
3090302	3090303		2	
3090303	3090304		1	1006
3090304	3090305		1	1006
3090305	3090306		1	1006
3090306			1	1006
3090307	3090308		2	
3090308	3090309		1	1006
3090309	3090310		1	1006
3090310			1	1006
3090311	3090312		2	
3090312			1	1006
3090401	3090402		1	1005
3090402	3090403		1	1005
3090403	3090404		1	1005
3090404	3090405		1	1005
3090405	3090406		1	1005
3090406			1	1005
3091101			1	10001
3091201			1	10002
3091301			1	10003
3091401			1	10004
3091501			1	10005
3091601			1	10006
3100101	3100102		1	1003
3100102	3100103		1	1003
3100103	3100104		1	1003
3100104	3100105		1	1003
3100105			1	1003
3100201			1	22
3100301			1	23
3100401			1	24
3100501			1	25
3100601			1	26
3100701			1	1002
3100801	3100868,3100869,3100871		1	1305
3100868	3100866		2	
3100869	3100867		2	
3100871	3100870		2	
3100866	3100802,3100806,3100810,3100814,3100818,3100822,3100826,3100830		2	
3100867	3100842,3100846,3100850,3100858		2	
3100870	31008661,31008701,3100874,3100876		2	
3100802	3100803		2	
3100803	3100804		1	1305
3100804	3100805		1	1305
3100805	3100862		1	1305
3100806	3100807		2	
3100807	3100808		1	1305
3100808	3100809		1	1305
3100809	3100862		1	1305
3100810	3100811		2	
3100811	3100812		1	1305
3100812	3100813		1	1305
3100813	3100862		1	1305
3100814	3100815		2	
3100815	3100816		1	1305
3100816	3100817		1	1305
3100817	3100862		1	1305
3100818	3100819		2	
3100819	3100820		1	1305
3100820	3100821		1	1305
3100821	3100862		1	1305
3100822	3100823		2	
3100823	3100824		1	1305
3100824	3100825		1	1305
3100825	3100862		1	1305
3100826	3100827		2	
3100827	3100828		1	1305
3100828	3100829		1	1305
3100829	3100862		1	1305
3100830	3100831		2	
3100831	3100832		1	1305
3100832	3100833		1	1305
3100833	3100862		1	1305
3100834	3100835		2	
3100835	3100836		1	1305
3100836	3100837		1	1305
3100837	3100862		1	1305
3100838	3100839		2	
3100839	3100840		1	1305
3100840	3100841		1	1305
3100841	3100862		1	1305
3100842	3100843		2	
3100843	3100844		1	1305
3100844	3100845		1	1305
3100845	3100862		1	1305
3100846	3100847		2	
3100847	3100848		1	1305
3100848	3100849		1	1305
3100849	3100862		1	1305
3100850	3100851		2	
3100851	3100852		1	1305
3100852	3100853		1	1305
3100853	3100862		1	1305
3100854	3100855		2	
3100855	3100862		1	1305
3100856	3100857		2	
3100857	3100862		1	1305
3100858	3100859		2	
3100859	3100862		1	1305
3100860	3100861		2	
3100861	3100862		1	1305
3100862	3100863,3100864		1	1305
3100863	3100801		2	
3100864	3100865		2	
3100865			1	1305
31008661	31008671		2	
31008671	31008681		1	1305
31008681	31008691		1	1305
31008691	3100862		1	1305
31008701	31008711		2	
31008711	31008721		1	1305
31008721	31008731		1	1305
31008731	3100862		1	1305
3100874	3100875		2	
3100875	3100862		1	1305
3100876	3100877		2	
3100877	3100878		1	1305
3100878	3100879		1	1305
3100879	3100862		1	1305
3100901			1	1435
3101001	3101002		2	
3101002			1	1435
3101101	3101102		2	
3101102			1	1435
3101201			2	
3101301			2	
3101401			2	
3101501			2	
3101601			2	
3101701			2	
3101801			2	
3101901			2	
3102001			1	1435
3110101			1	31
3110201			1	32
3110301			1	33
3110401			2	
3110501			2	
3110601			2	
3110701			2	
3110801			2	
3110901			2	
3111001			1	30
3111101			2	
3111201			2	
3114101			1	1201
3114201			1	1202
3114301			1	1203
3114401			1	1204
3114501			1	1205
3114601			1	1206
3114701			1	1207
3114801			1	1208
3114901			1	1209
3115001			2	
3115101			2	
3115201			2	
3115301			2	
3115401			2	
3115501			2	
3115601			2	
3115701			2	
3115801			2	
3115901			2	
3116001			2	
3120101			1	34
3120201			1	35
3123402	3123403		1	86
3123403			1	86
3123501	3123502		2	
3123502			1	86
3123601			2	
3123701	3123702		2	
3123702			1	86
3123801	3123802		2	
3123802	3123803		1	86
3123803			1	86
3123901	3123902		2	
3123902	3123903		1	86
3123903			1	86
3124001	3124002		2	
3124002			1	86
3124101	3124102		2	
3124102			1	86
3124201			2	
3124301			1	86
3125601	3125602		1	93
3125602	3125603,3125606		1	93
3125603	3125604		2	
3125604	3125605		1	93
3125605			1	93
3125606	3125607		2	
3125607			1	93
3125701	3125702,3125706		1	93
3125702	3125703		2	
3125703	3125704		1	93
3125704	3125705		1	93
3125705			1	93
3125706	3125707		2	
3125707			1	93
3125801			1	94
3010101	3010102		2	
3010102			1	31
3010201			1	1001
3010301			1	1003
3010401			1	1002
3010601			1	1004
3010701			1	1004
3010801	3010802		2	
3010802			1	1004
3010901	3010902		2	
3010902			1	1004
3016001	3016002		2	
3016002			1	1004
3011001			1	1004
3011101	3011102		2	
3011102			1	1004
3011201	3011202		2	
3011202			1	1004
3011301	3011302		1	1004
3011302			2	
3011401			1	1004
3011501	3011502		2	
3011502			1	1004
3011601			1	1004
3015001			1	1101
3015101			1	1102
3015201			1	1103
3015301			1	1104
3030201			1	1202
3030301			1	1203
3030401			1	1204
3040001	3040002		1	1002
3040002	3040003		1	1002
3040003	3040004		1	1002
3040004	3040005		2	
3040005	3040006		1	1002
3040006	3040007		2	
3040007	3040008		1	1002
3040008	3040009		1	1002
3040009			1	1002
3040101	3040102		1	1005
3040102	3040103		1	1005
3040103	3040104		1	1002
3040104	3040105		1	1005
3040105	3040106		1	1002
3040106			1	1002
3040601	3040602		1	1002
3040602	3040603		1	1005
3040603	3040604		1	1002
3040604	3040605		1	1002
3040605	3040606		1	1002
3040606	3040607		1	1002
3040607	3040608		1	1005
3040608			1	1002
3040201	3040202		1	1002
3040202	3040203		1	1005
3040203			1	1002
3040301	3040302		1	1005
3040302	3040303		1	1002
3040303			1	1005
3040401	3040402		1	1002
3040402			1	1002
3040501	3040502		1	1002
3040502	3040503		1	1002
3040503			1	1002
3050101			1	1002
3050601	3050602		1	1002
3050602	3050603		1	1002
3050603			1	1005
3050201	3050202		1	1001
3050202	3050203		1	1001
3050203	3050204		1	1005
3050204			1	1001
3050301	3050302		1	1004
3050302	3050303		1	1002
3050303	3050304		1	1002
3050304	3050305		1	1004
3050305	3050306		1	1002
3050306	3050307		1	1004
3050307	3050308		1	1004
3050308			1	1002
3050401	3050402		1	1004
3050402	3050403		1	1004
3050403	3050404		1	1006
3050404	3050405		1	1006
3050405	3050406		1	1001
3050406	3050407		1	1002
3050407	3050408		1	1005
3050408	3050409		1	1005
3050409	3050410		1	1001
3050410	3050411		1	1006
3050411	3050412		1	1006
3050412	3050413		1	1006
3050413	3050414		1	1006
3050414	3050415		1	1006
3050415	3050416		1	1006
3050416	3050417		1	1001
3050417	3050418		1	1001
3050418	3050419		1	1005
3050419	3050420		1	1001
3050420	3050421		1	1001
3050421	3050422		1	1001
3050422	3050423		1	1005
3050423	3050424		1	1006
3050424			1	1006
3700101	3700102		1	1006
3700102	3700103		1	1006
3700103	3700104		1	1006
3700104	3700105		2	
3700105	3700106		1	1004
3700106	3700107		1	1005
3700107	3700108		1	1005
3700108	3700109		1	1004
3700109	3700110		1	1005
3700110	3700111		1	1005
3700111	3700112		1	1004
3700112	3700113		1	1004
3700113	3700114		1	1004
3700114	3700115		1	1004
3700115	3700116		1	1004
3700116	3700117,3700121		1	1005
3700117	3700118		2	
3700118	3700119		1	1004
3700119	3700120		1	1004
3700120	3700125		1	1004
3700121	3700122		2	
3700122	3700123		1	1004
3700123	3700124		1	1004
3700124	3700125		1	1004
3700125	3700126		1	1004
3700126	3700127		1	1004
3700127	3700128		1	1004
3700128	3700129		1	1004
3700129	3700130,3700133		1	1005
3700130	3700131		2	
3700131	3700132		1	1005
3700132	3700134		1	1005
3700133	3700134		2	
3700134	3700135		1	1006
3700135	3700136		1	1006
3700136	3700137		1	1006
3700137	3700138		1	1006
3700138	3700139,3700140		1	1006
3700139	3700141		2	
3700140	3700141		2	
3700141	3700142		1	1002
3700142	3700143		1	1002
3700143	3700144		1	1006
3700144	3700145		1	1005
3700145	3700146		1	1002
3700146	3700147		1	1006
3700147	3700148		1	1007
3700148	3700149		1	1007
3700149	3700150		1	1007
3700150	3700151		1	1006
3700151	3700152		1	1007
3700152	3700153		1	1007
3700153	3700154		1	1007
3700154	3700155		1	1007
3700155	3700156		1	1007
3700156	3700157		1	1007
3700157	3700158		1	1007
3700158	3700159		2	
3700159	3700160,3700161		1	1007
3700160	3700162		2	
3700161	3700162		2	
3700162	3700163		1	1006
3700163	3700164		1	1006
3700164	3700165		2	
3700165	3700166		1	1006
3700166	3700167		1	1006
3700167	3700168		1	1006
3700168	3700169		1	1006
3700169	3700170		1	1006
3700170			1	1006
3710101	3710102		1	1243
3710102	3710103,3710104		1	1243
3710103	3710105		2	
3710104	3710105		2	
3710105	3710106		1	1243
3710106	3710107		1	1243
3710107	3710108		1	1243
3710108	3710109		2	
3710109	3710110		1	1243
3710110	3710111		1	1243
3710111	3710112		1	1243
3710112	3710113,3710117		1	1243
3710113	3710114		2	
3710114	3710115		1	1243
3710115	3710116		1	1243
3710116			1	1243
3710117	3710118		2	
3710118			1	1243
3710901	3710902		1	1243
3710902			1	1243
3711501	3711502		1	1243
3711502		1	2	
3720101	3720102		1	1160
3720102	3720103		1	1160
3720103	3720104		1	1005
3720104	3720105		1	1160
3720105	3720106		1	1005
3720106	3720107		1	1160
3720107	3720108,3720110		1	1005
3720108	3720109		2	
3720109	3720111		1	1160
3720110	3720111		2	
3720111	3720112		1	1001
3720112	3720113		1	1001
3720113	3720114		1	1001
3720114	3720115		1	1005
3720115	3720116		1	1005
3720116	3720117		1	1001
3720117	3720118		1	1005
3720118	3720119		1	1005
3720119	3720120		1	1001
3720120	3720121,3720122		1	1005
3720121	3720123		2	
3720122	3720123		2	
3720123	3720124		1	1001
3720124	3720125		1	1001
3720125			1	1005
3720201	3720202		1	1001
3720202	3720203		2	
3720203	3720204		1	1001
3720204	3720205		1	1001
3720205			2	
3720501	3720502		1	1005
3720502	3720503		1	1001
3720503	3720504		1	1001
3720504	3720505,3720508,3720511		1	1001
3720505	3720506		2	
3720506	3720507		1	1001
3720507	3720514		1	1001
3720508	3720509		2	
3720509	3720510		1	1001
3720510	3720514		1	1001
3720511	3720512		2	
3720512	3720513		1	1001
3720513	3720514		1	1001
3720514	3720515		1	1001
3720515	3720516		1	1005
3720516	3720517		1	1001
3720517	3720518		1	1001
3720518	3720519		1	1001
3720519	3720520,3720522		1	1001
3720520	3720521		2	
3720521	3720524		1	1001
3720522	3720523		2	
3720523	3720524		1	1001
3720524	3720525		1	1001
3720525	3720526		1	1001
3720526	3720527		1	1001
3720527	3720528		1	1005
3720528	3720529		1	1001
3720529	3720530		1	1005
3720530	3720531		1	1001
3720531	3720532		1	1001
3720532	3720533,3720534,3720535		1	1001
3720533	3720537		2	
3720534	3720537		2	
3720535	3720536		2	
3720536	3720537		1	1001
3720537	3720538		1	1005
3720538	3720539		1	1001
3720539			1	1001
3730901			1	1161
3730902	3730903,3730908,3730912		1	1006
3730903	3730904		2	
3730904	3730905		1	1006
3730905	3730906		1	1006
3730906	3730907		1	1006
3730907			1	1006
3730908	3730909		2	
3730909	3730910		1	1006
3730910	3730911		1	1006
3730911			1	1006
3730912	3730913		2	
3730913			1	1006
3730915	3730916,3730920,3730923		1	1002
3730916	3730917		2	
3730917	3730918		1	1002
3730918	3730919		1	1002
3730919			1	1002
3730920	3730921		2	
3730921	3730922		1	1002
3730922			1	1002
3730923	3730924		2	
3730924			1	1002
3730926	3730927,3730931,3730936		1	1007
3730927	3730928		2	
3730928	3730929		1	1007
3730929	3730930		1	1007
3730930			1	1007
3730931	3730932		2	
3730932	3730933		1	1007
3730933	3730934		1	1007
3730934	3730935		1	1007
3730935			1	1007
3730936	3730937		2	
3730937			1	1007
3730939	3730940,3730945,3730950		1	1014
3730940	3730941		2	
3730941	3730942		1	1014
3730942	3730943		1	1014
3730943	3730944		1	1014
3730944			1	1014
3730945	3730946		2	
3730946	3730947		1	1014
3730947	3730948		1	1014
3730948	3730949		1	1014
3730949			1	1014
3730950	3730951		2	
3730951			1	1014
3740201	3740202		1	1001
3740202	3740203		1	1001
3740203	3740204		1	1161
3740204	3740205		1	1001
3740205	3740206		1	1161
3740206	3740207		1	1161
3740207	3740208		1	1001
3740208	3740209		1	1001
3740209	3740210		1	1161
3740210	3740211		1	1001
3740211	3740212		1	1161
3740212	3740213		1	1001
3740213	3740214		1	1161
3740214	3740215		1	1001
3740215	3740216		1	1001
3740216	3740217		1	1161
3740217	3740218		1	1161
3740218	3740219		1	1001
3740219	3740220		1	1001
3740220	3740221		1	1001
3740221	3740222		1	1001
3740222	3740223		1	1161
3740223			1	1001
3740301	3740302		1	1001
3740302	3740303		1	1001
3740303	3740304		1	1001
3740304	3740305		1	1001
3740305			1	1001
3740306			1	1001
3740401	3740402,3740404		1	1161
3740402	3740403		2	
3740403	3740406		1	1161
3740404	3740405		2	
3740405	3740406		1	1161
3740406	3740411		1	1161
3740411	3740412	1	2	
3740424				
3740412	3740413		1	1161
3740413	3740414		1	1161
3740414	3740415		1	1161
3740415	3740416		1	1161
3740416	3740417		1	1161
3740417	3740418,3740419,3740420		1	1161
3740418	3740422		2	
3740419	3740422		2	
3740420	3740421		2	
3740421	3740422		1	1005
3740422	3740423		1	1161
3740423			1	1161
3750101	3750102		1	1001
3750102	3750103		1	1005
3750103	3750104		1	1001
3750104	3750105		1	1001
3750105	3750106		1	1001
3750106	3750107		1	1005
3750107	3750108		1	1001
3750108	3750109		1	1001
3750109	3750110		1	1001
3750110	3750111	1	2	
3750111	3750112		1	1001
3750112	3750113	1	2	
3750113	3750114		1	1001
3750114	3750115		1	1001
3750115	3750116		1	1001
3750116	3750117		1	1001
3750117	3750118		1	1005
3750118	3750119		1	1001
3750119	3750120		1	1001
3750120	3750121		1	1005
3750121	3750122		1	1005
3750122	3750123		1	1005
3750123	3750124		1	1001
3750124	3750125		1	1001
3750125	3750126,3750127		1	1001
3750126			2	
3750127			2	
3750201			1	1001
3750202	3750203		1	1164
3750203			1	1005
3760301	3760302		1	1001
3760302	3760303		1	1005
3760303	3760304		1	1001
3760304	3760305		1	1001
3760305			1	1005
3750300			1	1005
3750301			1	902
3750302			1	902
3750303			1	1005
3750304			1	902
3750305			1	1005
3750306			1	902
3750307			1	902
3750308			2	
3750309			1	1005
3750310			1	1005
3750311			1	1001
3750312			1	1005
3750313			2	
3750501			1	1005
3750502			1	1164
3750503			1	1164
3750504			1	1005
3750505			1	1164
3750506			1	1005
3750507			1	1005
3750508			1	1001
3750509			1	1001
3750510			1	1005
3760401	3760402		1	1179
3760402	3760403		1	1009
3760403	3760404		1	1179
3760404	3760405		1	1001
3760405	3760406		1	1009
3760406	3760407		1	1009
3760407	3760408		1	1001
3760408	3760409		1	1009
3760409	3760410		1	1179
3760410			1	1009
3760411			1	1009
3760601	3760602		1	1162
3760602	3760603		1	1009
3760603	3760604		1	1163
3760604	3760605		1	1009
