ID	默认阵营	类型	JSON名称	能否移动	是否有音响	是否能装备	能否交互	视距等级	服务器脚本	ItemJSON名称
41014006	1001	18	Barbara_Team_WaterBall							Default_Item
41014007	1001	18	Barbara_Team_FirstAid							Default_Item
41015001	1001	18	FrozenField							Default_Item
41015002	1001	3	IceShieldImpact_L	1						Default_Item
41015003	1001	3	IceShieldImpact_R	1						Default_Item
41015004	1001	3	FrozenTrap1	1						Default_Item
41015005	1001	3	FrozenTrap2	1						Default_Item
41015006	1001	3	FrozenTrap3	1						Default_Item
41015007	1001	18	FrozenTrap_Trigger1	1						Default_Item
41015008	1001	18	FrozenTrap_Trigger2	1						Default_Item
41016001	1001	3	Diluc_FireCross	1						Default_Item
41021001	1001	18	ArrowRainField							Default_Item
41021002	1001	19	Dummy	1	1					Default_Item
41021003	1001	18	Dummy_Throw	1	1					Default_Item
41021004	1001	18	Dummy_Throw_7M	1	1					Default_Item
41021005	1001	18	Dummy_Throw_4M	1	1					Default_Item
41021006	1001	18	Dummy_Throw_Short	1	1					Default_Item
41021007	1001	3	Double_ArrowAiming	1	1					Default_Item
41021008	1001	18	Dummy_ElementBall	1	1					Default_Item
41021009	1001	3	Ambor_Arrow_01	1	1					Default_Item
41021010	1001	3	Ambor_Arrow_02	1	1					Default_Item
41021011	1001	3	Ambor_Arrow_03	1	1					Default_Item
41021012	1001	3	Ambor_Arrow_04	1	1					Default_Item
41021013	1001	3	Ambor_Arrow_05	1	1					Default_Item
41021014	1001	18	GateOfAmbor_Trigger							Default_Item
41021015	1001	3	GateOfAmbor_Bullet	1	1					Default_Item
41022001	1001	3	Hurricane_Arrow							Default_Item
41022002	1001	18	Venti_WindBlade							Default_Item
41022003	1001	18	Venti_WindBlade_Land							Default_Item
41022004	1001	3	AimingArrow_Wind	1	1					Default_Item
41022005	1001	3	AimingArrow_WithoutWind	1	1					Default_Item
41022006	1001	3	Venti_Talent_AimingArrow_Wind	1	1					Default_Item
41022007	1001	3	Venti_Talent_AimingArrow_WithoutWind	1	1					Default_Item
41022008	1001	3	Venti_Arrow_01	1	1					Default_Item
41022009	1001	3	Venti_Arrow_02	1	1					Default_Item
41022010	1001	3	Venti_Arrow_03	1	1					Default_Item
41022011	1001	3	Venti_Arrow_04	1	1					Default_Item
41022012	1001	3	Venti_Arrow_05	1	1					Default_Item
41022013	1001	3	Venti_Arrow_06	1	1					Default_Item
41023001	1001	3	Xiangling_ExtraAttack_Bullet	1	1					Default_Item
41023003	1001	18	Xiangling_Panda_Pepper	1	1					Default_Item
41023004	1001	3	Xiangling_FireCircle	1	1					Default_Item
41023011	1001	19	Xiangling_Panda	1	1					Default_Item
41023012		3	TalentBombGadget_EmptyGadget	1						Default_Item
41024001	1001	3	Thunder_Chain1	1						Default_Item
41024002	1001	3	Thunder_Chain2	1						Default_Item
41024003	1001	3	Thunder_Chain3	1						Default_Item
41024011	1001	18	Beidou_Thunder							Default_Item
41024012	1001	18	Beidou_Thunder1							Default_Item
41025001	1001	3	IceVirus	1	1					Default_Item
41028001	1001	18	Pole_Attack							Default_Item
