ID	类型	重量	排序权重	物件ID	可丢弃	使用等级	材料类型	冷却时间	冷却组	堆叠上限	最大使用数量	获得即使用	禁止提示第一次获得	目标	[使用]1操作	[使用]1参数1	[使用]1参数2	[使用]1参数3	[使用]2操作	[使用]2参数1	[使用]2参数2	阶数	自动进包	是否分开掉落
2019	2			70610003			8			1000	99	1		2	11	3	3	1						
2020	2			70610004			8			1000	99	1		2	11	4	3	1						
2021	2			70610005			8			1000	99	1		2	11	7	3	1						
2022	2			70610006			8			1000	99	1		2	11	5	3	1						
2023	2			70610007			8			1000	99	1		2	11	8	3	1						
2024	2			70610008			8			1000	99	1		2	12	2								
2025	2			70610008			8			1000	99	1		2	12	20								
2026	2			70610008			8			1000	99	1			13	1	20							
2027	2			70610008			8			1000	99	1			13	1	15							
3001	2					5	12			1000	99				20	400101								
3002	2					10	12			1000	99				21	100351								
3003	2						12			1000	99				20	500001								
3004	2						7			1000	99	1			3	10000002	15	0				5		
3005	2						7			1000	99	1			3	10000023	15	0				4		
3006	2						7			1000	99	1			3	10000003	15	0				5		
3007	2						7			1000	99	1			3	10000016	15	0				5		
3008	2						7			1000	99	1			3	10000022	15	0				5		
3018	2						7			1000	99	1			3	10000014	15	0				4		
3019	2						7			1000	99	1			3	10000020	15	0				4		
3009	2						12			1000	99	1			21	303009						5		
3010	2						12			1000	99	1			21	303010						4		
3011	2						12			1000	99	1			21	303011						5		
3012	2						12			1000	99	1			21	303012						5		
3013	2						12			1000	99	1			21	303013						5		
3014	2						12			1000	99	1			21	303014						4		
3015	2						12			1000	99	1			21	303015						4		
3016	2						12			1000	99	1			21	303016						4		
3017	2						12			1000	99	1			21	303017						4		
3020	2						12			1000	99	1			21	303020						4		
3021	2						7			1000	99	1			3	10000015	5	0				4		
3022	2						7			1000	99	1			3	10000006	5	0				4		
100001	2	1	5	70540003	1		15			1000	99			4	10	120	Eff_UI_AvatarIcon_Recovery_Once							1
100011	2	1	5	70520004	1		4			1000														1
100012	2	1	5	70520005	1		4			1000														1
100013	2	1	5	70520014	1		4			1000														1
100014	2	1	5	70520015	1		4			1000														1
100015	2	1	5	70520008	1		4			1000														1
100016	2	1	5	70520009	1		4			1000														1
100017	2	1	5	70590010	1		4			1000														1
100018	2	1	5	70520011	1		4			1000														1
100019	2	1	5	70520012	1		4			1000														1
100020	2	1	5	70540005	1		4			1000														1
100051	2	1	5	70540001	1		4			1000														1
100052	2	1	6	70540002	1		4			1000														1
100053	2	1	6	70540006	1		4			1000														1
100054	2	1	6	70540007	1		4			1000														1
100055	2	1	6	70510004	1		4			1000														1
100056	2	1	6	70590013	1		4			1000														1
100057	2	1	6	70510009			4			1000														1
100061	2	1	5	70520016	1		4			1000														1
100062	2	1	5	70540004	1		4			1000														1
100063	2	1	5	70520013	1		4			1000														1
100064	2	1	5	70520017	1		4			1000														1
100072	2	1	5	70590006			4			1000														1
100073	2	1	5	70540003			4			1000														1
100074	2	1	5	70540003			4			1000														1
100075	2	1	5				4			1000														1
100076	2	1	5				4			1000														1
100077	2	1	5				4			1000														1
100078	2	1	5				4			1000														1
100079	2	1	5				4			1000														1
100080	2	1	5				4			1000														1
100081	2	1	5				4			1000														1
100082	2	1	5				4			1000														1
100083	2	1	5				4			1000														1
100084	2	1	5				4			1000														1
100085	2	1	5				4			1000														1
100086	2	1	5	70560001	1		4			1000														1
100087	2	1	5	70590009	1		4			1000														1
101001	2	1	6	70560002	1		4			1000														1
101002	2	1	7	70560003	1		4			1000														1
101003	2	1	8	70560004	1		4			1000														1
100003	2	1	10	70300001			2			1000	1				1	2002								
100004	2	1	10	70300001	1		2			1000														
100005	2	1	10	70300001	1		2			1000														
100006	2	1	10	70300001	1		2			1000														
100007	2	1	10	70300001	1		2			1000														
100008	2	1	10	70300001	1		2			1000														
100009	2	1	10	70300001	1		2			1000														
100010	2	1	10	70300001	1		2			1000														
100101	2	1	10	70300009	1		2			1000														
100102	2	1	10	70300010	1		2			1000														
100103	2	1	10	70300008	1		2			1000														
100104	2	1	10	70300008	1		2			1000														
100105	2	1	10	70300011	1		2			1000														
100106	2	1	10	70300010	1		2			1000														
100107	2	1	10	70300007	1		2			1000	1	1		2	10	-100								
100108	2	1	10	70300012	1		2			1000														
100109	2	1	10	70300012	1		2			1000	1	1		2	10	100								
100110	2	1	10	70300006			2			1														
100111	2	1	10	70300006			2			1														
100112	2	1	10	70300006			2			1														
100113	2	1	10	70300001	1		2			1000	1	1		2	10	0								
100114	2	1	10	70300012	1		2			1000														
100115	2	1	10	70300001	1		2			1000														
100120	2	1	10	70300020	1		2			1000														
100121	2	1	10	70300020	1		9			1000												1		
100122	2	1	10	70300020	1		9			1000												3		
100123	2	1	10	70300020	1		9			1000												4		
100124	2	1	10	70300020	1		9			1000												5		
100125	2	1	10	70220010	1		2			1000														
100126	2	1	10	70220011	1		2			1000														
100131	2	1	10	70300009	1		2			1000														
100132	2	1	10	70300009	1		2			1000														
100133	2	1	10	70300009	1		2			1000														
100134	2	1	10	70300009	1		2			1000														
100135	2	1	10	70300038			2			1000			1											
100136	2	1	10	70900003			2			1000	1	1		2	10	0								
100137	2	1	10	70900003			2			1000	1	1		2	10	0								
100138	2	1	10	70900003			2			1000	1	1		2	10	0								
100139	2	1	10	70900003			2			1000	1	1		2	10	0								
100140	2	1	10	70900003			2			1000	1	1		2	10	0								
100141	2	1	10	70900003			2			1000	1	1		2	10	0								
100142	2	1	10	70900003			2			1000	1	1		2	10	0								
100143	2	1	10	70900003			2			1000	1	1		2	10	0								
100144	2	1	10	70900003			2			1000	1	1		2	10	0								
100145	2	1	10	70800001			2			1000	1			2	10	0								
100146	2	1	10	70800001			2			1000	1			2	10	0								
100147	2	1	10	70800001			2			1000	1			2	10	0								
100148	2	1	10	36			2			1000	1	1		2	10	0								
100149	2	1	10	70800001			2			1000	1	1		2	10	0								
100151	2	1	10	70600064			2			1000														
100152	2	1	10	70800001			2			1000	1			2		0								
100153	2	1	10	70800001			2			1000	1			2		0								
100154	2	1	10	70800001			2			1000	1			2		0								
100155	2	1	10	70300001	1		2			1000		1												
100156	2	1	10	70300001	1		2			1000		1												
100157	2	1	10	70300001	1		2			1000		1												
100158	2	1	10	70300049			2			1000													1	
100159	2	1	10	70300049			2			1000													1	
100160	2	1	10	70300049			2			1000													1	
100161	2	1	10	70300038			2			1000														
100162	2	1	10	70300038			2			1000														
100163	2	1	10	70300038			2			1000														
100164	2	1	10	70300042			2			1000														
100171	2	1	10	70300043			2			1														
100172	2	1	10	70300044			2			1													1	
100173	2	1	10	70300045			2			1													1	
100174	2	1	10	70300050	1		2			1000		1	1	2	10	0								
100175	2	1	10	70300002	1		2			1000														
100176	2	1	10	70300001	1		2			1000														
100177	2	1	10	70300052	1		2			1000		1	1	2	10	0								
100178	2	1	10	70310011			2			1														
100179	2	1	10	70310012			2			1														
100180	2	1	10	70310013			2			1														
100181	2	1	10	70310014			2			1														
100182	2	1	10	70310015			2			1														
100183	2	1	10	70310016			2			1														
100184	2	1	10	71700001			2			1														
100185	2	1	10	71700008			2			1														
100186	2	1	10	70300050	1		2			1000		1	1	2	10	0								
100187	2	1	10	70300050	1		2			1000		1	1	2	10	0								
100188	2	1	10	71700009			2			1														
100189	2	1	10	71700010			2			1														
100190	2	1	10	71700011			2			1														
100191	2	1	10	71700012			2			1														
100192	2	1	10	71700013			2			1														
100193	2	1	10	71700014			2			1														
100194	2	1	10	71700015			2			1														
100195	2	1	10	71700016			2			1														
100196	2	1	10	71700017			2			1														
100197	2	1	10	71700018			2			1														
100198	2	1	10	71700019			2			1														
100199	2	1	10	71700020			2			1														
100200	2	1	10	71700021			2			1														
100201	2	1	10	71700022			2			1														
100202	2	1	10	71700023			2			1														
100203	2	1	10	71700024			2			1														
100204	2	1	10	71700025			2			1														
100205	2	1	10	71700026			2			1														
100206	2	1	10	71700027			2			1														
100207	2	1	10	71700028			2			1														
100208	2	1	10	71700029			2			1														
100210	2	1	10	70300065			2			1000														
100211	2	1	10	70300065			2			1000														
100212	2	1	10	70300065			2			1000														
100213	2	1	10	71700030			2			1														
102001	2	1	5	70590001	1		1	5	1	1000	1			2	11	1	50							
102002	2	1	5	70590001	1		1	5	1	1000	1			2	11	2	50							
102003	2	1	5	70590001	1		1	5	1	1000	1			2	11	3	50							
102004	2	1	5	70590001	1		1	5	1	1000	1			2	11	4	50							
102005	2	1	5	70590001	1		1	5	1	1000	1			2	11	7	50							
102006	2	1	5	70590001	1		1	5	1	1000	1			2	11	5	50							
102007	2	1	5	70590001	1		1	5	1	1000	1			2	11	8	50							
102008	2	1	5	70590001	1		1	5	1	1000	1			2	12	50								
103001	2	1	5	70590002	1		1	10	2	1000	1			2	11	1	30							
103002	2	1	5	70590002	1		1	10	2	1000	1			2	11	2	30							
103003	2	1	5	70590002	1		1	10	2	1000	1			2	11	3	30							
103004	2	1	5	70590002	1		1	10	2	1000	1			2	11	4	30							
103005	2	1	5	70590002	1		1	10	2	1000	1			2	11	7	30							
103006	2	1	5	70590002	1		1	10	2	1000	1			2	11	5	30							
103007	2	1	5	70590002	1		1	10	2	1000	1			2	11	8	30							
103008	2	1	5	70590002	1		1	10	2	1000	1			2	12	30								
104001	2	1	5	70600021			6			1000	99			3	4	400						1		
104002	2	1	5	70600022			6			1000	99			3	4	4000						2		
104003	2	1	5	70600023			6			1000	99			3	4	40000						3		
104011	2	1	5	70600031			11			1000					14	400						1		
104012	2	1	5	70600032			11			1000					14	4000						2		
104013	2	1	5	70600033			11			1000					14	40000						3		
104101	2	1	6	70600001			14			1000												1		
104102	2	1	6	70600002			14			1000												2		
104103	2	1	6	70600003			14			1000												3		
104104	2	1	6	70600004			14			1000												4		
104111	2	1	6	70600001			14			1000												1		
104112	2	1	6	70600002			14			1000												2		
104113	2	1	6	70600003			14			1000												3		
104114	2	1	6	70600004			14			1000												4		
104121	2	1	6	70600001			14			1000												1		
104122	2	1	6	70600002			14			1000												2		
104123	2	1	6	70600003			14			1000												3		
104124	2	1	6	70600004			14			1000												4		
104131	2	1	6	70600001			14			1000												1		
104132	2	1	6	70600002			14			1000												2		
104133	2	1	6	70600003			14			1000												3		
104134	2	1	6	70600004			14			1000												4		
104141	2	1	6	70600001			14			1000												1		
104142	2	1	6	70600002			14			1000												2		
104143	2	1	6	70600003			14			1000												3		
104144	2	1	6	70600004			14			1000												4		
104151	2	1	6	70600001			14			1000												1		
104152	2	1	6	70600002			14			1000												2		
104153	2	1	6	70600003			14			1000												3		
104154	2	1	6	70600004			14			1000												4		
104161	2	1	6	70600001			14			1000												1		
104162	2	1	6	70600002			14			1000												2		
104163	2	1	6	70600003			14			1000												3		
104164	2	1	6	70600004			14			1000												4		
104171	2	1	6	70600001			14			1000												1		
104172	2	1	6	70600002			14			1000												2		
104173	2	1	6	70600003			14			1000												3		
104174	2	1	6	70600004			14			1000												4		
105001	2	1	6	70600011			13			1000												1		
105002	2	1	6	70600012			13			1000												2		
105003	2	1	6	70600013			13			1000												3		
105004	2	1	6	70600014			13			1000												4		
106000	2	1	6	70900001	1		5	1	5	10	1			2	7	20								
106001	2	1	6	70900001	1		5	1	5	10	1			2	8	20								
107001	2	0	6	70590004	0		10			2000													1	
107002	2	0	6	70590004	0		5			2000		1	1	2	12	20								
108000	2	0	6		0		1			2000														
108001	2	0	6		0		1	120	10	2000	1			2	15	108091	30					1		
108002	2	0	6		0		1	120	10	2000	1			2	15	108092	30					1		
108003	2	0	6		0		1	120	10	2000	1			2	15	108093	30					1		
108004	2	0	6		0		1	120	99	2000	1			5	5				15	108036		1		
108005	2	0	6		0		1	120	99	2000	1			5	5				15	108037		1		
108006	2	0	6		0		1	120	99	2000	1			5	5				15	108038		1		
108007	2	0	6		0		1	120	99	2000	1			5	5				15	108036		1		
108008	2	0	6		0		1	120	99	2000	1			5	5				15	108037		1		
108009	2	0	6		0		1	120	99	2000	1			5	5				15	108038		1		
108010	2	0	6		0		1	120	99	2000	1			5	5				15	108039		1		
108011	2	0	6		0		15			2000	1			4	10	300	Eff_UI_AvatarIcon_Recovery_Once					1		
108012	2	0	6		0		15			2000	1			4	10	400	Eff_UI_AvatarIcon_Recovery_Once					1		
108013	2	0	6		0		15			2000	1			4	10	500	Eff_UI_AvatarIcon_Recovery_Once					1		
108014	2	0	6		0		15			2000	1			4	10	800	Eff_UI_AvatarIcon_Recovery_Once					1		
108015	2	0	6		0		1	120	10	2000	1			2	15	108001	30					2		
108016	2	0	6		0		1	120	10	2000	1			2	15	108002	30					2		
108017	2	0	6		0		1	120	10	2000	1			2	15	108003	30					2		
108018	2	0	6		0		1	120	10	2000	1			2	15	108004	30					2		
108019	2	0	6		0		1			2000	1			2	15	108011	120					2		
108020	2	0	6		0		1			2000	1			2	15	108012	120					2		
108021	2	0	6		0		1			2000	1			2	15	108013	120					2		
108022	2	0	6		0		1	120	99	2000	1			5	5				15	108037		2		
108023	2	0	6		0		1	120	99	2000	1			5	5				15	108038		2		
108024	2	0	6		0		1	120	99	2000	1			5	5				15	108039		2		
108025	2	0	6		0		1			2000	1			2	15	108007	120					2		
108026	2	0	6		0		1			2000	1			2	15	108008	120					2		
108027	2	0	6		0		1			2000	1			2	15	108009	120					2		
108028	2	0	6		0		1			2000	1			2	15	108071	120					2		
108029	2	0	6		0		1			2000	1			2	15	108072	120					2		
108030	2	0	6		0		1			2000	1			2	15	108073	120					2		
108031	2	0	6		0		15			2000	1			4	10	900	Eff_UI_AvatarIcon_Recovery_Once					2		
108032	2	0	6		0		15			2000	1			4	10	1200	Eff_UI_AvatarIcon_Recovery_Once					2		
108033	2	0	6		0		15			2000	1			4	10	1500	Eff_UI_AvatarIcon_Recovery_Once					2		
108034	2	0	6		0		1			2000	1			2	9	40						2		
108035	2	0	6		0		1			2000	1			2	9	55						2		
108036	2	0	6		0		1			2000	1			2	9	70						2		
108037	2	0	6		0		1	120	99	2000	1			5	5				15	108037		2		
108038	2	0	6		0		1	120	99	2000	1			5	5				15	108038		2		
108039	2	0	6		0		1	120	99	2000	1			5	5				15	108039		2		
108040	2	0	6		0		1	120	99	2000	1			5	5				15	108040	120	2		
108041	2	0	6		0		1	120	10	2000	1			2	15	108081	30					3		
108042	2	0	6		0		1	120	10	2000	1			2	15	108082	30					3		
108043	2	0	6		0		1	120	10	2000	1			2	15	108083	30					3		
108044	2	0	6		0		1	120	10	2000	1			2	15	108084	30					3		
108045	2	0	6		0		1	120	10	2000	1			2	15	108081	30					3		
108046	2	0	6		0		1	120	10	2000	1			2	15	108082	30					3		
108047	2	0	6		0		1	120	10	2000	1			2	15	108083	30					3		
108048	2	0	6		0		1	120	10	2000	1			2	15	108084	30					3		
108049	2	0	6		0		1			2000	1			2	15	108031	120					3		
108050	2	0	6		0		1			2000	1			2	15	108032	120					3		
108051	2	0	6		0		1			2000	1			2	15	108033	120					3		
108052	2	0	6		0		1			2000	1			2	15	108019	120					3		
108053	2	0	6		0		1			2000	1			2	15	108020	120					3		
108054	2	0	6		0		1			2000	1			2	15	108021	120					3		
108055	2	0	6		0		1			2000	1			2	15	108055	120					3		
108056	2	0	6		0		1			2000	1			2	15	108056	120					3		
108057	2	0	6		0		1			2000	1			2	15	108057	120					3		
108058	2	0	6		0		1			2000	1			2	15	108058	120					3		
108059	2	0	6		0		1	120	13	2000	1			2	15	111091	120					3		
108060	2	0	6		0		1	120	13	2000	1			2	15	111092	120					3		
108061	2	0	6		0		1	120	13	2000	1			2	15	111093	120					3		
108062	2	0	6		0		1			2000	1			2	15	108062	120					3		
108063	2	0	6		0		1			2000	1			2	15	108063	120					3		
108064	2	0	6		0		1			2000	1			2	15	108064	120					3		
108065	2	0	6		0		1	120	99	2000	1			5	5				15	108042		3		
108066	2	0	6		0		1	120	99	2000	1			5	5				15	108043		3		
108067	2	0	6		0		1	120	99	2000	1			5	5				15	108044		3		
109000	2	0	6		0		5			2000	1													
109101	2	0	6		0		5			2000	1				17	1001								
109201	2	0	6		0		5			2000	1				17	2001								
109301	2	0	6		0		5			2000	1				17	3001								
110000	2	0	6		0		5			2000														
110001	2	0	6		0		5			2000														
110002	2	0	6		0		5			2000														
110003	2	0	6		0		5			2000														
110004	2	0	6		0		5			2000														
110005	2	0	6		0		5			2000														
110006	2	0	6		0		5			2000														
110007	2	0	6		0		5			2000														
110008	2	0	6		0		5			2000														
110009	2	0	6		0		5			2000														
110010	2	0	6		0		5			2000														
110011	2	0	6		0		5			2000														
110012	2	0	6		0		5			2000														
110013	2	0	6		0		5			2000														
111000	2	0	6		0		5			2000														
111001	2	0	6		0		1			2000	1			2	9	50								
111002	2	0	6		0		1			2000	1			2	15	111002	20							
111003	2	0	6		0		1	300	11	2000	1			2	15	111003	30							
111004	2	0	6		0		1	300	12	2000	1			2	15	111004	30							
111005	2	0	6		0		1	120	13	2000	1			2	15	111005	120							
