ID	Ability名称	是远程	技能CD	消耗体力	消耗能量类型	消耗能量值	可累积次数	TriggerID	索敌范围	索敌公式权重1	索敌公式权重2	索敌公式权重3	是默认镜头	支持按钮拖动	是否显示箭头	是否监控状态	默认锁定	图标名称
10032			15	0			1	2	CircleLockEnemyR15H10HC	0.6	1	0.3	1	2	1			
10033	Avatar_Qin_VortexSmash		6	5			1	2	CircleLockEnemyR8H6HC	0.6	1	0.3	1		1			
10034	Avatar_Qin_DandelionWind		32	0	7	80	1	5	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10035			15	0			1	11	CircleLockEnemyR10	0.6	1	0.3	1	2	1			
10036	Avatar_Qin_EnterSkill		30				1	0	CircleLockEnemyR10	0.6	1	0.3						
10037	Avatar_Player_FlyingBomber		0	0			1	0	CircleLockEnemyR10	0.6	1	0.3	1	2	1			
10041	Avatar_Ambor_PressShoot	1	0	0			1	0	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10042	Avatar_Ambor_AimPressShoot	1	0	0			1	0	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10043		1	0	0			1	1	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10044	Avatar_GateOfAmbor_TriggerBullet		30	0			1	0	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10051		1	0	0			1	21	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10052			0	0			1	21	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10053	Avatar_Ayaka_EndLiquidStrike		0	0			1	0	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10054	Avatar_Player_ExtraAttack		0	0			1	0	CircleLockEnemyR5H6HC	0.6	1	0.3	1					
10055	Avatar_Player_ExtraAttack		0	0			1	0	CircleLockEnemyR5H6HC	0.6	1	0.3	1					
10056	Avatar_Player_ExtraAttack		0	0			1	0	CircleLockEnemyR5H6HC	0.6	1	0.3	1					
10057	Avatar_Player_ExtraAttack		0	0			1	0	CircleLockEnemyR5H6HC	0.6	1	0.3	1					
10058	Avatar_Player_ExtraAttack		0	0			1	0	CircleLockEnemyR5H6HC	0.6	1	0.3	1					
10059	Avatar_Player_ExtraAttack		0	0			1	0	CircleLockEnemyR5H6HC	0.6	1	0.3	1					
10060	Avatar_Lisa_ExtraAttack		0	0			1	0	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10061			1	0			1	2	CircleLockEnemyR15H10HC	0.6	1	0.3	1	1	1			
10062			8	0	4	60	1	5	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10063	Test_CreateSharkTorpedo		5	0			2	0	CircleLockEnemyR8H6HC	0.6	1	0.3	1					
10064	Test_CreateSteamBang		10	0			1	0	CircleLockEnemyR5H6HC	0.6	1	0.3	1					
10065	Avatar_Ambor_ThrowDummy		5	0			1	0	CircleLockEnemyR5H6HC	0.6	1	0.3	1					
10066		1	0	0			1	2	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10067	Avatar_Player_UziExplode	1	5	0			1	2	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10068	Avatar_Player_WindBreathe	1	25	0	7	60	1	5	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10069			0	0			1	1	CircleLockEnemyR5H6HC	0.6	1	0.3	1					
10070	Avatar_Barbara_ExtraAttack		0	0			1	0	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10071			1	0			1	2	CircleLockEnemyR15H10HC	0.6	1	0.3	1	1	1			
10072			5	0	2	90	1	5	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10073	Avatar_Kaeya_ExtraAttack		0	0			1	0	CircleLockEnemyR8H6HC	0.6	1	0.3	1					
10074			6	0			1	2	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10075			25	0	5	50	1	5	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10076	Avatar_Barbara_ReBorn		60	0			1	0	CircleLockEnemyR15H10HC	0.6	1	0.3	1			1	1	Skill_E_Kate
10077	Avatar_Player_Hogyoku	1	20	0			1	12	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10078	Avatar_Player_RockTide	1	25	0	8	60	1	15	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10079	Avatar_Barbara_ReBornEffect_01		60	0			1	0	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10080	Avatar_Barbara_ReBornEffect_02		60	0			1	0	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10081	Avatar_Keaya_IceShield		60	0			1	0	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10082	Avatar_Barbara_Trigger_WaterBall		30	0			1	0	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10083	Avatar_Lsai_TeamTalent_Skill		30	0			1	0	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10160	Avatar_Diluc_ExtraAttack		0	0			1	0	CircleLockEnemyR5H6HC	0.6	1	0.3	1					
10161	Diluc_Fire_Blade		10	0			1	2	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10162	Diluc_Fire_Blade		2	0			1	3	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10163	Diluc_Fire_Blade		2	0			1	4	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10165	Diluc_FireCross		30	0	1	60	1	5	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10166	Diluc_EnterSkill		30	0			1	0	CircleLockEnemyR10H6HC	0.6	1	0.3	1					
10201	Avatar_Razor_ExtraAttack		0	0			1	0	CircleLockEnemyR5H6HC	0.6	1	0.3	1					
10202	Avatar_Razor_ClawMark_Click		6	0			1	2	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10203	Avatar_Razor_LycanMode		25	0	4	60	1	5	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10204	Avatar_Razor_ClawMark_Click		3	0			1	2	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10221	Avatar_Venti_PressShoot	1	0	0			1	0	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10222	Avatar_Venti_AimPressShoot	1	0	0			1	0	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10223		1	0	0			1	1	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10224			15	0			1	2	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10225			25	0	7	60	1	5	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10231	Avatar_Xiangling_ExtraAttack		0	0			1	0	CircleLockEnemyR8H6HC	0.6	1	0.3	1					
10232			6	0			1	2	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10235			25	0	1	60	1	5	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10241	Avatar_Beidou_ExtraAttack		0	0			1	0	CircleLockEnemyR5H6HC	0.6	1	0.3	1					
10242			9	0			2	2	CircleLockEnemyR8H6HC	0.6	1	0.3	1					
10245			25	0	4	60	1	5	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
20000			0	0			1	99	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10251	Avatar_Aquaria_PressShoot	1	2	0			1	0	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10252	Avatar_Aquaria_AimPressShoot	1	2	0			1	0	CircleLockEnemyR8H6HC	0.6	1	0.3	1					
10253		1	2	0			1	1	CircleLockEnemyR8H6HC	0.6	1	0.3	1					
10254			10	0			1	2	CircleLockEnemyR8H6HC	0.6	1	0.3	1					
10255			25	0	5	60	1	5	CircleLockEnemyR8H6HC	0.6	1	0.3	1					
10281	Avatar_Prototype_ExtraAttack		0	0			1	0	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10282			0	0			1	2	CircleLockEnemyR5H6HC	0.6	1	0.3	1					
10283			10	0	1		1	3	CircleLockEnemyR8H6HC	0.6	1	0.3	1					
10291			0	0			1	1	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10292			6	0			1	2	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10295			30	0	1	60	1	5	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10300			0	0			1	3	CircleLockEnemyR5H6HC	0.6	1	0.3	1					
10256			8	0			3	2	CircleLockEnemyR8H6HC	0.6	1	0.3	1					
10257			8	0			3	12	CircleLockEnemyR8H6HC	0.6	1	0.3	1					
10258			10	0			1	2	CircleLockEnemyR8H6HC	0.6	1	0.3	1					
10259			25	0	5	60	1	5	CircleLockEnemyR8H6HC	0.6	1	0.3	1					
10362			12	0	5	60	1	2	CircleLockEnemyR8H6HC	0.6	1	0.3	1					
10371	Avatar_RuoxinTest_ExtraAttack		0	0			1	0	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10372			8	0			1	2	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10373			25	0	2	60	1	5	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10381	Avatar_Xingqiu_ExtraAttack		0	0			1	0	CircleLockEnemyR5H6HC	0.6	1	0.3	1					
10382			8	0			1	2	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
10383			25	0	2	60	1	5	CircleLockEnemyR15H10HC	0.6	1	0.3	1					
20001	Dvalin_S01_AirGun		0	999999			1	0	CircleLockEnemyR10	0.6	1	0.3	1	2	1			
20002	Dvalin_S01_AirGun		0	0			1	0	CircleLockEnemyR10	0.6	1	0.3	1	2	1			
