等级	[曲线]1类型	[曲线]1运算	[曲线]1值	[曲线]2类型	[曲线]2运算	[曲线]2值	[曲线]3类型	[曲线]3运算	[曲线]3值	[曲线]4类型	[曲线]4运算	[曲线]4值
74	1	2	89.22	2	2	29.89	12	2	15.81	13	2	1.292
75	1	2	90.51	2	2	30.35	12	2	16	13	2	1.296
76	1	2	91.82	2	2	30.81	12	2	16.21	13	2	1.3
77	1	2	94.46	2	2	31.79	12	2	16.4	13	2	1.304
78	1	2	97.15	2	2	32.77	12	2	16.62	13	2	1.308
79	1	2	99.86	2	2	33.77	12	2	16.81	13	2	1.312
80	1	2	102.61	2	2	34.78	12	2	17.02	13	2	1.316
81	1	2	105.39	2	2	35.8	12	2	17.21	13	2	1.312
82	1	2	108.2	2	2	36.83	12	2	17.43	13	2	1.316
83	1	2	111.05	2	2	37.87	12	2	17.62	13	2	1.312
84	1	2	113.93	2	2	38.92	12	2	17.83	13	2	1.316
85	1	2	116.85	2	2	39.99	12	2	18.02	13	2	1.312
86	1	2	118.33	2	2	40.52	12	2	18.24	13	2	1.316
87	1	2	119.77	2	2	41.04	12	2	18.43	13	2	1.312
88	1	2	121.27	2	2	41.58	12	2	18.64	13	2	1.316
89	1	2	122.79	2	2	42.13	12	2	18.83	13	2	1.312
90	1	2	124.32	2	2	42.69	12	2	19.05	13	2	1.316
