阶数	等级	成长到下一级所需经验	[增加属性]1类型	[增加属性]1值	[增加属性]2类型	[增加属性]2值	[增加属性]3类型	[增加属性]3值	[增加属性]4类型	[增加属性]4值	[增加属性]5类型	[增加属性]5值	[增加属性]6类型	[增加属性]6值	[增加属性]7类型	[增加属性]7值	[增加属性]8类型	[增加属性]8值	[增加属性]9类型	[增加属性]9值	[增加属性]10类型	[增加属性]10值
3	8	20000	2	498	3	0.21	5	35	6	0.21	8	34	9	0.21	20	0.12	22	0.18	23	0.12	26	0.12
3	9	22500	2	541	3	0.23	5	38	6	0.23	8	37	9	0.23	20	0.13	22	0.2	23	0.13	26	0.13
3	10	25000	2	584	3	0.25	5	41	6	0.25	8	40	9	0.25	20	0.14	22	0.21	23	0.14	26	0.14
3	11	27500	2	628	3	0.27	5	44	6	0.27	8	43	9	0.27	20	0.15	22	0.23	23	0.15	26	0.15
3	12	30000	2	671	3	0.29	5	47	6	0.29	8	46	9	0.29	20	0.16	22	0.24	23	0.16	26	0.16
3	13	32500	2	714	3	0.31	5	50	6	0.31	8	49	9	0.31	20	0.17	22	0.26	23	0.17	26	0.17
3	14	35000	2	757	3	0.33	5	53	6	0.33	8	52	9	0.33	20	0.18	22	0.27	23	0.18	26	0.18
3	15	37500	2	800	3	0.35	5	56	6	0.35	8	55	9	0.35	20	0.19	22	0.29	23	0.19	26	0.19
3	16	40000	2	844	3	0.37	5	59	6	0.37	8	58	9	0.37	20	0.2	22	0.3	23	0.2	26	0.2
3	17	42500	2	887	3	0.39	5	62	6	0.39	8	61	9	0.39	20	0.21	22	0.32	23	0.21	26	0.21
3	18	45000	2	930	3	0.41	5	65	6	0.41	8	64	9	0.41	20	0.22	22	0.33	23	0.22	26	0.22
3	19	47500	2	973	3	0.43	5	68	6	0.43	8	67	9	0.43	20	0.23	22	0.35	23	0.23	26	0.23
3	20	0	2	1017	3	0.45	5	72	6	0.45	8	70	9	0.45	20	0.24	22	0.36	23	0.24	26	0.24
4	1	3000	2	338	3	0.09	5	23	6	0.09	8	23	9	0.09	20	0.07	22	0.13	23	0.07	26	0.07
4	2	6000	2	412	3	0.12	5	28	6	0.12	8	28	9	0.12	20	0.085	22	0.15	23	0.085	26	0.085
4	3	9000	2	487	3	0.14	5	34	6	0.14	8	34	9	0.14	20	0.1	22	0.18	23	0.1	26	0.1
4	4	12000	2	562	3	0.17	5	39	6	0.17	8	39	9	0.17	20	0.115	22	0.2	23	0.115	26	0.115
4	5	15000	2	636	3	0.19	5	44	6	0.19	8	44	9	0.19	20	0.13	22	0.23	23	0.13	26	0.13
4	6	18000	2	711	3	0.22	5	49	6	0.22	8	49	9	0.22	20	0.145	22	0.26	23	0.145	26	0.145
4	7	21000	2	786	3	0.24	5	55	6	0.24	8	54	9	0.24	20	0.16	22	0.28	23	0.16	26	0.16
4	8	24000	2	860	3	0.27	5	60	6	0.27	8	59	9	0.27	20	0.175	22	0.31	23	0.175	26	0.175
4	9	27000	2	935	3	0.29	5	65	6	0.29	8	65	9	0.29	20	0.19	22	0.34	23	0.19	26	0.19
4	10	30000	2	1010	3	0.32	5	70	6	0.32	8	70	9	0.32	20	0.205	22	0.36	23	0.205	26	0.205
4	11	33000	2	1084	3	0.34	5	75	6	0.34	8	75	9	0.34	20	0.22	22	0.39	23	0.22	26	0.22
4	12	36000	2	1159	3	0.36	5	81	6	0.36	8	80	9	0.36	20	0.235	22	0.41	23	0.235	26	0.235
4	13	39000	2	1234	3	0.39	5	86	6	0.39	8	85	9	0.39	20	0.25	22	0.44	23	0.25	26	0.25
4	14	42000	2	1308	3	0.41	5	91	6	0.41	8	90	9	0.41	20	0.265	22	0.47	23	0.265	26	0.265
4	15	45000	2	1383	3	0.44	5	96	6	0.44	8	96	9	0.44	20	0.28	22	0.49	23	0.28	26	0.28
4	16	48000	2	1458	3	0.46	5	102	6	0.46	8	101	9	0.46	20	0.295	22	0.52	23	0.295	26	0.295
4	17	51000	2	1532	3	0.49	5	107	6	0.49	8	106	9	0.49	20	0.31	22	0.54	23	0.31	26	0.31
4	18	54000	2	1607	3	0.51	5	112	6	0.51	8	111	9	0.51	20	0.325	22	0.57	23	0.325	26	0.325
4	19	57000	2	1681	3	0.54	5	117	6	0.54	8	116	9	0.54	20	0.34	22	0.6	23	0.34	26	0.34
4	20	0	2	1756	3	0.56	5	122	6	0.56	8	121	9	0.56	20	0.355	22	0.62	23	0.355	26	0.355
5	1	3500	2	434	3	0.11	5	31	6	0.11	8	30	9	0.11	20	0.09	22	0.16	23	0.09	26	0.09
5	2	7000	2	530	3	0.14	5	37	6	0.14	8	36	9	0.14	20	0.108	22	0.2	23	0.108	26	0.108
5	3	10500	2	625	3	0.17	5	44	6	0.17	8	43	9	0.17	20	0.126	22	0.23	23	0.126	26	0.126
5	4	14000	2	721	3	0.19	5	51	6	0.19	8	50	9	0.19	20	0.144	22	0.26	23	0.144	26	0.144
5	5	17500	2	817	3	0.22	5	58	6	0.22	8	56	9	0.22	20	0.162	22	0.3	23	0.162	26	0.162
5	6	21000	2	913	3	0.25	5	64	6	0.25	8	63	9	0.25	20	0.18	22	0.33	23	0.18	26	0.18
5	7	24500	2	1008	3	0.28	5	71	6	0.28	8	69	9	0.28	20	0.198	22	0.36	23	0.198	26	0.198
5	8	28000	2	1104	3	0.31	5	78	6	0.31	8	76	9	0.31	20	0.216	22	0.4	23	0.216	26	0.216
5	9	31500	2	1200	3	0.34	5	84	6	0.34	8	83	9	0.34	20	0.234	22	0.43	23	0.234	26	0.234
5	10	35000	2	1296	3	0.37	5	91	6	0.37	8	89	9	0.37	20	0.252	22	0.47	23	0.252	26	0.252
5	11	38500	2	1391	3	0.39	5	98	6	0.39	8	96	9	0.39	20	0.27	22	0.5	23	0.27	26	0.27
5	12	42000	2	1487	3	0.42	5	104	6	0.42	8	103	9	0.42	20	0.288	22	0.53	23	0.288	26	0.288
5	13	45500	2	1583	3	0.45	5	111	6	0.45	8	109	9	0.45	20	0.306	22	0.57	23	0.306	26	0.306
5	14	49000	2	1679	3	0.48	5	118	6	0.48	8	116	9	0.48	20	0.324	22	0.6	23	0.324	26	0.324
5	15	52500	2	1774	3	0.51	5	125	6	0.51	8	122	9	0.51	20	0.342	22	0.63	23	0.342	26	0.342
5	16	56000	2	1870	3	0.54	5	131	6	0.54	8	129	9	0.54	20	0.36	22	0.67	23	0.36	26	0.36
5	17	59500	2	1966	3	0.57	5	138	6	0.57	8	136	9	0.57	20	0.378	22	0.7	23	0.378	26	0.378
5	18	63000	2	2062	3	0.59	5	145	6	0.59	8	142	9	0.59	20	0.396	22	0.73	23	0.396	26	0.396
5	19	66500	2	2157	3	0.62	5	151	6	0.62	8	149	9	0.62	20	0.414	22	0.77	23	0.414	26	0.414
5	20	0	2	2253	3	0.65	5	158	6	0.65	8	156	9	0.65	20	0.432	22	0.8	23	0.432	26	0.432
