ID	默认阵营	基础生命值	基础攻击力	基础防御力	暴击率	暴击抗性	暴击伤害	火元素抗性	草元素抗性	水元素抗性	电元素抗性	风元素抗性	冰元素抗性	岩元素抗性	火元素伤害加成	草元素伤害加成	水元素伤害加成	电元素伤害加成	风元素伤害加成	冰元素伤害加成	岩元素伤害加成	[属性成长]1类型	[属性成长]1曲线	[属性成长]2类型	[属性成长]2曲线	[属性成长]3类型	[属性成长]3曲线	类型	服务器脚本	战斗Config	精英词缀	AI	装备1	装备2	会游泳	击杀经验	击杀经验成长曲线	[掉落]1ID	[掉落]1血量百分比	[掉落]2ID	[掉落]2血量百分比	[掉落]3ID	[掉落]3血量百分比	击杀掉落ID	全地图奖励	视距等级
21011001	4001	29.6	14.8	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Hili_Electric_01	2001	ranged01	50004019			18	11	101010	65					100010		
21011101	4001	27.5	7.6	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Hili_Grass_01		assist01	50004016			18	11									
20011202	4001	16	0	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Slime_Fire_Tutorial	3006	assist01				0	11	101011	65	0		0		100011		
20011201	4001	23.7	7.4	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Slime_Fire_02	3006	assist01				18	11	101011	65	0		0		100011		
20011301	4001	62.7	23.7	27.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Slime_Fire_03	3006	assist01				18	11	101011	80	101011	55	101011	25	100021		
20011401	4001	23.7	7.4	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Slime_Rock_02	3021	assist01				18	11	101017	65	0		0		100017		
20011501	4001	62.7	23.7	27.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Slime_Rock_03	3021	assist01				18	11	101017	80	101017	55	101017	25	100027		
22010101	4001	41.3	59.2	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Abyss_Fire_01	2001	scout01	50004006			18	11	101021	80	101021	40			100021		
22010201	4001	41.3	59.2	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Abyss_Ice_01	2003	scout01	50004007			18	11	101026	80	101026	40			100026		
22010301	4001	41.3	59.2	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Abyss_Water_01		scout01	50004008			18	11	101022	80	101022	40			100022		
21030101	4001	16.3	29.6	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Shaman_Water_01		scout01	50004009			18	11	101012	65	0		0		100012		
21030201	4001	16.3	29.6	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Shaman_Grass_01		scout01	50004010			18	11	101013	65	0		0		100013		
21030301	4001	16.3	29.6	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Shaman_Wind_01		scout01	50004014			18	11	101015	65	0		0		100015		
23040101	4001	174.1	147.9	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Defender_None_01		scout01				18	11	101030	80	101030	55	101030	25	100030		1
21010801	4001	27.5	7.6	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Hili_Grass_01		assist01	50004004			18	11									
21010102	4001	29.6	29.6	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	1		ConfigMonster_Hili_None_Test		sentry02	50004001			18	11	101010	65					100010		
28010101	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	3		ConfigAnimal_Crab_01		sentry02				0										5
28010102	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	3		ConfigAnimal_Crab_01		sentry02				0										5
28010103	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	3		ConfigAnimal_Crab_01		sentry02				0										5
28020101	2001	3.48	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	1		ConfigAnimal_Fox_01		playing				0	11							110010		4
28020102	2001	3.48	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	1		ConfigAnimal_Fox_01		playing				0	11							110010		4
28020201	2001	3.48	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	1		ConfigAnimal_Squirrel_01		playing				0	11							110010		4
28030101	2001	3.48	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	1		ConfigAnimal_Crane_01		playing				0	11							110020		
28050101	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	3		ConfigAnimal_Wisp_Wind_01		playing				0										4
28010201	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	3		ConfigAnimal_Lizard_01		sentry02				0										5
28010202	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	3		ConfigAnimal_Lizard_01		sentry02				0										5
28010203	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	3		ConfigAnimal_Lizard_01		sentry02				0										5
28010301	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	3		ConfigAnimal_Frog_01		sentry02				0										5
28010302	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	3		ConfigAnimal_Frog_01		sentry02				0										5
28010303	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	3		ConfigAnimal_Frog_01		sentry02				0										5
28020301	2001	10.88	2.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	1		ConfigAnimal_Boar_01		sentry02				0	11							110010		
28020302	2001	3.48	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	1		ConfigAnimal_Boar_01_Small		sentry02				0	11							110010		4
28030301	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	1		ConfigAnimal_Pigeon_01		playing				0	11							110020		4
28030302	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	1		ConfigAnimal_Pigeon_01		playing				0	11							110020		4
28030303	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	1		ConfigAnimal_Pigeon_01		playing				0	11							110020		4
28030304	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	1		ConfigAnimal_Pigeon_01		playing				0	11							110020		4
28030305	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	1		ConfigAnimal_Pigeon_01		playing				0	11							110020		4
28030401	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	1		ConfigAnimal_Tit_01		playing				0	11							110020		5
28030402	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	1		ConfigAnimal_Tit_01		playing				0	11							110020		5
28030403	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	1		ConfigAnimal_Tit_01		playing				0	11							110020		5
28030404	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	1		ConfigAnimal_Tit_01		playing				0	11							110020		5
28040101	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	3		ConfigAnimal_Fish_01		playing				0										5
28040102	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	3		ConfigAnimal_Fish_01		playing				0										5
28040103	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	3		ConfigAnimal_Fish_01		playing				0										5
