ID	类型	重量	排序权重	物件ID	可丢弃	使用等级	武器种类	武器阶数	武器材质	武器Cost	元素类型	武器初始经验	初始技能词缀1	初始技能词缀2	[属性]1类型	[属性]1初始值	[属性]1成长曲线	[属性]2类型	[属性]2初始值	[属性]2成长曲线
12303	4	1	10	50012303	0	8	11	3		1,1,1,1,1		900			4	14.57	2	20	0.03	4
12304	4	1	10	50012304	0	8	11	3		1,1,1,1,1		900			4	14.57	2	20	0.04	4
12305	4	1	10	50012305	0	8	11	3		1,1,1,1,1		900			4	14.57	2	20	0.04	4
12306	4	1	10	50012306	0	8	11	3		1,1,1,1,1		900			4	14.57	2	20	0.04	4
12401	4	1	10	50012401	0	10	11	4		1,1,1,1,1		900	112401		4	17.49	2	20	0.04	4
12402	4	1	10	50012402	0	10	11	4		1,1,1,1,1		900	112402		4	17.49	2	20	0.053	4
12403	4	1	10	50012403	0	10	11	4		1,1,1,1,1		900	112403		4	17.49	2	20	0.04	4
12404	4	1	10	50012404	0	10	11	4		1,1,1,1,1		900	112404		4	17.49	2	20	0.04	4
12405	4	1	10	50012405	0	10	11	4		1,1,1,1,1		900			4	17.49	2	20	0.02	4
12406	4	1	10	50012406	0	10	11	4		1,1,1,1,1		900			4	17.49	2	23	0.053	4
12407	4	1	10	50012407	0	10	11	4		1,1,1,1,1		900			4	17.49	2	20	0.02	4
12408	4	1	10	50012408	0	10	11	4		1,1,1,1,1		900			4	17.49	2	23	0.053	4
12501	4	1	10	50012501	0	10	11	5		1,1,1,1,1		900			4	26.03	31	20	0.081	4
12502	4	1	10	50012502	0	10	11	5		1,1,1,1,1		900			4	26.03	31	23	0.121	4
12503	4	1	10	50012503	0	10	11	5		1,1,1,1,1		900			4	26.03	31	20	0.081	4
12504	4	1	10	50012504	0	10	11	5		1,1,1,1,1		900			4	26.03	31	23	0.121	4
12505	4	1	10	50012505	0	10	11	5		1,1,1,1,1		900			4	26.03	31	20	0.081	4
12506	4	1	10	50012506	0	10	11	5		1,1,1,1,1		900			4	26.03	31	23	0.121	4
13101	4	1	10	50013101	0		13	1		1,1,1,1,1		300			4	7.29	2			
13201	4	1	10	50013201	0		13	2		1,1,1,1,1		600			4	10.93	2			
13301	4	1	10	50013301	0	8	13	3		1,1,1,1,1		900	113301		4	14.57	2	22	0.05	4
13302	4	1	10	50013302	0	8	13	3		1,1,1,1,1		900	113302		4	14.57	2	22	0.05	4
13303	4	1	10	50013303	0	8	13	3		1,1,1,1,1		900			4	14.57	2	22	0.07	4
13401	4	1	10	50013401	0	10	13	4		1,1,1,1,1		900	113401		4	17.49	2	22	0.1	4
13402	4	1	10	50013402	0	10	13	4		1,1,1,1,1		900			4	17.49	2	22	0.053	4
13403	4	1	10	50013403	0	10	13	4		1,1,1,1,1		900			4	17.49	2	22	0.02	4
13404	4	1	10	50013404	0	10	13	4		1,1,1,1,1		900			4	17.49	2	22	0.053	4
13504	4	1	10	50013504	0	10	13	5		1,1,1,1,1		900			4	26.03	31	22	0.15	4
13505	4	1	10	50013505	0	10	13	5		1,1,1,1,1		900			4	26.03	31	23	0.121	4
13506	4	1	10	50013506	0	10	13	5		1,1,1,1,1		900			4	26.03	31	20	0.081	4
14101	4	1	10	50014101	0		10	1		1,1,1,1,1		300			4	7.29	2			
14201	4	1	10	50014201	0		10	2		1,1,1,1,1		600			4	10.93	2			
14301	4	1	10	50014301	0	8	10	3		1,1,1,1,1		900			4	14.57	2	20	0.03	4
14302	4	1	10	50014302	0	8	10	3		1,1,1,1,1		900	114302		4	14.57	2	20	0.02	4
14303	4	1	10	50014303	0	8	10	3		1,1,1,1,1		900	114303		4	14.57	2	20	0.04	4
14304	4	1	10	50014304	0	8	10	3		1,1,1,1,1		900			4	14.57	2	20	0.04	4
14305	4	1	10	50014305	0	8	10	3		1,1,1,1,1		900			4	14.57	2	20	0.04	4
14306	4	1	10	50014306	0	8	10	3		1,1,1,1,1		900			4	14.57	2	20	0.04	4
14401	4	1	10	50014401	0	10	10	4		1,1,1,1,1		900	114401		4	17.49	2	20	0.04	4
14402	4	1	10	50014402	0	10	10	4		1,1,1,1,1		900	114402		4	17.49	2	20	0.04	4
14403	4	1	10	50014403	0	10	10	4		1,1,1,1,1		900	114403		4	17.49	2	20	0.04	4
14404	4	1	10	50014404	0	10	10	4		1,1,1,1,1		900	114404		4	17.49	2	20	0.04	4
14405	4	1	10	50014405	0	10	10	4		1,1,1,1,1		900			4	17.49	2	20	0.02	4
14406	4	1	10	50014406	0	10	10	4		1,1,1,1,1		900			4	17.49	2	20	0.053	4
14407	4	1	10	50014407	0	10	10	4		1,1,1,1,1		900			4	17.49	2	20	0.02	4
14408	4	1	10	50014408	0	10	10	4		1,1,1,1,1		900			4	17.49	2	20	0.053	4
14501	4	1	10	50014501	0	10	10	5		1,1,1,1,1		900			4	26.03	31	20	0.06	4
14502	4	1	10	50014502	0	10	10	5		1,1,1,1,1		900			4	26.03	31	23	0.121	4
14503	4	1	10	50014503	0	10	10	5		1,1,1,1,1		900			4	26.03	31	20	0.081	4
14504	4	1	10	50014504	0	10	10	5		1,1,1,1,1		900			4	26.03	31	23	0.121	4
14505	4	1	10	50014505	0	10	10	5		1,1,1,1,1		900			4	26.03	31	20	0.081	4
14506	4	1	10	50014506	0	10	10	5		1,1,1,1,1		900			4	26.03	31	23	0.121	4
15101	4	1	10	50015101	0		12	1		1,1,1,1,1		300			4	7.29	2			
15201	4	1	10	50015201	0		12	2		1,1,1,1,1		600			4	10.93	2			
15301	4	1	10	50015301	0	8	12	3		1,1,1,1,1		900	115301		4	14.57	2	20	0.02	4
15302	4	1	10	50015302	0	8	12	3		1,1,1,1,1		900	115302		4	14.57	2	20	0.02	4
15303	4	1	10	50015303	0	8	12	3		1,1,1,1,1		900			4	14.57	2	20	0.03	4
15304	4	1	10	50015304	0	8	12	3		1,1,1,1,1		900			4	14.57	2	20	0.04	4
15305	4	1	10	50015305	0	8	12	3		1,1,1,1,1		900			4	14.57	2	20	0.04	4
15306	4	1	10	50015306	0	8	12	3		1,1,1,1,1		900			4	14.57	2	20	0.04	4
15401	4	1	10	50015401	0	10	12	4		1,1,1,1,1		900	115401		4	17.49	2	20	0.04	4
15402	4	1	10	50015402	0	10	12	4		1,1,1,1,1		900	115402		4	17.49	2	20	0.053	4
15403	4	1	10	50015403	0	10	12	4		1,1,1,1,1		900	115403		4	17.49	2	20	0.02	4
15404	4	1	10	50015404	0	10	12	4		1,1,1,1,1		900	115404		4	17.49	2	20	0.053	4
15405	4	1	10	50015405	0	10	12	4		1,1,1,1,1		900			4	17.49	2	20	0.02	4
15406	4	1	10	50015406	0	10	12	4		1,1,1,1,1		900			4	17.49	2	20	0.053	4
15407	4	1	10	50015407	0	10	12	4		1,1,1,1,1		900			4	17.49	2	20	0.02	4
15408	4	1	10	50015408	0	10	12	4		1,1,1,1,1		900			4	17.49	2	20	0.053	4
15501	4	1	10	50015501	0	10	12	5		1,1,1,1,1		900			4	26.03	31	20	0.06	4
15502	4	1	10	50015502	0	10	12	5		1,1,1,1,1		900			4	26.03	31	23	0.121	4
15503	4	1	10	50015503	0	10	12	5		1,1,1,1,1		900			4	26.03	31	20	0.081	4
15504	4	1	10	50015504	0	10	12	5		1,1,1,1,1		900			4	26.03	31	23	0.121	4
15505	4	1	10	50015505	0	10	12	5		1,1,1,1,1		900			4	26.03	31	20	0.081	4
15506	4	1	10	50015506	0	10	12	5		1,1,1,1,1		900			4	26.03	31	23	0.121	4
