等级	[曲线]1类型	[曲线]1运算	[曲线]1值	[曲线]2类型	[曲线]2运算	[曲线]2值	[曲线]3类型	[曲线]3运算	[曲线]3值	[曲线]4类型	[曲线]4运算	[曲线]4值
38	22	2	9.367	32	2	9.367	21	2	7.732	31	2	7.732
39	22	2	9.628	32	2	9.628	21	2	7.938	31	2	7.938
40	22	2	9.892	32	2	9.892	21	2	8.145	31	2	8.145
41	22	2	10.158	32	2	10.158	21	2	8.354	31	2	8.354
42	22	2	10.426	32	2	10.426	21	2	8.565	31	2	8.565
43	22	2	10.696	32	2	10.696	21	2	8.777	31	2	8.777
44	22	2	10.969	32	2	10.969	21	2	8.991	31	2	8.991
45	22	2	11.244	32	2	11.244	21	2	9.206	31	2	9.206
46	22	2	11.522	32	2	11.522	21	2	9.423	31	2	9.423
47	22	2	11.803	32	2	11.803	21	2	9.642	31	2	9.642
48	22	2	12.085	32	2	12.085	21	2	9.862	31	2	9.862
49	22	2	12.371	32	2	12.371	21	2	10.084	31	2	10.084
50	22	2	12.659	32	2	12.659	21	2	10.308	31	2	10.308
51	22	2	12.949	32	2	12.949	21	2	10.534	31	2	10.534
52	22	2	13.243	32	2	13.243	21	2	10.761	31	2	10.761
53	22	2	13.539	32	2	13.539	21	2	10.99	31	2	10.99
54	22	2	13.838	32	2	13.838	21	2	11.221	31	2	11.221
55	22	2	14.139	32	2	14.139	21	2	11.454	31	2	11.454
56	22	2	14.443	32	2	14.443	21	2	11.689	31	2	11.689
57	22	2	14.751	32	2	14.751	21	2	11.925	31	2	11.925
58	22	2	15.061	32	2	15.061	21	2	12.164	31	2	12.164
59	22	2	15.374	32	2	15.374	21	2	12.404	31	2	12.404
60	22	2	15.689	32	2	15.689	21	2	12.647	31	2	12.647
61	22	2	16.008	32	2	16.008	21	2	12.891	31	2	12.891
62	22	2	16.33	32	2	16.33	21	2	13.137	31	2	13.137
63	22	2	16.655	32	2	16.655	21	2	13.385	31	2	13.385
64	22	2	16.983	32	2	16.983	21	2	13.636	31	2	13.636
65	22	2	17.314	32	2	17.314	21	2	13.888	31	2	13.888
66	22	2	17.648	32	2	17.648	21	2	14.143	31	2	14.143
67	22	2	17.985	32	2	17.985	21	2	14.399	31	2	14.399
68	22	2	18.326	32	2	18.326	21	2	14.658	31	2	14.658
69	22	2	18.67	32	2	18.67	21	2	14.918	31	2	14.918
70	22	2	19.017	32	2	19.017	21	2	15.181	31	2	15.181
71	22	2	19.367	32	2	19.367	21	2	15.446	31	2	15.446
72	22	2	19.721	32	2	19.721	21	2	15.714	31	2	15.714
73	22	2	20.078	32	2	20.078	21	2	15.983	31	2	15.983
74	22	2	20.438	32	2	20.438	21	2	16.255	31	2	16.255
75	22	2	20.802	32	2	20.802	21	2	16.529	31	2	16.529
76	22	2	21.169	32	2	21.169	21	2	16.805	31	2	16.805
77	22	2	21.54	32	2	21.54	21	2	17.084	31	2	17.084
78	22	2	21.914	32	2	21.914	21	2	17.364	31	2	17.364
79	22	2	22.292	32	2	22.292	21	2	17.648	31	2	17.648
80	22	2	22.674	32	2	22.674	21	2	17.933	31	2	17.933
81	22	2	23.059	32	2	23.059	21	2	18.221	31	2	18.221
82	22	2	23.447	32	2	23.447	21	2	18.511	31	2	18.511
83	22	2	23.84	32	2	23.84	21	2	18.804	31	2	18.804
84	22	2	24.236	32	2	24.236	21	2	19.099	31	2	19.099
85	22	2	24.636	32	2	24.636	21	2	19.397	31	2	19.397
86	22	2	25.04	32	2	25.04	21	2	19.697	31	2	19.697
87	22	2	25.447	32	2	25.447	21	2	20	31	2	20
88	22	2	25.858	32	2	25.858	21	2	20.305	31	2	20.305
89	22	2	26.274	32	2	26.274	21	2	20.612	31	2	20.612
90	22	2	26.693	32	2	26.693	21	2	20.923	31	2	20.923
