子任务ID	父任务ID	序列	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3复杂参数	[完成条件]3次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2复杂参数	[失败条件]2次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]3类型	[执行]3参数1	[执行]3参数2	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2
35312	353	2		1		1	35205	3											20			1330030024	1										8	35312																												14	35301										
35302	353	3				1	35301	3											107	10067													20		1330030022	1					1		Q353Monster1		3			1		1												14	35302								19	3	133003002,2
35309	353	4				1	35302	3											20			1330030022	1																		1		Q353Monster1		3			1																									
35303	353	5				1	35309	3											107	10006													20		1330030023	1					1		Q353Monster2		3			1		1												14	35303								15	3	133003448
35310	353	6				1	35303	3											20			1330030023	1																		1		Q353Monster2		3			1																									
35304	353	7				1	35310	3											107	10068													20		1330030024	1					1		Q353Monster3		3			1		1												14	35304								15	3	133003449
35311	353	8				1	35304	3											20			1330030024	1																		1		Q353Monster3		3			1	1				16	2	1	16	1	1															
36100	361	1		1		1	35311	3											4	36100																																																			19	3	133003436,1
36101	361	2		1		1	36100	3											4	36101																													1																								
35501	355	1				1	35311	3											4	36101																					1	1	Q301WendyPlay		3																												
35502	355	2			1	1	35501	3		1	36101	3		1	36101	3			6	1022																					1	2	Q355Stone		3			1																									
35503	355	3				1	35502	3											2	35507																					2		1005		3	QuestTarget	2			1																							
35504	355	4				1	35503	3											5	100135																					1		Q355Stone2		3	QuestTarget	1			1																							
35505	355	5				1	35504	3											2	35506																					2		1005		3	QuestTarget	2		1	1																							
35401	354	1				1	35505	3											6	1018																					1		Q354DummySafe		3			1																									
35402	354	2				1	35401	3											2	35404																					2		1002		3	QuestTarget	2			1	1021	1																					
35404	354	3				1	35402	3											20			133003079	1																		1		Q354Center		3	QuestTarget	1			1																					15	3	133003439
35405	354	4		1		1	35404	3											4	35405																																																					
35403	354	5				1	35404	3											6	1103																					1		Q360qq1		3			1	1	1																							
36001	360	1				1	35403	3											20			133003435	1																		1		Q360qq1		3			1		1																					19	3	133003435,1
36003	360	3				1	36001	3											20			133003136	1																		1		Q360qq2		3			1		1																					19	3	133003136,1
36004	360	4				1	36003	3											2	36001																					2		1002							1																							
36005	360	5				1	36004	3											6	1024																					1		Q354Gate		3				1	1			9	0																			
35601	356	1				1	36005	3											2	35601																					2		1002		3	QuestTarget	2			1			2	3	27,28,30,31,32																		
35602	356	2				1	99902	3											6	1037																					2		1002	QuestArrow	3			2	1																								
35603	356	3				1	35601	3											6	1102																					1		Q356Ambor4		3	QuestTarget	1			1																							
35604	356	4				1	35603	3											2	35604																																	8	1																			
35605	356	5		1		1	35604	3											4	35605																					2		1002		3	QuestTarget	1																										
35606	356	6				1	35605	3											6	1037																					1		Q356Target3		3	QuestTarget	1		1																								
35901	359	1		1		1	35725	3											4	35901																													1				22	70020003	0																22	70020003	1
35902	359	2		1		1	35802	3											4	35902																																																					
35903	359	3		1		1	35802	3											4	35903																																																					
35904	359	4		1		1	35802	3											4	35904																																																					
35701	357	1				1	99902	3											2	35701																					2		1002		3	QuestTarget	2			1						11	0		2	3	10												
35702	357	2				1	35701	3											12	70300054																					1		Q356Stone1		3			1																									
35703	357	3				1	35702	3											2	35702																					2		1002		3	QuestTarget	2	2					8	1																			
35704	357	4				1	35703	3											6	1038																					2		1002		3	QuestTarget	1	2																									
35705	357	5				1	35704	3											2	35704																					2		1002		3	QuestTarget	1																										
35706	357	6				1	35705	3											12	70300013																					1		Q357Stone1		3			1																									
35707	357	7				1	35705	3											12	70300046																					1		Q357Stone2		3			1																									
35711	357	8			1	1	35706	3		1	35707	3						2	12	70300039				12	70300047																1		Q357Stone3		3			1																									
35708	357	9				1	35711	3											2	35707																					2		1002		3	QuestTarget	2			1			11	1		10	0																
35709	357	10				1	35708	3											6	1039																					1		QuestKnighthood		3				1																								
35721	357	11		1		1	35606	3											9	2004	67																													1																							
35722	357	12				1	35721	3											20			220020001	1										19	2004																1			10	0								14	35721										
35725	357	13		1		1	35722	3											10	3													19	2004																1												14	35721										
35723	357	14		1		1	35725	3											2	35723																														1																							
35724	357	15				1	35723	3											6	1039																					1		QuestKnighthood		3				1	1																							
35801	358	1				1	35724	3											17	1004																					1		QuestKnighthood		3																												
35802	358	2				1	35801	3											2	35801																					2		1004		1004	QuestTarget	2		1	1																							
30600	306	1				1	35802	3											6	1040																					1		Q306DungeonDoor		3					1																							
30601	306	2				1	30600	3											2	30611																					2		1002		3	QuestTarget	2			1																							
30602	306	3				1	30601	3											9	1001	20																				1		AmborDungeon		3					1																							
30607	306	4		1		1	30602	3											6	1048																																																					
30608	306	5		1		1	30602	3											6	1049																																																					
30609	306	6		1		1	30602	3											6	1050																																																					
30612	306	7		1		1	30602	3											20			220009011	1																																																		
30611	306	8		1		1	30602	3											19	1001																																																					
30603	306	9				1	30602	3											12	70300014													19	1001																												14	30601										
30610	306	10		1		1	30603	3											2	30610													19	1001																												14	30601										
30604	306	11		1		1	30610	3											10	3																													1	1																							
30605	306	12				1	30604	3											2	30602																					2		1002							1																							
30606	306	13		1		1	30605	3																																										1																							
30700	307	1				1	35802	3											6	1041																					1		Q307DungeonDoor		3					1																							
30701	307	2				1	30700	3											2	30711																					2		1004		3	QuestTarget	2			1																							
30702	307	3				1	30701	3											9	1	1																				1		KaeyaDungeon		3					1																							
30710	307	4				1	30702	3										2	2	30712				12	70300015																2		1004		20008	QuestTarget	2						12	2																			
30707	307	5		1		1	30702	3											6	1054																																																					
30708	307	6		1		1	30702	3											6	1055																																																					
30709	307	7		1		1	30702	3											6	1056																																																					
30712	307	8		1		1	30702	3											20			220008001	1																																																		
30711	307	9		1		1	30702	3											19	1																																																					
30703	307	10				1	30702	3											12	70300015													19	1																												14	30701										
30715	307	11		1		1	30703	3											2	30715													19	1																												14	30701										
30713	307	12		1		1	30715	3											4	30713													19	1																												14	30701										
30704	307	13		1		1	30713	3											4	30713																													1	1																							
30705	307	14				1	30704	3											2	30702																					2		1004							1																							
30706	307	15		1		1	30705	3																																										1																							
30800	308	1				1	35802	3											6	1042																					1		Q308DungeonDoor		3					1																							
30801	308	2				1	30800	3											2	30811																					2		1007		3	QuestTarget	2			1																							
30802	308	3				1	30801	3											9	1003	22																				1		LisaDungeon		3					1																							
30810	308	4				1	30802	3										2	2	30812				12	70300016																2		1007		20011	QuestTarget	2						12	3																			
30807	308	5		1		1	30802	3											6	1057																																																					
30808	308	6		1		1	30802	3											6	1058																																																					
30809	308	7		1		1	30802	3											6	1059																																																					
30812	308	8		1		1	30802	3											20			LisaOne	1																																																		
30811	308	9		1		1	30802	3											19	1003																																																					
30803	308	10				1	30802	3											12	70300016													19	1003																			15	3	133001247							14	30801										
30814	308	11		1		1	30803	3											2	30814													19	1003																												14	30801										
30804	308	12		1		1	30814	3											10	3																													1	1																							
30805	308	13				1	30804	3											2	30802																					2		1007							1																							
30806	308	14		1		1	30805	3																																										1																							
30901	309	1		1		1	35802	3										1	11	1001				11	1			11	1003																																												
30903	309	2		1		1	30901	3											10	3																																																					
30904	309	3		1		1	30903	3											4	30904																													1	1			16	7	0	16	8	1															
30902	309	4		1		1	30904	3										2	2	30902				2	30904																2		1005		3	QuestTarget	2			1																							
31101	311	1		1		1	30904	3										2	2	30902				2	30904																2		1005		3	QuestTarget	2		1	1																							
31201	312	1		1		1	30801	3											2	30814																					2		1005		3	QuestTarget	2		1	1																							
31001	310	1				1	30105	3											2	41401			10																		2		1435																														
31002	310	2		1		1	30902	3											2	31013																															1016	1																					
31003	310	3		1		1	30902	3											2	31014																															1020	1																					
31004	310	4		1		1	30902	3											2	31015																															1022	1																					
31005	310	5		1		1	30902	3											2	31016																															1003	1																					
31006	310	6		1		1	30902	3											2	31017																															1014	1																					
31007	310	7		1		1	30902	3											2	31018																															1002	1																					
31008	310	8		1		1	30902	3											2	31019																															1023	1																					
30100	301	1				1	99902	3											6	1002																					1		Q301WendyPlay																														
30101	301	2				1	30100	3											4	3001																														1																							
30102	301	3				1	30101	3											2	30102																					2		1001																														
30103	301	4				1	30102	3											2	30103																					2		1003																														
30104	301	5				1	30103	3											2	30104																					2		1002							1																							
30105	301	6				1	30104	3											4	3002																													1																								
30106	301	7				1	30105	4											2	30105																					2		1002										8	1																			
30107	301					1	30106	4											4	3003																																																					
30108	301					1	30107	3											2	30106																					2		1004							1			11	0																			
30109	301					1	30108	3											4	3004																					2		1004																														
30110	301					1	30109	3											2	30108																					2		1004										1	100001	1																		
30111	301					1	30110	3											4	3005																					2		1004																														
30112	301					1	30111	3											2	30111																					2		1004																														
30113	301					1	30112	3											4	3006																					2		1004																														
30114	301					1	30113	3											2	30113																					2		1004																														
30115	301					1	30114	3											3	21010301			2																		2		1004																														
30116	301					1	30115	3											2	30115																					2		1004																														
30117	301					1	30116	3											4	3007																					2		1004																														
30118	301					1	30117	3											2	30116																					2		1004																														
30400	304	1				1	30105	3											2	30400																					2		1002										8	1		11	0		2	3	10												
30401	304	2				1	30400	3											2	30401																					2		1002																														
30402	304	3				1	30401	3											12	70300013			1																		1		Q304Feather1																														
30403	304	4		1		1	30402	3											4	30402																																																					
30404	304	5				1	30403	3											12	70300013			1																		1		Q304Feather2																														
30405	304	6		1		1	30404	3											4	30403																																																					
30406	304	7				1	30405	3											12	70300013			1																		1		Q304Feather3																														
30407	304	8		1		1	30406	3											4	30404																																																					
30408	304	9				1	30407	3											12	70300013			1																		1		Q304Feather4										11	1																			
30409	304	10				1	30408	3											2	30405																					2		1002						1				13	1																			
30501	305	1				1	30409	3											2	30501																					2		1002							1																							
30502	305	2				1	30501	3											3	21010101			2																		2		1001							1																							
30503	305	3				1	30502	3											2	30502																					2		1001																														
30504	305	4				1	30503	3											4	30504																					2		1004																														
30505	305	5				1	30504	3											2	30503																					2		1004																														
30506	305	6				1	30505	3											2	30504																					2		1006						1	1																							
30302	303	1		1															2	30302																																	2	3	3	3	3	3															
30303	303	2		1															2	30303																																	2	3	4	3	3	2															
30304	303	3		1															2	30304																																	2	3	29	3	3	4															
37001	370	1				1	30904	3											17	1004																					1		QuestKnighthood		3					1																							
37002	370	2				1	37001	3											2	37001																					1		QuestDoorin		1004				1	1																							
37003	370	3		1		1	37001	3											6	1067																														1																							
37101	371	1				1	37002	3											10	3																					1		Q371PaimonTemp		3					1																							
37102	371	2				1	37101	3											2	37101																					2		1243		3	QuestTarget	2			1																							
37103	371	3				1	37102	3											4	37103																					1		Q371WendyFootPrint1		3																												
37104	371	4				1	37103	3											2	37109																					2		1243		3	QuestTarget	2																										
37105	371	5				1	37104	3											4	37105																					1		Q371WendyFootPrint1	30	3																												
37106	371	6				1	37105	3											4	37106																					1		Q371WendyTrigger1	30	3																												
37107	371	7				1	37106	3											4	37107																					1		Q371WendyTrigger2	30	3																												
37108	371	8				1	37107	3											4	37108																					1		Q371WendyTrigger3	30	3																												
37109	371	9				1	37108	3											4	37109																					1		Q371WendyTrigger4	30	3																												
37110	371	10				1	37109	3											4	37110																					1		Q371WendyTrigger5	30	3																												
37111	371	11				1	37110	3											4	37111																					1		Q371WendyTrigger6	30	3																												
37112	371	12				1	37111	3											4	37112																					1		Q371WendyTrigger7	30	3																												
37113	371	13				1	37112	3											4	37113																					1		Q371WendyTrigger8	30	3				1																								
37114	371	14		1		1	37108	3											6	1094																																																					
37115	371	15		1		1	37114	3		2	37109	3							2	37115																																																					
37201	372	1				1	37113	3											2	37201																					2		1160		3	QuestTarget	1				100164	1	1	100135	1																		
37202	372	2		1		1	37204	3											4	37202																					2		1160							1																							
37203	372	3				1	37201	3											2	37205																					2		1160		3	QuestTarget	2			1																							
37204	372	4				1	37203	3											17	1008																					1		QuestChurchMark		3				1	1																							
37301	373	1				1	99902	3											17	1008																					1		QuestChurchMark							1																							
37302	373	2				1	37301	3											2	37301																					2		1001							1																							
37303	373	3				1	37302	3											2	37302																					2		1001						1	1																							
37401	374	1				1	37204	3											6	1028																					2		1001		1008	QuestTarget	2			1																							
37402	374	2				1	37401	3											2	37402																					2		1001		1008	QuestTarget	2			1																							
37403	374	3		1		1	37402	3											4	37403																					2		1001		1008	QuestTarget	2			1																							
37404	374	4				1	37403	3											2	37403																					2		1001		1008	QuestTarget	2			1																							
37405	374	5		1		1	37404	3											4	37405																					2		1161		1008	QuestTarget	2			1																							
37406	374	6				1	37405	3											2	37404																					2		1161		1008	QuestTarget	2		1	1																							
37501	375	1				1	37406	3											2	37501																					2		1001		1008	QuestTarget	2			1			2	1008	1																		
37502	375	2				1	37501	3											6	1043																					1		QuestMarkSteal		1008					1																							
37503	375	3				1	37502	3											6	1044													8	37503							1		Harp		1005	QuestTarget	1			1																							
37504	375	4		1		1	37503	4											4	37504																					1		QuestChurchMark		3					1			14	37502																			
37505	375	5		1		1	37503	3											4	37505																					1		QuestChurchMark		3					1			17	1008	1																		
37506	375	6		1		1	37505	3											10	3																					1		QuestChurchMark		3					1																							
37507	375	7		1		1	37506	3											4	37506																					1		QuestChurchMark		3				1	1																							
42101	421	1		1		1	37204	3											2	37503																														1																							
42102	421	2		1		1	42101	3											4																																		14	42101																			
42103	421	3		1		1	37506	3											17	1008																																																					
42104	421	4		1		1	42103	3											4																														1	1																							
37601	376	1				1	37506	3											6	1031																					1		Q375RunStart		3			1		1			17	3	31	17	3	32															
37602	376	2				1	37601	3											6	1070												2	8	37602			21				1		QuestBarUI		3			1					2	3	31	2	3	32															
37603	376	3		1		1	37602	4											4																																		14	37601																			
37604	376	4				1	37602	3											17	1009																					1		QuestBarEnter		3			1		1																							
37605	376	5		1		1	37604	3											2	37604																					2		1009		1009	QuestTarget	2			1																							
37606	376	6				1	37605	3											6	1034																					1		Q376Hide		1009	QuestTarget	1			1																							
37607	376	7		1		1	37606	3											2	37606																					2		1009		1009	QuestTarget	2			1																							
37608	376	8				1	37607	3											2	37607																					2		1009		1009	QuestTarget	2		1	1																							
37701	377	1				1	37608	3											10	3																					1		QuestBarExit		1009					1																							
37702	377	2				1	37701	3											18	1		0,24																												1																							
37703	377	3				1	37702	3											18	0		0,6																												1																							
37704	377	4				1	37703	3											4	37704													18	0	6,23						1		QuestBarUI		3	QuestTarget	1			1												14	37703										
37705	377	5				1	37704	3											2	37702																					2		1009		1009	QuestTarget	2		1	1																							
37801	378	1		1		1	37705	3											18	0		0,24																												1																							
37802	378	2				1	37801	3											4	37802																					1		Q378Qin1		3					1												14	37801										
37803	378	3				1	37802	3											2	37801																					2		1006		3	QuestTarget	2			1																							
37804	378	4				1	37803	3											4	37804												2	8	37804			21				2		1006	QuestArrow	3			2														14	37803										
37805	378	5				1	37804	3											2	37803																					2		1008		3	QuestTarget	2		1	1																							
39501	395	1		1		1	37805	3											18	0		0,24																												1																							
39502	395	2				1	39501	3											4																						1		Q395BBR		3					1												14	39501										
39503	395	3				1	39502	3											2	39503																					2		1008		3	QuestTarget	2		1	1	100161	1																					
37901	379	1				1	39503	3											17	1009																					1		QuestBarUI		3	QuestTarget	1			1																							
37902	379	2		1		1	37901	3											2	37902																					2		1001		1009	QuestTarget	2			1																							
37903	379	3				1	37902	3											4	37903																					2		1001		1009	QuestTarget	2			1	100162	1	1	100161	1	1	100164	1															
37904	379	4				1	37903	3											2	37904																					2		1006		1009	QuestTarget	2		1	1																							
38501	385	1		1		1	99902	3											4	38501																					2		1469		3	QuestTarget	2																										
38601	386	1				1	31101	3											2	38601																					2		1469		3	QuestTarget	2			1																							
38602	386	2				1	38601	3											20			133002105	1																		1		Q386Target1	70	3				1	1																					19	3	133002150,1
38701	387	1			1	1	38410	3		1	38601	3							2	38701																					2		1469		3	QuestTarget	2			1																							
38702	387	2				1	38701	3											11	4004																					1		Q387Target1		3				1	1																							
38001	380	1				1	37904	3											4	38001																					1		DUMMY_POS 3003390	40	3			1		1			15	3	133003151																		
38002	380	2				1	38001	3											7	133003151																					1		DUMMY_POS 3003390	40	3			1																									
38003	380	3				1	38002	3											5	100158																					1		Quest380		3	QuestTarget	1			1																							
38004	380	4		1		1	38003	3											2	38004																													1	1																							
38101	381	1				1	37904	3											4	38101																					1		Q381DragonTill		3					1			1	100160	1																		
38102	381	2				1	38101	3											9	10	40																				1		Q381DragonTill		3					1																							
38103	381	3				1	38102	3											20			DragonTear	1										19	10							1		DUMMY_POS 1006001		1006					1												14	38101										
38104	381	4				1	38103	3											5	100160													19	10							1		DUMMY_POS 1006002		1006					1												14	38101										
38105	381	5		1		1	38104	3											2	38105													19	10															1	1												14	38101										
38201	382	1				1	37904	3										2	6	1065				6	1066																1		Q382DragonTill		3					1																							
38202	382	2				1	38201	3											5	100159																					1		Q382DragonTillChest		3	QuestTarget	1			1																					19	3	133001249,2
38203	382	3		1		1	38202	3											4	38203																													1	1																							
38301	383	1			1	1	38004	3		1	38105	3		1	38202	3			6	1035																					1		Q383Mark		3																												
38302	383	2				1	38301	3											2	38302																					2		1006		3	QuestTarget	2			1																							
38303	383	3				1	38302	3											4																						2		1001		3	QuestTarget	2			1	100163	1	1	100162	1	18	100158:1,100159:1,100160:1																
38304	383	4		1		1	38303	3											2	38304																					2		1006		3	QuestTarget	2		1	1																							
38401	384	1		1		1	38304	3											18	0		0,24																												1																							
38402	384	2				1	38401	3											4	38402																					1		Q384Trigger		3					1												14	38401										
38403	384	3				1	38402	3											2	38402																					2		1001		3	QuestTarget	2			1																							
38404	384	4		1		1	38403	3											4	38404																					1		Q384WendyTemp		3					1																							
38405	384	5		1		1	38404	3											2	38404																					2		1001		3	QuestTarget	2			1																							
38406	384	6				1	38405	3											2	38408																					2		1009		3	QuestTarget	2			1																							
38407	384	7		1		1	38406	3											4	38407																					1		Q384Wizard	15	3			1		1																							
38408	384	8				1	38407	3											4	38408																					1		Q384Wizard	15	3			1		1																							
38409	384	9				1	38408	3											7	133002233																					1		Q384WizardMark	15	3			1																							19	3	133002233,2
38410	384	10				1	38409	3											2	38406																					2		1009		3	QuestTarget	2		1	1																							
38806	388	1				1	38410	3											6	1062																					1		Q388Mark1		3					1																							
38801	388	2		1		1	38806	3											4																																		7	133004015																			
38802	388	3				1	38801	3											7	133004015													21								1		Q388Mark2	20	3																												
38805	388	4		1		1	38802	4											4	38805																																	14	38806																			
38803	388	5				1	38802	3											4	38803																														1			15	3	133007001																		
38804	388	6		1		1	38803	3											4	38804																													1																								
38901	389	1		1		1	38804	3											6	1045																																																					
38902	389	2				1	38804	3											6	1046																					1		Q389Target1		3					1																							
38903	389	3		1		1	38902	3											2	38903																																																					
38909	389	4				1	38903	3											6	1099																					1		Q389Target6		3	QuestTarget	1			1																							
38907	389	5				1	38909	3											6	1097																					1		Q389Target4		3	QuestTarget	1			1																							
38904	389	6				1	38907	3											6	1047																					1		Q389Target2		3	QuestTarget	1			1																							
38908	389	7				1	38904	3											6	1098																					1		Q389Target5		3	QuestTarget	1			1																							
38905	389	8				1	38908	3											6	1092																					1		Q389VentiPos2		3	QuestTarget	1			1																							
38906	389	9		1		1	38905	3											2	38906																													1																								
39001	390	1		1		1	38906	3											6	1082																																																					
39002	390	2				1	38906	3											6	1089																					1		Q390OrganPos		3			1		1																							
39003	390	3		1		1	39002	3										2	2	39003				2	39103			2	39203																																												
39009	390	4		1		1	39002	3											4	39009																																	15	3	133007011																		
39010	390	5				1	39003	3											4	39010																					1		Q390Target1	80	3																												
39004	390	6				1	39003	3											20			300701101	1																																																		
39005	390	7				1	39003	3											20			300701102	1																																																		
39006	390	8				1	39003	3											20			300701103	1																																																		
39011	390	9		1		1	39003	3											4	39011																														1																							
39007	390	10		1	1	1	39004	3		1	39005	3		1	39006	3			4	39007																					1		Q390OrganPos		3					1			15	3	133007011																		
39008	390	11				1	39007	3											20			133007124	1																		1		Q390OrganPos		3			1	1	1			15	3	133007052	15	3	133007011															
39101	391	1		1		1	38906	3											6	1083																																																					
39102	391	2				1	38906	3											6	1090																					1		Q391OrganPos		3			1		1																							
39103	391	3		1		1	39102	3										2	2	39003				2	39103			2	39203																																												
39109	391	4		1		1	39102	3											4	39109																																	15	3	133007009																		
39110	391	5				1	39103	3											4	39110																					1		Q391Target1	80	3																												
39104	391	6				1	39103	3											20			300700901	1																																																		
39105	391	7				1	39103	3											20			300700902	1																																																		
39106	391	8				1	39103	3											20			300700903	1																																																		
39111	391	9		1		1	39103	3											4	39111																														1																							
39107	391	10		1	1	1	39104	3		1	39105	3		1	39106	3			4	39107																					1		Q391OrganPos		3					1			15	3	133007009																		
39108	391	11				1	39107	3											20			133007113	1																		1		Q391OrganPos		3			1	1	1			15	3	133007052	15	3	133007009															
39201	392	1		1		1	38906	3											6	1084																																																					
39202	392	2				1	38906	3											6	1091																					1		Q392OrganPos		3			1		1																							
39203	392	3		1		1	39202	3										2	2	39003				2	39103			2	39203																																												
39209	392	4		1		1	39202	3											4	39209																																	15	3	133007012																		
39210	392	5				1	39203	3											4	39210																					1		Q392Target1	80	3																												
39204	392	6				1	39203	3											20			300701201	1																																																		
39205	392	7				1	39203	3											20			300701202	1																																																		
39206	392	8				1	39203	3											20			300701203	1																																																		
39211	392	9		1		1	39203	3											4	39211																														1																							
39207	392	10		1	1	1	39204	3		1	39205	3		1	39206	3			4	39207																					1		Q392OrganPos		3					1			15	3	133007012																		
39208	392	11				1	39207	3											20			133007126	1																		1		Q392OrganPos		3			1	1	1			15	3	133007052	15	3	133007012															
39301	393	1			1	1	39008	3		1	39108	3		1	39208	3			4	39301																																	15	3	133007029																		
39302	393	2				1	39301	3											6	1092																					1		Q389VentiPos2		3					1																							
39303	393	3		1		1	39302	3											2	39301																													1																								
39401	394	1				1	39303	3											9	2001	38																				2		1001		3	QuestTarget	2	2		1																					2	3	38
39404	394	2				1	39401	3											9	2002												2	19	2001			10	3												1			12	5								14	39401										
