AffixID	ID	词缀等级	开启配置1	开启配置2	[增加属性]1类型	[增加属性]1值	[增加属性]2类型	[增加属性]2值
1153011	115301	1	Weapon_Bow_HealAmountHPonEnemyKilled_1					
1153012	115301	2	Weapon_Bow_HealAmountHPonEnemyKilled_2					
1153013	115301	3	Weapon_Bow_HealAmountHPonEnemyKilled_3					
1153014	115301	4	Weapon_Bow_HealAmountHPonEnemyKilled_4					
1153020	115302	0			47	0.15		
1153021	115302	1			47	0.03		
1153022	115302	2			47	0.03		
1153023	115302	3			47	0.03		
1153024	115302	4			47	0.03		
1154010	115401	0	Weapon_Bow_RiseElementDMGWhenEnergyMax_0					
1154011	115401	1	Weapon_Bow_RiseElementDMGWhenEnergyMax_1					
1154012	115401	2	Weapon_Bow_RiseElementDMGWhenEnergyMax_2					
1154013	115401	3	Weapon_Bow_RiseElementDMGWhenEnergyMax_3					
1154014	115401	4	Weapon_Bow_RiseElementDMGWhenEnergyMax_4					
1154020	115402	0	Weapon_Bow_RiseUltimateSkillDMGonAvatarIn_0					
1154021	115402	1	Weapon_Bow_RiseUltimateSkillDMGonAvatarIn_1					
1154022	115402	2	Weapon_Bow_RiseUltimateSkillDMGonAvatarIn_2					
1154023	115402	3	Weapon_Bow_RiseUltimateSkillDMGonAvatarIn_3					
1154024	115402	4	Weapon_Bow_RiseUltimateSkillDMGonAvatarIn_4					
1154030	115403	0	Weapon_Bow_ReduceEnemySubHurtonBranchAttack_0					
1154031	115403	1	Weapon_Bow_ReduceEnemySubHurtonBranchAttack_1					
1154032	115403	2	Weapon_Bow_ReduceEnemySubHurtonBranchAttack_2					
1154033	115403	3	Weapon_Bow_ReduceEnemySubHurtonBranchAttack_3					
1154034	115403	4	Weapon_Bow_ReduceEnemySubHurtonBranchAttack_4					
1154040	115404	0	Weapon_Bow_RiseDMGonBranchAttack_0					
1154041	115404	1	Weapon_Bow_RiseDMGonBranchAttack_1					
1154042	115404	2	Weapon_Bow_RiseDMGonBranchAttack_2					
1154043	115404	3	Weapon_Bow_RiseDMGonBranchAttack_3					
1154044	115404	4	Weapon_Bow_RiseDMGonBranchAttack_4					
1130030	113003	0	Weapon_Pole_Zephyrus_0					
1130031	113003	1	Weapon_Pole_Zephyrus_1					
1130032	113003	2	Weapon_Pole_Zephyrus_2					
1130033	113003	3	Weapon_Pole_Zephyrus_3					
1130034	113003	4	Weapon_Pole_Zephyrus_4					
1133010	113301	0	Weapon_Pole_NormalAttackUpUnlessBeinghit_0					
1133011	113301	1	Weapon_Pole_NormalAttackUpUnlessBeinghit_1					
1133012	113301	2	Weapon_Pole_NormalAttackUpUnlessBeinghit_2					
1133013	113301	3	Weapon_Pole_NormalAttackUpUnlessBeinghit_3					
1133014	113301	4	Weapon_Pole_NormalAttackUpUnlessBeinghit_4					
1133020	113302	0	Weapon_Pole_ExtraDamageWhenCDReady_0					
1133021	113302	1	Weapon_Pole_ExtraDamageWhenCDReady_1					
1133022	113302	2	Weapon_Pole_ExtraDamageWhenCDReady_2					
1133023	113302	3	Weapon_Pole_ExtraDamageWhenCDReady_3					
1133024	113302	4	Weapon_Pole_ExtraDamageWhenCDReady_4					
1134010	113401	0	Weapon_Pole_DamageUpToWaterEnemy_0					
1134011	113401	1	Weapon_Pole_DamageUpToWaterEnemy_1					
1134012	113401	2	Weapon_Pole_DamageUpToWaterEnemy_2					
1134013	113401	3	Weapon_Pole_DamageUpToWaterEnemy_3					
1134014	113401	4	Weapon_Pole_DamageUpToWaterEnemy_4					
2100010	210001	0			2	80		
2100011	210001	1			2	120		
2100020	210002	0			5	6		
2100021	210002	1			5	9		
2100030	210003	0			8	4		
2100031	210003	1			8	6		
2100040	210004	0			20	0.05		
2100041	210004	1			20	0.07		
2100050	210005	0			22	0.11		
2100051	210005	1			22	0.16		
2100060	210006	0			24	0.06		
2100061	210006	1			24	0.09		
2100070	210007	0			25	0.06		
2100071	210007	1			25	0.09		
2100080	210008	0			21	0.06		
2100081	210008	1			21	0.09		
2100090	210009	0			3	0.09		
2100091	210009	1			3	0.13		
2100100	210010	0			6	0.09		
2100101	210010	1			6	0.13		
2100110	210011	0			9	0.1		
2100111	210011	1			9	0.15		
2100120	210012	0			23	0.1		
2100121	210012	1			23	0.15		
2100130	210013	0			26	0.1		
2100131	210013	1			26	0.15		
2140010	214001	0			3	0.08		
2140011	214001	1			56	0.16		
2140020	214002	0			3	0.08		
2140021	214002	1			51	0.16		
2140030	214003	0			3	0.08		
2140031	214003	1			50	0.16		
2140040	214004	0			9	0.08		
2140041	214004	1			27	0.24		
2150010	215001	0			6	0.08		
2150011	215001	1	Relic_FighterAttackUp_Lv5					
2150020	215002	0			6	0.08		
2150021	215002	1	Relic_RangerAttackUp_Lv5					
2150030	215003	0			6	0.08		
2150031	215003	1	Relic_ElementDamageUpWhenChangeChar_Lv5					
2150040	215004	0			23	0.08		
2150041	215004	1			46	0.12		
2150050	215005	0			23	0.08		
2150051	215005	1			41	0.12		
2150060	215006	0			23	0.08		
2150061	215006	1			40	0.12		
2150070	215007	0			23	0.08		
2150071	215007	1	Relic_AttackUpAfterElementBall_Lv5					
2150080	215008	0			20	0.04		
2150081	215008	1			22	0.2		
