天赋ID	天赋组ID	等级	升级消耗金币	前置天赋1	前置天赋2	突破等级	角色等级	消耗天赋点类型	消耗天赋点数	[增加属性]1类型	[增加属性]1值	[增加属性]2类型	[增加属性]2值	筛选条件1	筛选条件2	开启天赋配置	是否队长技
1711	171	1	23	1641		0	1	2	1							Player_Rock_Avalanche_1	
1712	171	2	23	1711		0	1	2	1							Player_Rock_Avalanche_2	
1713	171	3	23	1712		0	1	2	2							Player_Rock_Avalanche_3	
2011	201	1	23			0	1	1	1	41	0.05	51	0.06				1
2012	201	2	23	2011		0	1	1	1	41	0.05	51	0.03				1
2013	201	3	23	2012		0	1	1	1	41	0.05	51	0.03				1
2014	201	4	23	2013		0	1	1	1	41	0.05	51	0.03				1
2021	202	1	23	2011		0	1	1	1							Razor_RunningWild_1	
2022	202	2	23	2021		0	1	1	1							Razor_RunningWild_2	
2023	202	3	23	2022		0	1	1	2							Razor_RunningWild_3	
2031	203	1	23	2011		0	1	1	1							Razor_CombatReadiness_1	
2032	203	2	23	2031		0	1	1	1							Razor_CombatReadiness_2	
2033	203	3	23	2032		0	1	1	2							Razor_CombatReadiness_3	
2041	204	1	23	2011		0	1	1	1							Razor_ChargedBlade_1	
2042	204	2	23	2041		0	1	1	1							Razor_ChargedBlade_2	
2043	204	3	23	2042		0	1	1	2							Razor_ChargedBlade_3	
2051	205	1	23	2011		0	1	2	1							Razor_Capacitor_1	
2052	205	2	23	2051		0	1	2	1							Razor_Capacitor_2	
2053	205	3	23	2052		0	1	2	2							Razor_Capacitor_3	
2061	206	1	23	2011		0	1	2	1							Razor_ArcaneFeast_1	
2062	206	2	23	2061		0	1	2	1							Razor_ArcaneFeast_2	
2063	206	3	23	2062		0	1	2	2							Razor_ArcaneFeast_3	
2071	207	1	23	2011		0	1	2	1							Razor_ElectrifiedScar_1	
2072	207	2	23	2071		0	1	2	1							Razor_ElectrifiedScar_2	
2073	207	3	23	2072		0	1	2	2							Razor_ElectrifiedScar_3	
2081	208	1	23	2011		0	1	2	1							Razor_FlashStrike_1	
2082	208	2	23	2081		0	1	2	1							Razor_FlashStrike_2	
2083	208	3	23	2082		0	1	2	2							Razor_FlashStrike_3	
2211	221	1	23			0	1	1	2	24	0.1			5			1
2212	221	2	23	2211		0	1	1	2	24	0.1			5			1
2221	222	1	23	2211		0	1	1	1							Venti_FlyChampion_1	
2222	222	2	23	2221		0	1	1	1							Venti_FlyChampion_2	
2223	222	3	23	2222		0	1	1	1							Venti_FlyChampion_3	
2224	222	4	23	2223		0	1	1	1							Venti_FlyChampion_4	
2231	223	1	23	2211		0	1	1	1							Venti_Shooter_1	
2232	223	2	23	2231		0	1	1	1							Venti_Shooter_2	
2233	223	3	23	2232		0	1	1	1							Venti_Shooter_3	
2234	223	4	23	2233		0	1	1	1							Venti_Shooter_4	
2241	224	1	23	2211		0	1	2	1							Venti_KageBunshinShoot_1	
2242	224	2	23	2241		0	1	2	1							Venti_KageBunshinShoot_2	
2243	224	3	23	2242		0	1	2	2							Venti_KageBunshinShoot_3	
2251	225	1	23	2211		0	1	2	1							Venti_Enhanced_WindBlade_1	
2252	225	2	23	2251		0	1	2	1							Venti_Enhanced_WindBlade_2	
2253	225	3	23	2252		0	1	2	2							Venti_Enhanced_WindBlade_3	
2261	226	1	23	2211		0	1	2	1							Venti_Enhanced_Hurricane_1	
2262	226	2	23	2261		0	1	2	1							Venti_Enhanced_Hurricane_2	
2263	226	3	23	2262		0	1	2	2							Venti_Enhanced_Hurricane_3	
2271	227	1	23	2211		0	1	1	1							Venti_Windfury_1	
2272	227	2	23	2271		0	1	1	1							Venti_Windfury_2	
2273	227	3	23	2272		0	1	1	2							Venti_Windfury_3	
2281	228	1	23	2211		0	1	2	1							Venti_Insight_1	
2282	228	2	23	2281		0	1	2	1							Venti_Insight_2	
2283	228	3	23	2282		0	1	2	2							Venti_Insight_3	
2311	231	1	23			0	1	1	1	3	0.06	50	0.06				1
2312	231	2	23	2311		0	1	1	1	3	0.03	50	0.03				1
2313	231	3	23	2312		0	1	1	1	3	0.03	50	0.03				1
2314	231	4	23	2313		0	1	1	1	3	0.03	50	0.03				1
2321	232	1	23	2311		0	1	1	1							Xiangling_Talent_2321	
2322	232	2	23	2321		0	1	1	1							Xiangling_Talent_2322	
2323	232	3	23	2322		0	1	1	2							Xiangling_Talent_2323	
2331	233	1	23	2311		0	1	1	1							Xiangling_Talent_2331	
2332	233	2	23	2331		0	1	1	1							Xiangling_Talent_2332	
2333	233	3	23	2332		0	1	1	2							Xiangling_Talent_2333	
2341	234	1	23	2311		0	1	1	1							Xiangling_Talent_2341	
2342	234	2	23	2341		0	1	1	1							Xiangling_Talent_2342	
2343	234	3	23	2342		0	1	1	2							Xiangling_Talent_2343	
2351	235	1	23	2311		0	1	2	1							Xiangling_Talent_2351	
2352	235	2	23	2351		0	1	2	1							Xiangling_Talent_2352	
2353	235	3	23	2352		0	1	2	2							Xiangling_Talent_2353	
2361	236	1	23	2311		0	1	2	1							Xiangling_Talent_2361	
2362	236	2	23	2361		0	1	2	1							Xiangling_Talent_2362	
2363	236	3	23	2362		0	1	2	2							Xiangling_Talent_2363	
2371	237	1	23	2311		0	1	2	1							Xiangling_Talent_2371	
2372	237	2	23	2371		0	1	2	1							Xiangling_Talent_2372	
2373	237	3	23	2372		0	1	2	2							Xiangling_Talent_2373	
2381	238	1	23	2311		0	1	2	1							Xiangling_Talent_2381	
2382	238	2	23	2381		0	1	2	1							Xiangling_Talent_2382	
2383	238	3	23	2382		0	1	2	2							Xiangling_Talent_2383	
211	21	1	23			0	1	1	1	46	0.05	56	0.06				1
212	21	2	23	211		0	1	1	1	46	0.05	56	0.03				1
213	21	3	23	212		0	1	1	1	46	0.05	56	0.03				1
214	21	4	23	213		0	1	1	1	46	0.05	56	0.03				1
221	22	1	23	211		0	1	1	1							Ayaka_RinRenka_1	
222	22	2	23	221		0	1	1	1							Ayaka_RinRenka_2	
223	22	3	23	222		0	1	1	2							Ayaka_RinRenka_3	
231	23	1	23	211		0	1	1	1							Ayaka_IceDance_1	
232	23	2	23	231		0	1	1	1							Ayaka_IceDance_2	
233	23	3	23	232		0	1	1	2							Ayaka_IceDance_3	
241	24	1	23	211		0	1	1	1							Ayaka_Oboro_1	
242	24	2	23	241		0	1	1	1							Ayaka_Oboro_2	
243	24	3	23	242		0	1	1	2							Ayaka_Oboro_3	
251	25	1	23	211		0	1	2	1	23	0.16					Ayaka_HyouShin_1	
252	25	2	23	251		0	1	2	1	23	0.09					Ayaka_HyouShin_2	
253	25	3	23	252		0	1	2	2	23	0.08					Ayaka_HyouShin_3	
261	26	1	23	211		0	1	2	1							Ayaka_YayoiKaeshi_1	
262	26	2	23	261		0	1	2	1							Ayaka_YayoiKaeshi_2	
263	26	3	23	262		0	1	2	2							Ayaka_YayoiKaeshi_3	
271	27	1	23	211		0	1	2	1							Ayaka_EarlyWinter_1	
272	27	2	23	271		0	1	2	1							Ayaka_EarlyWinter_2	
273	27	3	23	272		0	1	2	2							Ayaka_EarlyWinter_3	
281	28	1	23	211		0	1	2	1							Ayaka_EbbAndFlow_1	
282	28	2	23	281		0	1	2	1							Ayaka_EbbAndFlow_2	
283	28	3	23	282		0	1	2	2							Ayaka_EbbAndFlow_3	
2411	241	1	23			0	1	1	1	3	0.06	51	0.05				1
2412	241	2	23	2411		0	1	1	1	3	0.06	51	0.05				1
2413	241	3	23	2412		0	1	1	1	3	0.06	51	0.05				1
2414	241	4	23	2413		0	1	1	1	3	0.06	51	0.05				1
2421	242	1	23	2411		0	1	1	1							Beidou_Talent_2421	
2422	242	2	23	2421		0	1	1	1							Beidou_Talent_2422	
2423	242	3	23	2422		0	1	1	2							Beidou_Talent_2423	
2431	243	1	23	2411		0	1	1	1							Beidou_Talent_2431	
2432	243	2	23	2431		0	1	1	1							Beidou_Talent_2432	
2433	243	3	23	2432		0	1	1	2							Beidou_Talent_2433	
2441	244	1	23	2411		0	1	1	1							Beidou_Talent_2441	
2442	244	2	23	2441		0	1	1	1							Beidou_Talent_2442	
2443	244	3	23	2442		0	1	1	2							Beidou_Talent_2443	
2451	245	1	23	2411		0	1	2	1							Beidou_Talent_2451	
2452	245	2	23	2451		0	1	2	1							Beidou_Talent_2452	
2453	245	3	23	2452		0	1	2	2							Beidou_Talent_2453	
2461	246	1	23	2411		0	1	2	1							Beidou_Talent_2461	
2462	246	2	23	2461		0	1	2	1							Beidou_Talent_2462	
2463	246	3	23	2462		0	1	2	2							Beidou_Talent_2463	
2471	247	1	23	2411		0	1	2	1							Beidou_Talent_2471	
2472	247	2	23	2471		0	1	2	1							Beidou_Talent_2472	
2473	247	3	23	2472		0	1	2	2							Beidou_Talent_2473	
2481	248	1	23	2411		0	1	2	1							Beidou_Talent_2481	
2482	248	2	23	2481		0	1	2	1							Beidou_Talent_2482	
2483	248	3	23	2482		0	1	2	2							Beidou_Talent_2483	
