掉落ID	随机策略	随机次数	子掉落ID	子掉落ID权重
1400500	2		2105	10000
1000104	2		10001041	10000
1100304	2		11003041	10000
1001004	2		10010041	10000
1400604	2		14006041	10000
1000102	2		10001021	10000
1100102	2		11001021	10000
1100302	2		11003021	10000
1001002	2		10010021	10000
1400302	2		14003021	10000
1400402	2		14004021	10000
1400702	2		14007021	10000
1400602	2		14006021	10000
1400502	2		14005021	10000
1200002	2		12000021	7000
1100301	2		11003011	3000
1001001	2		10010011	3000
1400201	2		14002011	3000
1400301	2		14003011	3000
1400401	2		14004011	3000
1400901	2		14009011	3000
1400601	2		14006011	3000
1200001	2		12000011	3000
1000104	2		4002	1000
1100304	2		4002	1000
1001004	2		4002	1000
1400604	2		4002	1000
1000102	2		4001	3000
1100102	2		4001	3000
1100302	2		4001	3000
1001002	2		4001	3000
1400302	2		4001	3000
1400402	2		4001	3000
1400702	2		4001	3000
1400602	2		4001	3000
1400502	2		4001	3000
1200002	2		4001	3000
1100301	2		4001	3000
1001001	2		4001	3000
1400201	2		4001	3000
1400301	2		4001	3000
1400401	2		4001	3000
1400901	2		4001	3000
1400601	2		4001	3000
1200001	2		4001	3000
1000104	2		2001	667
1100304	2		2001	667
1001004	2		2001	667
1400604	2		2001	667
1000104	2		2003	333
1100304	2		2003	333
1001004	2		2003	333
1400604	2		2003	333
1000109	2		10001090	10000
1100109	2		11001090	10000
1100309	2		11003090	10000
1200009	2		12000090	10000
403100	2		4031000	10000
403101	2		4031010	10000
403102	2		4031020	10000
403103	2		4031030	10000
403104	2		4031040	10000
403105	2		4031050	10000
403120	2		4031200	10000
403121	2		4031210	10000
403122	2		4031220	10000
403123	2		4031230	10000
403124	2		4031240	10000
403125	2		4031250	10000
403140	2		4031400	10000
403141	2		4031410	10000
403142	2		4031420	10000
403143	2		4031430	10000
403144	2		4031440	10000
403145	2		4031450	10000
403220	2		4032200	10000
403221	2		4032210	10000
403222	2		4032220	10000
403223	2		4032230	10000
403224	2		4032240	10000
403225	2		4032250	10000
403240	2		4032400	10000
403241	2		4032410	10000
403242	2		4032420	10000
403243	2		4032430	10000
403244	2		4032440	10000
403245	2		4032450	10000
403300	2		4033000	10000
403301	2		4033010	10000
403302	2		4033020	10000
403303	2		4033030	10000
403304	2		4033040	10000
403305	2		4033050	10000
403320	2		4033200	10000
403321	2		4033210	10000
403322	2		4033220	10000
403323	2		4033230	10000
403324	2		4033240	10000
403325	2		4033250	10000
403340	2		4033400	10000
403341	2		4033410	10000
403342	2		4033420	10000
403343	2		4033430	10000
403344	2		4033440	10000
403345	2		4033450	10000
403100	2		4031001	10000
403101	2		4031011	10000
403102	2		4031021	10000
403103	2		4031031	10000
403104	2		4031041	10000
403105	2		4031051	10000
403120	2		4031201	10000
403121	2		4031211	10000
403122	2		4031221	10000
403123	2		4031231	10000
403124	2		4031241	10000
403125	2		4031251	10000
403140	2		4031401	10000
403141	2		4031411	10000
403142	2		4031421	10000
403143	2		4031431	10000
403144	2		4031441	10000
403145	2		4031451	10000
403220	2		4032201	10000
403221	2		4032211	10000
403222	2		4032221	10000
403223	2		4032231	10000
403224	2		4032241	10000
403225	2		4032251	10000
403240	2		4032401	10000
403241	2		4032411	10000
403242	2		4032421	10000
403243	2		4032431	10000
403244	2		4032441	10000
403245	2		4032451	10000
403300	2		4033001	10000
403301	2		4033011	10000
403302	2		4033021	10000
403303	2		4033031	10000
403304	2		4033041	10000
403305	2		4033051	10000
403320	2		4033201	10000
403321	2		4033211	10000
403322	2		4033221	10000
403323	2		4033231	10000
403324	2		4033241	10000
403325	2		4033251	10000
403340	2		4033401	10000
403341	2		4033411	10000
403342	2		4033421	10000
403343	2		4033431	10000
403344	2		4033441	10000
403345	2		4033451	10000
403102	2		2000	2000
403103	2		2011	4000
403104	2		2012	4000
403105	2		2012	4000
403122	2		2000	3000
403123	2		2021	6000
403124	2		2022	6000
403125	2		2022	6000
403142	2		2000	5000
403143	2		2031	10000
403144	2		2032	10000
403145	2		2032	10000
403222	2		2000	2000
403223	2		2011	4000
403224	2		2012	4000
403225	2		2012	4000
403242	2		2000	3000
403243	2		2021	6000
403244	2		2022	6000
403245	2		2022	6000
403342	2		2000	2000
403343	2		2011	4000
403344	2		2012	4000
403345	2		2012	4000
403102	2		4101	2000
403103	2		4102	2000
403104	2		4102	2000
403105	2		4102	2000
403122	2		4101	2000
403123	2		4102	2000
403124	2		4102	2000
403125	2		4102	2000
403142	2		4101	2000
403143	2		4102	2000
403144	2		4102	2000
403145	2		4102	2000
403222	2		4101	2000
403223	2		4102	2000
403224	2		4102	2000
403225	2		4102	2000
403242	2		4101	2000
403243	2		4102	2000
403244	2		4102	2000
403245	2		4102	2000
403322	2		4101	1500
403323	2		4101	1500
403324	2		4101	1500
403325	2		4101	1500
403342	2		4101	2000
403343	2		4102	2000
403344	2		4102	2000
403345	2		4102	2000
303000			3030010	10000
403101	2		4031012	10000
403102	2		4031022	10000
403103	2		4031032	10000
403104	2		4031042	10000
403105	2		4031052	10000
403121	2		4031212	10000
403122	2		4031222	10000
403123	2		4031232	10000
403124	2		4031242	10000
403125	2		4031252	10000
403141	2		4031412	10000
403142	2		4031422	10000
403143	2		4031432	10000
403144	2		4031442	10000
403145	2		4031452	10000
403221	2		4032212	10000
403222	2		4032222	10000
403223	2		4032232	10000
403224	2		4032242	10000
403225	2		4032252	10000
403241	2		4032412	10000
403242	2		4032422	10000
403243	2		4032432	10000
403244	2		4032442	10000
403245	2		4032452	10000
403301	2		4033012	10000
403302	2		4033022	10000
403303	2		4033032	10000
403304	2		4033042	10000
403305	2		4033052	10000
403321	2		4033212	10000
403322	2		4033222	10000
403323	2		4033232	10000
403324	2		4033242	10000
403325	2		4033252	10000
403341	2		4033412	10000
403342	2		4033422	10000
403343	2		4033432	10000
403344	2		4033442	10000
403345	2		4033452	10000
403263	2		4032630	10000
403264	2		4032640	10000
403265	2		4032650	10000
403263	2		4032631	10000
403264	2		4032641	10000
403265	2		4032651	10000
403263	2		4032632	10000
403264	2		4032642	10000
403265	2		4032652	10000
403283	2		4032830	10000
1300400	2		13004000	10000
1300401	2		13004010	10000
1300402	2		13004020	10000
1300404	2		13004040	10000
1300400	2		2331	10000
1300401	2		13004011	10000
1300402	2		13004021	10000
1300404	2		13004041	10000
1300401	2		4001	3000
1300402	2		4001	3000
1300404	2		4002	1000
1300404	2		2003	1000
303126	2		3031260	10000
303126	2		4102	4000
