ID	默认阵营	类型	JSON名称	能否移动	是否有音响	是否能装备	能否交互	视距等级	服务器脚本	ItemJSON名称
70210101	5001	26	SearchPoint		1		1			Default_Item
70216666	5001	26	SceneObj_Chest_DropTest				1		Chest_DropTest	
70220001	5001	19	SceneObj_Environment_GrassMaterial_LeaveStacks		1		1		drop_subfield_test	Default_Item
70220002	5001	19	SceneObj_Environment_GrassMaterial_LeafBlanket		1		1			Default_Item
70220003	5001	19	SceneObj_Environment_WoodenMaterial_BrambleWall01		1		1			Default_Item
70220004	5001	19	SceneObj_CombatInteraction_PumpkinBomb				1			Default_Item
70220005	5001	19	SceneObj_CombatInteraction_BombBox	1						Default_Item
70220006	5001	19	SceneObj_Environment_Rock_StonePillar		1					Default_Item
70220007	5001	19	SceneObj_Environment_Rock_StoneWall		1					Default_Item
70220008	5001	19	SceneObj_Environment_Rock_StonePile		1					Default_Item
70220009	5001	19	SceneObj_Environment_Rock_Stone	1						Default_Item
70220010	5001	19	SceneObj_Amber_WaterAmber		1		1			Default_Item
70220011	5001	33	SceneObj_Amber_WindAmber		1					Default_Item
70220012	5001	33	SceneObj_Amber_WindAmber_Inactive							Default_Item
70220013	5001	19	SceneObj_Environment_WoodenMaterial_WoodenObject		1			4	WoodenBox	Default_Item
70220014	5001	19	SceneObj_Environment_WoodenMaterial_WoodenObject					4	WoodenBox	Default_Item
70220015	5001	19	SceneObj_Environment_GrassMaterial_GrassStacks		1		1	4		Default_Item
70220016	5001	19	SceneObj_Environment_GrassMaterial_GrassStacks		1		1	4		Default_Item
70220017	5001	19	SceneObj_Environment_WoodenMaterial_FirewoodStacks		1		1	4		Default_Item
70220018	5001	19	SceneObj_Environment_Rock_StonePillar		1					Default_Item
70220019	5001	19	SceneObj_Environment_Rock_StonePillar_Unclimbable_UnDestroyable		1					Default_Item
70220020	5001	19	SceneObj_Environment_WoodenMaterial_BrambleWorld		1		1			Default_Item
70220021	5001	19	SceneObj_Environment_Rock_StonePileWorld		1					Default_Item
70220022	5001	19	Oil		1					Default_Item
70220023	5001	19	SceneObj_Environment_GrassMaterial_LeafBlanket02							
70220024	5001	19	SceneObj_Environment_Rock_StonePileWorld		1					Default_Item
70220025	5001	19	SceneObj_Environment_GrassMaterial_LeafBlanket		1					
70270001	5001	19	RainyCloud							Default_Item
70270002	5001	19	WaterAmber_Mist		1					Default_Item
70270003	5001	23	WindAmberField		1					Default_Item
70290001	5001	19	SceneObj_Environment_WoodenMaterial_AppleTree						tree	Default_Item
70290002	5001	19	SceneObj_Environment_WoodenMaterial_AppleTree		1				tree	Default_Item
70290003	1001	19								Default_Item
70290004	1001	19								Default_Item
70290005	1001	19								
70290006	1001	19								
70290007	1001	19								
70290008	1001	19								
70290009	1001	19								
70290010	1001	19								
70290011	1001	19								
70300001	1001	22	SceneObj_Gather_Default_Gather							Default_Item
70300002	1001	22	SceneObj_Gather_Default_Gather							Default_Item
70300003	1001	19	FlyRaceCoin							Default_Item
70300004	1001	19	FlyRaceCoin							Default_Item
70300005	1001	19	FlyRaceCoin							Default_Item
70300006	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
70300007	1001	22	SceneObj_Gather_Default_Gather							Default_Item
70300008	1001	22	SceneObj_Gather_Default_Gather							Default_Item
70300009	1001	22	SceneObj_Gather_Default_Gather							Default_Item
70300010	1001	22	SceneObj_Gather_Default_Gather							Default_Item
70300011	1001	22	SceneObj_Gather_Default_Gather							Default_Item
70300012	1001	22	SceneObj_Gather_Default_Gather							Default_Item
70300013	5001	19	DragonFeather		1			2		Default_Item
70300014	5001	19	DragonFeather_HP		1			1		DragonFeather_HP
70300015	5001	19	DragonFeather_HP		1			1		DragonFeather_HP
70300016	5001	19	DragonFeather_HP		1			1		DragonFeather_HP
70300017	1001	18	Dummy_Safe	1	1					Default_Item
70300018	5001	19	DragonFeather							Default_Item
70300020	1001	22								Default_Item
70300021	1001	19								Default_Item
70300022	1001	19								Default_Item
70300023	1001	19								Default_Item
70300024	1001	19								Default_Item
70300031	1001	19						2		Default_Item
70300032	1001	19								Default_Item
70300036	1001	3	Sneak_Crouch_Throw	1	1					Default_Item
70300037	1001	19	ElementTrack							Default_Item
70300038	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
70300039	5001	19	DragonFeather					2		Default_Item
70300040	1001	19								Default_Item
70300041	1001	19								Default_Item
70300042	1001	19								Default_Item
70300043	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
70300044	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
70300045	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
70300046	5001	19	DragonFeather					1		Default_Item
70300047	5001	19	TransparentHitSphere					1		TransparentHitSphere
70300048	1001	19								
70300049	1001	19								Default_Item
70300050	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
70300051	5001	19						3		Default_NoDrop_Item
70300052	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
70300053	5001	19	SceneObj_Gear_Platform_NormalPlatform							
70300054	5001	19	DragonFeather_HP		1			1		DragonFeather_HP
70300055	1001	19	SceneObj_Environment_Quest_GrapeStick							Default_Item
70300056	5001	32	DragonFeather_Move	1				1		DragonFeather_Move
70300057	5001	19	Guide_Point_Move	1				3		Guide_Point_Move
70300058	1001	23	AirflowFieldBlue					3		Default_Item
70300059	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
70300060	1001	19								Default_Item
70300061	1001	19								Default_Item
70300062	1001	19								Default_Item
70300063	1001	19								Default_Item
70300064	1001	19	FlyRaceCoin							Default_Item
70300065	1001	22	SceneObj_Gather_Task_VisualEffect							Default_Item
70310001	5001	19	SceneObj_Environment_FireMaterial_FireBasin		1			4	Fire_Source	Default_Item
70310002	5001	19	SceneObj_Environment_FireMaterial_Torch01		1				Fire_Source	Default_Item
70310003	5001	19	SceneObj_Environment_FireMaterial_FireBasin		1			1	Fire_Source	Default_Item
70310004	5001	19	SceneObj_Environment_FireMaterial_Bornfires		1				Fire_Source	Default_Item
70310005	5001	19	GearWater		1					Default_Item
70310006	5001	19	SceneObj_Environment_FireMaterial_CookingPot		1				Fire_Source	Default_Item
70310007	5001	19	SceneObj_Environment_Other_AreaGuardian		1					Default_Item
70310008	5001	19								Default_Item
70310009	5001	19	SceneObj_Environment_FireMaterial_CookingPot		1				Fire_Source	Default_Item
70310010	5001	19	SceneObj_Environment_FireMaterial_CookingPot_NoLight		1				Fire_Source	Default_Item
70320001	5001	25	SceneObj_Gear_Combat_Spray_Fire_Rotating		1				gear_keep_spray	Default_Item
70320002	5001	25	SceneObj_Gear_Combat_Spray_Fire		1				gear_keep_spray	Default_Item
70350001	5001	25	SceneObj_Gear_Gate_DungeonGate01		1					Default_Item
70350002	5001	25	SceneObj_Gear_Gate_DungeonGate02		1			1		Default_Item
70350003	5001	25	SceneObj_Gear_Gate_DungeonGate03		1			1		Default_Item
70350004	5001	25	SceneObj_Gear_Gate_IronFence		1					Default_Item
70350005	5001	25	SceneObj_Gear_Gate_PfDungeon_Door02		1			1		Default_Item
70350006	5001	25	SceneObj_Gear_Gate_IronFence		1					Default_Item
70350007	5001	25	SceneObj_Gear_Gate_HiliSleepingGroup02		1					Default_Item
70360001	5001	30	SceneObj_Gear_Operator_Invisible_Operator				1	4		Default_Item
70360002	5001	30	SceneObj_Gear_Operator_Normal_Operator		1		1			Default_Item
70360003	5001	30	SceneObj_Quest_Clue01				1	2		Default_Item
70380001	0	32	SceneObj_Gear_Platform_NormalPlatform	1	1					
70380002	5001	32	SceneObj_Gear_Platform_MovingTarget	1					Gear_MovingTarget	
70380003	0	32	SceneObj_Gear_Platform_NormalPlatform	1	1					
70500000	1001	21								Default_Item
70500001	1001	21						2		Default_Item
70510001	5001	22	SceneObj_Gather_KapokFlower				1		Gather_KapokFlower	Default_Item
70510002	5001	22	SceneObj_Gather_FireFlower01		1				Gather_FireFlower01	Default_Item
70510003	5001	22	SceneObj_Gather_ElectricRock01		1		1		Gather_ElectricRock01	Default_Item
70510004	5001	22	SceneObj_Gather_Fuchsia01				1			Default_Item
70510005	5100	22	SceneObj_Gather_ElectricRock02		1				Gather_ElectricRock02	Default_Item
70510006	5001	22	SceneObj_Gather_FireFlower02		1				ElementFlora	Default_Item
70510007	5100	22	SceneObj_Gather_IceFlower02		1				ElementFlora	Default_Item
70510008	5001	22	SceneObj_Gather_WaterFlower01		1					Default_Item
70510009	5001	22	SceneObj_Gather_Dandelion		1				ElementFlora	Default_Item
70510010	5001	3	SceneObj_Gather_Dandelion_Flora	1	1					Default_Item
70510011	5001	22	SceneObj_Gather_SlimeFlower		1		1			Default_Item
70520001	5001	22	SceneObj_Gather_Default_Ore		1				SubFieldDrop_Ore_Dig	Default_Item
70520002	5001	22	SceneObj_Gather_Default_Ore		1				SubFieldDrop_Ore_Mithril	Default_Item
70520003	5001	22	SceneObj_Gather_Advance_Ore		1				Gather_Advance_Ore	Default_Item
70520004	1001	22	SceneObj_Gather_Small							SceneObj_Item_Small
70520005	1001	22	SceneObj_Gather_Small							SceneObj_Item_Small
70520006	1001	22	SceneObj_Gather_Small							SceneObj_Item_Small
70520007	1001	22	SceneObj_Gather_Small							SceneObj_Item_Small
70520008	1001	22	SceneObj_Gather_Big							SceneObj_Item_Big
70520009	1001	22	SceneObj_Gather_Big							SceneObj_Item_Big
70520010	1001	22	SceneObj_Gather_Big							SceneObj_Item_Small
70520011	1001	22	SceneObj_Gather_Small							SceneObj_Item_Small
70520012	1001	22	SceneObj_Gather_Small							SceneObj_Item_Small
70520013	1001	22	SceneObj_Gather_Small							SceneObj_Item_Small
70520014	1001	22	SceneObj_Gather_Small							SceneObj_Item_Small
70520015	1001	22	SceneObj_Gather_Small							SceneObj_Item_Small
70520016	1001	22	SceneObj_Gather_Small							SceneObj_Item_Small
70520017	1001	22	SceneObj_Gather_Small							SceneObj_Item_Small
70540001	1001	22	SceneObj_Gather_Small							SceneObj_Item_Small
70540002	1001	22	SceneObj_Gather_Small							SceneObj_Item_Small
70540003	1001	22	SceneObj_Gather_Small							SceneObj_Item_Small
70540004	1001	22	SceneObj_Gather_Small							SceneObj_Item_Small
70540005	1001	22	SceneObj_Gather_Small							SceneObj_Item_Small
70540006	1001	22	SceneObj_Gather_Small							SceneObj_Item_Small
70540007	1001	22	SceneObj_Gather_Small							SceneObj_Item_Small
70560001	1001	22	SceneObj_Gather_Small							SceneObj_Item_Small
70560002	1001	22	SceneObj_Gather_Small							SceneObj_Item_Small
70560003	1001	22	SceneObj_Gather_Small							SceneObj_Item_Small
70560004	1001	22	SceneObj_Gather_Small							SceneObj_Item_Small
70590001	1001	22	SceneObj_Gather_Default_Gather							Default_Item
70590002	1001	22	SceneObj_Gather_Default_Gather							Default_Item
70590003	1001	22	SceneObj_Gather_Small		1					SceneObj_Item_Small
70590004	1001	22	SceneObj_Gather_Radar_Gather		1					SceneObj_Gather_Radar_Gather
70590005	1001	22	SceneObj_Gather_Default_Gather		1					SceneObj_Gather_Default_Gather
70590006	9001	34	SceneObj_Gather_Butterfly				1			SceneObj_Gather_Butterfly
70590007	9001	34	SceneObj_Gather_Butterfly2				1			SceneObj_Gather_Butterfly2
70590008	9001	34	SceneObj_Gather_Firefly				1			SceneObj_Gather_Firefly
70590009	1001	22	SceneObj_Gather_Small							SceneObj_Item_Small
70590010	1001	22	SceneObj_Gather_Big							SceneObj_Item_Big
70590011	1001	19								Default_Mora
70590012	1001	19								Default_UncarvedGem
70590013	1001	22	SceneObj_Gather_Small							SceneObj_Item_Small
70590014	1001	19								Default_UncarvedGem
70590015	1001	19								Default_UncarvedGem
70590016	1001	19								Default_UncarvedGem
70590017	1001	19								Default_UncarvedGem
70590018	1001	19								Default_UncarvedGem
70590019	1001	19								Default_UncarvedGem
70590020	1001	19								Default_UncarvedGem
70600001	1001	19								SceneObj_Item_Small
70600002	1001	19								SceneObj_Item_Small
70600003	1001	19								SceneObj_Item_Small
70600004	1001	19								SceneObj_Item_Small
70600011	1001	19								SceneObj_Item_Small
70600012	1001	19								SceneObj_Item_Small
70600013	1001	19								SceneObj_Item_Small
70600014	1001	19								SceneObj_Item_Small
70600021	1001	19								SceneObj_Item_Small
70600022	1001	19								SceneObj_Item_Small
70600023	1001	19								SceneObj_Item_Small
70600031	1001	19								SceneObj_Item_Small
70600032	1001	19								SceneObj_Item_Small
70600033	1001	19								SceneObj_Item_Small
70600041	1001	19								Lv1_Item
70600042	1001	19								Lv2_Item
70600043	1001	19								Lv3_Item
70600044	1001	19								Lv4_Item
70600045	1001	19								Lv5_Item
70600064	1001	22	SceneObj_Gather_Default_Gather					2		Default_Item
70610001	1001	27	SceneObj_Gather_Element_Ball02							SceneObj_Gather_Element_Ball02
70610002	1001	27	SceneObj_Gather_Element_Ball02							SceneObj_Gather_Element_Ball02
70610003	1001	27	SceneObj_Gather_Element_Ball02							SceneObj_Gather_Element_Ball02
70610004	1001	27	SceneObj_Gather_Element_Ball02							SceneObj_Gather_Element_Ball02
70610005	1001	27	SceneObj_Gather_Element_Ball02							SceneObj_Gather_Element_Ball02
70610006	1001	27	SceneObj_Gather_Element_Ball02							SceneObj_Gather_Element_Ball02
70610007	1001	27	SceneObj_Gather_Element_Ball02							SceneObj_Gather_Element_Ball02
70610008	1001	27	SceneObj_Gather_Element_Ball02							SceneObj_Gather_Element_Ball02
70610009	1001	27	SceneObj_Gather_Element_Ball01							SceneObj_Gather_Element_Ball01
70610010	1001	27	SceneObj_Gather_Element_Ball01							SceneObj_Gather_Element_Ball01
70610011	1001	27	SceneObj_Gather_Element_Ball01							SceneObj_Gather_Element_Ball01
70610012	1001	27	SceneObj_Gather_Element_Ball01							SceneObj_Gather_Element_Ball01
70610013	1001	27	SceneObj_Gather_Element_Ball01							SceneObj_Gather_Element_Ball01
70610014	1001	27	SceneObj_Gather_Element_Ball01							SceneObj_Gather_Element_Ball01
70610015	1001	27	SceneObj_Gather_Element_Ball01							SceneObj_Gather_Element_Ball01
70610016	1001	27	SceneObj_Gather_Element_Ball01							SceneObj_Gather_Element_Ball01
70610101	1001	23								Default_Item
70610102	1001	23								Default_Item
70610103	1001	23								Default_Item
70620001	5001	19	SceneObj_Environment_WindField_PushField01							Default_Item
70620002	5001	19	SceneObj_Environment_WindField_PushField02							Default_Item
70620003	5001	19	SceneObj_Environment_WindField_PushField03							Default_Item
70620004	5001	19	SceneObj_Environment_WindField_DragonNest_Barrier					3		
70620005	5001	19	SceneObj_Environment_WindField_DragonNest_StrongWind					1		Default_Item
70620006	5001	19	SceneObj_Environment_WindField_DragonNest_Tornado_Tiny					1		
70620007	5001	19	SceneObj_Environment_WindField_DragonNest_Barrier					1		
70630001	5001	3	SceneObj_Environment_WindField_DragonNest_Tornado_Bullet	1				2		
70680001	5001	25	SceneObj_Environment_WindField_AirflowAgent							Default_Item
70680002	5001	25	SceneObj_Environment_WindField_AirflowAgent2							Default_Item
70680003	5001	25	SceneObj_Environment_WindField_AirflowAgent3							Default_Item
70680004	5001	25	SceneObj_Environment_WindField_AirflowAgent4							Default_Item
70680005	5001	25	SceneObj_Environment_WindField_AirflowAgent5							Default_Item
70690001	5001	24	SceneObj_Environment_WindField_SpeedupField							Default_Item
70690002	5001	24	SceneObj_Environment_WindField_SpeedupField							Default_Item
70690003	5001	24	SceneObj_Environment_WindField_CannonField							Default_Item
70690004	5001	23	SceneObj_Environment_WindField_AirflowField							Default_Item
70690005	5001	23	SceneObj_Environment_WindField_PeriodWindField							Default_Item
70690006	5001	23	SceneObj_Environment_WindField_PeriodWindField_Continue							Default_Item
70690007	5001	25	SceneObj_Environment_DungeonWindField_Controller							Default_Item
70690008	5001	23	SceneObj_Environment_WindField_PeriodWindField_Continue							Default_Item
70700001	9001	19	SceneObj_Environment_Collision_WallCollision					3		Default_Item
70700002	9001	19	SceneObj_Environment_Collision_WallCollision							Default_Item
70700003	9001	19						2		Default_Item
70700004	9001	19	Env_Mengde_WindDragon_01					3		Env_Mengde_WindDragon_01
70710002	0	32	SceneObj_Gear_Platform_NormalPlatform	1				1		
70710003	0	32	SceneObj_Gear_Platform_NormalPlatform	1				1		
70710004	1001	23	AirflowFieldBlue							Default_Item
70800001	5001	35	SceneObj_Gear_Operator_DragonNest_Seal		1		1	1		Default_NoDrop_Item
70800002	0	19	MsgBoard							Default_Item
70800003	1001	19			1					Default_Item
70800004	5001	19	SceneObj_Environment_Collision_World_Barrier		1			1		
70800005	1001	19	WindDevice01		1			2		
70800006	5001	35	SceneObj_Gear_Operator_IceController						IceController	
70800007	5001	25	Dvalin_Tower_Seal_Ring					2		
70800008	5001	19	SceneObj_Environment_Collision_World_Barrier_M		1			1		
70800009	5001	19	SceneObj_Environment_Collision_World_Barrier_S		1			1		
70800010	5001	19								
70800011	5001	19						2		
70800012	1001	35	SceneObj_Gear_Operator_Seal02		1		1			Default_NoDrop_Item
70900001	1001	22	SceneObj_Gather_Default_Gather							Default_Item
70900002	1001	19								Default_Item
70900003	1001	19	SceneObj_Gather_Gather_Clue					2	Clue_Source	SceneObj_Quest_Clue01
70900005	5001	28	Element_Crystal							Element_Crystal
70900006	5001	25	SceneObj_Gear_Combat_Shooter_Elec		1					Default_Item
70900007	5001	25	SceneObj_Gear_Operator_FireController		1				FireController	
70900008	5001	25	SceneObj_Gear_Operator_ElecController		1				ElecController	
70900009	5001	25	SceneObj_Gear_Operator_IceController		1				IceController	
70900010	5001	25	Test_Rotation02							
70900011	5001	25	Test_Rotation02						Test_Rotation	
70900012	5001	25	SceneObj_Gear_Combat_Test_FM03	1						
70900013	5001	25	SceneObj_Gear_Combat_Test_FM01	1	1				gear_keep_spray	Default_Item
70900014	5001	25								
70900015	5001	25								
70900016	5001	25								
70900017	5001	25								
70900018	5001	25								
70900019	5001	25								
70900022	5001	25								Default_Item
70900023	5001	19	Test_WhiteBox_ThornWall							Default_Item
70900024	5001	19	SceneObj_Environment_WaterMaterial_Poison							Default_Item
70900025	5001	19								
70900026	5001	19	SceneObj_Gear_Gate_DungeonGate01							
70900027	5001	19	SceneObj_Gear_Other_Test_MoveGear	1						
70900028	5001	25	SceneObj_Gear_Other_Test_StayGear							
70900029	9001	18	SceneObj_Gear_Combat_SpikeTrap							Default_Item
70900031	5001	25	SceneObj_Gear_Other_Test_FollowMoveGadget	1			1			Default_Item
70900033	5001	25	SceneObj_Gear_Other_Test_Gravity_Board							
70900034	5001	19	SceneObj_Environment_WindField_DragonNest_Barrier					2		
70900035	5001	19	SceneObj_Environment_WindField_DragonNest_Barrier					2		
70900036	5001	25	SceneObj_Gear_Other_Test_Sculpture							
70900037	5001	25	SceneObj_Gear_Combat_Spray_Fire_Reform							Default_Item
70900038	5001	25	SceneObj_Gear_Combat_ElemCore_Reform	1						Default_Item
70900039	5001	25	SceneObj_Gear_Operator_WindController	1					WindController	
70900040	5001	19	SceneObj_Environment_WoodenMaterial_Barrel							Default_Item
70900041	9001	18	SceneObj_Gear_Combat_GroupTrigger							Default_Item
70900042	5001	25	SceneObj_Resident_ElementView							
70900043	5001	25								
70900044	5001	19	SceneObj_Resident_Fountain					2		
70900045	5001	19	Cold_WhiteBox_ChargeDummy	1				3		Default_Item
70900046	5001	19	Test_WhiteBox_AirFlow_Grass							
70900047	5001	19	Test_WhiteBox_AirFlow_FireGrass							
70900201	5001	19	Guide_Point_UI					2		
70900202	5001	19	Guide_Point_Scene					2		
70900205	5001	19						3		
70900206	5001	25	SceneObj_Gear_Combat_WindCreate_Gear							Default_Item
70900207	6666	25	SceneObj_Gear_Combat_Power_Charge							Default_Item
70900208	6666	25	SceneObj_Gear_Combat_Electric_Pile02							Default_Item
70900209	5001	25	SceneObj_Gear_Other_PowerCharge							Default_Item
70900210	6666	32	SceneObj_Gear_Platform_ElecElf	1						
70900211	5001	32	SceneObj_Gear_Platform_IceElf	1						
70900212	5001	32	SceneObj_Gear_Platform_FireElf	1						
70900213	5001	25	SceneObj_Gear_Combat_Shooter_Laser		1					Default_Item
70900214	5001	3	SceneObj_Gear_Other_Bullet_ShoterGear_Electric	1						Default_Item
70900215	5001	3	SceneObj_Gear_Other_Bullet_ShoterGear_Fire	1						Default_Item
70900216	5001	19	SceneObj_Environment_Rock_StoneWall							
70900217	5001	25	SceneObj_Gear_Combat_DropIce							
70900218	5001	3	SceneObj_Gear_Combat_DropIce_Bullet	1						
70900219	5001	25	SceneObj_Gear_Combat_DropedIce							
70900220	5001	19	SceneObj_Gear_Other_WarmArea							
70900221	5001	25	SceneObj_Gear_Combat_Shooter_Laser_Stable							
70900222	5001	3	SceneObj_Gear_Other_Bullet_ShoterGear_None	1						
70900223	1001	25	SceneObj_Gear_Other_LaserSwitch							
70900224	1001	25	SceneObj_Gear_Other_Electric_Switch							
70900225	0	32	SceneObj_Gear_Platform_NormalPlatform	1	1					
70900226	0	32	SceneObj_Gear_Platform_NormalPlatform	1	1					
70900227	5001	25	SceneObj_Gear_Combat_Shooter_Laser_Moveable							
70900228	0	32	SceneObj_Gear_Platform_NormalPlatform	1	1					
70950001	5001	25	DropLight							
70950002	5001	3	DropLight_Bullet	1						
70950003	5001	3	DropLight_Bullet02	1						
70950004	5001	25	SceneObj_Gear_Other_SpeedUper							Default_Item
71000004	5001	19	SceneObj_Amber_RockAmber							Default_Item
71700001	9001	19	SceneObj_Environment_Bulletin1		1					Default_NoDrop_Item
71700002	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
71700003	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
71700004	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
71700005	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
71700006	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
71700007	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
71700008	9001	19	SceneObj_Environment_Bulletin2		1					Default_NoDrop_Item
71700009	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
71700010	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
71700011	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
71700012	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
71700013	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
71700014	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
71700015	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
71700016	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
71700017	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
71700018	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
71700019	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
71700020	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
71700021	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
71700022	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
71700023	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
71700024	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
71700025	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
71700026	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
71700027	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
71700028	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
71700029	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
71700030	1001	22	SceneObj_Gather_Default_Gather							Default_NoDrop_Item
80000001	0	18	Drop_HP							Default_Item
90000001	0	6	Camera							Default_Item
90000002	0	6	AccountPlayer							Default_Item
90000003	0	19	NPC_Guide_Paimon	1	1					Default_Item
