ID	类型	重量	排序权重	物件ID	可丢弃	使用等级	圣遗物类别	阶数	主属性库ID	追加属性库ID	追加属性初始条数	套装ID	突破等级上限	基础转化经验
52241	3	1	10	70600042	0	0	1	2	4000	201	1	10002	2	2770
52242	3	1	10	70600042	0	0	1	2	4000	201	2	10002	2	3070
52243	3	1	10	70600042	0	0	1	2	4000	201	3	10002	2	3420
52244	3	1	10	70600042	0	0	1	2	4000	201	4	10002	2	3800
52250	3	1	10	70600042	0	8	3	2	1000	201	0	10002	2	2490
52251	3	1	10	70600042	0	8	3	2	1000	201	1	10002	2	2770
52252	3	1	10	70600042	0	8	3	2	1000	201	2	10002	2	3070
52253	3	1	10	70600042	0	8	3	2	1000	201	3	10002	2	3420
52254	3	1	10	70600042	0	8	3	2	1000	201	4	10002	2	3800
53110	3	1	10	70600041	0	12	4	1	5000	101	0	10003	2	1860
53111	3	1	10	70600041	0	12	4	1	5000	101	1	10003	2	2070
53112	3	1	10	70600041	0	12	4	1	5000	101	2	10003	2	2300
53113	3	1	10	70600041	0	12	4	1	5000	101	3	10003	2	2560
53114	3	1	10	70600041	0	12	4	1	5000	101	4	10003	2	2850
53120	3	1	10	70600041	0	0	5	1	2000	101	0	10003	2	1860
53121	3	1	10	70600041	0	0	5	1	2000	101	1	10003	2	2070
53122	3	1	10	70600041	0	0	5	1	2000	101	2	10003	2	2300
53123	3	1	10	70600041	0	0	5	1	2000	101	3	10003	2	2560
53124	3	1	10	70600041	0	0	5	1	2000	101	4	10003	2	2850
53130	3	1	10	70600041	0	10	2	1	3000	101	0	10003	2	1860
53131	3	1	10	70600041	0	10	2	1	3000	101	1	10003	2	2070
53132	3	1	10	70600041	0	10	2	1	3000	101	2	10003	2	2300
53133	3	1	10	70600041	0	10	2	1	3000	101	3	10003	2	2560
53134	3	1	10	70600041	0	10	2	1	3000	101	4	10003	2	2850
53140	3	1	10	70600041	0	0	1	1	4000	101	0	10003	2	1860
53141	3	1	10	70600041	0	0	1	1	4000	101	1	10003	2	2070
53142	3	1	10	70600041	0	0	1	1	4000	101	2	10003	2	2300
53143	3	1	10	70600041	0	0	1	1	4000	101	3	10003	2	2560
53144	3	1	10	70600041	0	0	1	1	4000	101	4	10003	2	2850
53150	3	1	10	70600041	0	8	3	1	1000	101	0	10003	2	1860
53151	3	1	10	70600041	0	8	3	1	1000	101	1	10003	2	2070
53152	3	1	10	70600041	0	8	3	1	1000	101	2	10003	2	2300
53153	3	1	10	70600041	0	8	3	1	1000	101	3	10003	2	2560
53154	3	1	10	70600041	0	8	3	1	1000	101	4	10003	2	2850
53210	3	1	10	70600042	0	12	4	2	5000	201	0	10003	2	2490
53211	3	1	10	70600042	0	12	4	2	5000	201	1	10003	2	2770
53212	3	1	10	70600042	0	12	4	2	5000	201	2	10003	2	3070
53213	3	1	10	70600042	0	12	4	2	5000	201	3	10003	2	3420
53214	3	1	10	70600042	0	12	4	2	5000	201	4	10003	2	3800
53220	3	1	10	70600042	0	0	5	2	2000	201	0	10003	2	2490
53221	3	1	10	70600042	0	0	5	2	2000	201	1	10003	2	2770
53222	3	1	10	70600042	0	0	5	2	2000	201	2	10003	2	3070
53223	3	1	10	70600042	0	0	5	2	2000	201	3	10003	2	3420
53224	3	1	10	70600042	0	0	5	2	2000	201	4	10003	2	3800
53230	3	1	10	70600042	0	10	2	2	3000	201	0	10003	2	2490
53231	3	1	10	70600042	0	10	2	2	3000	201	1	10003	2	2770
53232	3	1	10	70600042	0	10	2	2	3000	201	2	10003	2	3070
53233	3	1	10	70600042	0	10	2	2	3000	201	3	10003	2	3420
53234	3	1	10	70600042	0	10	2	2	3000	201	4	10003	2	3800
53240	3	1	10	70600042	0	0	1	2	4000	201	0	10003	2	2490
53241	3	1	10	70600042	0	0	1	2	4000	201	1	10003	2	2770
53242	3	1	10	70600042	0	0	1	2	4000	201	2	10003	2	3070
53243	3	1	10	70600042	0	0	1	2	4000	201	3	10003	2	3420
53244	3	1	10	70600042	0	0	1	2	4000	201	4	10003	2	3800
53250	3	1	10	70600042	0	8	3	2	1000	201	0	10003	2	2490
53251	3	1	10	70600042	0	8	3	2	1000	201	1	10003	2	2770
53252	3	1	10	70600042	0	8	3	2	1000	201	2	10003	2	3070
53253	3	1	10	70600042	0	8	3	2	1000	201	3	10003	2	3420
53254	3	1	10	70600042	0	8	3	2	1000	201	4	10003	2	3800
54210	3	1	10	70600042	0	12	4	2	5000	201	0	10004	2	2490
54211	3	1	10	70600042	0	12	4	2	5000	201	1	10004	2	2770
54212	3	1	10	70600042	0	12	4	2	5000	201	2	10004	2	3070
54213	3	1	10	70600042	0	12	4	2	5000	201	3	10004	2	3420
54214	3	1	10	70600042	0	12	4	2	5000	201	4	10004	2	3800
54220	3	1	10	70600042	0	0	5	2	2000	201	0	10004	2	2490
54221	3	1	10	70600042	0	0	5	2	2000	201	1	10004	2	2770
54222	3	1	10	70600042	0	0	5	2	2000	201	2	10004	2	3070
54223	3	1	10	70600042	0	0	5	2	2000	201	3	10004	2	3420
54224	3	1	10	70600042	0	0	5	2	2000	201	4	10004	2	3800
54230	3	1	10	70600042	0	10	2	2	3000	201	0	10004	2	2490
54231	3	1	10	70600042	0	10	2	2	3000	201	1	10004	2	2770
54232	3	1	10	70600042	0	10	2	2	3000	201	2	10004	2	3070
54233	3	1	10	70600042	0	10	2	2	3000	201	3	10004	2	3420
54234	3	1	10	70600042	0	10	2	2	3000	201	4	10004	2	3800
54240	3	1	10	70600042	0	0	1	2	4000	201	0	10004	2	2490
54241	3	1	10	70600042	0	0	1	2	4000	201	1	10004	2	2770
54242	3	1	10	70600042	0	0	1	2	4000	201	2	10004	2	3070
54243	3	1	10	70600042	0	0	1	2	4000	201	3	10004	2	3420
54244	3	1	10	70600042	0	0	1	2	4000	201	4	10004	2	3800
54250	3	1	10	70600042	0	8	3	2	1000	201	0	10004	2	2490
54251	3	1	10	70600042	0	8	3	2	1000	201	1	10004	2	2770
54252	3	1	10	70600042	0	8	3	2	1000	201	2	10004	2	3070
54253	3	1	10	70600042	0	8	3	2	1000	201	3	10004	2	3420
54254	3	1	10	70600042	0	8	3	2	1000	201	4	10004	2	3800
54310	3	1	10	70600043	0	12	4	3	5000	301	0	10004	3	3110
54311	3	1	10	70600043	0	12	4	3	5000	301	1	10004	3	3460
54312	3	1	10	70600043	0	12	4	3	5000	301	2	10004	3	3840
54313	3	1	10	70600043	0	12	4	3	5000	301	3	10004	3	4270
54314	3	1	10	70600043	0	12	4	3	5000	301	4	10004	3	4750
54320	3	1	10	70600043	0	0	5	3	2000	301	0	10004	3	3110
54321	3	1	10	70600043	0	0	5	3	2000	301	1	10004	3	3460
54322	3	1	10	70600043	0	0	5	3	2000	301	2	10004	3	3840
54323	3	1	10	70600043	0	0	5	3	2000	301	3	10004	3	4270
54324	3	1	10	70600043	0	0	5	3	2000	301	4	10004	3	4750
54330	3	1	10	70600043	0	10	2	3	3000	301	0	10004	3	3110
54331	3	1	10	70600043	0	10	2	3	3000	301	1	10004	3	3460
54332	3	1	10	70600043	0	10	2	3	3000	301	2	10004	3	3840
54333	3	1	10	70600043	0	10	2	3	3000	301	3	10004	3	4270
54334	3	1	10	70600043	0	10	2	3	3000	301	4	10004	3	4750
54340	3	1	10	70600043	0	0	1	3	4000	301	0	10004	3	3110
54341	3	1	10	70600043	0	0	1	3	4000	301	1	10004	3	3460
54342	3	1	10	70600043	0	0	1	3	4000	301	2	10004	3	3840
54343	3	1	10	70600043	0	0	1	3	4000	301	3	10004	3	4270
54344	3	1	10	70600043	0	0	1	3	4000	301	4	10004	3	4750
54350	3	1	10	70600043	0	8	3	3	1000	301	0	10004	3	3110
54351	3	1	10	70600043	0	8	3	3	1000	301	1	10004	3	3460
54352	3	1	10	70600043	0	8	3	3	1000	301	2	10004	3	3840
54353	3	1	10	70600043	0	8	3	3	1000	301	3	10004	3	4270
54354	3	1	10	70600043	0	8	3	3	1000	301	4	10004	3	4750
55210	3	1	10	70600042	0	12	4	2	5000	201	0	10005	2	2490
55211	3	1	10	70600042	0	12	4	2	5000	201	1	10005	2	2770
55212	3	1	10	70600042	0	12	4	2	5000	201	2	10005	2	3070
55213	3	1	10	70600042	0	12	4	2	5000	201	3	10005	2	3420
55214	3	1	10	70600042	0	12	4	2	5000	201	4	10005	2	3800
55220	3	1	10	70600042	0	0	5	2	2000	201	0	10005	2	2490
55221	3	1	10	70600042	0	0	5	2	2000	201	1	10005	2	2770
55222	3	1	10	70600042	0	0	5	2	2000	201	2	10005	2	3070
55223	3	1	10	70600042	0	0	5	2	2000	201	3	10005	2	3420
55224	3	1	10	70600042	0	0	5	2	2000	201	4	10005	2	3800
55230	3	1	10	70600042	0	10	2	2	3000	201	0	10005	2	2490
55231	3	1	10	70600042	0	10	2	2	3000	201	1	10005	2	2770
55232	3	1	10	70600042	0	10	2	2	3000	201	2	10005	2	3070
55233	3	1	10	70600042	0	10	2	2	3000	201	3	10005	2	3420
55234	3	1	10	70600042	0	10	2	2	3000	201	4	10005	2	3800
55240	3	1	10	70600042	0	0	1	2	4000	201	0	10005	2	2490
55241	3	1	10	70600042	0	0	1	2	4000	201	1	10005	2	2770
55242	3	1	10	70600042	0	0	1	2	4000	201	2	10005	2	3070
55243	3	1	10	70600042	0	0	1	2	4000	201	3	10005	2	3420
55244	3	1	10	70600042	0	0	1	2	4000	201	4	10005	2	3800
55250	3	1	10	70600042	0	8	3	2	1000	201	0	10005	2	2490
55251	3	1	10	70600042	0	8	3	2	1000	201	1	10005	2	2770
55252	3	1	10	70600042	0	8	3	2	1000	201	2	10005	2	3070
55253	3	1	10	70600042	0	8	3	2	1000	201	3	10005	2	3420
55254	3	1	10	70600042	0	8	3	2	1000	201	4	10005	2	3800
55310	3	1	10	70600043	0	12	4	3	5000	301	0	10005	3	3110
55311	3	1	10	70600043	0	12	4	3	5000	301	1	10005	3	3460
55312	3	1	10	70600043	0	12	4	3	5000	301	2	10005	3	3840
55313	3	1	10	70600043	0	12	4	3	5000	301	3	10005	3	4270
55314	3	1	10	70600043	0	12	4	3	5000	301	4	10005	3	4750
55320	3	1	10	70600043	0	0	5	3	2000	301	0	10005	3	3110
55321	3	1	10	70600043	0	0	5	3	2000	301	1	10005	3	3460
55322	3	1	10	70600043	0	0	5	3	2000	301	2	10005	3	3840
55323	3	1	10	70600043	0	0	5	3	2000	301	3	10005	3	4270
55324	3	1	10	70600043	0	0	5	3	2000	301	4	10005	3	4750
55330	3	1	10	70600043	0	10	2	3	3000	301	0	10005	3	3110
55331	3	1	10	70600043	0	10	2	3	3000	301	1	10005	3	3460
55332	3	1	10	70600043	0	10	2	3	3000	301	2	10005	3	3840
55333	3	1	10	70600043	0	10	2	3	3000	301	3	10005	3	4270
55334	3	1	10	70600043	0	10	2	3	3000	301	4	10005	3	4750
55340	3	1	10	70600043	0	0	1	3	4000	301	0	10005	3	3110
55341	3	1	10	70600043	0	0	1	3	4000	301	1	10005	3	3460
55342	3	1	10	70600043	0	0	1	3	4000	301	2	10005	3	3840
55343	3	1	10	70600043	0	0	1	3	4000	301	3	10005	3	4270
55344	3	1	10	70600043	0	0	1	3	4000	301	4	10005	3	4750
55350	3	1	10	70600043	0	8	3	3	1000	301	0	10005	3	3110
55351	3	1	10	70600043	0	8	3	3	1000	301	1	10005	3	3460
55352	3	1	10	70600043	0	8	3	3	1000	301	2	10005	3	3840
55353	3	1	10	70600043	0	8	3	3	1000	301	3	10005	3	4270
55354	3	1	10	70600043	0	8	3	3	1000	301	4	10005	3	4750
56210	3	1	10	70600042	0	12	4	2	5000	201	0	10006	2	2490
56211	3	1	10	70600042	0	12	4	2	5000	201	1	10006	2	2770
56212	3	1	10	70600042	0	12	4	2	5000	201	2	10006	2	3070
56213	3	1	10	70600042	0	12	4	2	5000	201	3	10006	2	3420
56214	3	1	10	70600042	0	12	4	2	5000	201	4	10006	2	3800
56220	3	1	10	70600042	0	0	5	2	2000	201	0	10006	2	2490
56221	3	1	10	70600042	0	0	5	2	2000	201	1	10006	2	2770
56222	3	1	10	70600042	0	0	5	2	2000	201	2	10006	2	3070
56223	3	1	10	70600042	0	0	5	2	2000	201	3	10006	2	3420
56224	3	1	10	70600042	0	0	5	2	2000	201	4	10006	2	3800
56230	3	1	10	70600042	0	10	2	2	3000	201	0	10006	2	2490
56231	3	1	10	70600042	0	10	2	2	3000	201	1	10006	2	2770
56232	3	1	10	70600042	0	10	2	2	3000	201	2	10006	2	3070
56233	3	1	10	70600042	0	10	2	2	3000	201	3	10006	2	3420
56234	3	1	10	70600042	0	10	2	2	3000	201	4	10006	2	3800
56240	3	1	10	70600042	0	0	1	2	4000	201	0	10006	2	2490
56241	3	1	10	70600042	0	0	1	2	4000	201	1	10006	2	2770
56242	3	1	10	70600042	0	0	1	2	4000	201	2	10006	2	3070
56243	3	1	10	70600042	0	0	1	2	4000	201	3	10006	2	3420
56244	3	1	10	70600042	0	0	1	2	4000	201	4	10006	2	3800
56250	3	1	10	70600042	0	8	3	2	1000	201	0	10006	2	2490
56251	3	1	10	70600042	0	8	3	2	1000	201	1	10006	2	2770
56252	3	1	10	70600042	0	8	3	2	1000	201	2	10006	2	3070
56253	3	1	10	70600042	0	8	3	2	1000	201	3	10006	2	3420
56254	3	1	10	70600042	0	8	3	2	1000	201	4	10006	2	3800
56310	3	1	10	70600043	0	12	4	3	5000	301	0	10006	3	3110
56311	3	1	10	70600043	0	12	4	3	5000	301	1	10006	3	3460
56312	3	1	10	70600043	0	12	4	3	5000	301	2	10006	3	3840
56313	3	1	10	70600043	0	12	4	3	5000	301	3	10006	3	4270
56314	3	1	10	70600043	0	12	4	3	5000	301	4	10006	3	4750
56320	3	1	10	70600043	0	0	5	3	2000	301	0	10006	3	3110
56321	3	1	10	70600043	0	0	5	3	2000	301	1	10006	3	3460
56322	3	1	10	70600043	0	0	5	3	2000	301	2	10006	3	3840
56323	3	1	10	70600043	0	0	5	3	2000	301	3	10006	3	4270
56324	3	1	10	70600043	0	0	5	3	2000	301	4	10006	3	4750
56330	3	1	10	70600043	0	10	2	3	3000	301	0	10006	3	3110
56331	3	1	10	70600043	0	10	2	3	3000	301	1	10006	3	3460
56332	3	1	10	70600043	0	10	2	3	3000	301	2	10006	3	3840
56333	3	1	10	70600043	0	10	2	3	3000	301	3	10006	3	4270
56334	3	1	10	70600043	0	10	2	3	3000	301	4	10006	3	4750
56340	3	1	10	70600043	0	0	1	3	4000	301	0	10006	3	3110
56341	3	1	10	70600043	0	0	1	3	4000	301	1	10006	3	3460
56342	3	1	10	70600043	0	0	1	3	4000	301	2	10006	3	3840
56343	3	1	10	70600043	0	0	1	3	4000	301	3	10006	3	4270
56344	3	1	10	70600043	0	0	1	3	4000	301	4	10006	3	4750
56350	3	1	10	70600043	0	8	3	3	1000	301	0	10006	3	3110
56351	3	1	10	70600043	0	8	3	3	1000	301	1	10006	3	3460
56352	3	1	10	70600043	0	8	3	3	1000	301	2	10006	3	3840
56353	3	1	10	70600043	0	8	3	3	1000	301	3	10006	3	4270
56354	3	1	10	70600043	0	8	3	3	1000	301	4	10006	3	4750
57210	3	1	10	70600042	0	12	4	2	5000	201	0	10007	2	2490
57211	3	1	10	70600042	0	12	4	2	5000	201	1	10007	2	2770
57212	3	1	10	70600042	0	12	4	2	5000	201	2	10007	2	3070
57213	3	1	10	70600042	0	12	4	2	5000	201	3	10007	2	3420
57214	3	1	10	70600042	0	12	4	2	5000	201	4	10007	2	3800
57220	3	1	10	70600042	0	0	5	2	2000	201	0	10007	2	2490
57221	3	1	10	70600042	0	0	5	2	2000	201	1	10007	2	2770
57222	3	1	10	70600042	0	0	5	2	2000	201	2	10007	2	3070
57223	3	1	10	70600042	0	0	5	2	2000	201	3	10007	2	3420
57224	3	1	10	70600042	0	0	5	2	2000	201	4	10007	2	3800
57230	3	1	10	70600042	0	10	2	2	3000	201	0	10007	2	2490
57231	3	1	10	70600042	0	10	2	2	3000	201	1	10007	2	2770
57232	3	1	10	70600042	0	10	2	2	3000	201	2	10007	2	3070
57233	3	1	10	70600042	0	10	2	2	3000	201	3	10007	2	3420
57234	3	1	10	70600042	0	10	2	2	3000	201	4	10007	2	3800
57240	3	1	10	70600042	0	0	1	2	4000	201	0	10007	2	2490
57241	3	1	10	70600042	0	0	1	2	4000	201	1	10007	2	2770
57242	3	1	10	70600042	0	0	1	2	4000	201	2	10007	2	3070
57243	3	1	10	70600042	0	0	1	2	4000	201	3	10007	2	3420
57244	3	1	10	70600042	0	0	1	2	4000	201	4	10007	2	3800
57250	3	1	10	70600042	0	8	3	2	1000	201	0	10007	2	2490
57251	3	1	10	70600042	0	8	3	2	1000	201	1	10007	2	2770
57252	3	1	10	70600042	0	8	3	2	1000	201	2	10007	2	3070
57253	3	1	10	70600042	0	8	3	2	1000	201	3	10007	2	3420
57254	3	1	10	70600042	0	8	3	2	1000	201	4	10007	2	3800
57310	3	1	10	70600043	0	12	4	3	5000	301	0	10007	3	3110
57311	3	1	10	70600043	0	12	4	3	5000	301	1	10007	3	3460
57312	3	1	10	70600043	0	12	4	3	5000	301	2	10007	3	3840
57313	3	1	10	70600043	0	12	4	3	5000	301	3	10007	3	4270
57314	3	1	10	70600043	0	12	4	3	5000	301	4	10007	3	4750
57320	3	1	10	70600043	0	0	5	3	2000	301	0	10007	3	3110
57321	3	1	10	70600043	0	0	5	3	2000	301	1	10007	3	3460
57322	3	1	10	70600043	0	0	5	3	2000	301	2	10007	3	3840
57323	3	1	10	70600043	0	0	5	3	2000	301	3	10007	3	4270
57324	3	1	10	70600043	0	0	5	3	2000	301	4	10007	3	4750
57330	3	1	10	70600043	0	10	2	3	3000	301	0	10007	3	3110
57331	3	1	10	70600043	0	10	2	3	3000	301	1	10007	3	3460
57332	3	1	10	70600043	0	10	2	3	3000	301	2	10007	3	3840
57333	3	1	10	70600043	0	10	2	3	3000	301	3	10007	3	4270
57334	3	1	10	70600043	0	10	2	3	3000	301	4	10007	3	4750
57340	3	1	10	70600043	0	0	1	3	4000	301	0	10007	3	3110
57341	3	1	10	70600043	0	0	1	3	4000	301	1	10007	3	3460
57342	3	1	10	70600043	0	0	1	3	4000	301	2	10007	3	3840
57343	3	1	10	70600043	0	0	1	3	4000	301	3	10007	3	4270
57344	3	1	10	70600043	0	0	1	3	4000	301	4	10007	3	4750
57350	3	1	10	70600043	0	8	3	3	1000	301	0	10007	3	3110
57351	3	1	10	70600043	0	8	3	3	1000	301	1	10007	3	3460
57352	3	1	10	70600043	0	8	3	3	1000	301	2	10007	3	3840
57353	3	1	10	70600043	0	8	3	3	1000	301	3	10007	3	4270
57354	3	1	10	70600043	0	8	3	3	1000	301	4	10007	3	4750
58210	3	1	10	70600042	0	12	4	2	5000	201	0	10008	2	2490
58211	3	1	10	70600042	0	12	4	2	5000	201	1	10008	2	2770
58212	3	1	10	70600042	0	12	4	2	5000	201	2	10008	2	3070
58213	3	1	10	70600042	0	12	4	2	5000	201	3	10008	2	3420
58214	3	1	10	70600042	0	12	4	2	5000	201	4	10008	2	3800
58220	3	1	10	70600042	0	0	5	2	2000	201	0	10008	2	2490
58221	3	1	10	70600042	0	0	5	2	2000	201	1	10008	2	2770
58222	3	1	10	70600042	0	0	5	2	2000	201	2	10008	2	3070
58223	3	1	10	70600042	0	0	5	2	2000	201	3	10008	2	3420
58224	3	1	10	70600042	0	0	5	2	2000	201	4	10008	2	3800
58230	3	1	10	70600042	0	10	2	2	3000	201	0	10008	2	2490
58231	3	1	10	70600042	0	10	2	2	3000	201	1	10008	2	2770
58232	3	1	10	70600042	0	10	2	2	3000	201	2	10008	2	3070
58233	3	1	10	70600042	0	10	2	2	3000	201	3	10008	2	3420
58234	3	1	10	70600042	0	10	2	2	3000	201	4	10008	2	3800
58240	3	1	10	70600042	0	0	1	2	4000	201	0	10008	2	2490
58241	3	1	10	70600042	0	0	1	2	4000	201	1	10008	2	2770
58242	3	1	10	70600042	0	0	1	2	4000	201	2	10008	2	3070
58243	3	1	10	70600042	0	0	1	2	4000	201	3	10008	2	3420
58244	3	1	10	70600042	0	0	1	2	4000	201	4	10008	2	3800
58250	3	1	10	70600042	0	8	3	2	1000	201	0	10008	2	2490
58251	3	1	10	70600042	0	8	3	2	1000	201	1	10008	2	2770
58252	3	1	10	70600042	0	8	3	2	1000	201	2	10008	2	3070
58253	3	1	10	70600042	0	8	3	2	1000	201	3	10008	2	3420
58254	3	1	10	70600042	0	8	3	2	1000	201	4	10008	2	3800
58310	3	1	10	70600043	0	12	4	3	5000	301	0	10008	3	3110
58311	3	1	10	70600043	0	12	4	3	5000	301	1	10008	3	3460
58312	3	1	10	70600043	0	12	4	3	5000	301	2	10008	3	3840
58313	3	1	10	70600043	0	12	4	3	5000	301	3	10008	3	4270
58314	3	1	10	70600043	0	12	4	3	5000	301	4	10008	3	4750
58320	3	1	10	70600043	0	0	5	3	2000	301	0	10008	3	3110
