等级	[曲线]1类型	[曲线]1运算	[曲线]1值	[曲线]2类型	[曲线]2运算	[曲线]2值	[曲线]3类型	[曲线]3运算	[曲线]3值	[曲线]4类型	[曲线]4运算	[曲线]4值	[曲线]5类型	[曲线]5运算	[曲线]5值	[曲线]6类型	[曲线]6运算	[曲线]6值	[曲线]7类型	[曲线]7运算	[曲线]7值	[曲线]8类型	[曲线]8运算	[曲线]8值
28	1	2	67.88	2	2	11.74	12	2	6.48	4	1	0	9	1	0	10	1	0	11	1	37	14	2	126.37
29	1	2	70.48	2	2	12.15	12	2	6.67	4	1	0	9	1	0	10	1	0	11	1	39	14	2	129.88
30	1	2	72.77	2	2	12.56	12	2	6.89	4	1	0	9	1	0	10	1	0	11	1	41	14	2	133.42
31	1	2	74.73	2	2	12.94	12	2	7.08	4	1	0	9	1	0	10	1	0	11	1	43	14	2	137
32	1	2	76.37	2	2	13.32	12	2	7.29	4	1	0	9	1	0	10	1	0	11	1	45	14	2	140.6
33	1	2	77.67	2	2	13.68	12	2	7.48	4	1	0	9	1	0	10	1	0	11	1	47	14	2	144.22
34	1	2	78.62	2	2	14.02	12	2	7.7	4	1	0	9	1	0	10	1	0	11	1	49	14	2	147.91
35	1	2	79.2	2	2	14.35	12	2	7.89	4	1	0	9	1	0	10	1	0	11	1	51	14	2	151.6
36	1	2	79.8	2	2	14.68	12	2	8.1	4	1	0	9	1	0	10	1	0	11	1	53	14	2	155.31
37	1	2	81.39	2	2	15.25	12	2	8.29	4	1	0	9	1	0	10	1	0	11	1	55	14	2	161.08
38	1	2	83.14	2	2	15.83	12	2	8.51	4	1	0	9	1	0	10	1	0	11	1	57	14	2	166.85
39	1	2	85.03	2	2	16.41	12	2	8.7	4	1	0	9	1	0	10	1	0	11	1	59	14	2	172.71
40	1	2	87.07	2	2	16.99	12	2	8.91	4	1	0	9	1	0	10	1	0	11	1	61	14	2	178.6
41	1	2	89.27	2	2	17.58	12	2	9.1	4	1	0	9	1	0	10	1	0	11	1	69	14	2	184.51
42	1	2	91.62	2	2	18.18	12	2	9.32	4	1	0	9	1	0	10	1	0	11	1	71	14	2	190.48
43	1	2	94.12	2	2	18.78	12	2	9.51	4	1	0	9	1	0	10	1	0	11	1	73	14	2	196.48
44	1	2	96.79	2	2	19.39	12	2	9.72	4	1	0	9	1	0	10	1	0	11	1	75	14	2	202.54
45	1	2	99.61	2	2	20.01	12	2	9.91	4	1	0	9	1	0	10	1	0	11	1	77	14	2	208.65
46	1	2	101.57	2	2	20.38	12	2	10.13	4	1	0	9	1	0	10	1	0	11	1	79	14	2	212.74
47	1	2	103.55	2	2	20.76	12	2	10.32	4	1	0	9	1	0	10	1	0	11	1	81	14	2	216.88
48	1	2	105.54	2	2	21.14	12	2	10.54	4	1	0	9	1	0	10	1	0	11	1	83	14	2	221.02
49	1	2	107.55	2	2	21.53	12	2	10.72	4	1	0	9	1	0	10	1	0	11	1	85	14	2	225.25
50	1	2	109.59	2	2	21.93	12	2	10.94	4	1	0	9	1	0	10	1	0	11	1	87	14	2	229.48
51	1	2	111.64	2	2	22.33	12	2	11.13	4	1	0	9	1	0	10	1	0	11	1	89	14	2	233.77
52	1	2	113.7	2	2	22.73	12	2	11.35	4	1	0	9	1	0	10	1	0	11	1	91	14	2	238.08
53	1	2	115.79	2	2	23.14	12	2	11.54	4	1	0	9	1	0	10	1	0	11	1	93	14	2	242.45
54	1	2	117.9	2	2	23.56	12	2	11.75	4	1	0	9	1	0	10	1	0	11	1	95	14	2	246.85
55	1	2	120.03	2	2	23.97	12	2	11.94	4	1	0	9	1	0	10	1	0	11	1	97	14	2	251.28
56	1	2	122.17	2	2	24.4	12	2	12.16	4	1	0	9	1	0	10	1	0	11	1	99	14	2	255.77
57	1	2	125.83	2	2	25.22	12	2	12.35	4	1	0	9	1	0	10	1	0	11	1	101	14	2	263.71
58	1	2	129.52	2	2	26.05	12	2	12.56	4	1	0	9	1	0	10	1	0	11	1	103	14	2	271.77
59	1	2	133.25	2	2	26.88	12	2	12.75	4	1	0	9	1	0	10	1	0	11	1	105	14	2	279.85
60	1	2	137.02	2	2	27.72	12	2	12.97	4	1	0	9	1	0	10	1	0	11	1	107	14	2	288.05
61	1	2	140.83	2	2	28.57	12	2	13.16	4	1	0	9	1	0	10	1	0	11	1	117	14	2	296.34
62	1	2	144.68	2	2	29.43	12	2	13.37	4	1	0	9	1	0	10	1	0	11	1	119	14	2	304.71
63	1	2	148.57	2	2	30.3	12	2	13.56	4	1	0	9	1	0	10	1	0	11	1	121	14	2	313.17
64	1	2	152.51	2	2	31.18	12	2	13.78	4	1	0	9	1	0	10	1	0	11	1	123	14	2	321.71
65	1	2	156.48	2	2	32.07	12	2	13.97	4	1	0	9	1	0	10	1	0	11	1	125	14	2	330.37
66	1	2	158.89	2	2	32.55	12	2	14.18	4	1	0	9	1	0	10	1	0	11	1	127	14	2	335.37
67	1	2	161.31	2	2	33.05	12	2	14.37	4	1	0	9	1	0	10	1	0	11	1	129	14	2	340.45
68	1	2	163.76	2	2	33.55	12	2	14.59	4	1	0	9	1	0	10	1	0	11	1	131	14	2	345.57
69	1	2	166.23	2	2	34.05	12	2	14.78	4	1	0	9	1	0	10	1	0	11	1	133	14	2	350.71
70	1	2	168.73	2	2	34.57	12	2	15	4	1	0	9	1	0	10	1	0	11	1	135	14	2	355.94
71	1	2	171.25	2	2	35.09	12	2	15.18	4	1	0	9	1	0	10	1	0	11	1	137	14	2	361.2
72	1	2	173.8	2	2	35.61	12	2	15.4	4	1	0	9	1	0	10	1	0	11	1	139	14	2	366.51
73	1	2	176.36	2	2	36.15	12	2	15.59	4	1	0	9	1	0	10	1	0	11	1	141	14	2	371.85
74	1	2	178.95	2	2	36.69	12	2	15.81	4	1	0	9	1	0	10	1	0	11	1	143	14	2	377.28
75	1	2	181.57	2	2	37.23	12	2	16	4	1	0	9	1	0	10	1	0	11	1	145	14	2	382.74
76	1	2	184.21	2	2	37.79	12	2	16.21	4	1	0	9	1	0	10	1	0	11	1	147	14	2	388.25
77	1	2	189.34	2	2	38.97	12	2	16.4	4	1	0	9	1	0	10	1	0	11	1	149	14	2	399.48
78	1	2	194.53	2	2	40.16	12	2	16.62	4	1	0	9	1	0	10	1	0	11	1	151	14	2	410.82
79	1	2	199.78	2	2	41.37	12	2	16.81	4	1	0	9	1	0	10	1	0	11	1	153	14	2	422.28
80	1	2	205.1	2	2	42.59	12	2	17.02	4	1	0	9	1	0	10	1	0	11	1	155	14	2	433.91
81	1	2	210.48	2	2	43.82	12	2	17.21	4	1	0	9	1	0	10	1	0	11	1	167	14	2	445.65
82	1	2	215.93	2	2	45.06	12	2	17.43	4	1	0	9	1	0	10	1	0	11	1	169	14	2	457.57
83	1	2	221.44	2	2	46.32	12	2	17.62	4	1	0	9	1	0	10	1	0	11	1	171	14	2	469.6
84	1	2	227.03	2	2	47.59	12	2	17.83	4	1	0	9	1	0	10	1	0	11	1	173	14	2	481.8
85	1	2	232.68	2	2	48.87	12	2	18.02	4	1	0	9	1	0	10	1	0	11	1	175	14	2	494.14
86	1	2	235.67	2	2	49.51	12	2	18.24	4	1	0	9	1	0	10	1	0	11	1	177	14	2	500.37
87	1	2	238.59	2	2	50.12	12	2	18.43	4	1	0	9	1	0	10	1	0	11	1	179	14	2	506.48
88	1	2	241.64	2	2	50.78	12	2	18.64	4	1	0	9	1	0	10	1	0	11	1	181	14	2	512.82
89	1	2	244.7	2	2	51.44	12	2	18.83	4	1	0	9	1	0	10	1	0	11	1	183	14	2	519.25
90	1	2	247.81	2	2	52.12	12	2	19.05	4	1	0	9	1	0	10	1	0	11	1	185	14	2	525.71
