子任务ID	父任务ID	序列	禁止进入联机	显示状态	屏蔽项	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3复杂参数	[完成条件]3次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2复杂参数	[失败条件]2次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]3类型	[执行]3参数1	[执行]3参数2	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	Desc
30802	308	3					1	30801	3											9	1003	22																				1		LisaDungeon		3						1																								QuestData_Desc_30802
30810	308	4					1	30802	3										2	2	30812				12	70300016																2		1007		20011	QuestTarget	2							12	3																				QuestData_Desc_30810
30807	308	5		1			1	30802	3											6	1057																																																							QuestData_Desc_30807
30808	308	6		1			1	30802	3											6	1058																																																							QuestData_Desc_30808
30809	308	7		1			1	30802	3											6	1059																																																							QuestData_Desc_30809
30812	308	8		1			1	30802	3											20			LisaOne	1																																																				QuestData_Desc_30812
30811	308	9		1			1	30802	3											19	1003																																																							QuestData_Desc_30811
30803	308	10					1	30802	3											12	70300016													19	1003																				15	3	133001247							14	30801											QuestData_Desc_30803
30814	308	11		1			1	30803	3											2	30814													19	1003																													14	30801											QuestData_Desc_30814
30804	308	12		1			1	30814	3											10	3																													1		1																								QuestData_Desc_30804
30805	308	13					1	30804	3											2	30802																					2		1007								1																								QuestData_Desc_30805
30806	308	14		1			1	30805	3																																											1																								QuestData_Desc_30806
30901	309	1		1			1	35802	3										1	11	1001				11	1			11	1003																																														QuestData_Desc_30901
30903	309	2		1			1	30901	3											10	3																																																							QuestData_Desc_30903
30904	309	3		1			1	30903	3											4	30904																													1		1			16	7	0	16	8	1																QuestData_Desc_30904
30902	309	4		1			1	30904	3										2	2	30902				2	30904																2		1005		3	QuestTarget	2				1																								QuestData_Desc_30902
31101	311	1		1			1	30904	3										2	2	30902				2	30904																2		1005		3	QuestTarget	2		1		1																								QuestData_Desc_31101
31201	312	1		1			1	30801	3											2	30814																					2		1005		3	QuestTarget	2		1		1																								QuestData_Desc_31201
31001	310	1					1	30105	3											2	41401			10																		2		1435																																QuestData_Desc_31001
31002	310	2		1			1	30902	3											2	31013																																1016	1																						QuestData_Desc_31002
31003	310	3		1			1	30902	3											2	31014																																1020	1																						QuestData_Desc_31003
31004	310	4		1			1	30902	3											2	31015																																1022	1																						QuestData_Desc_31004
31005	310	5		1			1	30902	3											2	31016																																1003	1																						QuestData_Desc_31005
31006	310	6		1			1	30902	3											2	31017																																1014	1																						QuestData_Desc_31006
31007	310	7		1			1	30902	3											2	31018																																1002	1																						QuestData_Desc_31007
31008	310	8		1			1	30902	3											2	31019																																1023	1																						QuestData_Desc_31008
30100	301	1					1	99902	3											6	1002																					1		Q301WendyPlay																																QuestData_Desc_30100
30101	301	2					1	30100	3											4	3001																															1																								QuestData_Desc_30101
30102	301	3					1	30101	3											2	30102																					2		1001																																QuestData_Desc_30102
30103	301	4					1	30102	3											2	30103																					2		1003																																QuestData_Desc_30103
30104	301	5					1	30103	3											2	30104																					2		1002								1																								QuestData_Desc_30104
30105	301	6					1	30104	3											4	3002																													1																										QuestData_Desc_30105
30106	301	7					1	30105	4											2	30105																					2		1002											8	1																				QuestData_Desc_30106
30107	301						1	30106	4											4	3003																																																							QuestData_Desc_30107
30108	301						1	30107	3											2	30106																					2		1004								1			11	0																				QuestData_Desc_30108
30109	301						1	30108	3											4	3004																					2		1004																																QuestData_Desc_30109
30110	301						1	30109	3											2	30108																					2		1004											1	100001	1																			QuestData_Desc_30110
30111	301						1	30110	3											4	3005																					2		1004																																QuestData_Desc_30111
30112	301						1	30111	3											2	30111																					2		1004																																QuestData_Desc_30112
30113	301						1	30112	3											4	3006																					2		1004																																QuestData_Desc_30113
30114	301						1	30113	3											2	30113																					2		1004																																QuestData_Desc_30114
30115	301						1	30114	3											3	21010301			2																		2		1004																																QuestData_Desc_30115
30116	301						1	30115	3											2	30115																					2		1004																																QuestData_Desc_30116
30117	301						1	30116	3											4	3007																					2		1004																																QuestData_Desc_30117
30118	301						1	30117	3											2	30116																					2		1004																																QuestData_Desc_30118
30400	304	1					1	30105	3											2	30400																					2		1002											8	1		11	0		2	3	10													QuestData_Desc_30400
30401	304	2					1	30400	3											2	30401																					2		1002																																QuestData_Desc_30401
30402	304	3					1	30401	3											12	70300013			1																		1		Q304Feather1																																QuestData_Desc_30402
30403	304	4		1			1	30402	3											4	30402																																																							QuestData_Desc_30403
30404	304	5					1	30403	3											12	70300013			1																		1		Q304Feather2																																QuestData_Desc_30404
30405	304	6		1			1	30404	3											4	30403																																																							QuestData_Desc_30405
30406	304	7					1	30405	3											12	70300013			1																		1		Q304Feather3																																QuestData_Desc_30406
30407	304	8		1			1	30406	3											4	30404																																																							QuestData_Desc_30407
30408	304	9					1	30407	3											12	70300013			1																		1		Q304Feather4											11	1																				QuestData_Desc_30408
30409	304	10					1	30408	3											2	30405																					2		1002						1					13	1																				QuestData_Desc_30409
30501	305	1					1	30409	3											2	30501																					2		1002								1																								QuestData_Desc_30501
30502	305	2					1	30501	3											3	21010101			2																		2		1001								1																								QuestData_Desc_30502
30503	305	3					1	30502	3											2	30502																					2		1001																																QuestData_Desc_30503
30504	305	4					1	30503	3											4	30504																					2		1004																																QuestData_Desc_30504
30505	305	5					1	30504	3											2	30503																					2		1004																																QuestData_Desc_30505
30506	305	6					1	30505	3											2	30504																					2		1006						1		1																								QuestData_Desc_30506
30302	303	1		1																2	30302																																		2	3	3	3	3	3																QuestData_Desc_30302
30303	303	2		1																2	30303																																		2	3	4	3	3	2																QuestData_Desc_30303
30304	303	3		1																2	30304																																		2	3	29	3	3	4																QuestData_Desc_30304
37001	370	1					1	30904	3											17	1004																					1		QuestKnighthood		3						1																								QuestData_Desc_37001
37002	370	2					1	37001	3											2	37001																					1		QuestDoorin		1004				1		1																								QuestData_Desc_37002
37003	370	3		1			1	37001	3											6	1067																															1																								QuestData_Desc_37003
37101	371	1					1	37002	3											10	3																					1		Q371PaimonTemp		3						1																								QuestData_Desc_37101
37102	371	2					1	37101	3											2	37101																					2		1243		3	QuestTarget	2				1																								QuestData_Desc_37102
37103	371	3					1	37102	3											4	37103																					1		Q371WendyFootPrint1		3																														QuestData_Desc_37103
37104	371	4					1	37103	3											2	37109																					2		1243		3	QuestTarget	2																												QuestData_Desc_37104
37105	371	5					1	37104	3											4	37105																					1		Q371WendyFootPrint1	30	3																														QuestData_Desc_37105
37106	371	6					1	37105	3											4	37106																					1		Q371WendyTrigger1	30	3																														QuestData_Desc_37106
37107	371	7					1	37106	3											4	37107																					1		Q371WendyTrigger2	30	3																														QuestData_Desc_37107
37108	371	8					1	37107	3											4	37108																					1		Q371WendyTrigger3	30	3																														QuestData_Desc_37108
37109	371	9					1	37108	3											4	37109																					1		Q371WendyTrigger4	30	3																														QuestData_Desc_37109
37110	371	10					1	37109	3											4	37110																					1		Q371WendyTrigger5	30	3																														QuestData_Desc_37110
37111	371	11					1	37110	3											4	37111																					1		Q371WendyTrigger6	30	3																														QuestData_Desc_37111
37112	371	12					1	37111	3											4	37112																					1		Q371WendyTrigger7	30	3																														QuestData_Desc_37112
37113	371	13					1	37112	3											4	37113																					1		Q371WendyTrigger8	30	3				1																										QuestData_Desc_37113
37114	371	14		1			1	37108	3											6	1094																																																							QuestData_Desc_37114
37115	371	15		1			1	37114	3		2	37109	3							2	37115																																																							QuestData_Desc_37115
37201	372	1					1	37113	3											2	37201																					2		1160		3	QuestTarget	1					100164	1	1	100135	1																			QuestData_Desc_37201
37202	372	2		1			1	37204	3											4	37202																					2		1160								1																								QuestData_Desc_37202
37203	372	3					1	37201	3											2	37205																					2		1160		3	QuestTarget	2				1																								QuestData_Desc_37203
37204	372	4					1	37203	3											17	1008																					1		QuestChurchMark		3				1		1																								QuestData_Desc_37204
37301	373	1					1	99902	3											17	1008																					1		QuestChurchMark								1																								QuestData_Desc_37301
37302	373	2					1	37301	3											2	37301																					2		1001								1																								QuestData_Desc_37302
37303	373	3					1	37302	3											2	37302																					2		1001						1		1																								QuestData_Desc_37303
37401	374	1					1	37204	3											6	1028																					2		1001		1008	QuestTarget	2				1																								QuestData_Desc_37401
37402	374	2					1	37401	3											2	37402																					2		1001		1008	QuestTarget	2				1																								QuestData_Desc_37402
37403	374	3		1			1	37402	3											4	37403																					2		1001		1008	QuestTarget	2				1																								QuestData_Desc_37403
37404	374	4					1	37403	3											2	37403																					2		1001		1008	QuestTarget	2				1																								QuestData_Desc_37404
37405	374	5		1			1	37404	3											4	37405																					2		1161		1008	QuestTarget	2				1																								QuestData_Desc_37405
37406	374	6					1	37405	3											2	37404																					2		1161		1008	QuestTarget	2		1		1																								QuestData_Desc_37406
37501	375	1					1	37406	3											2	37501																					2		1001		1008	QuestTarget	2				1			2	1008	1																			QuestData_Desc_37501
37502	375	2					1	37501	3											6	1043																					1		QuestMarkSteal		1008						1																								QuestData_Desc_37502
37503	375	3			2		1	37502	3											6	1044													8	37503							1		Harp		1005	QuestTarget	1				1																								QuestData_Desc_37503
37504	375	4		1			1	37503	4											4	37504																					1		QuestChurchMark		3						1			14	37502																				QuestData_Desc_37504
37505	375	5		1			1	37503	3											4	37505																					1		QuestChurchMark		3						1			17	1008	1																			QuestData_Desc_37505
37506	375	6		1			1	37505	3											10	3																					1		QuestChurchMark		3						1																								QuestData_Desc_37506
37507	375	7		1			1	37506	3											4	37506																					1		QuestChurchMark		3				1		1																								QuestData_Desc_37507
42101	421	1		1			1	37204	3											2	37503																															1																								QuestData_Desc_42101
42102	421	2		1			1	42101	3											4																																			14	42101																				QuestData_Desc_42102
42103	421	3		1			1	37506	3											17	1008																																																							QuestData_Desc_42103
42104	421	4		1			1	42103	3											4																														1		1																								QuestData_Desc_42104
37601	376	1					1	37506	3											6	1031																					1		Q375RunStart		3			1			1			17	3	31	17	3	32																QuestData_Desc_37601
37602	376	2			1		1	37601	3											6	1070												2	8	37602			21				1		QuestBarUI		3			1						2	3	31	2	3	32																QuestData_Desc_37602
37603	376	3		1			1	37602	4											4																																			14	37601																				QuestData_Desc_37603
37604	376	4					1	37602	3											17	1009																					1		QuestBarEnter		3			1			1																								QuestData_Desc_37604
37605	376	5		1			1	37604	3											2	37604																					2		1009		1009	QuestTarget	2				1																								QuestData_Desc_37605
37606	376	6					1	37605	3											6	1034																					1		Q376Hide		1009	QuestTarget	1				1																								QuestData_Desc_37606
37607	376	7		1			1	37606	3											2	37606																					2		1009		1009	QuestTarget	2				1																								QuestData_Desc_37607
37608	376	8					1	37607	3											2	37607																					2		1009		1009	QuestTarget	2		1		1																								QuestData_Desc_37608
37701	377	1					1	37608	3											10	3																					1		QuestBarExit		1009						1																								QuestData_Desc_37701
37702	377	2					1	37701	3											18	1		0,24																													1																								QuestData_Desc_37702
37703	377	3					1	37702	3											18	0		0,6																													1																								QuestData_Desc_37703
37704	377	4					1	37703	3											4	37704													18	0	6,23						1		QuestBarUI		3	QuestTarget	1				1												14	37703											QuestData_Desc_37704
37705	377	5					1	37704	3											2	37702																					2		1009		1009	QuestTarget	2		1		1																								QuestData_Desc_37705
37801	378	1		1			1	37705	3											18	0		0,24																													1																								QuestData_Desc_37801
37802	378	2					1	37801	3											4	37802																					1		Q378Qin1		3						1												14	37801											QuestData_Desc_37802
37803	378	3					1	37802	3											2	37801																					2		1006		3	QuestTarget	2				1																								QuestData_Desc_37803
37804	378	4			1		1	37803	3											4	37804												2	8	37804			21				2		1006	QuestArrow	3			2															14	37803											QuestData_Desc_37804
37805	378	5					1	37804	3											2	37803																					2		1008		3	QuestTarget	2		1		1																								QuestData_Desc_37805
39501	395	1		1			1	37805	3											18	0		0,24																													1																								QuestData_Desc_39501
39502	395	2					1	39501	3											4																						1		Q395BBR		3						1												14	39501											QuestData_Desc_39502
39503	395	3					1	39502	3											2	39503																					2		1008		3	QuestTarget	2		1		1	100161	1																						QuestData_Desc_39503
37901	379	1					1	39503	3											17	1009																					1		QuestBarUI		3	QuestTarget	1				1																								QuestData_Desc_37901
37902	379	2		1			1	37901	3											2	37902																					2		1001		1009	QuestTarget	2				1																								QuestData_Desc_37902
37903	379	3					1	37902	3											4	37903																					2		1001		1009	QuestTarget	2				1	100162	1	1	100161	1	1	100164	1																QuestData_Desc_37903
37904	379	4					1	37903	3											2	37904																					2		1006		1009	QuestTarget	2		1		1																								QuestData_Desc_37904
38501	385	1		1			1	99902	3											4	38501																					2		1469		3	QuestTarget	2																												QuestData_Desc_38501
38601	386	1					1	31101	3											2	38601																					2		1469		3	QuestTarget	2				1																								QuestData_Desc_38601
38602	386	2					1	38601	3											20			133002105	1																		1		Q386Target1	70	3				1		1																					19	3	133002150,1	QuestData_Desc_38602
38701	387	1				1	1	38410	3		1	38601	3							2	38701																					2		1469		3	QuestTarget	2				1																								QuestData_Desc_38701
38702	387	2					1	38701	3											11	4004																					1		Q387Target1		3				1		1																								QuestData_Desc_38702
