ID	图标	类型	重量	排序权重	物件ID	可丢弃	使用等级	材料类型	冷却时间	冷却组	堆叠上限	最大使用数量	获得即使用	禁止提示第一次获得	需要特殊表现	目标	[使用]1操作	[使用]1参数1	[使用]1参数2	[使用]1参数3	[使用]2操作	[使用]2参数1	[使用]2参数2	阶数	料理品质	效果图标	拾取虚拟id	拾取特效	是否分开掉落	Name	Desc	InteractionTitle	EffectDesc	TypeDesc
927	UI_ItemIcon_927	2						14			1000													4						MaterialData_Name_927	MaterialData_Desc_927	MaterialData_InteractionTitle_927	MaterialData_EffectDesc_927	MaterialData_TypeDesc_927
928	UI_ItemIcon_928	2						14			1000													4						MaterialData_Name_928	MaterialData_Desc_928	MaterialData_InteractionTitle_928	MaterialData_EffectDesc_928	MaterialData_TypeDesc_928
931	UI_ItemIcon_931	2						14			1000													4						MaterialData_Name_931	MaterialData_Desc_931	MaterialData_InteractionTitle_931	MaterialData_EffectDesc_931	MaterialData_TypeDesc_931
932	UI_ItemIcon_932	2						14			1000													4						MaterialData_Name_932	MaterialData_Desc_932	MaterialData_InteractionTitle_932	MaterialData_EffectDesc_932	MaterialData_TypeDesc_932
933	UI_ItemIcon_933	2						14			1000													4						MaterialData_Name_933	MaterialData_Desc_933	MaterialData_InteractionTitle_933	MaterialData_EffectDesc_933	MaterialData_TypeDesc_933
934	UI_ItemIcon_934	2						14			1000													4						MaterialData_Name_934	MaterialData_Desc_934	MaterialData_InteractionTitle_934	MaterialData_EffectDesc_934	MaterialData_TypeDesc_934
935	UI_ItemIcon_935	2						14			1000													4						MaterialData_Name_935	MaterialData_Desc_935	MaterialData_InteractionTitle_935	MaterialData_EffectDesc_935	MaterialData_TypeDesc_935
936	UI_ItemIcon_936	2						14			1000													4						MaterialData_Name_936	MaterialData_Desc_936	MaterialData_InteractionTitle_936	MaterialData_EffectDesc_936	MaterialData_TypeDesc_936
937	UI_ItemIcon_937	2						14			1000													4						MaterialData_Name_937	MaterialData_Desc_937	MaterialData_InteractionTitle_937	MaterialData_EffectDesc_937	MaterialData_TypeDesc_937
938	UI_ItemIcon_938	2						14			1000													4						MaterialData_Name_938	MaterialData_Desc_938	MaterialData_InteractionTitle_938	MaterialData_EffectDesc_938	MaterialData_TypeDesc_938
1002	UI_ItemIcon_1002	2						7			1000	99	1				3	10000002						5						MaterialData_Name_1002	MaterialData_Desc_1002	MaterialData_InteractionTitle_1002	MaterialData_EffectDesc_1002	MaterialData_TypeDesc_1002
1003	UI_ItemIcon_1003	2						7			1000	99	1				3	10000003						5						MaterialData_Name_1003	MaterialData_Desc_1003	MaterialData_InteractionTitle_1003	MaterialData_EffectDesc_1003	MaterialData_TypeDesc_1003
1005	UI_ItemIcon_1005	2						7			1000	99	1				3	10000005						4						MaterialData_Name_1005	MaterialData_Desc_1005	MaterialData_InteractionTitle_1005	MaterialData_EffectDesc_1005	MaterialData_TypeDesc_1005
1006	UI_ItemIcon_1006	2						7			1000	99	1				3	10000006						4						MaterialData_Name_1006	MaterialData_Desc_1006	MaterialData_InteractionTitle_1006	MaterialData_EffectDesc_1006	MaterialData_TypeDesc_1006
1007	UI_ItemIcon_1007	2						7			1000	99	1				3	10000007						4						MaterialData_Name_1007	MaterialData_Desc_1007	MaterialData_InteractionTitle_1007	MaterialData_EffectDesc_1007	MaterialData_TypeDesc_1007
1014	UI_ItemIcon_1014	2						7			1000	99	1				3	10000014						4						MaterialData_Name_1014	MaterialData_Desc_1014	MaterialData_InteractionTitle_1014	MaterialData_EffectDesc_1014	MaterialData_TypeDesc_1014
1015	UI_ItemIcon_1015	2						7			1000	99	1				3	10000015						4						MaterialData_Name_1015	MaterialData_Desc_1015	MaterialData_InteractionTitle_1015	MaterialData_EffectDesc_1015	MaterialData_TypeDesc_1015
1016	UI_ItemIcon_1016	2						7			1000	99	1				3	10000016						5						MaterialData_Name_1016	MaterialData_Desc_1016	MaterialData_InteractionTitle_1016	MaterialData_EffectDesc_1016	MaterialData_TypeDesc_1016
1020	UI_ItemIcon_1020	2						7			1000	99	1				3	10000020						4						MaterialData_Name_1020	MaterialData_Desc_1020	MaterialData_InteractionTitle_1020	MaterialData_EffectDesc_1020	MaterialData_TypeDesc_1020
1021	UI_ItemIcon_1021	2						7			1000	99	1				3	10000021						4						MaterialData_Name_1021	MaterialData_Desc_1021	MaterialData_InteractionTitle_1021	MaterialData_EffectDesc_1021	MaterialData_TypeDesc_1021
1022	UI_ItemIcon_1022	2						7			1000	99	1				3	10000022						5						MaterialData_Name_1022	MaterialData_Desc_1022	MaterialData_InteractionTitle_1022	MaterialData_EffectDesc_1022	MaterialData_TypeDesc_1022
1023	UI_ItemIcon_1023	2						7			1000	99	1				3	10000023						4						MaterialData_Name_1023	MaterialData_Desc_1023	MaterialData_InteractionTitle_1023	MaterialData_EffectDesc_1023	MaterialData_TypeDesc_1023
1024	UI_ItemIcon_1024	2						7			1000	99	1				3	10000024						4						MaterialData_Name_1024	MaterialData_Desc_1024	MaterialData_InteractionTitle_1024	MaterialData_EffectDesc_1024	MaterialData_TypeDesc_1024
1102	UI_ItemIcon_1002	2						14			1000	1					18	10000002	1					4						MaterialData_Name_1102	MaterialData_Desc_1102	MaterialData_InteractionTitle_1102	MaterialData_EffectDesc_1102	MaterialData_TypeDesc_1102
1103	UI_ItemIcon_1003	2						14			1000	1					18	10000003	1					4						MaterialData_Name_1103	MaterialData_Desc_1103	MaterialData_InteractionTitle_1103	MaterialData_EffectDesc_1103	MaterialData_TypeDesc_1103
1106	UI_ItemIcon_1006	2						14			1000	1					18	10000006	1					4						MaterialData_Name_1106	MaterialData_Desc_1106	MaterialData_InteractionTitle_1106	MaterialData_EffectDesc_1106	MaterialData_TypeDesc_1106
1114	UI_ItemIcon_1014	2						14			1000	1					18	10000014	1					4						MaterialData_Name_1114	MaterialData_Desc_1114	MaterialData_InteractionTitle_1114	MaterialData_EffectDesc_1114	MaterialData_TypeDesc_1114
1115	UI_ItemIcon_1015	2						14			1000	1					18	10000015	1					4						MaterialData_Name_1115	MaterialData_Desc_1115	MaterialData_InteractionTitle_1115	MaterialData_EffectDesc_1115	MaterialData_TypeDesc_1115
1116	UI_ItemIcon_1016	2						14			1000	1					18	10000016	1					4						MaterialData_Name_1116	MaterialData_Desc_1116	MaterialData_InteractionTitle_1116	MaterialData_EffectDesc_1116	MaterialData_TypeDesc_1116
1120	UI_ItemIcon_1020	2						14			1000	1					18	10000020	1					4						MaterialData_Name_1120	MaterialData_Desc_1120	MaterialData_InteractionTitle_1120	MaterialData_EffectDesc_1120	MaterialData_TypeDesc_1120
1121	UI_ItemIcon_1021	2						14			1000	1					18	10000021	1					4						MaterialData_Name_1121	MaterialData_Desc_1121	MaterialData_InteractionTitle_1121	MaterialData_EffectDesc_1121	MaterialData_TypeDesc_1121
1122	UI_ItemIcon_1022	2						14			1000	1					18	10000022	1					4						MaterialData_Name_1122	MaterialData_Desc_1122	MaterialData_InteractionTitle_1122	MaterialData_EffectDesc_1122	MaterialData_TypeDesc_1122
1123	UI_ItemIcon_1023	2						14			1000	1					18	10000023	1					4						MaterialData_Name_1123	MaterialData_Desc_1123	MaterialData_InteractionTitle_1123	MaterialData_EffectDesc_1123	MaterialData_TypeDesc_1123
1124	UI_ItemIcon_1024	2						14			1000	1					18	10000024	1					4						MaterialData_Name_1124	MaterialData_Desc_1124	MaterialData_InteractionTitle_1124	MaterialData_EffectDesc_1124	MaterialData_TypeDesc_1124
1202	UI_ItemIcon_103	2						14			1000		1				19	10000002	1					3						MaterialData_Name_1202	MaterialData_Desc_1202	MaterialData_InteractionTitle_1202	MaterialData_EffectDesc_1202	MaterialData_TypeDesc_1202
1203	UI_ItemIcon_103	2						14			1000		1				19	10000003	1					3						MaterialData_Name_1203	MaterialData_Desc_1203	MaterialData_InteractionTitle_1203	MaterialData_EffectDesc_1203	MaterialData_TypeDesc_1203
1206	UI_ItemIcon_103	2						14			1000		1				19	10000006	1					3						MaterialData_Name_1206	MaterialData_Desc_1206	MaterialData_InteractionTitle_1206	MaterialData_EffectDesc_1206	MaterialData_TypeDesc_1206
1214	UI_ItemIcon_103	2						14			1000		1				19	10000014	1					3						MaterialData_Name_1214	MaterialData_Desc_1214	MaterialData_InteractionTitle_1214	MaterialData_EffectDesc_1214	MaterialData_TypeDesc_1214
1215	UI_ItemIcon_103	2						14			1000		1				19	10000015	1					3						MaterialData_Name_1215	MaterialData_Desc_1215	MaterialData_InteractionTitle_1215	MaterialData_EffectDesc_1215	MaterialData_TypeDesc_1215
1216	UI_ItemIcon_103	2						14			1000		1				19	10000016	1					3						MaterialData_Name_1216	MaterialData_Desc_1216	MaterialData_InteractionTitle_1216	MaterialData_EffectDesc_1216	MaterialData_TypeDesc_1216
1220	UI_ItemIcon_103	2						14			1000		1				19	10000020	1					3						MaterialData_Name_1220	MaterialData_Desc_1220	MaterialData_InteractionTitle_1220	MaterialData_EffectDesc_1220	MaterialData_TypeDesc_1220
1221	UI_ItemIcon_103	2						14			1000		1				19	10000021	1					3						MaterialData_Name_1221	MaterialData_Desc_1221	MaterialData_InteractionTitle_1221	MaterialData_EffectDesc_1221	MaterialData_TypeDesc_1221
1222	UI_ItemIcon_103	2						14			1000		1				19	10000022	1					3						MaterialData_Name_1222	MaterialData_Desc_1222	MaterialData_InteractionTitle_1222	MaterialData_EffectDesc_1222	MaterialData_TypeDesc_1222
1223	UI_ItemIcon_103	2						14			1000		1				19	10000023	1					3						MaterialData_Name_1223	MaterialData_Desc_1223	MaterialData_InteractionTitle_1223	MaterialData_EffectDesc_1223	MaterialData_TypeDesc_1223
1224	UI_ItemIcon_103	2						14			1000		1				19	10000024	1					3						MaterialData_Name_1224	MaterialData_Desc_1224	MaterialData_InteractionTitle_1224	MaterialData_EffectDesc_1224	MaterialData_TypeDesc_1224
1301	UI_ItemIcon_901	2						14			1000		1				22	1	1					4						MaterialData_Name_1301	MaterialData_Desc_1301	MaterialData_InteractionTitle_1301	MaterialData_EffectDesc_1301	MaterialData_TypeDesc_1301
1302	UI_ItemIcon_902	2						14			1000		1				22	2	1					4						MaterialData_Name_1302	MaterialData_Desc_1302	MaterialData_InteractionTitle_1302	MaterialData_EffectDesc_1302	MaterialData_TypeDesc_1302
1303	UI_ItemIcon_903	2						14			1000		1				22	3	1					4						MaterialData_Name_1303	MaterialData_Desc_1303	MaterialData_InteractionTitle_1303	MaterialData_EffectDesc_1303	MaterialData_TypeDesc_1303
1304	UI_ItemIcon_904	2						14			1000		1				22	4	1					4						MaterialData_Name_1304	MaterialData_Desc_1304	MaterialData_InteractionTitle_1304	MaterialData_EffectDesc_1304	MaterialData_TypeDesc_1304
1305	UI_ItemIcon_905	2						14			1000		1				22	7	1					4						MaterialData_Name_1305	MaterialData_Desc_1305	MaterialData_InteractionTitle_1305	MaterialData_EffectDesc_1305	MaterialData_TypeDesc_1305
1306	UI_ItemIcon_906	2						14			1000		1				22	5	1					4						MaterialData_Name_1306	MaterialData_Desc_1306	MaterialData_InteractionTitle_1306	MaterialData_EffectDesc_1306	MaterialData_TypeDesc_1306
1307	UI_ItemIcon_907	2						14			1000		1				22	8	1					4						MaterialData_Name_1307	MaterialData_Desc_1307	MaterialData_InteractionTitle_1307	MaterialData_EffectDesc_1307	MaterialData_TypeDesc_1307
1308	UI_ItemIcon_911	2						14			1000		1				23	1	1					3						MaterialData_Name_1308	MaterialData_Desc_1308	MaterialData_InteractionTitle_1308	MaterialData_EffectDesc_1308	MaterialData_TypeDesc_1308
1309	UI_ItemIcon_912	2						14			1000		1				23	2	1					3						MaterialData_Name_1309	MaterialData_Desc_1309	MaterialData_InteractionTitle_1309	MaterialData_EffectDesc_1309	MaterialData_TypeDesc_1309
1310	UI_ItemIcon_913	2						14			1000		1				23	3	1					3						MaterialData_Name_1310	MaterialData_Desc_1310	MaterialData_InteractionTitle_1310	MaterialData_EffectDesc_1310	MaterialData_TypeDesc_1310
1311	UI_ItemIcon_914	2						14			1000		1				23	4	1					3						MaterialData_Name_1311	MaterialData_Desc_1311	MaterialData_InteractionTitle_1311	MaterialData_EffectDesc_1311	MaterialData_TypeDesc_1311
1312	UI_ItemIcon_915	2						14			1000		1				23	7	1					3						MaterialData_Name_1312	MaterialData_Desc_1312	MaterialData_InteractionTitle_1312	MaterialData_EffectDesc_1312	MaterialData_TypeDesc_1312
1313	UI_ItemIcon_916	2						14			1000		1				23	5	1					3						MaterialData_Name_1313	MaterialData_Desc_1313	MaterialData_InteractionTitle_1313	MaterialData_EffectDesc_1313	MaterialData_TypeDesc_1313
1314	UI_ItemIcon_917	2						14			1000		1				23	8	1					3						MaterialData_Name_1314	MaterialData_Desc_1314	MaterialData_InteractionTitle_1314	MaterialData_EffectDesc_1314	MaterialData_TypeDesc_1314
2001	UI_ItemIcon_2001	2			70610009			8			1000	99	1			2	11	1	9	3										MaterialData_Name_2001	MaterialData_Desc_2001	MaterialData_InteractionTitle_2001	MaterialData_EffectDesc_2001	MaterialData_TypeDesc_2001
2002	UI_ItemIcon_2002	2			70610010			8			1000	99	1			2	11	2	9	3										MaterialData_Name_2002	MaterialData_Desc_2002	MaterialData_InteractionTitle_2002	MaterialData_EffectDesc_2002	MaterialData_TypeDesc_2002
2003	UI_ItemIcon_2003	2			70610011			8			1000	99	1			2	11	3	9	3										MaterialData_Name_2003	MaterialData_Desc_2003	MaterialData_InteractionTitle_2003	MaterialData_EffectDesc_2003	MaterialData_TypeDesc_2003
2004	UI_ItemIcon_2004	2			70610012			8			1000	99	1			2	11	4	9	3										MaterialData_Name_2004	MaterialData_Desc_2004	MaterialData_InteractionTitle_2004	MaterialData_EffectDesc_2004	MaterialData_TypeDesc_2004
2005	UI_ItemIcon_2005	2			70610013			8			1000	99	1			2	11	7	9	3										MaterialData_Name_2005	MaterialData_Desc_2005	MaterialData_InteractionTitle_2005	MaterialData_EffectDesc_2005	MaterialData_TypeDesc_2005
2006	UI_ItemIcon_2006	2			70610014			8			1000	99	1			2	11	5	9	3										MaterialData_Name_2006	MaterialData_Desc_2006	MaterialData_InteractionTitle_2006	MaterialData_EffectDesc_2006	MaterialData_TypeDesc_2006
2007	UI_ItemIcon_2007	2			70610015			8			1000	99	1			2	11	8	9	3										MaterialData_Name_2007	MaterialData_Desc_2007	MaterialData_InteractionTitle_2007	MaterialData_EffectDesc_2007	MaterialData_TypeDesc_2007
2008	UI_ItemIcon_2008	2			70610016			8			1000	99	1			2	12	6												MaterialData_Name_2008	MaterialData_Desc_2008	MaterialData_InteractionTitle_2008	MaterialData_EffectDesc_2008	MaterialData_TypeDesc_2008
2017	UI_ItemIcon_2017	2			70610001			8			1000	99	1			2	11	1	3	1										MaterialData_Name_2017	MaterialData_Desc_2017	MaterialData_InteractionTitle_2017	MaterialData_EffectDesc_2017	MaterialData_TypeDesc_2017
2018	UI_ItemIcon_2018	2			70610002			8			1000	99	1			2	11	2	3	1										MaterialData_Name_2018	MaterialData_Desc_2018	MaterialData_InteractionTitle_2018	MaterialData_EffectDesc_2018	MaterialData_TypeDesc_2018
2019	UI_ItemIcon_2019	2			70610003			8			1000	99	1			2	11	3	3	1										MaterialData_Name_2019	MaterialData_Desc_2019	MaterialData_InteractionTitle_2019	MaterialData_EffectDesc_2019	MaterialData_TypeDesc_2019
2020	UI_ItemIcon_2020	2			70610004			8			1000	99	1			2	11	4	3	1										MaterialData_Name_2020	MaterialData_Desc_2020	MaterialData_InteractionTitle_2020	MaterialData_EffectDesc_2020	MaterialData_TypeDesc_2020
2021	UI_ItemIcon_2021	2			70610005			8			1000	99	1			2	11	7	3	1										MaterialData_Name_2021	MaterialData_Desc_2021	MaterialData_InteractionTitle_2021	MaterialData_EffectDesc_2021	MaterialData_TypeDesc_2021
2022	UI_ItemIcon_2022	2			70610006			8			1000	99	1			2	11	5	3	1										MaterialData_Name_2022	MaterialData_Desc_2022	MaterialData_InteractionTitle_2022	MaterialData_EffectDesc_2022	MaterialData_TypeDesc_2022
2023	UI_ItemIcon_2023	2			70610007			8			1000	99	1			2	11	8	3	1										MaterialData_Name_2023	MaterialData_Desc_2023	MaterialData_InteractionTitle_2023	MaterialData_EffectDesc_2023	MaterialData_TypeDesc_2023
2024	UI_ItemIcon_2024	2			70610008			8			1000	99	1			2	12	2												MaterialData_Name_2024	MaterialData_Desc_2024	MaterialData_InteractionTitle_2024	MaterialData_EffectDesc_2024	MaterialData_TypeDesc_2024
2025	UI_ItemIcon_2025	2			70610008			8			1000	99	1			2	12	20												MaterialData_Name_2025	MaterialData_Desc_2025	MaterialData_InteractionTitle_2025	MaterialData_EffectDesc_2025	MaterialData_TypeDesc_2025
2026	UI_ItemIcon_2026	2			70610008			8			1000	99	1				13	1	20											MaterialData_Name_2026	MaterialData_Desc_2026	MaterialData_InteractionTitle_2026	MaterialData_EffectDesc_2026	MaterialData_TypeDesc_2026
2027	UI_ItemIcon_2027	2			70610008			8			1000	99	1				13	1	15											MaterialData_Name_2027	MaterialData_Desc_2027	MaterialData_InteractionTitle_2027	MaterialData_EffectDesc_2027	MaterialData_TypeDesc_2027
3001	UI_ItemIcon_2009	2					5	12			1000	99					20	400101												MaterialData_Name_3001	MaterialData_Desc_3001	MaterialData_InteractionTitle_3001	MaterialData_EffectDesc_3001	MaterialData_TypeDesc_3001
3002	UI_ItemIcon_2010	2					10	12			1000	99					21	100351												MaterialData_Name_3002	MaterialData_Desc_3002	MaterialData_InteractionTitle_3002	MaterialData_EffectDesc_3002	MaterialData_TypeDesc_3002
3003	UI_ItemIcon_2011	2						12			1000	99					20	500001												MaterialData_Name_3003	MaterialData_Desc_3003	MaterialData_InteractionTitle_3003	MaterialData_EffectDesc_3003	MaterialData_TypeDesc_3003
3004	UI_ItemIcon_1002	2						7			1000	99	1				3	10000002	15	0				5						MaterialData_Name_3004	MaterialData_Desc_3004	MaterialData_InteractionTitle_3004	MaterialData_EffectDesc_3004	MaterialData_TypeDesc_3004
3005	UI_ItemIcon_1023	2						7			1000	99	1				3	10000023	15	0				4						MaterialData_Name_3005	MaterialData_Desc_3005	MaterialData_InteractionTitle_3005	MaterialData_EffectDesc_3005	MaterialData_TypeDesc_3005
3006	UI_ItemIcon_1003	2						7			1000	99	1				3	10000003	15	0				5						MaterialData_Name_3006	MaterialData_Desc_3006	MaterialData_InteractionTitle_3006	MaterialData_EffectDesc_3006	MaterialData_TypeDesc_3006
3007	UI_ItemIcon_1016	2						7			1000	99	1				3	10000016	15	0				5						MaterialData_Name_3007	MaterialData_Desc_3007	MaterialData_InteractionTitle_3007	MaterialData_EffectDesc_3007	MaterialData_TypeDesc_3007
3008	UI_ItemIcon_1022	2						7			1000	99	1				3	10000022	15	0				5						MaterialData_Name_3008	MaterialData_Desc_3008	MaterialData_InteractionTitle_3008	MaterialData_EffectDesc_3008	MaterialData_TypeDesc_3008
3018	UI_ItemIcon_1014	2						7			1000	99	1				3	10000014	15	0				4						MaterialData_Name_3018	MaterialData_Desc_3018	MaterialData_InteractionTitle_3018	MaterialData_EffectDesc_3018	MaterialData_TypeDesc_3018
3019	UI_ItemIcon_1020	2						7			1000	99	1				3	10000020	15	0				4						MaterialData_Name_3019	MaterialData_Desc_3019	MaterialData_InteractionTitle_3019	MaterialData_EffectDesc_3019	MaterialData_TypeDesc_3019
3009	UI_ItemIcon_1002	2						12			1000	99	1				21	303009						5						MaterialData_Name_3009	MaterialData_Desc_3009	MaterialData_InteractionTitle_3009	MaterialData_EffectDesc_3009	MaterialData_TypeDesc_3009
3010	UI_ItemIcon_1023	2						12			1000	99	1				21	303010						4						MaterialData_Name_3010	MaterialData_Desc_3010	MaterialData_InteractionTitle_3010	MaterialData_EffectDesc_3010	MaterialData_TypeDesc_3010
3011	UI_ItemIcon_1003	2						12			1000	99	1				21	303011						5						MaterialData_Name_3011	MaterialData_Desc_3011	MaterialData_InteractionTitle_3011	MaterialData_EffectDesc_3011	MaterialData_TypeDesc_3011
3012	UI_ItemIcon_1016	2						12			1000	99	1				21	303012						5						MaterialData_Name_3012	MaterialData_Desc_3012	MaterialData_InteractionTitle_3012	MaterialData_EffectDesc_3012	MaterialData_TypeDesc_3012
3013	UI_ItemIcon_1022	2						12			1000	99	1				21	303013						5						MaterialData_Name_3013	MaterialData_Desc_3013	MaterialData_InteractionTitle_3013	MaterialData_EffectDesc_3013	MaterialData_TypeDesc_3013
3014	UI_ItemIcon_1021	2						12			1000	99	1				21	303014						4						MaterialData_Name_3014	MaterialData_Desc_3014	MaterialData_InteractionTitle_3014	MaterialData_EffectDesc_3014	MaterialData_TypeDesc_3014
3015	UI_ItemIcon_1015	2						12			1000	99	1				21	303015						4						MaterialData_Name_3015	MaterialData_Desc_3015	MaterialData_InteractionTitle_3015	MaterialData_EffectDesc_3015	MaterialData_TypeDesc_3015
3016	UI_ItemIcon_1006	2						12			1000	99	1				21	303016						4						MaterialData_Name_3016	MaterialData_Desc_3016	MaterialData_InteractionTitle_3016	MaterialData_EffectDesc_3016	MaterialData_TypeDesc_3016
3017	UI_ItemIcon_1014	2						12			1000	99	1				21	303017						4						MaterialData_Name_3017	MaterialData_Desc_3017	MaterialData_InteractionTitle_3017	MaterialData_EffectDesc_3017	MaterialData_TypeDesc_3017
