台词ID	下一句台词ID	显示类型	[对话角色]类型	[对话角色]ID	对话资源	对话资源2	对话语音	对话前行为脚本	对话中行为脚本	对话后行为脚本	显示时长	选项图标	TalkContent	TalkTitle	TalkRoleName
3480803	3480804		1	1245									DialogData_TalkContent_3480803	DialogData_TalkTitle_3480803	DialogData_TalkRoleName_3480803
3480804	3480805		1	1245									DialogData_TalkContent_3480804	DialogData_TalkTitle_3480804	DialogData_TalkRoleName_3480804
3480805			1	1245									DialogData_TalkContent_3480805	DialogData_TalkTitle_3480805	DialogData_TalkRoleName_3480805
3480901	3480903		1	1245				TEST/Readable01					DialogData_TalkContent_3480901	DialogData_TalkTitle_3480901	DialogData_TalkRoleName_3480901
3480903	3480904		1	1245									DialogData_TalkContent_3480903	DialogData_TalkTitle_3480903	DialogData_TalkRoleName_3480903
3480904	3480905		1	1245									DialogData_TalkContent_3480904	DialogData_TalkTitle_3480904	DialogData_TalkRoleName_3480904
3480905	3480906		1	1245									DialogData_TalkContent_3480905	DialogData_TalkTitle_3480905	DialogData_TalkRoleName_3480905
3480906			1	1245									DialogData_TalkContent_3480906	DialogData_TalkTitle_3480906	DialogData_TalkRoleName_3480906
3481001	3481003		1	1245				TEST/Readable01					DialogData_TalkContent_3481001	DialogData_TalkTitle_3481001	DialogData_TalkRoleName_3481001
3481003	3481004		1	1245									DialogData_TalkContent_3481003	DialogData_TalkTitle_3481003	DialogData_TalkRoleName_3481003
3481004	3481005		1	1245									DialogData_TalkContent_3481004	DialogData_TalkTitle_3481004	DialogData_TalkRoleName_3481004
3481005	3481006		1	1245									DialogData_TalkContent_3481005	DialogData_TalkTitle_3481005	DialogData_TalkRoleName_3481005
3481006	3481007		1	1245									DialogData_TalkContent_3481006	DialogData_TalkTitle_3481006	DialogData_TalkRoleName_3481006
3481007			1	1245									DialogData_TalkContent_3481007	DialogData_TalkTitle_3481007	DialogData_TalkRoleName_3481007
3481101	3481102		1	1245				TEST/Readable01					DialogData_TalkContent_3481101	DialogData_TalkTitle_3481101	DialogData_TalkRoleName_3481101
3481102	3481103		1	1245									DialogData_TalkContent_3481102	DialogData_TalkTitle_3481102	DialogData_TalkRoleName_3481102
3481103	3481104		1	1245									DialogData_TalkContent_3481103	DialogData_TalkTitle_3481103	DialogData_TalkRoleName_3481103
3481104	3481105		1	1245									DialogData_TalkContent_3481104	DialogData_TalkTitle_3481104	DialogData_TalkRoleName_3481104
3481105	3481106		1	1245									DialogData_TalkContent_3481105	DialogData_TalkTitle_3481105	DialogData_TalkRoleName_3481105
3481106			1	1245									DialogData_TalkContent_3481106	DialogData_TalkTitle_3481106	DialogData_TalkRoleName_3481106
3481201	3481203		1	1245				TEST/Readable01					DialogData_TalkContent_3481201	DialogData_TalkTitle_3481201	DialogData_TalkRoleName_3481201
3481203	3481204		1	1245									DialogData_TalkContent_3481203	DialogData_TalkTitle_3481203	DialogData_TalkRoleName_3481203
3481204	3481205		1	1245									DialogData_TalkContent_3481204	DialogData_TalkTitle_3481204	DialogData_TalkRoleName_3481204
3481205	3481206		1	1245									DialogData_TalkContent_3481205	DialogData_TalkTitle_3481205	DialogData_TalkRoleName_3481205
3481206	3481207		1	1245									DialogData_TalkContent_3481206	DialogData_TalkTitle_3481206	DialogData_TalkRoleName_3481206
3481207	3481208		1	1245									DialogData_TalkContent_3481207	DialogData_TalkTitle_3481207	DialogData_TalkRoleName_3481207
3481208	3481209												DialogData_TalkContent_3481208	DialogData_TalkTitle_3481208	DialogData_TalkRoleName_3481208
3481209													DialogData_TalkContent_3481209	DialogData_TalkTitle_3481209	DialogData_TalkRoleName_3481209
3481301	3481303		1	1245				TEST/Readable01					DialogData_TalkContent_3481301	DialogData_TalkTitle_3481301	DialogData_TalkRoleName_3481301
3481303	3481304		1	1245									DialogData_TalkContent_3481303	DialogData_TalkTitle_3481303	DialogData_TalkRoleName_3481303
3481304	3481305		1	1245									DialogData_TalkContent_3481304	DialogData_TalkTitle_3481304	DialogData_TalkRoleName_3481304
3481305	3481306		1	1245									DialogData_TalkContent_3481305	DialogData_TalkTitle_3481305	DialogData_TalkRoleName_3481305
3481306	3481307		1	1245									DialogData_TalkContent_3481306	DialogData_TalkTitle_3481306	DialogData_TalkRoleName_3481306
3481307			1	1245									DialogData_TalkContent_3481307	DialogData_TalkTitle_3481307	DialogData_TalkRoleName_3481307
3481401	3481402		1	1245				TEST/Readable01					DialogData_TalkContent_3481401	DialogData_TalkTitle_3481401	DialogData_TalkRoleName_3481401
3481402	3481403		1	1245									DialogData_TalkContent_3481402	DialogData_TalkTitle_3481402	DialogData_TalkRoleName_3481402
3481403	3481404		1	1245									DialogData_TalkContent_3481403	DialogData_TalkTitle_3481403	DialogData_TalkRoleName_3481403
3481404	3481405		1	1245									DialogData_TalkContent_3481404	DialogData_TalkTitle_3481404	DialogData_TalkRoleName_3481404
3481405	3481406		1	1245									DialogData_TalkContent_3481405	DialogData_TalkTitle_3481405	DialogData_TalkRoleName_3481405
3481406	3481407		1	1245									DialogData_TalkContent_3481406	DialogData_TalkTitle_3481406	DialogData_TalkRoleName_3481406
3481407	3481408		1	1245									DialogData_TalkContent_3481407	DialogData_TalkTitle_3481407	DialogData_TalkRoleName_3481407
3481408			1	1245									DialogData_TalkContent_3481408	DialogData_TalkTitle_3481408	DialogData_TalkRoleName_3481408
3481501	3481503		1	1245				TEST/Readable01					DialogData_TalkContent_3481501	DialogData_TalkTitle_3481501	DialogData_TalkRoleName_3481501
3481503	3481504		1	1245									DialogData_TalkContent_3481503	DialogData_TalkTitle_3481503	DialogData_TalkRoleName_3481503
3481504	3481505		1	1245									DialogData_TalkContent_3481504	DialogData_TalkTitle_3481504	DialogData_TalkRoleName_3481504
3481505	3481506		1	1245									DialogData_TalkContent_3481505	DialogData_TalkTitle_3481505	DialogData_TalkRoleName_3481505
3481506			1	1245									DialogData_TalkContent_3481506	DialogData_TalkTitle_3481506	DialogData_TalkRoleName_3481506
3481601	3481602		1	1245				TEST/Readable01					DialogData_TalkContent_3481601	DialogData_TalkTitle_3481601	DialogData_TalkRoleName_3481601
3481602	3481603		1	1245									DialogData_TalkContent_3481602	DialogData_TalkTitle_3481602	DialogData_TalkRoleName_3481602
3481603	3481604		1	1245									DialogData_TalkContent_3481603	DialogData_TalkTitle_3481603	DialogData_TalkRoleName_3481603
3481604	3481605		1	1245									DialogData_TalkContent_3481604	DialogData_TalkTitle_3481604	DialogData_TalkRoleName_3481604
3481605	3481606		1	1245									DialogData_TalkContent_3481605	DialogData_TalkTitle_3481605	DialogData_TalkRoleName_3481605
3481606	3481607		1	1245									DialogData_TalkContent_3481606	DialogData_TalkTitle_3481606	DialogData_TalkRoleName_3481606
3481607			1	1245									DialogData_TalkContent_3481607	DialogData_TalkTitle_3481607	DialogData_TalkRoleName_3481607
3490101	3490103		1	1244				TEST/Readable01					DialogData_TalkContent_3490101	DialogData_TalkTitle_3490101	DialogData_TalkRoleName_3490101
3490103	3490104		1	1244									DialogData_TalkContent_3490103	DialogData_TalkTitle_3490103	DialogData_TalkRoleName_3490103
3490104			1	1244									DialogData_TalkContent_3490104	DialogData_TalkTitle_3490104	DialogData_TalkRoleName_3490104
3490201	3490203		1	1244				TEST/Readable01					DialogData_TalkContent_3490201	DialogData_TalkTitle_3490201	DialogData_TalkRoleName_3490201
3490203	3490204		1	1244									DialogData_TalkContent_3490203	DialogData_TalkTitle_3490203	DialogData_TalkRoleName_3490203
3490204			1	1244									DialogData_TalkContent_3490204	DialogData_TalkTitle_3490204	DialogData_TalkRoleName_3490204
3490301	3490303		1	1244				TEST/Readable01					DialogData_TalkContent_3490301	DialogData_TalkTitle_3490301	DialogData_TalkRoleName_3490301
3490303	3490304		1	1244									DialogData_TalkContent_3490303	DialogData_TalkTitle_3490303	DialogData_TalkRoleName_3490303
3490304			1	1244									DialogData_TalkContent_3490304	DialogData_TalkTitle_3490304	DialogData_TalkRoleName_3490304
3490401	3490403		1	1244				TEST/Readable01					DialogData_TalkContent_3490401	DialogData_TalkTitle_3490401	DialogData_TalkRoleName_3490401
3490403	3490404		1	1244									DialogData_TalkContent_3490403	DialogData_TalkTitle_3490403	DialogData_TalkRoleName_3490403
3490404			1	1244									DialogData_TalkContent_3490404	DialogData_TalkTitle_3490404	DialogData_TalkRoleName_3490404
3490501	3490503		1	1244				TEST/Readable01					DialogData_TalkContent_3490501	DialogData_TalkTitle_3490501	DialogData_TalkRoleName_3490501
3490503	3490504		1	1244									DialogData_TalkContent_3490503	DialogData_TalkTitle_3490503	DialogData_TalkRoleName_3490503
3490504			1	1244									DialogData_TalkContent_3490504	DialogData_TalkTitle_3490504	DialogData_TalkRoleName_3490504
3490601	3490603		1	1244				TEST/Readable01					DialogData_TalkContent_3490601	DialogData_TalkTitle_3490601	DialogData_TalkRoleName_3490601
3490603	3490604		1	1244									DialogData_TalkContent_3490603	DialogData_TalkTitle_3490603	DialogData_TalkRoleName_3490603
3490604			1	1244									DialogData_TalkContent_3490604	DialogData_TalkTitle_3490604	DialogData_TalkRoleName_3490604
3490701	3490703		1	1244				TEST/Readable01					DialogData_TalkContent_3490701	DialogData_TalkTitle_3490701	DialogData_TalkRoleName_3490701
3490703	3490704		1	1244									DialogData_TalkContent_3490703	DialogData_TalkTitle_3490703	DialogData_TalkRoleName_3490703
3490704			1	1244									DialogData_TalkContent_3490704	DialogData_TalkTitle_3490704	DialogData_TalkRoleName_3490704
3490801	3490803		1	1244				TEST/Readable01					DialogData_TalkContent_3490801	DialogData_TalkTitle_3490801	DialogData_TalkRoleName_3490801
3490803	3490804		1	1244									DialogData_TalkContent_3490803	DialogData_TalkTitle_3490803	DialogData_TalkRoleName_3490803
3490804			1	1244									DialogData_TalkContent_3490804	DialogData_TalkTitle_3490804	DialogData_TalkRoleName_3490804
3490901	3490903		1	1244				TEST/Readable01					DialogData_TalkContent_3490901	DialogData_TalkTitle_3490901	DialogData_TalkRoleName_3490901
3490903	3490904		1	1244									DialogData_TalkContent_3490903	DialogData_TalkTitle_3490903	DialogData_TalkRoleName_3490903
3490904			1	1244									DialogData_TalkContent_3490904	DialogData_TalkTitle_3490904	DialogData_TalkRoleName_3490904
3491001	3491003		1	1244				TEST/Readable01					DialogData_TalkContent_3491001	DialogData_TalkTitle_3491001	DialogData_TalkRoleName_3491001
3491003	3491004		1	1244									DialogData_TalkContent_3491003	DialogData_TalkTitle_3491003	DialogData_TalkRoleName_3491003
3491004			1	1244									DialogData_TalkContent_3491004	DialogData_TalkTitle_3491004	DialogData_TalkRoleName_3491004
3491101	3491103		1	1244				TEST/Readable01					DialogData_TalkContent_3491101	DialogData_TalkTitle_3491101	DialogData_TalkRoleName_3491101
3491103	3491104		1	1244									DialogData_TalkContent_3491103	DialogData_TalkTitle_3491103	DialogData_TalkRoleName_3491103
3491104			1	1244									DialogData_TalkContent_3491104	DialogData_TalkTitle_3491104	DialogData_TalkRoleName_3491104
3491201	3491203		1	1244				TEST/Readable01					DialogData_TalkContent_3491201	DialogData_TalkTitle_3491201	DialogData_TalkRoleName_3491201
3491203	3491204		1	1244									DialogData_TalkContent_3491203	DialogData_TalkTitle_3491203	DialogData_TalkRoleName_3491203
3491204	3491205		1	1005									DialogData_TalkContent_3491204	DialogData_TalkTitle_3491204	DialogData_TalkRoleName_3491204
3491205			1	1244									DialogData_TalkContent_3491205	DialogData_TalkTitle_3491205	DialogData_TalkRoleName_3491205
3500001			2										DialogData_TalkContent_3500001	DialogData_TalkTitle_3500001	DialogData_TalkRoleName_3500001
3500101			1	1005									DialogData_TalkContent_3500101	DialogData_TalkTitle_3500101	DialogData_TalkRoleName_3500101
3500201			2										DialogData_TalkContent_3500201	DialogData_TalkTitle_3500201	DialogData_TalkRoleName_3500201
3500301			2										DialogData_TalkContent_3500301	DialogData_TalkTitle_3500301	DialogData_TalkRoleName_3500301
3500302			2										DialogData_TalkContent_3500302	DialogData_TalkTitle_3500302	DialogData_TalkRoleName_3500302
3500303			2										DialogData_TalkContent_3500303	DialogData_TalkTitle_3500303	DialogData_TalkRoleName_3500303
3500304			2										DialogData_TalkContent_3500304	DialogData_TalkTitle_3500304	DialogData_TalkRoleName_3500304
3500305			2										DialogData_TalkContent_3500305	DialogData_TalkTitle_3500305	DialogData_TalkRoleName_3500305
3500306			2										DialogData_TalkContent_3500306	DialogData_TalkTitle_3500306	DialogData_TalkRoleName_3500306
3500307			2										DialogData_TalkContent_3500307	DialogData_TalkTitle_3500307	DialogData_TalkRoleName_3500307
3500308			2										DialogData_TalkContent_3500308	DialogData_TalkTitle_3500308	DialogData_TalkRoleName_3500308
3500309			2										DialogData_TalkContent_3500309	DialogData_TalkTitle_3500309	DialogData_TalkRoleName_3500309
3500310			2										DialogData_TalkContent_3500310	DialogData_TalkTitle_3500310	DialogData_TalkRoleName_3500310
3500311			2										DialogData_TalkContent_3500311	DialogData_TalkTitle_3500311	DialogData_TalkRoleName_3500311
3510005			1	1005									DialogData_TalkContent_3510005	DialogData_TalkTitle_3510005	DialogData_TalkRoleName_3510005
3510006			1	1005									DialogData_TalkContent_3510006	DialogData_TalkTitle_3510006	DialogData_TalkRoleName_3510006
3510001			1	1005									DialogData_TalkContent_3510001	DialogData_TalkTitle_3510001	DialogData_TalkRoleName_3510001
3510007			1	1005									DialogData_TalkContent_3510007	DialogData_TalkTitle_3510007	DialogData_TalkRoleName_3510007
3510008			1	1005									DialogData_TalkContent_3510008	DialogData_TalkTitle_3510008	DialogData_TalkRoleName_3510008
3510101			1	1005									DialogData_TalkContent_3510101	DialogData_TalkTitle_3510101	DialogData_TalkRoleName_3510101
3510102			1	1005									DialogData_TalkContent_3510102	DialogData_TalkTitle_3510102	DialogData_TalkRoleName_3510102
3510103			2										DialogData_TalkContent_3510103	DialogData_TalkTitle_3510103	DialogData_TalkRoleName_3510103
3510104			1	1005									DialogData_TalkContent_3510104	DialogData_TalkTitle_3510104	DialogData_TalkRoleName_3510104
3510105			1	1005									DialogData_TalkContent_3510105	DialogData_TalkTitle_3510105	DialogData_TalkRoleName_3510105
3520001			1	1005									DialogData_TalkContent_3520001	DialogData_TalkTitle_3520001	DialogData_TalkRoleName_3520001
3521601	3521602		1	1005				TEST/LerpInPaimonFirstCutscene					DialogData_TalkContent_3521601	DialogData_TalkTitle_3521601	DialogData_TalkRoleName_3521601
3521602	3521603		1	1005									DialogData_TalkContent_3521602	DialogData_TalkTitle_3521602	DialogData_TalkRoleName_3521602
3521603	3521604		1	1005									DialogData_TalkContent_3521603	DialogData_TalkTitle_3521603	DialogData_TalkRoleName_3521603
3521604	3521605		1	1005									DialogData_TalkContent_3521604	DialogData_TalkTitle_3521604	DialogData_TalkRoleName_3521604
3521605			1	1005									DialogData_TalkContent_3521605	DialogData_TalkTitle_3521605	DialogData_TalkRoleName_3521605
3521701			1	1005									DialogData_TalkContent_3521701	DialogData_TalkTitle_3521701	DialogData_TalkRoleName_3521701
3521702			1	1005									DialogData_TalkContent_3521702	DialogData_TalkTitle_3521702	DialogData_TalkRoleName_3521702
3521703			1	1005									DialogData_TalkContent_3521703	DialogData_TalkTitle_3521703	DialogData_TalkRoleName_3521703
3521704			1	1005									DialogData_TalkContent_3521704	DialogData_TalkTitle_3521704	DialogData_TalkRoleName_3521704
3520301			1	1005									DialogData_TalkContent_3520301	DialogData_TalkTitle_3520301	DialogData_TalkRoleName_3520301
3520501			1	1005									DialogData_TalkContent_3520501	DialogData_TalkTitle_3520501	DialogData_TalkRoleName_3520501
3520601			1	1005									DialogData_TalkContent_3520601	DialogData_TalkTitle_3520601	DialogData_TalkRoleName_3520601
3520701			1	1005									DialogData_TalkContent_3520701	DialogData_TalkTitle_3520701	DialogData_TalkRoleName_3520701
3521001	3521002		1	1005				TEST/LerpInPaimon					DialogData_TalkContent_3521001	DialogData_TalkTitle_3521001	DialogData_TalkRoleName_3521001
3521002		1	2										DialogData_TalkContent_3521002	DialogData_TalkTitle_3521002	DialogData_TalkRoleName_3521002
3532801	3532802		1	1005									DialogData_TalkContent_3532801	DialogData_TalkTitle_3532801	DialogData_TalkRoleName_3532801
3532802	3532803		1	1005									DialogData_TalkContent_3532802	DialogData_TalkTitle_3532802	DialogData_TalkRoleName_3532802
3532803	3532804,3532807		1	1005									DialogData_TalkContent_3532803	DialogData_TalkTitle_3532803	DialogData_TalkRoleName_3532803
3532804	3532805		2										DialogData_TalkContent_3532804	DialogData_TalkTitle_3532804	DialogData_TalkRoleName_3532804
3532805	3532809		1	1005									DialogData_TalkContent_3532805	DialogData_TalkTitle_3532805	DialogData_TalkRoleName_3532805
3532807	3532808		2										DialogData_TalkContent_3532807	DialogData_TalkTitle_3532807	DialogData_TalkRoleName_3532807
3532808	3532809		1	1005									DialogData_TalkContent_3532808	DialogData_TalkTitle_3532808	DialogData_TalkRoleName_3532808
3532809	3532817		1	1005									DialogData_TalkContent_3532809	DialogData_TalkTitle_3532809	DialogData_TalkRoleName_3532809
3532817	3532810		1	1005									DialogData_TalkContent_3532817	DialogData_TalkTitle_3532817	DialogData_TalkRoleName_3532817
3532810	3532811		1	1005									DialogData_TalkContent_3532810	DialogData_TalkTitle_3532810	DialogData_TalkRoleName_3532810
3532811	3532812		1	1005									DialogData_TalkContent_3532811	DialogData_TalkTitle_3532811	DialogData_TalkRoleName_3532811
3532812	3532813		1	1005									DialogData_TalkContent_3532812	DialogData_TalkTitle_3532812	DialogData_TalkRoleName_3532812
3532813			1	1005									DialogData_TalkContent_3532813	DialogData_TalkTitle_3532813	DialogData_TalkRoleName_3532813
3532901			2										DialogData_TalkContent_3532901	DialogData_TalkTitle_3532901	DialogData_TalkRoleName_3532901
3532902			2										DialogData_TalkContent_3532902	DialogData_TalkTitle_3532902	DialogData_TalkRoleName_3532902
3532903			2										DialogData_TalkContent_3532903	DialogData_TalkTitle_3532903	DialogData_TalkRoleName_3532903
3532904			2										DialogData_TalkContent_3532904	DialogData_TalkTitle_3532904	DialogData_TalkRoleName_3532904
3532905			2										DialogData_TalkContent_3532905	DialogData_TalkTitle_3532905	DialogData_TalkRoleName_3532905
3530301			1	1005									DialogData_TalkContent_3530301	DialogData_TalkTitle_3530301	DialogData_TalkRoleName_3530301
3530401			1	1005									DialogData_TalkContent_3530401	DialogData_TalkTitle_3530401	DialogData_TalkRoleName_3530401
