ID	采集物ID	获得物品ID	额外获得物品ID	挂节点类型	挂接位置	刷新CD	刷新优先级	[区块]1ID	[区块]1数量	初始不可交互
3007002	70520013	100063		2011001	0	10	15	3007	6	
3007007	70520002	101002		1002001	0	10	20	3007	30	
3007009	70520009	100016		2001	0	10	10	3007	60	
3007010	70520003	101003		1003001	0	10	30	3007	30	
3007012	70520004	100011		2002	0	10	5	3007	30	
3007016	70520004	100011		2002001	0	60	10	3007	30	
3007017	70520005	100012		2004	0	10	10	3007	60	
3007018	70520005	100012		2004001	0	10	10	3007	14	
3007019	70520008	100015		2005	0	10	10	3007	30	
3007020	70520008	100015		2005001	0	10	10	3007	10	
3007022	70540005	100020		2007	0	10	10	3007	50	
3007023	70590004	107001		4001001	0	1	10	3007	100	
3007024	70540001	100051		3002	1	10	10	3007	70	
3007025	70540004	100062		3003	1	10	10	3007	20	
3007031	70510006	100053		3005	0	10	10	3007	20	1
3007032	70510005	100054		3006	0	10	10	3007	20	
3007033	70510004	100055		3007	0	10	10	3007	50	
3007034	70590013	100056		2008	0	10	10	3007	20	
3007035	70510007	100052		3008	0	10	10	3007	20	1
3007036	70520013	100063		2009	0	10	10	3007	20	
3007039	70510009	100057		3009	0	10	10	3007	20	1
1004001	71700002	100178		9001	1	1	10	1004	1	
1004002	71700003	100179		9002	1	1	10	1004	1	
1004003	71700004	100180		9003	1	1	10	1004	1	
1004004	71700005	100181		9004	1	1	10	1004	1	
1004005	71700006	100182		9005	1	1	10	1004	1	
1004006	71700007	100183		9006	1	1	10	1004	1	
1004007	71700009	100188		9007	1	1	10	1004	1	
1004008	71700010	100189		9008	1	1	10	1004	1	
1004009	71700011	100190		9009	1	1	10	1004	1	
1004010	71700012	100191		9010	1	1	10	1004	1	
1004011	71700013	100192		9011	1	1	10	1004	1	
1004012	71700014	100193		9012	1	1	10	1004	1	
1004013	71700015	100194		9013	1	1	10	1004	1	
1004014	71700016	100195		9014	1	1	10	1004	1	
1004015	71700017	100196		9015	1	1	10	1004	1	
1004016	71700018	100197		9016	1	1	10	1004	1	
1004017	71700019	100198		9017	1	1	10	1004	1	
1004018	71700020	100199		9018	1	1	10	1004	1	
1004019	71700021	100200		9019	1	1	10	1004	1	
1004020	71700023	100202		9020	1	1	10	1004	1	
1004021	71700024	100203		9021	1	1	10	1004	1	
1004022	71700025	100204		9022	1	1	10	1004	1	
1004023	71700026	100205		9023	1	1	10	1004	1	
1004024	71700027	100206		9024	1	1	10	1004	1	
1004025	71700028	100207		9025	1	1	10	1004	1	
1004026	71700029	100208		9026	1	1	10	1004	1	
1004027	71700022	100201		9027	1	1	10	1004	1	
20001001	70510009	100057		20001001	0	1	10	20000	20	1
