ID	阶数	食谱图标	料理类型	烹饪方式	默认解锁	熟练度上限	品质1ID	品质1数量	品质2ID	品质2数量	品质3ID	品质3数量	材料1ID	材料1数量	材料2ID	材料2数量	材料3ID	材料3数量	材料4ID	材料4数量	材料5ID	材料5数量	QTE参数	烹饪自动QTE权重	Name	Desc	Effects1	Effects2	Effects3	Effects4
2005	3	UI_ItemIcon_Recipe_2005	3	2	1	30	108062	1	108063	1	108064	1	100013	2	100064	1	100053	1	110006	1			0.4,0.6;0.5,0.515	0,10,90	CookRecipeData_Name_2005	CookRecipeData_Desc_2005	CookRecipeData_Effects1_2005	CookRecipeData_Effects2_2005	CookRecipeData_Effects3_2005	CookRecipeData_Effects4_2005
2006	3	UI_ItemIcon_Recipe_2006	1	2	1	30	108065	1	108066	1	108067	1	100018	1	110005	1	110002	1	110007	1			0.4,0.6;0.5,0.515	0,10,90	CookRecipeData_Name_2006	CookRecipeData_Desc_2006	CookRecipeData_Effects1_2006	CookRecipeData_Effects2_2006	CookRecipeData_Effects3_2006	CookRecipeData_Effects4_2006
2007	3	UI_ItemIcon_Recipe_1005	1	4	1	30	108041	1	108042	1	108043	1	100011	1	110001	1	110009	1					0.6,0.8;0.65,0.665	0,10,90	CookRecipeData_Name_2007	CookRecipeData_Desc_2007	CookRecipeData_Effects1_2007	CookRecipeData_Effects2_2007	CookRecipeData_Effects3_2007	CookRecipeData_Effects4_2007
3001	1	UI_ItemIcon_Recipe_3001	1	1	1	15	108007	1	108008	1	108009	1	100061	1									0.65,0.9;0.8,0.85	10,10,80	CookRecipeData_Name_3001	CookRecipeData_Desc_3001	CookRecipeData_Effects1_3001	CookRecipeData_Effects2_3001	CookRecipeData_Effects3_3001	CookRecipeData_Effects4_3001
3002	2	UI_ItemIcon_Recipe_3002	4	1	1	20	108019	1	108020	1	108021	1	100014	1	100018	1							0.7,0.9;0.85,0.88	5,10,85	CookRecipeData_Name_3002	CookRecipeData_Desc_3002	CookRecipeData_Effects1_3002	CookRecipeData_Effects2_3002	CookRecipeData_Effects3_3002	CookRecipeData_Effects4_3002
3003	3	UI_ItemIcon_Recipe_3003	1	1	1	30	108045	1	108046	1	108047	1	100080	1	110008	1	100020	1					0.75,0.95;0.915,0.93	0,10,90	CookRecipeData_Name_3003	CookRecipeData_Desc_3003	CookRecipeData_Effects1_3003	CookRecipeData_Effects2_3003	CookRecipeData_Effects3_3003	CookRecipeData_Effects4_3003
3004	3	UI_ItemIcon_Recipe_3004	2	1	1	30	108055	1	108056	1	108057	1	100061	3	100080	1	110009	1	100055	2			0.75,0.95;0.915,0.93	0,10,90	CookRecipeData_Name_3004	CookRecipeData_Desc_3004	CookRecipeData_Effects1_3004	CookRecipeData_Effects2_3004	CookRecipeData_Effects3_3004	CookRecipeData_Effects4_3004
4001	2	UI_ItemIcon_Recipe_4001	1	1	1	20	108022	1	108023	1	108024	1	100017	1	100062	1	100051	2					0.3,0.5;0.4,0.43	5,10,85	CookRecipeData_Name_4001	CookRecipeData_Desc_4001	CookRecipeData_Effects1_4001	CookRecipeData_Effects2_4001	CookRecipeData_Effects3_4001	CookRecipeData_Effects4_4001
4002	2	UI_ItemIcon_Recipe_4002	2	1	1	20	108025	1	108026	1	108027	1	100014	1	100017	1							0.3,0.5;0.4,0.43	5,10,85	CookRecipeData_Name_4002	CookRecipeData_Desc_4002	CookRecipeData_Effects1_4002	CookRecipeData_Effects2_4002	CookRecipeData_Effects3_4002	CookRecipeData_Effects4_4002
4003	2	UI_ItemIcon_Recipe_4003	2	1	1	20	108028	1	108029	1	108030	1	100018	1	100001	3	100062	1					0.3,0.5;0.4,0.43	5,10,85	CookRecipeData_Name_4003	CookRecipeData_Desc_4003	CookRecipeData_Effects1_4003	CookRecipeData_Effects2_4003	CookRecipeData_Effects3_4003	CookRecipeData_Effects4_4003
