ID	TextMapContent
UI_LOGIN_ACCOUNT_IS_EMPTY	EmbeddedTextMapData_TextMapContent_UI_LOGIN_ACCOUNT_IS_EMPTY
UI_LOGIN_PASSWORD_IS_EMPTY	EmbeddedTextMapData_TextMapContent_UI_LOGIN_PASSWORD_IS_EMPTY
UI_LOGIN_BEGIN_GAME_BTN	EmbeddedTextMapData_TextMapContent_UI_LOGIN_BEGIN_GAME_BTN
UI_LOGIN_TOUCH_TO_ENTER	EmbeddedTextMapData_TextMapContent_UI_LOGIN_TOUCH_TO_ENTER
UI_LOGIN_SELECT_SERVER	EmbeddedTextMapData_TextMapContent_UI_LOGIN_SELECT_SERVER
UI_LOGIN_SELECT_DESC	EmbeddedTextMapData_TextMapContent_UI_LOGIN_SELECT_DESC
UI_LOGIN_SELECT_TIPS	EmbeddedTextMapData_TextMapContent_UI_LOGIN_SELECT_TIPS
LOGIN_VISITOR_NAME	EmbeddedTextMapData_TextMapContent_LOGIN_VISITOR_NAME
UI_LOGIN_VISITOR_CONFIRM	EmbeddedTextMapData_TextMapContent_UI_LOGIN_VISITOR_CONFIRM
UI_LOGIN_CONFIRM	EmbeddedTextMapData_TextMapContent_UI_LOGIN_CONFIRM
UI_LOGIN_QUIT_CONFIRM_TITLE	EmbeddedTextMapData_TextMapContent_UI_LOGIN_QUIT_CONFIRM_TITLE
UI_LOGIN_QUIT_CONFIRM_DESC	EmbeddedTextMapData_TextMapContent_UI_LOGIN_QUIT_CONFIRM_DESC
UI_LOGIN_QUIT_CONFIRM_OK	EmbeddedTextMapData_TextMapContent_UI_LOGIN_QUIT_CONFIRM_OK
UI_LOGIN_QUIT_CONFIRM_CANCEL	EmbeddedTextMapData_TextMapContent_UI_LOGIN_QUIT_CONFIRM_CANCEL
UI_HTTP_ERROR	EmbeddedTextMapData_TextMapContent_UI_HTTP_ERROR
UI_DOWNLOAD_ERROR	EmbeddedTextMapData_TextMapContent_UI_DOWNLOAD_ERROR
UI_ENET_REGION_ERROR	EmbeddedTextMapData_TextMapContent_UI_ENET_REGION_ERROR
UI_BETA_CANVAS_INFO	EmbeddedTextMapData_TextMapContent_UI_BETA_CANVAS_INFO
UI_ENET_STOP_SERVER	EmbeddedTextMapData_TextMapContent_UI_ENET_STOP_SERVER
UI_ENET_FORCE_UPDATE	EmbeddedTextMapData_TextMapContent_UI_ENET_FORCE_UPDATE
UI_ENET_DISCONNECT	EmbeddedTextMapData_TextMapContent_UI_ENET_DISCONNECT
UI_WRONG_DEVICE_INFO	EmbeddedTextMapData_TextMapContent_UI_WRONG_DEVICE_INFO
UI_WRONG_DEVICE_TITLE	EmbeddedTextMapData_TextMapContent_UI_WRONG_DEVICE_TITLE
UI_LOGO_HEALTHY_GAMING_TIPS	EmbeddedTextMapData_TextMapContent_UI_LOGO_HEALTHY_GAMING_TIPS
UI_NETWORK_EXCEPTION	EmbeddedTextMapData_TextMapContent_UI_NETWORK_EXCEPTION
