对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	优先级	后续对话ID	初始台词ID	演员NpcID	演出配置	对话主角处理
35210		1	2	1	35101	2	1	35203	2				1		3521001	1005		1
35204		1												35212,35213	3520401	1005		1
35211		1													3521101	1005		1
35212		1												35214	3521201	1005		1
35213		1												35214	3521301	1005		1
35214		1													3521401	1005		1
35328	2	1		1	35301	2							5		3532801	1005	QuestDialogue/Q353/InterContainer_Q35328	1
35501		1		1	35503	2								35502,35503	3550101	1005		1
35502		1												35504	3550201	1005		1
35503		1												35504	3550301	1005		1
35504		1													3550401	1005		1
35506	2	1		1	35505	2							5		3550601	1005	QuestDialogue/Q355/InterContainer_Q35506	
35507	2	1		1	35503	2							5		3550701	1005	QuestDialogue/Q355/InterContainer_Q35507	1
35401		1		1	35402	2									3540101	1002	QuestDialogue/Q354/InterContainer_Q354_Ambor	1
35404	2	1		1	35402	2							5		3540401	1002	QuestDialogue/Q354/InterContainer_Q35404	1
36001	2	1		1	36004	2							5		3600101	1002	QuestDialogue/Q360/InterContainer_Q36001	1
35601	1	1		1	35601	2							5		3560101	1002	QuestDialogue/Q356/InterContainer_Q35601	1
35604	2	1		1	35604	2							1		3560401	1002	QuestDialogue/Q356/InterContainer_Q35604	1
35701	2	1		1	35701	2							5		3570101	1002	QuestDialogue/Q357/InterContainer_Q35701	1
35702	2	1		1	35703	2							5		3570201	1002	QuestDialogue/Q357/InterContainer_Q35702	1
35704	2	1		1	35705	2							5		3570401	1002	QuestDialogue/Q357/InterContainer_Q35704	1
35707	2	1		1	35708	2							5		3570701	1002	QuestDialogue/Q357/InterContainer_Q35707	1
35710	2	1		1	35801	2							5		3571001	1005		1
35723	2	1		1	35723	2							5		3572301	1002	QuestDialogue/Q357/InterContainer_Q35723	1
35801	2	1		1	35802	2							5		3580101	1004	QuestDialogue/Q358/InterContainer_Q35801	
30600		1													3060001	1002		1
30601		1													3060101	1002		1
30602		1													3060201	1002		1
30603	2	1		1	30600	2							4		3060301	1002		1
30611	2	1		1	30601	2							5		3061101	1002	QuestDialogue/Q306/InterContainer_Q30611	1
30612	2	1		1	30602	2							5		3061101	1002		1
30610	2	1		1	30610	2							1		3061001	1002	QuestDialogue/Q306/InterContainer_Q30610	1
30700		1													3070001	1004		1
30701		1													3070101	1004		1
30702		1													3070201	1004		1
30710		1													3071001	1004		1
30703	2	1		1	30700	2							4		3070301	1004		1
30711	2	1		1	30701	2							5		3071101	1004	QuestDialogue/Q307/InterContainer_Q30711	1
30712	1	1		1	30710	2							5		3071201	1004		
30714	2	1		1	30702	2							5		3071101	1004		1
30715	2	1		1	30715	2							1		3071501	1004	QuestDialogue/Q307/InterContainer_Q30715	1
30800		1													3080001	1007		1
30801		1													3080101	1007		1
30802		1													3080201	1007		1
30810		1													3081001	1007		1
30803	2	1		1	30800	2							4		3080301	1007		1
30811	2	1		1	30801	2							5		3081101	1007	QuestDialogue/Q308/InterContainer_Q30811	1
30812	1	1		1	30810	2							5		3081201	1007		
30813	2	1		1	30802	2							5		3081101	1007		1
30814	2	1		1	30814	2							1		3081401	1007	QuestDialogue/Q308/InterContainer_Q30814	1
30901															3090101	1006		1
30903	2	1		1	30901	2							4		3090301	1006		1
30902	2	1	1	1	31101	2	2	46904	3				5		3090201	1005	QuestDialogue/Q309/InterContainer_Q30902	1
30904	2	1	1	1	31101	2	1	46904	3				5		3090401	1005		1
30911	2	1		1	30901	2							5		3091101	10001		
30912	2	1		1	30901	2							5		3091201	10002		
30913	2	1		1	30901	2							5		3091301	10003		
30914	2	1		1	30901	2							5		3091401	10004		
30915	2	1		1	30901	2							5		3091501	10005		
30916	2	1		1	30901	2							5		3091601	10006		
31001	2												1		3100101	1003		
31002	2												1		3100201	22		
31003	2												1		3100301	23		
31004	2												1		3100401	24		
31005	2												1		3100501	25		
31006	2												1		3100601	26		
31008	2												1		3100801	1305		
31009				1	31001	2							5	31010,31011,31012	3100901	1435		
31010													1	31013,31014,31015,31020	3101001	1435		
31011													1	31016,31017,31018,31019,31020	3101101	1435		
31012													1		3101201	1435		
31013				1	31002	2							1		3101301	1435		
31014				1	31003	2							1		3101401	1435		
31015				1	31004	2							1		3101501	1435		
31016				1	31005	2							1		3101601	1435		
31017				1	31006	2							1		3101701	1435		
31018				1	31007	2							1		3101801	1435		
31019				1	31008	2							1		3101901	1435		
31020				1	31001	2							1		3102001	1435		
31101	2												1	31104,31107	3110101	31		
31102	2												1	31105,31108	3110201	32		
31103	2												1	31106,31109	3110301	33		
31104															3110401	31		
31105															3110501	32		
31106															3110601	33		
31107															3110701	31		
31108															3110801	32		
31109															3110901	33		
31110	2												1	31111,31112	3111001	30		
31111															3111101	30		
31112															3111201	30		
31141	2			1	35205	3								31159,31153,31154,31157,31156	3114101	1201		
31142	2			1	30302	3								31158,31153,31154,31157,31156	3114201	1202		
31143	2			1	30303	3								31158,31153,31154,31157,31156	3114301	1203		
31144	2			1	30304	3								31158,31153,31154,31157,31156	3114401	1204		
31145	2														3114501	1205		
31146	2														3114601	1206		
31147	2														3114701	1207		
31148	2														3114801	1208		
31149	2														3114901	1209		
31150				5	7		6	1					1		3115001	1203		
31151													1		3115101	1203		
31152													1		3115201	1203		
31153				5	7		6	1					1		3115301	1201		
31154													1		3115401	1201		
31155													1		3115501	1201		
31156													1		3115601	1201		
31157													1		3115701	1201		
31158													1		3115801	1201		
31159				1	35709	3							1		3115901	1201		
31160													1		3116001	1203		
31201	2												1		3120101	34		
31202	2												1		3120201	35		
31234	2												1	31235,31236	3123401	86		
31235														31237,31238,31239,31240,31241,31242	3123501	86		
31236															3123601	86		
31237														31243	3123701	86		
31238														31243	3123801	86		
31239														31243	3123901	86		
31240														31243	3124001	86		
31241														31243	3124101	86		
31242															3124201	86		
31243														31237,31238,31239,31240,31241,31242	3124301	86		
31256	2												4		3125601	93		
31257				1	30904	3							5		3125701	93		
31258	2														3125801	94		
30101		1		2	30101	3							1		3010101	31		
30102	2	1	1	1	30101	3	2	30102	3				1		3010201	1001		
30103	2	1	1	1	30102	3	2	30103	3				1		3010301	1003		
30104	2	1	1	1	30103	3	2	30104	3				1		3010401	1002		
30106	2	1	1	1	30107	3	2	30108	3				1		3010601	1004		
30107	2	1	1	1	30109	3	2	30110	3				1	30108,30160,30109	3010701	1004		
30108		1		3	100001	1							1		3010801	1004		
30160		1											1		3016001	1004		
30109		1											1		3010901	1004		
30110	2	1	1	1	30111	3	2	30112	3				1	30111,30112	3011001	1004		
30111		1											1		3011101	1004		
30112		1											1		3011201	1004		
30113	2	1	1	1	30113	3	2	30114	3				1		3011301	1004		
30114	2	1	1	1	30114	3	2	30115	3				1		3011401	1004		
30115	2	1	1	1	30115	3	2	30116	3				1		3011501	1004		
30116	2	1	1	1	30117	3	2	30118	3				1		3011601	1004		
30150	2	1	1	1	30101	3	2	40101	3				1	40101,40100	3015001	1101		
30151	2	1	1	1	30101	3	2	40201	3				1	40201,40200	3015101	1102		
30152	2	1		1	30101	3							1		3015201	1103		
30153	2	1		1	30101	3							1		3015301	1104		
30302	2	1		2	30302	3									3030201	1202		
30303	2	1		2	30303	3									3030301	1203		
30304	2	1		2	30304	3									3030401	1204		
30400	2	1		1	30400	2							1		3040001	1002		
30401	2	1		1	30401	2								30406	3040101	1002		
30402	2	1		1	30403	2									3040201	1002		
30403	2	1		1	30405	2									3040301	1002		
30404	2	1		1	30407	2									3040401	1002		
30405	2	1		1	30409	2									3040501	1002		
30406		1													3040601	1002		
30501	2	1		1	30501	2								30506	3050101	1002		
30506		1													3050601	1002		
30502	1	1		1	30503	2									3050201	1001		
30503	1	1		1	30505	2									3050301	1004		
30504	2	1		1	30506	2									3050401	1006	QuestDialogue/Q305/InterContainer_Q305_Knight_Test	1
30505	2	1		1	30506	4									3050401	1006	QuestDialogue/Q305/InterContainer_Q305_Knight_Test	1
37001	2	1	1	1	37001	3	2	37002	3				1		3700101	1006	QuestDialogue/Q370/InterContainer_Q37001	1
37002	2	1	1	1	99401	2							1		3700104	1006	QuestDialogue/Q370/InterContainer_TestAvatar	1
37003	2	1	1	1	99601	2							1		9960101	1004		
37101	2	1	1	1	37101	3	2	37102	3				1		3710101	1243		1
37109	1	1		1	37104	2									3710901	1243	QuestDialogue/Q371/InterContainer_Q37109	1
37115	2	1	1	1	37115	2	2	37109	3						3711501	1243	QuestDialogue/Q371/InterContainer_Q37114	1
37201	2	1		1	37201	2							1		3720101	1160	QuestDialogue/Q372/InterContainer_Q37201	1
37205	2	1		1	37203	2									3720501	1160	QuestDialogue/Q372/InterContainer_Q37205	1
37308	2	1	1	1	37301	3	2	37302	3				1		3730901	1161		
37309	2	1	1	1	37302	3	2	37303	3				1		3730901	1161		
37310	2	1	1	1	37403	3	2	37404	3				1		3730901	1161		
37311	2	1	2	1	37501	2	1	37502	2				1		3730901	1161		
37312	2	1	1	1	37002	3	2	37101	3						3730902	1006		1
37313	2	1	1	1	37002	3	2	37101	3						3730915	1002		1
37314	2	1	1	1	37002	3	2	37101	3						3730926	1007		1
37315	2	1	1	1	37002	3	2	37101	3						3730939	1014		1
37402	1	1	1	1	37401	3	2	37402	3				1		3740201	1001	QuestDialogue/Q374/InterContainer_Q37402	1
37403	2	1	1	1	37403	3	2	37404	3				1		3740301	1001	QuestDialogue/Q374/InterContainer_Q37403	1
37404	2	1	1	1	37405	3	2	37406	3				1		3740401	1161	QuestDialogue/Q374/InterContainer_Q37404	1
37405	2	1	1	1	37404	3	2	37405	3				1		3740306	1001		1
37406	2	1	1	1	37501	3	2	37502	3				1		3740306	1001		1
37501	2	1	1	1	37406	3	2	37501	3				1		3750101	1001	QuestDialogue/Q375/InterContainer_Q37501	1
37503	1	1		1	42101	2							1		3750202	1164		
37604	2	1	1	1	37604	3	2	37605	3				1		3760401	1009	QuestDialogue/Q376/InterContainer_Q37604	1
37605	2	1		1	37606	2							1		3760411	1009		1
37606	2	1	1	1	37606	3	2	37607	3				1		3760601	1009	QuestDialogue/Q376/InterContainer_Q37606	1
37607	1	1	1	1	37607	3	2	37608	3				1		3760701	1009	QuestDialogue/Q376/InterContainer_Q37607	1
37702	2	1	1	1	37704	3	2	37705	3				1		3770201	1009	QuestDialogue/Q377/InterContainer_Q37702	1
37703	2	1	1	1	37702	3	2	37703	3				1		3770301	1009		1
37704	2	1	1	1	37702	3	2	37703	3				1		3770302	1001		1
37705	2	1	2	1	37701	2	1	37702	2				1		3770303	1009		1
37706	2	1	2	1	37701	2	1	37702	2				1		3770304	1001		1
37707	2	1	2	1	37801	2	1	37802	2						3770401	1009		1
37708	2	1	2	1	37801	2	1	37802	2						3770402	1001		1
37801	2	1	1	1	37802	3	2	37803	3				1		3780101	1006	QuestDialogue/Q378/InterContainer_Q37801	1
37803	2	1	1	1	37804	3	2	37805	3				1		3780301	1008	QuestDialogue/Q378/InterContainer_Q37803	1
37804	2	1		1	39501	2							1		3780401	1006		1
37805	2	1		1	39501	2							1		3780402	1008		1
37806	2	1		1	39502	2							1		3780403	1006		1
37807	2	1		1	39502	2							1		3780404	1008		1
39503	2	1	1	1	39502	3	2	39503	3				1		3950301	1008	QuestDialogue/Q395/InterContainer_Q39503	1
39504	2	1		1	37901	2							1		3950401	1008		1
39505	2	1		1	37901	2							1		3950402	1006		1
37902	2	1	1	1	37901	3	2	37902	3				1		3790201	1001	QuestDialogue/Q379/InterContainer_Q37902	1
37903	2	1	1	1	37902	3	2	37903	3				1		3790301	1001		1
37904	2	1	1	1	37903	3	2	37904	3				1		3790401	1006	QuestDialogue/Q379/InterContainer_Q37904	1
37905	2	1	1	1	38001	2	1	38101	2				1		3790501	1001		1
37906	2	1	1	1	38001	2	1	38101	2						3790502	1006		1
37907	2	1	1	1	38001	2	1	38101	2						3790503	1009		1
38004	2	1		1	38004	2									3810118	1006	QuestDialogue/Q381/InterContainer_Q38101	1
38105	2	1		1	38105	2									3800113	1006	QuestDialogue/Q380/InterContainer_Q38001	1
38302	2	1	1	1	38301	3	2	38302	3				1		3830201	1006	QuestDialogue/Q383/InterContainer_Q38302	1
38303	2	1	1	1	38302	3	2	38303	3				1		3830301	1001		1
38304	2	1	1	1	38303	3	2	38304	3				1		3830401	1006	QuestDialogue/Q383/InterContainer_Q38304	1
38305	2	1	2	1	38401	2	1	38402	2				1		3830501	1001		1
38306	2	1	2	1	38401	2	1	38402	2						3830514	1006		1
38307	2	1	2	1	38401	2	1	38402	2						3830527	1009		1
38402	2	1	1	1	38402	3	2	38403	3				1		3840201	1001	QuestDialogue/Q384/InterContainer_Q38402	1
38404	2	1	1	1	38404	3	2	38405	3				1		3840401	1001	QuestDialogue/Q384/InterContainer_Q38404	1
38406	2	1		1	38410	2							1		3840601	1009	QuestDialogue/Q384/InterContainer_Q38406	1
38407	2	1	1	1	38405	3	2	38406	3				1	38408,38409	3840703	1009		1
38408															3840705	1009		1
38409															3840706	1009		1
38410	2	1	1	1	38405	3	2	38406	3				1		3840701	1001		1
38411	2	1	1	1	38405	3	2	38406	3				1		3840702	1006		1
38420	2	1		1	38806	2							1		3840803	1009		1
38421	2	1		1	38806	2							1		3840801	1001		1
38422	2	1		1	38806	2							1		3840802	1006		1
38801	2	1		1	38801	2							1		3880101	1001	QuestDialogue/Q388/InterContainer_Q38801	1
38803	2	1		1	38803	2							1		3880301	1001	QuestDialogue/Q388/InterContainer_Q38803	1
38804	2	1		1	38804	2							1		3880401	1001	QuestDialogue/Q388/InterContainer_Q38804	1
38903	2	1		1	38903	2							1		3890301	1001	QuestDialogue/Q389/InterContainer_Q38903	1
38906	2	1		1	38906	2							1		3890601	1001	QuestDialogue/Q389/InterContainer_Q38906	1
39003	2	1	2	1	39003	2	1	39103	2	1	39203	2	1		3900301	1001	QuestDialogue/Q390/InterContainer_Q39003	1
39103	2	1	2	1	39003	2	1	39103	2	1	39203	2	1		3910301	1006	QuestDialogue/Q391/InterContainer_Q39103	1
39203	2	1	2	1	39003	2	1	39103	2	1	39203	2	1		3920301	1009	QuestDialogue/Q392/InterContainer_Q39203	1
39301	2	1		1	39303	2							1		3930101	1001	QuestDialogue/Q393/InterContainer_Q39301	1
39602	2	1		1	39602	2							1		3960201	1008	QuestDialogue/Q396/InterContainer_Q39602	1
39603	2	1		1	39603	2							1		3960301	1008		
39604	1	1		1	39604	2							1		3960401	1001	QuestDialogue/Q396/InterContainer_Q39604	1
39606	2	1		1	39606	2							1		3960601	1001		
38601	2	1		1	38601	2							1		3860101	1469		1
38701	2	1		1	38701	2							1		3870101	1469		1
40100		1													4010001	1101		
40101		1													4010101	1101		
40102	2	1	1	1	40101	3	2	40103	3				1	40103,40100	4010201	1101		
40103		1		3	100004	1									4010301	1101		
40104	2	1	1	1	40103	3	2	40104	3				1		4010401	1101		
40105	2	1	1	1	40104	3	2	40105	3						4010501	1101		
40150	2	1													4015140101	1401		
40151	2	1													4015140301	1403		
40152	2	1													4015140401	1404		
40153	2	1													4015140501	1405		
40154	2	1													4015140801	1408		
40155	2	1											3	46111,46110,40215,40216,40217	4015140901	1409		
40215	2	1											2	40218	4015140902	1409		
40216	2	1											2	40219	4015140903	1409		
40217	2	1											2	40220	4015140904	1409		
40218	2	1											1		4015140905	1409		
40219	2	1											1		4015140909	1409		
40220	2	1											1		4015140913	1409		
40156	2	1													4015141001	1410		
40157	2	1											3	46113,46105,40221,40223	4015141101	1411		
40221	2	1											1		4015141102	1409		
40222	2	1											1		4015141103	1409		
40223	2	1											1		4015141104	1409		
40158	2	1													4015141201	1412		
40159	2	1											3	46114,46106,40224,40225,40226	4015141301	1413		
40224	2	1											1		4015141302	1413		
40225	2	1											1		4015141303	1413		
40226	2	1											1		4015141304	1413		
40160	2	1													4015141401	1414		
40161	2	1													4015146701	1467		
40162	2	1											2		4015141701	1417		
40163	2	1											2		4015141901	1419		
40164	2	1													4015142101	1421		
40165	2	1											2		4015142351	1423		
40166	2	1													4015142501	1425		
40167	2	1													4015142701	1427		
40168	2	1													4015142901	1429		
40169	2	1													4015143001	1430		
40170	2	1													4015143101	1431		
40171	2	1													4015143301	1433		
40172	2	1											2		4015143501	1435		
40173	2	1											2	41601,38601,38701,41602,41603,41604	4015146901	1469		
41601	2	1											1		4015146903	1469		
41602	2	1											1		4015146930	1469		
41603	2	1											1		4015146920	1469		
41604	2	1											1		4015146906	1469		
40174	2	1													4015143701	1437		
40175	2	1													4015143901	1439		
40176	2	1													4015144101	1441		
40177	2	1													4015144301	1443		
40178	2	1													4015144501	1445		
40179	2	1													4015144701	1447		
40180	2	1													4015144901	1449		
40181	2	1													4015145701	1457		
40182	2	1													4015145901	1459		
40183	2	1													4015145301	1453		
40184	2	1													4015145101	1451		
40185	2	1													4015145501	1455		
40186	2	1													4015146101	1461		
40187	2	1													4015146301	1463		
40189	2	1													4015146501	1465		
40190	2	1													4015147101	1471		
40191	2	1													4015147301	1473		
40192	2	1		1	35505	3							3		4015143551	1435		
40193	2	1													4015147501	1475		
40194	2	1													4015147701	1477		
40198	2	1		1	35901	2							3		4015146961	1469		
40206	2	1											3	40209,40210	4015148003	1479		
40207	2	1											1	40211	4015148005	1479		
40208	2	1											1	40212	4015148010	1479		
40209	2	1											1	40213	4015148015	1479		
40210	2	1											1	40214	4015148020	1479		
40211	2	1											1		4015148006	1479		
40212	2	1											1		4015148011	1479		
40213	2	1											1	40207,40208	4015148016	1479		
40214	2	1											1		4015148021	1479		
2000201	2	1											3		4012000201	20002		
40200		1													4020001	1102		
40201		1		2	40201	3									4020101	1102		
40202	2	1	1	1	40201	3	2	40202	3				1		4020201	1151		
40203	2	1	1	1	40202	3	2	40203	3				1		4020301	1151		
40204	2	1	1	1	40203	3	2	40205	3				1	40205	4020401	1151		
40205		1		3	100006	1							1		4020501	1151		
40310	2	1		1	40300	2							5		4031001	1103		
40300		1													4030001	1105		
40301	2	1		1	40301	2							1	40302,40300	4030101	1105		
40302		1											1		4030201	1105		
40303	2	1	1	1	40302	2							1		4030301	1105		
40304	2	1	1	1	40302	4	2	40303	3				1		4030401	1105		
40305	2	1	1	3	100007	1	2	40304	3				1		4030501	1105		
40450	2	1		1	40400	2							5	40451,40452	4045001	1002		
40451		1												40453	4045101	1002		
40452		1												40453	4045201	1002		
40453		1												40454,40455	4045301	1002		
40454		1												40456,40457	4045401	1002		
40455		1													4045501	1002		
40456		1												40458	4045601	1002		
40457		1												40458	4045701	1002		
40458		1													4045801	1002		
40401		1													4040101	1002		
40402	2	1		1	40401	2							1	40403,40401	4040201	1002		
40403		1											1		4040301	1002		
40404	2	1	1	1	40402	2							1		4040401	1002		
40405	2	1	1	1	40402	4	2	40403	3				1		4040501	1002		
40406	2	1	1	1	40402	3	2	40404	3				1		4040601	1002		
40407		1													4040701	1002		
40408	2	1	1	1	40404	3	2	40406	3				1	40409,40407	4040801	1002		
40409		1											1		4040901	1002		
40410	2	1		1	40407	2							1		4041001	1002		
40411	2	1	1	1	40407	4	2	40408	3				1		4041101	1002		
40412	2	1	1	1	40407	3	2	40409	3				1	40413,40414	4041201	1002		
40413		1												40415	4041301	1002		
40414		1												40415	4041401	1002		
40415		1													4041501	1002		
40501	2	1		1	40501	2								40502,40401	4050101	1002		
40502		1													4050201	1002		
40503	2	1		1	40502	2									4050301	1002		
40504	2	1	1	1	40502	4	2	40503	3						4050401	1002		
40505	2	1	1	1	40502	3	2	40504	3						4050501	1002		
40601		1													4060101	1002		
40602	2	1		1	40601	2							1	40603,40601	4060201	1002		
40603		1											1		4060301	1002		
40604	2	1		1	40602	2							1		4060401	1002		
40605	2	1	1	1	40602	4	2	40603	3				1		4060501	1002		
40606	2	1	1	1	40602	3	2	40604	3				1		4060601	1002		
40701	2	1		1	40701	2								40702,40401	4070101	1105		
40702		1													4070201	1105		
40703	2	1		1	40702	2									4070301	1105		
40704	2	1	1	1	40702	4	2	40703	3						4070401	1105		
40705	2	1	1	1	40702	3	2	40704	3						4070501	1105		
40801	2	1		1	40801	2								40802,40803,40401	4080101	1116		
40802		1												40804,40805,40809	4080201	1116		
40803		1												40804,40805,40809	4080301	1116		
40804		1													4080401	1116		
40805		1													4080501	1116		
40806	2	1		1	40807	2									4080601	1116		
40807	2	1		1	40808	2									4080701	1116		
40808	2	1		1	40809	2									4080801	1116		
40809		1													4080901	1116		
40810	2	1		1	40806	2								40804,40805,40809	4081001	1116		
40811	2	1	1	1	40801	3	1	40804	0					40802,40803,40401	4081101	1116		
40901		1													4090101	1117		
40902	2	1		1	40901	2							1	40903,40901	4090201	1117		
40903		1												40907,40908	4090301	1117		
40904	2	1		1	40902	2							1		4090401	1117		
40905	2	1	1	1	40902	4	2	40903	3				1		4090501	1117		
40906	2	1	1	1	40902	3	2	40904	3				1		4090601	1117		
40907		1											1		4090701	1117		
40908		1											1		4090801	1117		
41001	2	1		1	41001	2							1	41002,41003,41004,41005	4100101	1118		
41002		1												41001	4100201	1118		
41003		1												41006,41005	4100301	1118		
41004		1												41001	4100401	1118		
41005		1													4100501	1118		
41006		1													4100601	1118		
41007	2	1		1	41002	2									4100701	1118		
41008	2	1		1	41003	2									4100801	1118		
41009	2	1		1	41004	2									4100901	1119		
41101		1													4110101	1006		
41102	2	1		1	41101	2								41103,41101	4110201	1006		
41103		1													4110301	1006		
41104	2	1	1	1	41101	3	2	41103	3						4110401	1006		
41105	2	1	1	1	41102	3	2	41103	3						4110501	1007		
41106	2	1	1	1	41103	3	2	41104	3						4110601	1007		
41107	2	1	1	1	41104	3	2	41105	3						4110701	1007		
41108	2	1	1	1	41105	3	2	41106	3						4110801	1007		
41109	2	1	1	1	41107	3	2	41108	3						4110901	1006		
41110		1													4111001	1006		
41111	2	1	1	1	41109	3	2	41111	3						4111101	1006		
41112	2	1	1	1	41110	3	2	41111	3						4111201	1007		
41113	2	1	1	1	41111	3	2	41112	3						4111301	1006		
41114	2	1	1	1	41112	3	2	41113	3						4111401	1006		
41115	2	1	1	1	41113	3	2	41114	3						4111501	1107		
41116	2	1	1	1	41114	3	2	41115	3						4111601	1006		
41117	2	1	1	1	41115	3	2	41116	3						4111701	1006		
41118		1													4111801	1005		
41201	2	1		1	41200	2							5	41202,41203	4120101	1004		
41202		1													4120201	1004		
41203		1												41205	4120301	1004		
41204		1	1	1	41200	3	2	41201	3					41202,41203	4120401	1004		
41205		1					2	41201	3						4120501	1004		
41206	2	1	1	1	41201	3	2	41202	3				1	41207,41208	4120601	1004		
41207		1													4120701	1004		
41208		1													4120801	1004		
41209		1		1	41202	3								41207,41208	4120901	1004		
41210	2	1	1	1	41203	3	2	41204	3				1		4121001	1004		
41211	2	1	1	1	41202	3	2	41203	3				1		4121101	1004		
41212	2	1	1	1	41204	3	2	41205	3				5	41213,41214	4121201	1004		
41213		1												41215	4121301	1004		
41214		1												41215	4121401	1004		
41215		1												41216,41217	4121501	1004		
41216		1													4121601	1004		
41217		1													4121701	1004		
41218	2	1	1	1	41205	3	2	41206	3				1		4121801	1004		
41219	2	1	1	1	41206	3	2	41207	3				1		4121901	1004		
41220	2	1	1	1	41207	3	2	41208	3				5	41221,41222	4122001	1004		
41221		1												41223	4122101	1004		
41222		1												41223	4122201	1004		
41223		1												41224	4122301	1004		
41224		1												41225,41226	4122401	1002		
41225		1												41227	4122501	1004		
41226		1												41227	4122601	1004		
41227		1												41228,41229	4122701	1004		
41228		1													4122801	1004		
41229		1													4122901	1004		
41230	2	1	1	1	41208	3	2	41209	3				1		4123001	1004		
41231	2	1	1	1	41209	3	2	41210	3				1	41232	4123101	1004		
41232		1													4123201	1004		
41301	1	1		1	41301	3	2	41302	3						4130101	1007		
41302	2	1	1	1	41302	3	2	41303	3						4130201	1008		
41303	1	1	1	1	41304	3	2	41305	3						4130301	1008		
41304	1	1	1	1	41306	3	2	41307	3						4130401	1108		
41305		1													4130501	1005		
41306	2	1	1	1	41307	3	2	41308	3						4130601	1008		
41307	1	1	1	1	41310	3	2	41311	3						4130701	1109		
41308	2	1	1	1	41311	3	2	41312	3						4130801	1109		
41309	2	1	1	1	41312	3	2	41313	3						4130901	1008		
41310	2	1	1	1	41314	3	2	41315	3						4131001	1008		
41311	2	1	1	1	41315	3	2	41316	3						4131101	1007		
41321	2	1													4132101	1110		
41322	2	1													4132201	1111		
41323	2	1													4132301	1112		
41324	2	1		1	41310	2									4132401	1109		
41325		1													4132501	1008		
41401	2	1		1	41400	2							5		4140101	1001	QuestDialogue/Q414/Q414_41400_ConfigInterContainer	
41402		1												41404	4140201	1001		
41403		1													4140301	1001		
41404		1												41405,41406	4140401	1001		
41405		1												41407	4140501	1001		
41406		1												41407	4140601	1001		
41407		1												41408,41409	4140701	1001		
41408		1												41410	4140801	1001		
41409		1												41410	4140901	1001		
41410		1													4141001	1001		
41411		1												41413	4141101	1001		
41412		1												41413	4141201	1001		
41413		1													4141301	1001		
41415	2	1	2	1	41401	3	1	41402	2				1		4141501	1001		
41416	2	1		1	41404	2							1	41417,41418	4141601	1001		
41417		1												41419	4141701	1001		
41418		1												41419	4141801	1001		
41419		1												41420,41421	4141901	1001		
41420		1												41422	4142001	1001		
41421		1												41422	4142101	1001		
41422		1													4142201	1001		
41425	2	1	2	1	41405	3	1	41406	2				1		4142501	1001		
41426	2	1		1	41408	2							1	41427,41428,41429	4142601	1001		
41427		1												41430	4142701	1001		
41428		1												41430	4142801	1001		
41429		1												41430	4142901	1001		
