ID	图标	类型	重量	排序权重	物件ID	可丢弃	使用等级	圣遗物类别	展示图片	阶数	主属性库ID	追加属性库ID	追加属性初始条数	套装ID	突破等级上限	基础转化经验	Name	Desc
51212	UI_RelicIcon_10001_1	3	1	10	70600042	0	12	4	Eff_UI_RelicIcon_10001_1	2	5000	201	2	10001	2	3070	ReliquaryData_Name_51212	ReliquaryData_Desc_51212
51213	UI_RelicIcon_10001_1	3	1	10	70600042	0	12	4	Eff_UI_RelicIcon_10001_1	2	5000	201	3	10001	2	3420	ReliquaryData_Name_51213	ReliquaryData_Desc_51213
51214	UI_RelicIcon_10001_1	3	1	10	70600042	0	12	4	Eff_UI_RelicIcon_10001_1	2	5000	201	4	10001	2	3800	ReliquaryData_Name_51214	ReliquaryData_Desc_51214
51220	UI_RelicIcon_10001_2	3	1	10	70600042	0	0	5	Eff_UI_RelicIcon_10001_2	2	2000	201	0	10001	2	2490	ReliquaryData_Name_51220	ReliquaryData_Desc_51220
51221	UI_RelicIcon_10001_2	3	1	10	70600042	0	0	5	Eff_UI_RelicIcon_10001_2	2	2000	201	1	10001	2	2770	ReliquaryData_Name_51221	ReliquaryData_Desc_51221
51222	UI_RelicIcon_10001_2	3	1	10	70600042	0	0	5	Eff_UI_RelicIcon_10001_2	2	2000	201	2	10001	2	3070	ReliquaryData_Name_51222	ReliquaryData_Desc_51222
51223	UI_RelicIcon_10001_2	3	1	10	70600042	0	0	5	Eff_UI_RelicIcon_10001_2	2	2000	201	3	10001	2	3420	ReliquaryData_Name_51223	ReliquaryData_Desc_51223
51224	UI_RelicIcon_10001_2	3	1	10	70600042	0	0	5	Eff_UI_RelicIcon_10001_2	2	2000	201	4	10001	2	3800	ReliquaryData_Name_51224	ReliquaryData_Desc_51224
51230	UI_RelicIcon_10001_3	3	1	10	70600042	0	10	2	Eff_UI_RelicIcon_10001_3	2	3000	201	0	10001	2	2490	ReliquaryData_Name_51230	ReliquaryData_Desc_51230
51231	UI_RelicIcon_10001_3	3	1	10	70600042	0	10	2	Eff_UI_RelicIcon_10001_3	2	3000	201	1	10001	2	2770	ReliquaryData_Name_51231	ReliquaryData_Desc_51231
51232	UI_RelicIcon_10001_3	3	1	10	70600042	0	10	2	Eff_UI_RelicIcon_10001_3	2	3000	201	2	10001	2	3070	ReliquaryData_Name_51232	ReliquaryData_Desc_51232
51233	UI_RelicIcon_10001_3	3	1	10	70600042	0	10	2	Eff_UI_RelicIcon_10001_3	2	3000	201	3	10001	2	3420	ReliquaryData_Name_51233	ReliquaryData_Desc_51233
51234	UI_RelicIcon_10001_3	3	1	10	70600042	0	10	2	Eff_UI_RelicIcon_10001_3	2	3000	201	4	10001	2	3800	ReliquaryData_Name_51234	ReliquaryData_Desc_51234
51240	UI_RelicIcon_10001_4	3	1	10	70600042	0	0	1	Eff_UI_RelicIcon_10001_4	2	4000	201	0	10001	2	2490	ReliquaryData_Name_51240	ReliquaryData_Desc_51240
51241	UI_RelicIcon_10001_4	3	1	10	70600042	0	0	1	Eff_UI_RelicIcon_10001_4	2	4000	201	1	10001	2	2770	ReliquaryData_Name_51241	ReliquaryData_Desc_51241
51242	UI_RelicIcon_10001_4	3	1	10	70600042	0	0	1	Eff_UI_RelicIcon_10001_4	2	4000	201	2	10001	2	3070	ReliquaryData_Name_51242	ReliquaryData_Desc_51242
51243	UI_RelicIcon_10001_4	3	1	10	70600042	0	0	1	Eff_UI_RelicIcon_10001_4	2	4000	201	3	10001	2	3420	ReliquaryData_Name_51243	ReliquaryData_Desc_51243
51244	UI_RelicIcon_10001_4	3	1	10	70600042	0	0	1	Eff_UI_RelicIcon_10001_4	2	4000	201	4	10001	2	3800	ReliquaryData_Name_51244	ReliquaryData_Desc_51244
51250	UI_RelicIcon_10001_5	3	1	10	70600042	0	8	3	Eff_UI_RelicIcon_10001_5	2	1000	201	0	10001	2	2490	ReliquaryData_Name_51250	ReliquaryData_Desc_51250
51251	UI_RelicIcon_10001_5	3	1	10	70600042	0	8	3	Eff_UI_RelicIcon_10001_5	2	1000	201	1	10001	2	2770	ReliquaryData_Name_51251	ReliquaryData_Desc_51251
51252	UI_RelicIcon_10001_5	3	1	10	70600042	0	8	3	Eff_UI_RelicIcon_10001_5	2	1000	201	2	10001	2	3070	ReliquaryData_Name_51252	ReliquaryData_Desc_51252
51253	UI_RelicIcon_10001_5	3	1	10	70600042	0	8	3	Eff_UI_RelicIcon_10001_5	2	1000	201	3	10001	2	3420	ReliquaryData_Name_51253	ReliquaryData_Desc_51253
51254	UI_RelicIcon_10001_5	3	1	10	70600042	0	8	3	Eff_UI_RelicIcon_10001_5	2	1000	201	4	10001	2	3800	ReliquaryData_Name_51254	ReliquaryData_Desc_51254
52110	UI_RelicIcon_10002_1	3	1	10	70600041	0	12	4	Eff_UI_RelicIcon_10002_1	1	5000	101	0	10002	2	1860	ReliquaryData_Name_52110	ReliquaryData_Desc_52110
52111	UI_RelicIcon_10002_1	3	1	10	70600041	0	12	4	Eff_UI_RelicIcon_10002_1	1	5000	101	1	10002	2	2070	ReliquaryData_Name_52111	ReliquaryData_Desc_52111
52112	UI_RelicIcon_10002_1	3	1	10	70600041	0	12	4	Eff_UI_RelicIcon_10002_1	1	5000	101	2	10002	2	2300	ReliquaryData_Name_52112	ReliquaryData_Desc_52112
52113	UI_RelicIcon_10002_1	3	1	10	70600041	0	12	4	Eff_UI_RelicIcon_10002_1	1	5000	101	3	10002	2	2560	ReliquaryData_Name_52113	ReliquaryData_Desc_52113
52114	UI_RelicIcon_10002_1	3	1	10	70600041	0	12	4	Eff_UI_RelicIcon_10002_1	1	5000	101	4	10002	2	2850	ReliquaryData_Name_52114	ReliquaryData_Desc_52114
52120	UI_RelicIcon_10002_2	3	1	10	70600041	0	0	5	Eff_UI_RelicIcon_10002_2	1	2000	101	0	10002	2	1860	ReliquaryData_Name_52120	ReliquaryData_Desc_52120
52121	UI_RelicIcon_10002_2	3	1	10	70600041	0	0	5	Eff_UI_RelicIcon_10002_2	1	2000	101	1	10002	2	2070	ReliquaryData_Name_52121	ReliquaryData_Desc_52121
52122	UI_RelicIcon_10002_2	3	1	10	70600041	0	0	5	Eff_UI_RelicIcon_10002_2	1	2000	101	2	10002	2	2300	ReliquaryData_Name_52122	ReliquaryData_Desc_52122
52123	UI_RelicIcon_10002_2	3	1	10	70600041	0	0	5	Eff_UI_RelicIcon_10002_2	1	2000	101	3	10002	2	2560	ReliquaryData_Name_52123	ReliquaryData_Desc_52123
52124	UI_RelicIcon_10002_2	3	1	10	70600041	0	0	5	Eff_UI_RelicIcon_10002_2	1	2000	101	4	10002	2	2850	ReliquaryData_Name_52124	ReliquaryData_Desc_52124
52130	UI_RelicIcon_10002_3	3	1	10	70600041	0	10	2	Eff_UI_RelicIcon_10002_3	1	3000	101	0	10002	2	1860	ReliquaryData_Name_52130	ReliquaryData_Desc_52130
52131	UI_RelicIcon_10002_3	3	1	10	70600041	0	10	2	Eff_UI_RelicIcon_10002_3	1	3000	101	1	10002	2	2070	ReliquaryData_Name_52131	ReliquaryData_Desc_52131
52132	UI_RelicIcon_10002_3	3	1	10	70600041	0	10	2	Eff_UI_RelicIcon_10002_3	1	3000	101	2	10002	2	2300	ReliquaryData_Name_52132	ReliquaryData_Desc_52132
52133	UI_RelicIcon_10002_3	3	1	10	70600041	0	10	2	Eff_UI_RelicIcon_10002_3	1	3000	101	3	10002	2	2560	ReliquaryData_Name_52133	ReliquaryData_Desc_52133
52134	UI_RelicIcon_10002_3	3	1	10	70600041	0	10	2	Eff_UI_RelicIcon_10002_3	1	3000	101	4	10002	2	2850	ReliquaryData_Name_52134	ReliquaryData_Desc_52134
52140	UI_RelicIcon_10002_4	3	1	10	70600041	0	0	1	Eff_UI_RelicIcon_10002_4	1	4000	101	0	10002	2	1860	ReliquaryData_Name_52140	ReliquaryData_Desc_52140
52141	UI_RelicIcon_10002_4	3	1	10	70600041	0	0	1	Eff_UI_RelicIcon_10002_4	1	4000	101	1	10002	2	2070	ReliquaryData_Name_52141	ReliquaryData_Desc_52141
52142	UI_RelicIcon_10002_4	3	1	10	70600041	0	0	1	Eff_UI_RelicIcon_10002_4	1	4000	101	2	10002	2	2300	ReliquaryData_Name_52142	ReliquaryData_Desc_52142
52143	UI_RelicIcon_10002_4	3	1	10	70600041	0	0	1	Eff_UI_RelicIcon_10002_4	1	4000	101	3	10002	2	2560	ReliquaryData_Name_52143	ReliquaryData_Desc_52143
52144	UI_RelicIcon_10002_4	3	1	10	70600041	0	0	1	Eff_UI_RelicIcon_10002_4	1	4000	101	4	10002	2	2850	ReliquaryData_Name_52144	ReliquaryData_Desc_52144
52150	UI_RelicIcon_10002_5	3	1	10	70600041	0	8	3	Eff_UI_RelicIcon_10002_5	1	1000	101	0	10002	2	1860	ReliquaryData_Name_52150	ReliquaryData_Desc_52150
52151	UI_RelicIcon_10002_5	3	1	10	70600041	0	8	3	Eff_UI_RelicIcon_10002_5	1	1000	101	1	10002	2	2070	ReliquaryData_Name_52151	ReliquaryData_Desc_52151
52152	UI_RelicIcon_10002_5	3	1	10	70600041	0	8	3	Eff_UI_RelicIcon_10002_5	1	1000	101	2	10002	2	2300	ReliquaryData_Name_52152	ReliquaryData_Desc_52152
52153	UI_RelicIcon_10002_5	3	1	10	70600041	0	8	3	Eff_UI_RelicIcon_10002_5	1	1000	101	3	10002	2	2560	ReliquaryData_Name_52153	ReliquaryData_Desc_52153
52154	UI_RelicIcon_10002_5	3	1	10	70600041	0	8	3	Eff_UI_RelicIcon_10002_5	1	1000	101	4	10002	2	2850	ReliquaryData_Name_52154	ReliquaryData_Desc_52154
52210	UI_RelicIcon_10002_1	3	1	10	70600042	0	12	4	Eff_UI_RelicIcon_10002_1	2	5000	201	0	10002	2	2490	ReliquaryData_Name_52210	ReliquaryData_Desc_52210
52211	UI_RelicIcon_10002_1	3	1	10	70600042	0	12	4	Eff_UI_RelicIcon_10002_1	2	5000	201	1	10002	2	2770	ReliquaryData_Name_52211	ReliquaryData_Desc_52211
52212	UI_RelicIcon_10002_1	3	1	10	70600042	0	12	4	Eff_UI_RelicIcon_10002_1	2	5000	201	2	10002	2	3070	ReliquaryData_Name_52212	ReliquaryData_Desc_52212
52213	UI_RelicIcon_10002_1	3	1	10	70600042	0	12	4	Eff_UI_RelicIcon_10002_1	2	5000	201	3	10002	2	3420	ReliquaryData_Name_52213	ReliquaryData_Desc_52213
52214	UI_RelicIcon_10002_1	3	1	10	70600042	0	12	4	Eff_UI_RelicIcon_10002_1	2	5000	201	4	10002	2	3800	ReliquaryData_Name_52214	ReliquaryData_Desc_52214
52220	UI_RelicIcon_10002_2	3	1	10	70600042	0	0	5	Eff_UI_RelicIcon_10002_2	2	2000	201	0	10002	2	2490	ReliquaryData_Name_52220	ReliquaryData_Desc_52220
52221	UI_RelicIcon_10002_2	3	1	10	70600042	0	0	5	Eff_UI_RelicIcon_10002_2	2	2000	201	1	10002	2	2770	ReliquaryData_Name_52221	ReliquaryData_Desc_52221
52222	UI_RelicIcon_10002_2	3	1	10	70600042	0	0	5	Eff_UI_RelicIcon_10002_2	2	2000	201	2	10002	2	3070	ReliquaryData_Name_52222	ReliquaryData_Desc_52222
52223	UI_RelicIcon_10002_2	3	1	10	70600042	0	0	5	Eff_UI_RelicIcon_10002_2	2	2000	201	3	10002	2	3420	ReliquaryData_Name_52223	ReliquaryData_Desc_52223
52224	UI_RelicIcon_10002_2	3	1	10	70600042	0	0	5	Eff_UI_RelicIcon_10002_2	2	2000	201	4	10002	2	3800	ReliquaryData_Name_52224	ReliquaryData_Desc_52224
52230	UI_RelicIcon_10002_3	3	1	10	70600042	0	10	2	Eff_UI_RelicIcon_10002_3	2	3000	201	0	10002	2	2490	ReliquaryData_Name_52230	ReliquaryData_Desc_52230
52231	UI_RelicIcon_10002_3	3	1	10	70600042	0	10	2	Eff_UI_RelicIcon_10002_3	2	3000	201	1	10002	2	2770	ReliquaryData_Name_52231	ReliquaryData_Desc_52231
52232	UI_RelicIcon_10002_3	3	1	10	70600042	0	10	2	Eff_UI_RelicIcon_10002_3	2	3000	201	2	10002	2	3070	ReliquaryData_Name_52232	ReliquaryData_Desc_52232
52233	UI_RelicIcon_10002_3	3	1	10	70600042	0	10	2	Eff_UI_RelicIcon_10002_3	2	3000	201	3	10002	2	3420	ReliquaryData_Name_52233	ReliquaryData_Desc_52233
52234	UI_RelicIcon_10002_3	3	1	10	70600042	0	10	2	Eff_UI_RelicIcon_10002_3	2	3000	201	4	10002	2	3800	ReliquaryData_Name_52234	ReliquaryData_Desc_52234
52240	UI_RelicIcon_10002_4	3	1	10	70600042	0	0	1	Eff_UI_RelicIcon_10002_4	2	4000	201	0	10002	2	2490	ReliquaryData_Name_52240	ReliquaryData_Desc_52240
52241	UI_RelicIcon_10002_4	3	1	10	70600042	0	0	1	Eff_UI_RelicIcon_10002_4	2	4000	201	1	10002	2	2770	ReliquaryData_Name_52241	ReliquaryData_Desc_52241
52242	UI_RelicIcon_10002_4	3	1	10	70600042	0	0	1	Eff_UI_RelicIcon_10002_4	2	4000	201	2	10002	2	3070	ReliquaryData_Name_52242	ReliquaryData_Desc_52242
52243	UI_RelicIcon_10002_4	3	1	10	70600042	0	0	1	Eff_UI_RelicIcon_10002_4	2	4000	201	3	10002	2	3420	ReliquaryData_Name_52243	ReliquaryData_Desc_52243
52244	UI_RelicIcon_10002_4	3	1	10	70600042	0	0	1	Eff_UI_RelicIcon_10002_4	2	4000	201	4	10002	2	3800	ReliquaryData_Name_52244	ReliquaryData_Desc_52244
52250	UI_RelicIcon_10002_5	3	1	10	70600042	0	8	3	Eff_UI_RelicIcon_10002_5	2	1000	201	0	10002	2	2490	ReliquaryData_Name_52250	ReliquaryData_Desc_52250
52251	UI_RelicIcon_10002_5	3	1	10	70600042	0	8	3	Eff_UI_RelicIcon_10002_5	2	1000	201	1	10002	2	2770	ReliquaryData_Name_52251	ReliquaryData_Desc_52251
52252	UI_RelicIcon_10002_5	3	1	10	70600042	0	8	3	Eff_UI_RelicIcon_10002_5	2	1000	201	2	10002	2	3070	ReliquaryData_Name_52252	ReliquaryData_Desc_52252
52253	UI_RelicIcon_10002_5	3	1	10	70600042	0	8	3	Eff_UI_RelicIcon_10002_5	2	1000	201	3	10002	2	3420	ReliquaryData_Name_52253	ReliquaryData_Desc_52253
52254	UI_RelicIcon_10002_5	3	1	10	70600042	0	8	3	Eff_UI_RelicIcon_10002_5	2	1000	201	4	10002	2	3800	ReliquaryData_Name_52254	ReliquaryData_Desc_52254
53110	UI_RelicIcon_10003_1	3	1	10	70600041	0	12	4	Eff_UI_RelicIcon_10003_1	1	5000	101	0	10003	2	1860	ReliquaryData_Name_53110	ReliquaryData_Desc_53110
53111	UI_RelicIcon_10003_1	3	1	10	70600041	0	12	4	Eff_UI_RelicIcon_10003_1	1	5000	101	1	10003	2	2070	ReliquaryData_Name_53111	ReliquaryData_Desc_53111
53112	UI_RelicIcon_10003_1	3	1	10	70600041	0	12	4	Eff_UI_RelicIcon_10003_1	1	5000	101	2	10003	2	2300	ReliquaryData_Name_53112	ReliquaryData_Desc_53112
53113	UI_RelicIcon_10003_1	3	1	10	70600041	0	12	4	Eff_UI_RelicIcon_10003_1	1	5000	101	3	10003	2	2560	ReliquaryData_Name_53113	ReliquaryData_Desc_53113
53114	UI_RelicIcon_10003_1	3	1	10	70600041	0	12	4	Eff_UI_RelicIcon_10003_1	1	5000	101	4	10003	2	2850	ReliquaryData_Name_53114	ReliquaryData_Desc_53114
53120	UI_RelicIcon_10003_2	3	1	10	70600041	0	0	5	Eff_UI_RelicIcon_10003_2	1	2000	101	0	10003	2	1860	ReliquaryData_Name_53120	ReliquaryData_Desc_53120
53121	UI_RelicIcon_10003_2	3	1	10	70600041	0	0	5	Eff_UI_RelicIcon_10003_2	1	2000	101	1	10003	2	2070	ReliquaryData_Name_53121	ReliquaryData_Desc_53121
53122	UI_RelicIcon_10003_2	3	1	10	70600041	0	0	5	Eff_UI_RelicIcon_10003_2	1	2000	101	2	10003	2	2300	ReliquaryData_Name_53122	ReliquaryData_Desc_53122
53123	UI_RelicIcon_10003_2	3	1	10	70600041	0	0	5	Eff_UI_RelicIcon_10003_2	1	2000	101	3	10003	2	2560	ReliquaryData_Name_53123	ReliquaryData_Desc_53123
53124	UI_RelicIcon_10003_2	3	1	10	70600041	0	0	5	Eff_UI_RelicIcon_10003_2	1	2000	101	4	10003	2	2850	ReliquaryData_Name_53124	ReliquaryData_Desc_53124
53130	UI_RelicIcon_10003_3	3	1	10	70600041	0	10	2	Eff_UI_RelicIcon_10003_3	1	3000	101	0	10003	2	1860	ReliquaryData_Name_53130	ReliquaryData_Desc_53130
53131	UI_RelicIcon_10003_3	3	1	10	70600041	0	10	2	Eff_UI_RelicIcon_10003_3	1	3000	101	1	10003	2	2070	ReliquaryData_Name_53131	ReliquaryData_Desc_53131
53132	UI_RelicIcon_10003_3	3	1	10	70600041	0	10	2	Eff_UI_RelicIcon_10003_3	1	3000	101	2	10003	2	2300	ReliquaryData_Name_53132	ReliquaryData_Desc_53132
53133	UI_RelicIcon_10003_3	3	1	10	70600041	0	10	2	Eff_UI_RelicIcon_10003_3	1	3000	101	3	10003	2	2560	ReliquaryData_Name_53133	ReliquaryData_Desc_53133
53134	UI_RelicIcon_10003_3	3	1	10	70600041	0	10	2	Eff_UI_RelicIcon_10003_3	1	3000	101	4	10003	2	2850	ReliquaryData_Name_53134	ReliquaryData_Desc_53134
53140	UI_RelicIcon_10003_4	3	1	10	70600041	0	0	1	Eff_UI_RelicIcon_10003_4	1	4000	101	0	10003	2	1860	ReliquaryData_Name_53140	ReliquaryData_Desc_53140
53141	UI_RelicIcon_10003_4	3	1	10	70600041	0	0	1	Eff_UI_RelicIcon_10003_4	1	4000	101	1	10003	2	2070	ReliquaryData_Name_53141	ReliquaryData_Desc_53141
53142	UI_RelicIcon_10003_4	3	1	10	70600041	0	0	1	Eff_UI_RelicIcon_10003_4	1	4000	101	2	10003	2	2300	ReliquaryData_Name_53142	ReliquaryData_Desc_53142
53143	UI_RelicIcon_10003_4	3	1	10	70600041	0	0	1	Eff_UI_RelicIcon_10003_4	1	4000	101	3	10003	2	2560	ReliquaryData_Name_53143	ReliquaryData_Desc_53143
53144	UI_RelicIcon_10003_4	3	1	10	70600041	0	0	1	Eff_UI_RelicIcon_10003_4	1	4000	101	4	10003	2	2850	ReliquaryData_Name_53144	ReliquaryData_Desc_53144
53150	UI_RelicIcon_10003_5	3	1	10	70600041	0	8	3	Eff_UI_RelicIcon_10003_5	1	1000	101	0	10003	2	1860	ReliquaryData_Name_53150	ReliquaryData_Desc_53150
53151	UI_RelicIcon_10003_5	3	1	10	70600041	0	8	3	Eff_UI_RelicIcon_10003_5	1	1000	101	1	10003	2	2070	ReliquaryData_Name_53151	ReliquaryData_Desc_53151
53152	UI_RelicIcon_10003_5	3	1	10	70600041	0	8	3	Eff_UI_RelicIcon_10003_5	1	1000	101	2	10003	2	2300	ReliquaryData_Name_53152	ReliquaryData_Desc_53152
53153	UI_RelicIcon_10003_5	3	1	10	70600041	0	8	3	Eff_UI_RelicIcon_10003_5	1	1000	101	3	10003	2	2560	ReliquaryData_Name_53153	ReliquaryData_Desc_53153
53154	UI_RelicIcon_10003_5	3	1	10	70600041	0	8	3	Eff_UI_RelicIcon_10003_5	1	1000	101	4	10003	2	2850	ReliquaryData_Name_53154	ReliquaryData_Desc_53154
53210	UI_RelicIcon_10003_1	3	1	10	70600042	0	12	4	Eff_UI_RelicIcon_10003_1	2	5000	201	0	10003	2	2490	ReliquaryData_Name_53210	ReliquaryData_Desc_53210
53211	UI_RelicIcon_10003_1	3	1	10	70600042	0	12	4	Eff_UI_RelicIcon_10003_1	2	5000	201	1	10003	2	2770	ReliquaryData_Name_53211	ReliquaryData_Desc_53211
53212	UI_RelicIcon_10003_1	3	1	10	70600042	0	12	4	Eff_UI_RelicIcon_10003_1	2	5000	201	2	10003	2	3070	ReliquaryData_Name_53212	ReliquaryData_Desc_53212
53213	UI_RelicIcon_10003_1	3	1	10	70600042	0	12	4	Eff_UI_RelicIcon_10003_1	2	5000	201	3	10003	2	3420	ReliquaryData_Name_53213	ReliquaryData_Desc_53213
53214	UI_RelicIcon_10003_1	3	1	10	70600042	0	12	4	Eff_UI_RelicIcon_10003_1	2	5000	201	4	10003	2	3800	ReliquaryData_Name_53214	ReliquaryData_Desc_53214
53220	UI_RelicIcon_10003_2	3	1	10	70600042	0	0	5	Eff_UI_RelicIcon_10003_2	2	2000	201	0	10003	2	2490	ReliquaryData_Name_53220	ReliquaryData_Desc_53220
53221	UI_RelicIcon_10003_2	3	1	10	70600042	0	0	5	Eff_UI_RelicIcon_10003_2	2	2000	201	1	10003	2	2770	ReliquaryData_Name_53221	ReliquaryData_Desc_53221
53222	UI_RelicIcon_10003_2	3	1	10	70600042	0	0	5	Eff_UI_RelicIcon_10003_2	2	2000	201	2	10003	2	3070	ReliquaryData_Name_53222	ReliquaryData_Desc_53222
53223	UI_RelicIcon_10003_2	3	1	10	70600042	0	0	5	Eff_UI_RelicIcon_10003_2	2	2000	201	3	10003	2	3420	ReliquaryData_Name_53223	ReliquaryData_Desc_53223
53224	UI_RelicIcon_10003_2	3	1	10	70600042	0	0	5	Eff_UI_RelicIcon_10003_2	2	2000	201	4	10003	2	3800	ReliquaryData_Name_53224	ReliquaryData_Desc_53224
53230	UI_RelicIcon_10003_3	3	1	10	70600042	0	10	2	Eff_UI_RelicIcon_10003_3	2	3000	201	0	10003	2	2490	ReliquaryData_Name_53230	ReliquaryData_Desc_53230
