等级	[曲线]1类型	[曲线]1运算	[曲线]1值	[曲线]2类型	[曲线]2运算	[曲线]2值	[曲线]3类型	[曲线]3运算	[曲线]3值	[曲线]4类型	[曲线]4运算	[曲线]4值
70	2	2	19.021	4	2	1	9	2	1	31	2	15.181
71	2	2	19.371	4	2	1	9	2	1	31	2	15.446
72	2	2	19.725	4	2	1	9	2	1	31	2	15.713
73	2	2	20.082	4	2	1	9	2	1	31	2	15.983
74	2	2	20.443	4	2	1	9	2	1	31	2	16.254
75	2	2	20.806	4	2	1	9	2	1	31	2	16.528
76	2	2	21.174	4	2	1	9	2	1	31	2	16.804
77	2	2	21.545	4	2	1	9	2	1	31	2	17.083
78	2	2	21.919	4	2	1	9	2	1	31	2	17.364
79	2	2	22.297	4	2	1	9	2	1	31	2	17.647
80	2	2	22.679	4	2	1	9	2	1	31	2	17.933
81	2	2	23.064	4	2	1	9	2	1	31	2	18.221
82	2	2	23.452	4	2	1	9	2	1	31	2	18.511
83	2	2	23.845	4	2	1	9	2	1	31	2	18.804
84	2	2	24.241	4	2	1	9	2	1	31	2	19.099
85	2	2	24.641	4	2	1	9	2	1	31	2	19.396
86	2	2	25.045	4	2	1	9	2	1	31	2	19.697
87	2	2	25.452	4	2	1	9	2	1	31	2	19.999
88	2	2	25.864	4	2	1	9	2	1	31	2	20.304
89	2	2	26.279	4	2	1	9	2	1	31	2	20.612
90	2	2	26.699	4	2	1	9	2	1	31	2	20.922
