提示台词ID	触发延迟	停留显示时长	下一句id	播放音效资源	Speaker	Content
1002002	0	4	1002003		DungeonReminderData_Speaker_1002002	DungeonReminderData_Content_1002002
1002003	0	4			DungeonReminderData_Speaker_1002003	DungeonReminderData_Content_1002003
1002004	0	2	1002005		DungeonReminderData_Speaker_1002004	DungeonReminderData_Content_1002004
1002005	0	5	1002006		DungeonReminderData_Speaker_1002005	DungeonReminderData_Content_1002005
1002006	0	3	1002007		DungeonReminderData_Speaker_1002006	DungeonReminderData_Content_1002006
1002007	0	4	1002008		DungeonReminderData_Speaker_1002007	DungeonReminderData_Content_1002007
1002008	0	5			DungeonReminderData_Speaker_1002008	DungeonReminderData_Content_1002008
1031001	0	2	1031002		DungeonReminderData_Speaker_1031001	DungeonReminderData_Content_1031001
1031002	0	2	1031003		DungeonReminderData_Speaker_1031002	DungeonReminderData_Content_1031002
1031003	0	2	1031004		DungeonReminderData_Speaker_1031003	DungeonReminderData_Content_1031003
1031004	0	3			DungeonReminderData_Speaker_1031004	DungeonReminderData_Content_1031004
1031005	0	3			DungeonReminderData_Speaker_1031005	DungeonReminderData_Content_1031005
1031006	0	4			DungeonReminderData_Speaker_1031006	DungeonReminderData_Content_1031006
1032001	0	4	1032002		DungeonReminderData_Speaker_1032001	DungeonReminderData_Content_1032001
1032002	0	2			DungeonReminderData_Speaker_1032002	DungeonReminderData_Content_1032002
1032003	0	3			DungeonReminderData_Speaker_1032003	DungeonReminderData_Content_1032003
1032004	0	3			DungeonReminderData_Speaker_1032004	DungeonReminderData_Content_1032004
1013001	0	2	1013002		DungeonReminderData_Speaker_1013001	DungeonReminderData_Content_1013001
1013002	0	2	1013003		DungeonReminderData_Speaker_1013002	DungeonReminderData_Content_1013002
1013003	0	2			DungeonReminderData_Speaker_1013003	DungeonReminderData_Content_1013003
1014001	0	4			DungeonReminderData_Speaker_1014001	DungeonReminderData_Content_1014001
1015001	0	4			DungeonReminderData_Speaker_1015001	DungeonReminderData_Content_1015001
1016001	0	3			DungeonReminderData_Speaker_1016001	DungeonReminderData_Content_1016001
1017001	0	2	1017002		DungeonReminderData_Speaker_1017001	DungeonReminderData_Content_1017001
1017002	0	3	1017003		DungeonReminderData_Speaker_1017002	DungeonReminderData_Content_1017002
1017003	0	4			DungeonReminderData_Speaker_1017003	DungeonReminderData_Content_1017003
1018001	0	3	1018002		DungeonReminderData_Speaker_1018001	DungeonReminderData_Content_1018001
1018002	0	3			DungeonReminderData_Speaker_1018002	DungeonReminderData_Content_1018002
1019001	0	3	1019002		DungeonReminderData_Speaker_1019001	DungeonReminderData_Content_1019001
1019002	3	4			DungeonReminderData_Speaker_1019002	DungeonReminderData_Content_1019002
1021001	0	3	1021002		DungeonReminderData_Speaker_1021001	DungeonReminderData_Content_1021001
1021002	0	2			DungeonReminderData_Speaker_1021002	DungeonReminderData_Content_1021002
1022001	0	3			DungeonReminderData_Speaker_1022001	DungeonReminderData_Content_1022001
1023001	0	3	1023002		DungeonReminderData_Speaker_1023001	DungeonReminderData_Content_1023001
1023002	0	4			DungeonReminderData_Speaker_1023002	DungeonReminderData_Content_1023002
1024001	0	3			DungeonReminderData_Speaker_1024001	DungeonReminderData_Content_1024001
1025001	0	3			DungeonReminderData_Speaker_1025001	DungeonReminderData_Content_1025001
1026001	0	2			DungeonReminderData_Speaker_1026001	DungeonReminderData_Content_1026001
1027001	0	2			DungeonReminderData_Speaker_1027001	DungeonReminderData_Content_1027001
1028001	0	2	1028002		DungeonReminderData_Speaker_1028001	DungeonReminderData_Content_1028001
1028002	0	2			DungeonReminderData_Speaker_1028002	DungeonReminderData_Content_1028002
1029001	0	3	1029002		DungeonReminderData_Speaker_1029001	DungeonReminderData_Content_1029001
1029002	1	3			DungeonReminderData_Speaker_1029002	DungeonReminderData_Content_1029002
1030001		3			DungeonReminderData_Speaker_1030001	DungeonReminderData_Content_1030001
1033001	0	3			DungeonReminderData_Speaker_1033001	DungeonReminderData_Content_1033001
1033002	0	4			DungeonReminderData_Speaker_1033002	DungeonReminderData_Content_1033002
1033003	0	3			DungeonReminderData_Speaker_1033003	DungeonReminderData_Content_1033003
1034001	0	3			DungeonReminderData_Speaker_1034001	DungeonReminderData_Content_1034001
1035001	0	2	1035002		DungeonReminderData_Speaker_1035001	DungeonReminderData_Content_1035001
1035002	0	3			DungeonReminderData_Speaker_1035002	DungeonReminderData_Content_1035002
1036001	0	3	1036002		DungeonReminderData_Speaker_1036001	DungeonReminderData_Content_1036001
1036002	0	2			DungeonReminderData_Speaker_1036002	DungeonReminderData_Content_1036002
1037001	0	4	1037002		DungeonReminderData_Speaker_1037001	DungeonReminderData_Content_1037001
1037002	0	3			DungeonReminderData_Speaker_1037002	DungeonReminderData_Content_1037002
1037003	0	3	1038002		DungeonReminderData_Speaker_1037003	DungeonReminderData_Content_1037003
1038002	0	3			DungeonReminderData_Speaker_1038002	DungeonReminderData_Content_1038002
1039001	0	2	1039002		DungeonReminderData_Speaker_1039001	DungeonReminderData_Content_1039001
1039002	0	2	1039003		DungeonReminderData_Speaker_1039002	DungeonReminderData_Content_1039002
1039003	0	2	1039009		DungeonReminderData_Speaker_1039003	DungeonReminderData_Content_1039003
1039004	0	4			DungeonReminderData_Speaker_1039004	DungeonReminderData_Content_1039004
1039005	0	5	1039006		DungeonReminderData_Speaker_1039005	DungeonReminderData_Content_1039005
1039006	0	2	1039007		DungeonReminderData_Speaker_1039006	DungeonReminderData_Content_1039006
1039007	0	2	1039008		DungeonReminderData_Speaker_1039007	DungeonReminderData_Content_1039007
1039008	0	3			DungeonReminderData_Speaker_1039008	DungeonReminderData_Content_1039008
1039009	0	3			DungeonReminderData_Speaker_1039009	DungeonReminderData_Content_1039009
1039010	0	2	1039011		DungeonReminderData_Speaker_1039010	DungeonReminderData_Content_1039010
1039011	0	2	1039012		DungeonReminderData_Speaker_1039011	DungeonReminderData_Content_1039011
1039012	0	2			DungeonReminderData_Speaker_1039012	DungeonReminderData_Content_1039012
1041001	0	5	1041002		DungeonReminderData_Speaker_1041001	DungeonReminderData_Content_1041001
1041002	0	3	1041003		DungeonReminderData_Speaker_1041002	DungeonReminderData_Content_1041002
1041003	0	3	1041004		DungeonReminderData_Speaker_1041003	DungeonReminderData_Content_1041003
1041004	0	2			DungeonReminderData_Speaker_1041004	DungeonReminderData_Content_1041004
1041005	0	2			DungeonReminderData_Speaker_1041005	DungeonReminderData_Content_1041005
1041011	0	2			DungeonReminderData_Speaker_1041011	DungeonReminderData_Content_1041011
1041021	0	3			DungeonReminderData_Speaker_1041021	DungeonReminderData_Content_1041021
1041022	0	4	1041023		DungeonReminderData_Speaker_1041022	DungeonReminderData_Content_1041022
1041023	0	6	1041024		DungeonReminderData_Speaker_1041023	DungeonReminderData_Content_1041023
1041024	0	5	1041025		DungeonReminderData_Speaker_1041024	DungeonReminderData_Content_1041024
1041025	0	3			DungeonReminderData_Speaker_1041025	DungeonReminderData_Content_1041025
1041026	0	6	1041027		DungeonReminderData_Speaker_1041026	DungeonReminderData_Content_1041026
1041027	0	4	1041028		DungeonReminderData_Speaker_1041027	DungeonReminderData_Content_1041027
1041028	0	7	1041029		DungeonReminderData_Speaker_1041028	DungeonReminderData_Content_1041028
1041029	0	3			DungeonReminderData_Speaker_1041029	DungeonReminderData_Content_1041029
1041031	0	3			DungeonReminderData_Speaker_1041031	DungeonReminderData_Content_1041031
1041041	0	2			DungeonReminderData_Speaker_1041041	DungeonReminderData_Content_1041041
1041042	0	3			DungeonReminderData_Speaker_1041042	DungeonReminderData_Content_1041042
1041051	0	2			DungeonReminderData_Speaker_1041051	DungeonReminderData_Content_1041051
1041061	0	2			DungeonReminderData_Speaker_1041061	DungeonReminderData_Content_1041061
1041071	0	3	1041073		DungeonReminderData_Speaker_1041071	DungeonReminderData_Content_1041071
1041072	0	3			DungeonReminderData_Speaker_1041072	DungeonReminderData_Content_1041072
1041073	0	3			DungeonReminderData_Speaker_1041073	DungeonReminderData_Content_1041073
1041081	0	2			DungeonReminderData_Speaker_1041081	DungeonReminderData_Content_1041081
1041091	0	4			DungeonReminderData_Speaker_1041091	DungeonReminderData_Content_1041091
1041092	0	3			DungeonReminderData_Speaker_1041092	DungeonReminderData_Content_1041092
1041093	0	2	1041094		DungeonReminderData_Speaker_1041093	DungeonReminderData_Content_1041093
1041094	0	3			DungeonReminderData_Speaker_1041094	DungeonReminderData_Content_1041094
1041101	0	2			DungeonReminderData_Speaker_1041101	DungeonReminderData_Content_1041101
1041102	0	3			DungeonReminderData_Speaker_1041102	DungeonReminderData_Content_1041102
1041111	0	3	1041112		DungeonReminderData_Speaker_1041111	DungeonReminderData_Content_1041111
1041112	0	5	1041113		DungeonReminderData_Speaker_1041112	DungeonReminderData_Content_1041112
1041113	0	3			DungeonReminderData_Speaker_1041113	DungeonReminderData_Content_1041113
1041114	0	3			DungeonReminderData_Speaker_1041114	DungeonReminderData_Content_1041114
1042001	0	3			DungeonReminderData_Speaker_1042001	DungeonReminderData_Content_1042001
1042002	0	3			DungeonReminderData_Speaker_1042002	DungeonReminderData_Content_1042002
1042003	0	2			DungeonReminderData_Speaker_1042003	DungeonReminderData_Content_1042003
1042011	0	3			DungeonReminderData_Speaker_1042011	DungeonReminderData_Content_1042011
1042021	0	3			DungeonReminderData_Speaker_1042021	DungeonReminderData_Content_1042021
1042031	0	3			DungeonReminderData_Speaker_1042031	DungeonReminderData_Content_1042031
1042041	0	3			DungeonReminderData_Speaker_1042041	DungeonReminderData_Content_1042041
1042051	0	3			DungeonReminderData_Speaker_1042051	DungeonReminderData_Content_1042051
1042052	0	3			DungeonReminderData_Speaker_1042052	DungeonReminderData_Content_1042052
1042061	0	3	1042062		DungeonReminderData_Speaker_1042061	DungeonReminderData_Content_1042061
1042062	0	3			DungeonReminderData_Speaker_1042062	DungeonReminderData_Content_1042062
1042071	0	3			DungeonReminderData_Speaker_1042071	DungeonReminderData_Content_1042071
1042081	0	2			DungeonReminderData_Speaker_1042081	DungeonReminderData_Content_1042081
1042091	0	3			DungeonReminderData_Speaker_1042091	DungeonReminderData_Content_1042091
1042092	0	3			DungeonReminderData_Speaker_1042092	DungeonReminderData_Content_1042092
1042093	0	3			DungeonReminderData_Speaker_1042093	DungeonReminderData_Content_1042093
1042094	0	3			DungeonReminderData_Speaker_1042094	DungeonReminderData_Content_1042094
1042095	0	3			DungeonReminderData_Speaker_1042095	DungeonReminderData_Content_1042095
1042096	0	2			DungeonReminderData_Speaker_1042096	DungeonReminderData_Content_1042096
1042097	0	2			DungeonReminderData_Speaker_1042097	DungeonReminderData_Content_1042097
1042098	0	2			DungeonReminderData_Speaker_1042098	DungeonReminderData_Content_1042098
10060101	0	3			DungeonReminderData_Speaker_10060101	DungeonReminderData_Content_10060101
10060201	0	2	10060202		DungeonReminderData_Speaker_10060201	DungeonReminderData_Content_10060201
10060202	0	3			DungeonReminderData_Speaker_10060202	DungeonReminderData_Content_10060202
10060301	0	3	10060401		DungeonReminderData_Speaker_10060301	DungeonReminderData_Content_10060301
10060401	0	4			DungeonReminderData_Speaker_10060401	DungeonReminderData_Content_10060401
10060501	0	4			DungeonReminderData_Speaker_10060501	DungeonReminderData_Content_10060501
10060601	0	4	10060602		DungeonReminderData_Speaker_10060601	DungeonReminderData_Content_10060601
10060602	4	4	10060603		DungeonReminderData_Speaker_10060602	DungeonReminderData_Content_10060602
10060603	0	5			DungeonReminderData_Speaker_10060603	DungeonReminderData_Content_10060603
10060701	0	4			DungeonReminderData_Speaker_10060701	DungeonReminderData_Content_10060701
10060801	0	4			DungeonReminderData_Speaker_10060801	DungeonReminderData_Content_10060801
10060901	0	4	10060902		DungeonReminderData_Speaker_10060901	DungeonReminderData_Content_10060901
10060902	0	5			DungeonReminderData_Speaker_10060902	DungeonReminderData_Content_10060902
10050101	0	3			DungeonReminderData_Speaker_10050101	DungeonReminderData_Content_10050101
10050201	0	4			DungeonReminderData_Speaker_10050201	DungeonReminderData_Content_10050201
10050301	0	5			DungeonReminderData_Speaker_10050301	DungeonReminderData_Content_10050301
10050401	0	4			DungeonReminderData_Speaker_10050401	DungeonReminderData_Content_10050401
10050501	0	4			DungeonReminderData_Speaker_10050501	DungeonReminderData_Content_10050501
10050601	0	4			DungeonReminderData_Speaker_10050601	DungeonReminderData_Content_10050601
10050701	0	5			DungeonReminderData_Speaker_10050701	DungeonReminderData_Content_10050701
10050801	0	5			DungeonReminderData_Speaker_10050801	DungeonReminderData_Content_10050801
10050901	0	5			DungeonReminderData_Speaker_10050901	DungeonReminderData_Content_10050901
10051001	0	5			DungeonReminderData_Speaker_10051001	DungeonReminderData_Content_10051001
10051101	0	5			DungeonReminderData_Speaker_10051101	DungeonReminderData_Content_10051101
10051201	0	5			DungeonReminderData_Speaker_10051201	DungeonReminderData_Content_10051201
10051301	0	5			DungeonReminderData_Speaker_10051301	DungeonReminderData_Content_10051301
10051401	0	5			DungeonReminderData_Speaker_10051401	DungeonReminderData_Content_10051401
10051501	0	5			DungeonReminderData_Speaker_10051501	DungeonReminderData_Content_10051501
10051601	0	5			DungeonReminderData_Speaker_10051601	DungeonReminderData_Content_10051601
10051701	0	5			DungeonReminderData_Speaker_10051701	DungeonReminderData_Content_10051701
10051801	0	6	10051806		DungeonReminderData_Speaker_10051801	DungeonReminderData_Content_10051801
10051802	0	5			DungeonReminderData_Speaker_10051802	DungeonReminderData_Content_10051802
10051803	0	5			DungeonReminderData_Speaker_10051803	DungeonReminderData_Content_10051803
10051804	0	5			DungeonReminderData_Speaker_10051804	DungeonReminderData_Content_10051804
10051805	0	3			DungeonReminderData_Speaker_10051805	DungeonReminderData_Content_10051805
10051806	0	2			DungeonReminderData_Speaker_10051806	DungeonReminderData_Content_10051806
20010001	0	5			DungeonReminderData_Speaker_20010001	DungeonReminderData_Content_20010001
20010002	0	5			DungeonReminderData_Speaker_20010002	DungeonReminderData_Content_20010002
20010003	0	5			DungeonReminderData_Speaker_20010003	DungeonReminderData_Content_20010003
20010004	0	3	20010005		DungeonReminderData_Speaker_20010004	DungeonReminderData_Content_20010004
20010005	0	3	20010006		DungeonReminderData_Speaker_20010005	DungeonReminderData_Content_20010005
20010006	0	3	20010007		DungeonReminderData_Speaker_20010006	DungeonReminderData_Content_20010006
20010007	0	3	20010008		DungeonReminderData_Speaker_20010007	DungeonReminderData_Content_20010007
20010008	0	3	20010009		DungeonReminderData_Speaker_20010008	DungeonReminderData_Content_20010008
20010009	0	3	20010010		DungeonReminderData_Speaker_20010009	DungeonReminderData_Content_20010009
20010010	0	3	20010011		DungeonReminderData_Speaker_20010010	DungeonReminderData_Content_20010010
20010011	0	3			DungeonReminderData_Speaker_20010011	DungeonReminderData_Content_20010011
20010012	0	3	20010013		DungeonReminderData_Speaker_20010012	DungeonReminderData_Content_20010012
20010013	0	3	20010014		DungeonReminderData_Speaker_20010013	DungeonReminderData_Content_20010013
20010014	0	3	20010020		DungeonReminderData_Speaker_20010014	DungeonReminderData_Content_20010014
20010015	0	3			DungeonReminderData_Speaker_20010015	DungeonReminderData_Content_20010015
20010016	0	3			DungeonReminderData_Speaker_20010016	DungeonReminderData_Content_20010016
20010017	0	3			DungeonReminderData_Speaker_20010017	DungeonReminderData_Content_20010017
20010018	0	3			DungeonReminderData_Speaker_20010018	DungeonReminderData_Content_20010018
20010019	0	3	20010021		DungeonReminderData_Speaker_20010019	DungeonReminderData_Content_20010019
20010020	0	3	20010021		DungeonReminderData_Speaker_20010020	DungeonReminderData_Content_20010020
20010021	0	3			DungeonReminderData_Speaker_20010021	DungeonReminderData_Content_20010021
20010101	0	3	20010102		DungeonReminderData_Speaker_20010101	DungeonReminderData_Content_20010101
20010102	0	4			DungeonReminderData_Speaker_20010102	DungeonReminderData_Content_20010102
20010201	0	3			DungeonReminderData_Speaker_20010201	DungeonReminderData_Content_20010201
20010301	0	4	20010302		DungeonReminderData_Speaker_20010301	DungeonReminderData_Content_20010301
20010401	0	4	20010402		DungeonReminderData_Speaker_20010401	DungeonReminderData_Content_20010401
20010402	0	4			DungeonReminderData_Speaker_20010402	DungeonReminderData_Content_20010402
20010501	0	4	20010502		DungeonReminderData_Speaker_20010501	DungeonReminderData_Content_20010501
20010502	0	4			DungeonReminderData_Speaker_20010502	DungeonReminderData_Content_20010502
20010601	0	4	20010602		DungeonReminderData_Speaker_20010601	DungeonReminderData_Content_20010601
20010602	0	4	20010603		DungeonReminderData_Speaker_20010602	DungeonReminderData_Content_20010602
20010603	0	4			DungeonReminderData_Speaker_20010603	DungeonReminderData_Content_20010603
20010701	0	4	20010702		DungeonReminderData_Speaker_20010701	DungeonReminderData_Content_20010701
20010702	0	4	20010703		DungeonReminderData_Speaker_20010702	DungeonReminderData_Content_20010702
20010703	0	5			DungeonReminderData_Speaker_20010703	DungeonReminderData_Content_20010703
20010302	0	4			DungeonReminderData_Speaker_20010302	DungeonReminderData_Content_20010302
20011001	0	10			DungeonReminderData_Speaker_20011001	DungeonReminderData_Content_20011001
20011002	0	10			DungeonReminderData_Speaker_20011002	DungeonReminderData_Content_20011002
20011003	0	10			DungeonReminderData_Speaker_20011003	DungeonReminderData_Content_20011003
20011004	0	10			DungeonReminderData_Speaker_20011004	DungeonReminderData_Content_20011004
20011005	0	10			DungeonReminderData_Speaker_20011005	DungeonReminderData_Content_20011005
20011006	0	5			DungeonReminderData_Speaker_20011006	DungeonReminderData_Content_20011006
40010101	0	4			DungeonReminderData_Speaker_40010101	DungeonReminderData_Content_40010101
40010201	0	4			DungeonReminderData_Speaker_40010201	DungeonReminderData_Content_40010201
40010301	0	4			DungeonReminderData_Speaker_40010301	DungeonReminderData_Content_40010301
40010401	0	4			DungeonReminderData_Speaker_40010401	DungeonReminderData_Content_40010401
10010101	0	2	10010102		DungeonReminderData_Speaker_10010101	DungeonReminderData_Content_10010101
10010102	0	2	10010103		DungeonReminderData_Speaker_10010102	DungeonReminderData_Content_10010102
10010103	0	4			DungeonReminderData_Speaker_10010103	DungeonReminderData_Content_10010103
10010201	0	3	10010202		DungeonReminderData_Speaker_10010201	DungeonReminderData_Content_10010201
10010202	0	4			DungeonReminderData_Speaker_10010202	DungeonReminderData_Content_10010202
10010301	0	3	10010302		DungeonReminderData_Speaker_10010301	DungeonReminderData_Content_10010301
10010302	0	2	10010303		DungeonReminderData_Speaker_10010302	DungeonReminderData_Content_10010302
10010303	0	2	10010304		DungeonReminderData_Speaker_10010303	DungeonReminderData_Content_10010303
10010304	0	3	10010305		DungeonReminderData_Speaker_10010304	DungeonReminderData_Content_10010304
10010305	0	4	10010306		DungeonReminderData_Speaker_10010305	DungeonReminderData_Content_10010305
10010306	0	3			DungeonReminderData_Speaker_10010306	DungeonReminderData_Content_10010306
20020101	15	7	20020102		DungeonReminderData_Speaker_20020101	DungeonReminderData_Content_20020101
20020102	0	5	20020103		DungeonReminderData_Speaker_20020102	DungeonReminderData_Content_20020102
20020103	0	5			DungeonReminderData_Speaker_20020103	DungeonReminderData_Content_20020103
20020201	0	5	20020202		DungeonReminderData_Speaker_20020201	DungeonReminderData_Content_20020201
20020202	0	5	20020203		DungeonReminderData_Speaker_20020202	DungeonReminderData_Content_20020202
20020203	0	4	20020204		DungeonReminderData_Speaker_20020203	DungeonReminderData_Content_20020203
20020204	0	4	20020205		DungeonReminderData_Speaker_20020204	DungeonReminderData_Content_20020204
20020205	0	3			DungeonReminderData_Speaker_20020205	DungeonReminderData_Content_20020205
20020301	0	10			DungeonReminderData_Speaker_20020301	DungeonReminderData_Content_20020301
