父任务ID	任务类型	启用模式	Lua脚本路径	推荐等级	可重复	指引跳转	任务奖励RewardID	显示状态	章节ID	Title	Desc
403	2	1	Actor/Quest/SQ403	17	1		100400			MainQuestData_Title_403	MainQuestData_Desc_403
404	2	1	Actor/Quest/SQ404	8		405	100400			MainQuestData_Title_404	MainQuestData_Desc_404
405	2	1	Actor/Quest/SQ405	9		406	100400			MainQuestData_Title_405	MainQuestData_Desc_405
406	2	1	Actor/Quest/SQ406	9			100400			MainQuestData_Title_406	MainQuestData_Desc_406
407	2	1	Actor/Quest/SQ407	7			100407			MainQuestData_Title_407	MainQuestData_Desc_407
408	2	1	Actor/Quest/SQ408	5			100408			MainQuestData_Title_408	MainQuestData_Desc_408
409	2	1	Actor/Quest/SQ409	5			100409			MainQuestData_Title_409	MainQuestData_Desc_409
410	2	1	Actor/Quest/SQ410	8			100400			MainQuestData_Title_410	MainQuestData_Desc_410
411	2	1	Actor/Quest/SQ411	13			100400			MainQuestData_Title_411	MainQuestData_Desc_411
412	2	1	Actor/Quest/SQ412	9			100400			MainQuestData_Title_412	MainQuestData_Desc_412
413	2	1	Actor/Quest/SQ413	15			100400			MainQuestData_Title_413	MainQuestData_Desc_413
414	2	1	Actor/Quest/SQ414	9			100400			MainQuestData_Title_414	MainQuestData_Desc_414
415	2	1	Actor/Quest/SQ415	1			100400			MainQuestData_Title_415	MainQuestData_Desc_415
416	2	1	Actor/Quest/SQ416	1						MainQuestData_Title_416	MainQuestData_Desc_416
418	2	1		12						MainQuestData_Title_418	MainQuestData_Desc_418
419	2	1	Actor/Quest/MQ419	12						MainQuestData_Title_419	MainQuestData_Desc_419
420	2	1	Actor/Quest/MQ420	12						MainQuestData_Title_420	MainQuestData_Desc_420
421	5	1	Actor/Quest/MQ421	1				1		MainQuestData_Title_421	MainQuestData_Desc_421
422	2	1	Actor/Quest/MQ422	12						MainQuestData_Title_422	MainQuestData_Desc_422
423	2	1		12						MainQuestData_Title_423	MainQuestData_Desc_423
424	2	1	Actor/Quest/SQ424	1						MainQuestData_Title_424	MainQuestData_Desc_424
425	2	1	Actor/Quest/SQ425	1						MainQuestData_Title_425	MainQuestData_Desc_425
426	2	1	Actor/Quest/SQ426	1						MainQuestData_Title_426	MainQuestData_Desc_426
427	2	1	Actor/Quest/SQ427	1						MainQuestData_Title_427	MainQuestData_Desc_427
451	2	1	Actor/Quest/LQ451	1		452				MainQuestData_Title_451	MainQuestData_Desc_451
452	2	1	Actor/Quest/LQ452	1		453				MainQuestData_Title_452	MainQuestData_Desc_452
453	2	1	Actor/Quest/LQ453	1		454				MainQuestData_Title_453	MainQuestData_Desc_453
454	2	1	Actor/Quest/LQ454	1						MainQuestData_Title_454	MainQuestData_Desc_454
461	2	1	Actor/Quest/LQ461	6		462	100461			MainQuestData_Title_461	MainQuestData_Desc_461
462	2	1	Actor/Quest/LQ462	9		463	100462			MainQuestData_Title_462	MainQuestData_Desc_462
463	2	1	Actor/Quest/LQ463	11			100463			MainQuestData_Title_463	MainQuestData_Desc_463
464	2	1	Actor/Quest/LQ464	1		465				MainQuestData_Title_464	MainQuestData_Desc_464
465	2	1	Actor/Quest/LQ465	1		466				MainQuestData_Title_465	MainQuestData_Desc_465
466	2	1	Actor/Quest/LQ466	1						MainQuestData_Title_466	MainQuestData_Desc_466
467	5	1	Actor/Quest/IQ467	1			100467	1		MainQuestData_Title_467	MainQuestData_Desc_467
468	5	1		1						MainQuestData_Title_468	MainQuestData_Desc_468
469	5	1	Actor/Quest/IQ469	1						MainQuestData_Title_469	MainQuestData_Desc_469
470	5	1	Actor/Quest/IQ470	1			100470	1		MainQuestData_Title_470	MainQuestData_Desc_470
484	2	1	Actor/Quest/LQ484							MainQuestData_Title_484	MainQuestData_Desc_484
994	5	1	Actor/Quest/SQ994	1						MainQuestData_Title_994	MainQuestData_Desc_994
995	2	1	Actor/Quest/LQ995	1						MainQuestData_Title_995	MainQuestData_Desc_995
996	5	1	Actor/Quest/SQ996	1						MainQuestData_Title_996	MainQuestData_Desc_996
997	5	1	Actor/Quest/SQ997	1						MainQuestData_Title_997	MainQuestData_Desc_997
998	5	1	Actor/Quest/SQ998	1			100400			MainQuestData_Title_998	MainQuestData_Desc_998
999	5	1	Actor/Quest/SQ999	1			100400			MainQuestData_Title_999	MainQuestData_Desc_999
