等级	[曲线]1类型	[曲线]1运算	[曲线]1低值	[曲线]1高值	[曲线]2类型	[曲线]2运算	[曲线]2低值	[曲线]2高值	[曲线]3类型	[曲线]3运算	[曲线]3低值	[曲线]3高值	[曲线]4类型	[曲线]4运算	[曲线]4低值	[曲线]4高值	[曲线]5类型	[曲线]5运算	[曲线]5低值	[曲线]5高值	[曲线]6类型	[曲线]6运算	[曲线]6低值	[曲线]6高值	[曲线]7类型	[曲线]7运算	[曲线]7低值	[曲线]7高值	[曲线]8类型	[曲线]8运算	[曲线]8低值	[曲线]8高值
24	1	2	4.28	4.28	3	2	4.28	4.28	4	2	1	1	6	1	0	0	7	1	0	2	8	1	2	4	9	1	0	0	10	2	1	1
25	1	2	4.54	4.54	3	2	4.54	4.54	4	2	1	1	6	1	0	0	7	1	0	2	8	1	2	4	9	1	0	0	10	2	1	1
26	1	2	4.79	4.79	3	2	4.79	4.79	4	2	1	1	6	1	0	0	7	1	0	2	8	1	2	4	9	1	0	0	10	2	1	1
27	1	2	5.05	5.05	3	2	5.05	5.05	4	2	1	1	6	1	0	0	7	1	0	2	8	1	2	4	9	1	0	0	10	2	1	1
28	1	2	5.31	5.31	3	2	5.31	5.31	4	2	1	1	6	1	0	0	7	1	0	2	8	1	2	4	9	1	0	0	10	2	1	1
29	1	2	5.57	5.57	3	2	5.57	5.57	4	2	1	1	6	1	0	0	7	1	0	2	8	1	2	4	9	1	0	0	10	2	1	1
30	1	2	5.83	5.83	3	2	5.83	5.83	4	2	1	1	6	1	0	0	7	1	0	2	8	1	2	4	9	1	0	0	10	2	1	1
31	1	2	6.3	6.3	3	2	6.3	6.3	4	2	1	1	6	1	0	0	7	1	0	2	8	1	2	4	9	1	0	0	10	2	1	1
32	1	2	6.76	6.76	3	2	6.76	6.76	4	2	1	1	6	1	0	0	7	1	0	2	8	1	2	4	9	1	0	0	10	2	1	1
33	1	2	7.23	7.23	3	2	7.23	7.23	4	2	1	1	6	1	0	0	7	1	0	2	8	1	2	4	9	1	0	0	10	2	1	1
34	1	2	7.69	7.69	3	2	7.69	7.69	4	2	1	1	6	1	0	0	7	1	0	2	8	1	2	4	9	1	0	0	10	2	1	1
35	1	2	8.16	8.16	3	2	8.16	8.16	4	2	1	1	6	1	0	0	7	1	0	2	8	1	2	4	9	1	0	0	10	2	1	1
36	1	2	8.63	8.63	3	2	8.63	8.63	4	2	1	1	6	1	0	0	7	1	0	2	8	1	2	4	9	1	0	0	10	2	1	1
37	1	2	9.09	9.09	3	2	9.09	9.09	4	2	1	1	6	1	0	0	7	1	0	2	8	1	2	4	9	1	0	0	10	2	1	1
38	1	2	9.56	9.56	3	2	9.56	9.56	4	2	1	1	6	1	0	0	7	1	0	2	8	1	2	4	9	1	0	0	10	2	1	1
39	1	2	10.02	10.02	3	2	10.02	10.02	4	2	1	1	6	1	0	0	7	1	0	2	8	1	2	4	9	1	0	0	10	2	1	1
40	1	2	10.49	10.49	3	2	10.49	10.49	4	2	1	1	6	1	0	0	7	1	0	2	8	1	2	4	9	1	0	0	10	2	1	1
41	1	2	11.33	11.33	3	2	11.33	11.33	4	2	1	1	6	1	0	0	7	1	0	2	8	1	2	4	9	1	0	0	10	2	1	1
42	1	2	12.17	12.17	3	2	12.17	12.17	4	2	1	1	6	1	0	0	7	1	0	2	8	1	2	4	9	1	0	0	10	2	1	1
43	1	2	13.01	13.01	3	2	13.01	13.01	4	2	1	1	6	1	0	0	7	1	0	2	8	1	2	4	9	1	0	0	10	2	1	1
44	1	2	13.85	13.85	3	2	13.85	13.85	4	2	1	1	6	1	0	0	7	1	0	2	8	1	2	4	9	1	0	0	10	2	1	1
45	1	2	14.69	14.69	3	2	14.69	14.69	4	2	1	1	6	1	0	0	7	1	0	2	8	1	2	4	9	1	0	0	10	2	1	1
46	1	2	15.52	15.52	3	2	15.52	15.52	4	2	1	1	6	1	0	0	7	1	0	2	8	1	2	4	9	1	0	0	10	2	1	1
47	1	2	16.36	16.36	3	2	16.36	16.36	4	2	1	1	6	1	0	0	7	1	0	2	8	1	2	4	9	1	0	0	10	2	1	1
48	1	2	17.2	17.2	3	2	17.2	17.2	4	2	1	1	6	1	0	0	7	1	0	2	8	1	2	4	9	1	0	0	10	2	1	1
49	1	2	18.04	18.04	3	2	18.04	18.04	4	2	1	1	6	1	0	0	7	1	0	2	8	1	2	4	9	1	0	0	10	2	1	1
50	1	2	18.88	18.88	3	2	18.88	18.88	4	2	1	1	6	1	0	0	7	1	0	2	8	1	2	4	9	1	0	0	10	2	1	1
