ID	Prefab路径	默认阵营	JSON名称	别名	脚本数据路径	Lua脚本路径	Lua数据索引	能否战斗	能否移动	能否发声	是否常驻	部位染色	Billboard类型	Billboard图标	是否不可见	Name
32	ART/Char/NPC/NPC_Mengde_Female_01/NPC_Mengde_Female_01	2001	StandOnly		Data/ScriptData/PropObject/SP_010			0	0							NpcData_Name_32
33	ART/Char/NPC/NPC_Mengde_Female_02/NPC_Mengde_Female_02	2001	StandOnly		Data/ScriptData/PropObject/SP_010			0	0							NpcData_Name_33
101	ART/Char/NPC/NPC_Girl_Sword_Ayaka/NPC_Girl_Sword_Ayaka	2001	CanMove01		Data/ScriptData/PropObject/SP_010			0	1							NpcData_Name_101
34	ART/Char/NPC/NPC_Mengde_Female_01/NPC_Mengde_Female_01	2001	StandOnly		Data/ScriptData/PropObject/SP_010			0	0							NpcData_Name_34
35	ART/Char/NPC/NPC_Mengde_Female_02/NPC_Mengde_Female_02	2001	StandOnly		Data/ScriptData/PropObject/SP_010			0	0							NpcData_Name_35
36	ART/Char/NPC/NPC_Mengde_Male_01/NPC_Mengde_Male_01	2001	CanMove01		Data/ScriptData/PropObject/SP_010			0	1							NpcData_Name_36
37	ART/Char/NPC/NPC_Mengde_Male_02/NPC_Mengde_Male_02	2001	CanMove01		Data/ScriptData/PropObject/SP_010			0	1							NpcData_Name_37
102	ART/Char/NPC/NPC_Mengde_Male_01/NPC_Mengde_Male_01	2001	CanMove01		Data/ScriptData/PropObject/SP_010			0	1							NpcData_Name_102
103	ART/Char/NPC/NPC_Mengde_Male_01/NPC_Mengde_Male_01	2001	CanMove01		Data/ScriptData/PropObject/SP_010			0	1							NpcData_Name_103
79	ART/Char/NPC/NPC_Mengde_Female_02/NPC_Mengde_Female_02	2001	CanMove01		Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_79
80	ART/Char/NPC/NPC_Mengde_Male_01/NPC_Mengde_Male_01	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1							NpcData_Name_80
81	ART/Char/NPC/NPC_Mengde_Male_01/NPC_Mengde_Male_01	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1							NpcData_Name_81
82	ART/Char/NPC/NPC_Mengde_Male_01/NPC_Mengde_Male_01	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1							NpcData_Name_82
83	ART/Char/NPC/NPC_Mengde_Male_01/NPC_Mengde_Male_01	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1							NpcData_Name_83
84	ART/Char/NPC/NPC_Mengde_Male_01/NPC_Mengde_Male_01	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1							NpcData_Name_84
85	ART/Char/NPC/NPC_Mengde_Male_01/NPC_Mengde_Male_01	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1							NpcData_Name_85
86	ART/Char/NPC/NPC_Mengde_Male_01/NPC_Mengde_Male_01	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1							NpcData_Name_86
87	ART/Char/NPC/NPC_Mengde_Male_01/NPC_Mengde_Male_01	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1							NpcData_Name_87
88	ART/Char/NPC/NPC_Mengde_Male_01/NPC_Mengde_Male_01	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1							NpcData_Name_88
89	ART/Char/NPC/NPC_Mengde_Female_Sample_01/NPC_Mengde_Female_Sample_01	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1							NpcData_Name_89
90	ART/Char/NPC/NPC_Mengde_Male_Sample_02/NPC_Mengde_Male_Sample_02	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1							NpcData_Name_90
91	ART/Char/NPC/NPC_Mengde_Male_Sample_02/NPC_Mengde_Male_Sample_02	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1							NpcData_Name_91
92	ART/Char/NPC/NPC_Mengde_Male_01/NPC_Mengde_Male_01	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1							NpcData_Name_92
93	ART/Char/NPC/NPC_Mengde_Male_01/NPC_Mengde_Male_01	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1							NpcData_Name_93
94	ART/Char/NPC/NPC_Readable_Invisible/NPC_Readable_Invisible	2001	StandOnly		Data/ScriptData/PropObject/SP_Invisible_Queen			0	0						1	NpcData_Name_94
901	ART/Char/NPC/NPC_Mengde_Male_01/NPC_Mengde_Male_01	2001	ConfigNpc_Common_AnimatorMove_Male	StoreKeeper01	Data/ScriptData/PropObject/SP_010	Actor/Npc/StoreKeeper01		0	1	1	1		2	UI_NPCTopIcon_Blacksmith		NpcData_Name_901
902	ART/Char/NPC/NPC_Mengde_Male_02/NPC_Mengde_Male_02	2001	ConfigNpc_Common_AnimatorMove_Male	StoreKeeper02	Data/ScriptData/PropObject/SP_010	Actor/Npc/StoreKeeper02		0	1	1	1					NpcData_Name_902
903	ART/Char/NPC/NPC_Mengde_Male_03/NPC_Mengde_Male_03	2001	ConfigNpc_Common_AnimatorMove_Male	StoreKeeper03	Data/ScriptData/PropObject/SP_010	Actor/Npc/StoreKeeper03		0	1	1	1					NpcData_Name_903
904	ART/Char/NPC/NPC_Mengde_Male_02/NPC_Mengde_Male_02	2001	ConfigNpc_Common_AnimatorMove_Male	StoreKeeper04	Data/ScriptData/PropObject/SP_010	Actor/Npc/StoreKeeper04		0	1	1	1					NpcData_Name_904
905	ART/Char/NPC/NPC_Mengde_Female_01/NPC_Mengde_Female_01	2001	ConfigNpc_Common_AnimatorMove_Female	JohnDoe01	Data/ScriptData/PropObject/SP_010	Actor/Npc/JohnDoe01		0	1	1	1					NpcData_Name_905
906	ART/Char/NPC/NPC_Mengde_Female_05/NPC_Mengde_Female_05	2001	ConfigNpc_Common_AnimatorMove_Female	JohnDoe02	Data/ScriptData/PropObject/SP_010	Actor/Npc/JohnDoe02		0	1	1	1					NpcData_Name_906
907	ART/Char/NPC/NPC_Mengde_Male_02/NPC_Mengde_Male_02	2001	ConfigNpc_Common_AnimatorMove_Male	JohnDoe03	Data/ScriptData/PropObject/SP_010	Actor/Npc/JohnDoe03		0	1	1	1					NpcData_Name_907
908	ART/Char/NPC/NPC_Mengde_Female_03/NPC_Mengde_Female_03	2001	ConfigNpc_Common_AnimatorMove_Female	JohnDoe04	Data/ScriptData/PropObject/SP_010	Actor/Npc/JohnDoe04		0	1	1	1					NpcData_Name_908
909	ART/Char/NPC/NPC_Mengde_Male_01/NPC_Mengde_Male_01	2001	ConfigNpc_Common_AnimatorMove_Male	JohnDoe05	Data/ScriptData/PropObject/SP_010	Actor/Npc/JohnDoe05		0	1	1	1					NpcData_Name_909
910	ART/Char/NPC/NPC_Mengde_Female_NunWhite02/NPC_Mengde_Female_NunWhite02	2001	ConfigNpc_Common_AnimatorMove_Female	JohnDoe06	Data/ScriptData/PropObject/SP_010	Actor/Npc/JohnDoe06		0	1	1	1					NpcData_Name_910
911	ART/Char/NPC/NPC_Mengde_Male_Soilder01/NPC_Mengde_Male_Soilder01	2001	ConfigNpc_Common_AnimatorMove_Male	JohnDoe07	Data/ScriptData/PropObject/SP_010	Actor/Npc/JohnDoe07		0	1	1	1					NpcData_Name_911
912	ART/Char/NPC/NPC_Mengde_Male_Soilder02/NPC_Mengde_Male_Soilder02	2001	ConfigNpc_Common_AnimatorMove_Male	JohnDoe08	Data/ScriptData/PropObject/SP_010	Actor/Npc/JohnDoe08		0	1	1	1					NpcData_Name_912
913	ART/Char/NPC/NPC_Mengde_Male_Soilder01/NPC_Mengde_Male_Soilder01	2001	ConfigNpc_Common_AnimatorMove_Male	Soilder01	Data/ScriptData/PropObject/SP_010	Actor/Npc/Soilder01		0	1	1	1					NpcData_Name_913
914	ART/Char/NPC/NPC_Mengde_Male_Soilder02/NPC_Mengde_Male_Soilder02	2001	ConfigNpc_Common_AnimatorMove_Male	Soilder02	Data/ScriptData/PropObject/SP_010	Actor/Npc/Soilder02		0	1	1	1					NpcData_Name_914
915	ART/Char/NPC/NPC_Mengde_Male_Sample_01/NPC_Mengde_Male_Sample_01	2001	ConfigNpc_Common_AnimatorMove_Male	MengdeSample01	Data/ScriptData/PropObject/SP_010	Actor/Npc/MengdeSample01		0	1	1	1					NpcData_Name_915
916	ART/Char/NPC/NPC_Mengde_Male_Sample_02/NPC_Mengde_Male_Sample_02	2001	ConfigNpc_Common_AnimatorMove_Male	MengdeSample02	Data/ScriptData/PropObject/SP_010	Actor/Npc/MengdeSample02		0	1	1	1					NpcData_Name_916
917	ART/Char/NPC/NPC_Mengde_Female_Sample_01/NPC_Mengde_Female_Sample_01	2001	ConfigNpc_Common_AnimatorMove_Female	MengdeSample03	Data/ScriptData/PropObject/SP_010	Actor/Npc/MengdeSample03		0	1	1	1					NpcData_Name_917
918	ART/Char/NPC/NPC_Mengde_Female_Sample_02/NPC_Mengde_Female_Sample_02	2001	ConfigNpc_Common_AnimatorMove_Female	MengdeSample04	Data/ScriptData/PropObject/SP_010	Actor/Npc/MengdeSample04		0	1	1	1					NpcData_Name_918
919	ART/Char/NPC/NPC_Mengde_Male_Sample_03/NPC_Mengde_Male_Sample_03	2001	ConfigNpc_Common_AnimatorMove_Male	MengdeSample05	Data/ScriptData/PropObject/SP_010	Actor/Npc/MengdeSample05		0	1	1	1					NpcData_Name_919
1001	ART/Char/NPC/NPC_Boy_Bow_Venti/NPC_Boy_Bow_Venti	2001	ConfigNpc_Common_AnimatorMove	Wendy	Data/ScriptData/PropObject/SP_010	Actor/Quest/Q301/Wendy301		0	1	1						NpcData_Name_1001
1002	ART/Char/NPC/NPC_Girl_Bow_Ambor/NPC_Girl_Bow_Ambor	2001	ConfigNpc_Common_AnimatorMove	Ambor	Data/ScriptData/PropObject/SP_010	Actor/Quest/Q301/Ambor301		0	1	1						NpcData_Name_1002
1003	ART/Char/NPC/NPC_Mengde_Male_Barman/NPC_Mengde_Male_Barman	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010	Actor/Quest/Q301/Robam301		0	1	1						NpcData_Name_1003
1004	ART/Char/NPC/NPC_Male_Sword_Kaeya/NPC_Male_Sword_Kaeya	2001	ConfigNpc_Common_AnimatorMove	Gaia	Data/ScriptData/PropObject/SP_010	Actor/Quest/Q301/Gaia301		0	1	1						NpcData_Name_1004
1005	ART/Char/NPC/NPC_Kanban_Paimon/NPC_Kanban_Paimon	2001	ConfigNpc_Paimon	Paimon	Data/ScriptData/PropObject/SP_010	Actor/Quest/Q352/Paimon		0	1	1						NpcData_Name_1005
1305	ART/Char/NPC/NPC_Kanban_Paimon/NPC_Kanban_Paimon	2001	ConfigNpc_Paimon		Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_1305
1006	ART/Char/NPC/NPC_Lady_Sword_Qin/NPC_Lady_Sword_Qin	2001	ConfigNpc_Common_AnimatorMove	Qin	Data/ScriptData/PropObject/SP_010	Actor/Quest/Q411/Qin		0	1	1						NpcData_Name_1006
1007	ART/Char/NPC/NPC_Lady_Catalyst_Lisa/NPC_Lady_Catalyst_Lisa	2001	ConfigNpc_Common_AnimatorMove	Lisa	Data/ScriptData/PropObject/SP_010	Actor/Quest/Q411/Lisa		0	1	1						NpcData_Name_1007
1008	ART/Char/NPC/NPC_Girl_Catalyst_Barbara/NPC_Girl_Catalyst_Barbara	2001	ConfigNpc_Common_AnimatorMove	Barbara	Data/ScriptData/PropObject/SP_010	Actor/Quest/Q413/Barbara		0	1	1						NpcData_Name_1008
1009	ART/Char/NPC/NPC_Male_Claymore_Diluc/NPC_Male_Claymore_Diluc	2001	ConfigNpc_Common_AnimatorMove	Diluc	Data/ScriptData/PropObject/SP_010	Actor/Quest/Q376/Diluc		0	1	1						NpcData_Name_1009
1010	ART/Char/NPC/NPC_Dragon_Dvalin_Test/NPC_Dragon_Dvalin_Test	2001	CanMove01		Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_1010
1011	ART/Char/NPC/NPC_Boy_Claymore_Razor/NPC_Boy_Claymore_Razor	2001	ConfigNpc_Common_AnimatorMove	Razor	Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_1011
1012	ART/Char/NPC/NPC_Girl_Pole_Xiangling/NPC_Girl_Pole_Xiangling	2001	ConfigNpc_Common_AnimatorMove	Xiangling	Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_1012
1013	ART/Char/NPC/NPC_Girl_Sword_Ayaka/NPC_Girl_Sword_Ayaka	2001	ConfigNpc_Common_AnimatorMove	Xiangling	Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_1013
1014	ART/Char/NPC/NPC_Male_Sword_Kaeya/NPC_Male_Sword_Kaeya	2001	ConfigNpc_Common_AnimatorMove	GaiaSP	Data/ScriptData/PropObject/SP_010	Actor/Quest/Q301/Gaia301		0	1	1						NpcData_Name_1014
1101	ART/Char/NPC/NPC_Mengde_Male_01/NPC_Mengde_Male_01	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010	Actor/Quest/Q301/WendyAudience	1	0	1	1						NpcData_Name_1101
1102	ART/Char/NPC/NPC_Mengde_Male_02/NPC_Mengde_Male_02	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010	Actor/Quest/Q301/WendyAudience	2	0	1	1						NpcData_Name_1102
1103	ART/Char/NPC/NPC_Mengde_Female_01/NPC_Mengde_Female_01	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010	Actor/Quest/Q301/WendyAudience	3	0	1	1						NpcData_Name_1103
1104	ART/Char/NPC/NPC_Mengde_Female_02/NPC_Mengde_Female_02	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010	Actor/Quest/Q301/WendyAudience	4	0	1	1						NpcData_Name_1104
1105	ART/Char/NPC/NPC_Mengde_Female_03/NPC_Mengde_Female_03	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_1105
1106	ART/Char/NPC/NPC_Mengde_Female_02/NPC_Mengde_Female_02	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	0	1						NpcData_Name_1106
1107	ART/Char/NPC/NPC_Mengde_Male_02/NPC_Mengde_Male_02	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_1107
1108	ART/Char/NPC/NPC_Mengde_Female_NunWhite01/NPC_Mengde_Female_NunWhite01	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_1108
1109	ART/Char/NPC/NPC_Mengde_Male_Sergeant/NPC_Mengde_Male_Sergeant	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_1109
1110	ART/Char/NPC/NPC_Mengde_Male_02/NPC_Mengde_Male_02	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_1110
1111	ART/Char/NPC/NPC_Mengde_Male_02/NPC_Mengde_Male_02	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_1111
1112	ART/Char/NPC/NPC_Mengde_Male_02/NPC_Mengde_Male_02	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_1112
1113	ART/Char/NPC/NPC_Mengde_Male_02/NPC_Mengde_Male_02	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_1113
1114	ART/Char/NPC/NPC_Mengde_Male_02/NPC_Mengde_Male_02	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_1114
1115	ART/Char/NPC/NPC_Mengde_Male_02/NPC_Mengde_Male_02	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_1115
1116	ART/Char/NPC/NPC_Mengde_Female_03/NPC_Mengde_Female_03	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_1116
1117	ART/Char/NPC/NPC_Mengde_Female_03/NPC_Mengde_Female_03	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_1117
1118	ART/Char/NPC/NPC_Hili_None_Test/NPC_Hili_None_Test	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_1118
1119	ART/Char/NPC/NPC_Mengde_Male_02/NPC_Mengde_Male_02	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_1119
1120	ART/Char/NPC/NPC_Hili_None_Test/NPC_Hili_None_Test	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_1120
1121	ART/Char/NPC/NPC_Hili_None_Test/NPC_Hili_None_Test	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_1121
1122	ART/Char/NPC/NPC_Mengde_Male_02/NPC_Mengde_Male_02	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_1122
1123	ART/Char/NPC/NPC_Mengde_Female_01/NPC_Mengde_Female_01	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_1123
1124	ART/Char/NPC/NPC_Mengde_Female_02/NPC_Mengde_Female_02	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_1124
1125	ART/Char/NPC/NPC_Mengde_Female_03/NPC_Mengde_Female_03	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_1125
1130	ART/Char/NPC/NPC_Mengde_Female_03/NPC_Mengde_Female_03	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_1130
1131	ART/Char/NPC/NPC_Mengde_Male_Soilder01/NPC_Mengde_Male_Soilder01_Sneak	4001	ConfigNpc_Sensing_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1			1			NpcData_Name_1131
1132	ART/Char/NPC/NPC_Mengde_Male_Soilder01/NPC_Mengde_Male_Soilder01_Sneak	4001	ConfigNpc_Sensing_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1			1			NpcData_Name_1132
1133	ART/Char/NPC/NPC_Mengde_Male_Soilder01/NPC_Mengde_Male_Soilder01_Sneak	4001	ConfigNpc_Sensing_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1			1			NpcData_Name_1133
1134	ART/Char/NPC/NPC_Mengde_Male_Soilder01/NPC_Mengde_Male_Soilder01_Sneak	4001	ConfigNpc_Sensing_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1			1			NpcData_Name_1134
1135	ART/Char/NPC/NPC_Mengde_Male_Soilder01/NPC_Mengde_Male_Soilder01_Sneak	4001	ConfigNpc_Sensing_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1			1			NpcData_Name_1135
1136	ART/Char/NPC/NPC_Mengde_Male_Soilder01/NPC_Mengde_Male_Soilder01_Sneak	4001	ConfigNpc_Sensing_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1			1			NpcData_Name_1136
1137	ART/Char/NPC/NPC_Mengde_Male_Soilder01/NPC_Mengde_Male_Soilder01_Sneak	4001	ConfigNpc_Sensing_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1			1			NpcData_Name_1137
1138	ART/Char/NPC/NPC_Mengde_Male_Soilder01/NPC_Mengde_Male_Soilder01_Sneak	4001	ConfigNpc_Sensing_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1			1			NpcData_Name_1138
1139	ART/Char/NPC/NPC_Mengde_Male_Soilder01/NPC_Mengde_Male_Soilder01_Sneak	4001	ConfigNpc_Sensing_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1			1			NpcData_Name_1139
1140	ART/Char/NPC/NPC_Mengde_Male_Soilder01/NPC_Mengde_Male_Soilder01_Sneak	4001	ConfigNpc_Sensing_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1			1			NpcData_Name_1140
1141	ART/Char/NPC/NPC_Mengde_Male_Soilder01/NPC_Mengde_Male_Soilder01_Sneak	4001	ConfigNpc_Sensing_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1			1			NpcData_Name_1141
1142	ART/Char/NPC/NPC_Mengde_Male_Soilder01/NPC_Mengde_Male_Soilder01_Sneak	4001	ConfigNpc_Sensing_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1			1			NpcData_Name_1142
1143	ART/Char/NPC/NPC_Mengde_Male_Soilder01/NPC_Mengde_Male_Soilder01_Sneak	4001	ConfigNpc_Sensing_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1			1			NpcData_Name_1143
1144	ART/Char/NPC/NPC_Mengde_Male_Soilder01/NPC_Mengde_Male_Soilder01_Sneak	4001	ConfigNpc_Sensing_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1			1			NpcData_Name_1144
1151	ART/Char/NPC/NPC_Mengde_Female_02/NPC_Mengde_Female_02	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_1151
1160	ART/Char/NPC/NPC_Boy_Bow_Venti/NPC_Boy_Bow_Venti	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010	Actor/Quest/Q301/Wendy301		0	1	1						NpcData_Name_1160
1161	ART/Char/NPC/NPC_Mengde_Female_NunWhite01/NPC_Mengde_Female_NunWhite01	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_1161
1162	ART/Char/NPC/NPC_Mengde_Male_Soilder01/NPC_Mengde_Male_Soilder01	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_1162
1163	ART/Char/NPC/NPC_Mengde_Male_Soilder02/NPC_Mengde_Male_Soilder02	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_1163
1164	ART/Char/NPC/NPC_Mengde_Male_Soilder01/NPC_Mengde_Male_Soilder01	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010	Actor/Quest/Q375/Guard		0	1	1						NpcData_Name_1164
1165	ART/Char/Animal/Monster/Animal_Fox_01/Animal_Fox_01	2001	ConfigNpc_Common_AnimatorMove		Data/ScriptData/PropObject/SP_010			0	1	1						NpcData_Name_1165
