ID	组ID	名称	描述	持续时间	自身叠加类型	Ability名称	Modifier名称
108054	10	生命恢复料理	立即恢复1056点HP，每5秒恢复127点HP，持续30秒	30	0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv3_3
108055	14	暴击提升料理	暴击几率提升5%，持续120秒	120	0	Critical_Team	Critical_Team_Modifier_lv3_1
108056	14	暴击提升料理	暴击几率提升8%，持续120秒	120	0	Critical_Team	Critical_Team_Modifier_lv3_2
108057	14	暴击提升料理	暴击几率提升10%，持续120秒	120	0	Critical_Team	Critical_Team_Modifier_lv3_3
108058	14	暴击提升料理	暴击几率提升12%，暴击伤害提升10%，持续120秒	120	0	Critical_Team	Critical_Team_Modifier_lv3_4
108059	15	体力消耗降低料理	飞行消耗体力降低20%，持续120秒	120	0	Stamina_Fly_lv3_1	Stamina_Fly_Modifier_lv3_1
108060	15	体力消耗降低料理	飞行消耗体力降低27%，持续120秒	120	0	Stamina_Fly_lv3_2	Stamina_Fly_Modifier_lv3_2
108061	15	体力消耗降低料理	飞行消耗体力降低35%，持续120秒	120	0	Stamina_Fly_lv3_3	Stamina_Fly_Modifier_lv3_3
108062	15	体力消耗降低料理	攀爬、飞行和冲刺体力消耗降低20%，持续120秒	120	0	Stamina_Climb_lv3_1	Stamina_Climb_Modifier_lv3_1
108063	15	体力消耗降低料理	攀爬、飞行和冲刺体力消耗降低27%，持续120秒	120	0	Stamina_Climb_lv3_2	Stamina_Climb_Modifier_lv3_2
108064	15	体力消耗降低料理	攀爬、飞行和冲刺体力消耗降低35%，持续120秒	120	0	Stamina_Climb_lv3_3	Stamina_Climb_Modifier_lv3_3
108071	14	暴击提升料理-初级	暴击几率提升3%，持续120秒	120	0	Critical_Team	Critical_Team_Modifier_lv2_1
108072	14	暴击提升料理-初级	暴击几率提升4%，持续120秒	120	0	Critical_Team	Critical_Team_Modifier_lv2_2
108073	14	暴击提升料理-初级	暴击几率提升6%，持续120秒	120	0	Critical_Team	Critical_Team_Modifier_lv2_3
108081	10	生命恢复料理-1.5阶	立即恢复388点HP，每5秒恢复47点HP，持续30秒	30	0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv1_5
108082	10	生命恢复料理-1.5阶	立即恢复517点HP，每5秒恢复62点HP，持续30秒	30	0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv1_6
108083	10	生命恢复料理-1.5阶	立即恢复646点HP，每5秒恢复78点HP，持续30秒	30	0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv1_7
108084	10	生命恢复料理-1.5阶	立即恢复970点HP，每5秒恢复117点HP，持续30秒	30	0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv1_8
108091	10	生命恢复料理	立即恢复146点HP，每5秒恢复18点HP，持续30秒	30	0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv0_1
108092	10	生命恢复料理	立即恢复195点HP，每5秒恢复24点HP，持续30秒	30	0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv0_2
108093	10	生命恢复料理	立即恢复244点HP，每5秒恢复29点HP，持续30秒	30	0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv0_3
108094	10	生命恢复料理	立即恢复365点HP，每5秒恢复44点HP，持续30秒	30	0	ReHP_Ins&Con	ReHP_Ins&Con_Modifier_lv0_4
111091	13	元素抗性料理	水、火、电、冰系抵抗提升8%，持续120秒	120	0	Def_Element_lv2_1	Def_Element_Modifier_lv1_1
111092	13	元素抗性料理	水、火、电、冰系抵抗提升10%，持续120秒	120	0	Def_Element_lv2_1	Def_Element_Modifier_lv1_2
111093	13	元素抗性料理	水、火、电、冰系抵抗提升15%，持续120秒	120	0	Def_Element_lv2_1	Def_Element_Modifier_lv1_3
111002	16	移速增加药品	移动速度提高30%，持续20秒	20	0	MoveSpeed_lv2_1	MoveSpeed_Modifier_lv2_1
111003	11	攻击提升料理	攻击增加40点，持续30秒	30	0	Atk_Team	Atk_Team_Modifier_lv2_4
111004	12	防御提升料理	防御增加25点，持续30秒	30	0	Def_Team	Def_Team_Modifier_lv2_4
111005	13	元素提升料理	水、火、电、冰系抵抗提升15%，持续120秒	120	0	Def_Element_lv2_1	Def_Element_Modifier_lv2_1
