ID	名称	描述	效果	组别	[参数]1低值	[参数]1高值	[参数]2低值	[参数]2高值	[参数]3低值	[参数]3高值	成长曲线类型	名字排序优先级
5104	增加火焰伤害R4	火伤增加+N1%	14	510	1.12	1.6					3	51
5105	增加火焰伤害R5	火伤增加+N1%	14	510	1.4	2					3	51
5201	增加电系伤害R1	电伤增加+N1%	20	520	0.28	0.4					3	52
5202	增加电系伤害R2	电伤增加+N1%	20	520	0.56	0.8					3	52
5203	增加电系伤害R3	电伤增加+N1%	20	520	0.84	1.2					3	52
5204	增加电系伤害R4	电伤增加+N1%	20	520	1.12	1.6					3	52
5205	增加电系伤害R5	电伤增加+N1%	20	520	1.4	2					3	52
5301	增加风系伤害R1	风伤增加+N1%	22	530	0.28	0.4					3	53
5302	增加风系伤害R1	风伤增加+N1%	22	530	0.56	0.8					3	53
5303	增加风系伤害R1	风伤增加+N1%	22	530	0.84	1.2					3	53
5304	增加风系伤害R1	风伤增加+N1%	22	530	1.12	1.6					3	53
5305	增加风系伤害R1	风伤增加+N1%	22	530	1.4	2					3	53
5401	增加冰系伤害R1	冰伤增加+N1%	24	540	0.28	0.4					3	54
5402	增加冰系伤害R2	冰伤增加+N1%	24	540	0.56	0.8					3	54
5403	增加冰系伤害R3	冰伤增加+N1%	24	540	0.84	1.2					3	54
5404	增加冰系伤害R4	冰伤增加+N1%	24	540	1.12	1.6					3	54
5405	增加冰系伤害R5	冰伤增加+N1%	24	540	1.4	2					3	54
5501	增加岩系伤害R1	岩伤增加+N1%	26	550	0.28	0.4					3	55
5502	增加岩系伤害R2	岩伤增加+N1%	26	550	0.56	0.8					3	55
5503	增加岩系伤害R3	岩伤增加+N1%	26	550	0.84	1.2					3	55
5504	增加岩系伤害R4	岩伤增加+N1%	26	550	1.12	1.6					3	55
5505	增加岩系伤害R5	岩伤增加+N1%	26	550	1.4	2					3	55
7101	减少火焰伤害R1	火伤抵抗+N1%	15	710	0.14	0.2					3	70
7102	减少火焰伤害R2	火伤抵抗+N1%	15	710	0.28	0.4					3	70
7103	减少火焰伤害R3	火伤抵抗+N1%	15	710	0.42	0.6					3	70
7104	减少火焰伤害R4	火伤抵抗+N1%	15	710	0.56	0.8					3	70
7105	减少火焰伤害R5	火伤抵抗+N1%	15	710	0.7	1					3	70
7201	减少电系伤害R1	电伤抵抗+N1%	21	720	0.14	0.2					3	70
7202	减少电系伤害R2	电伤抵抗+N1%	21	720	0.28	0.4					3	70
7203	减少电系伤害R3	电伤抵抗+N1%	21	720	0.42	0.6					3	70
7204	减少电系伤害R4	电伤抵抗+N1%	21	720	0.56	0.8					3	70
7205	减少电系伤害R5	电伤抵抗+N1%	21	720	0.7	1					3	70
7301	减少风系伤害R1	风伤抵抗+N1%	23	730	0.14	0.2					3	70
7302	减少风系伤害R1	风伤抵抗+N1%	23	730	0.28	0.4					3	70
7303	减少风系伤害R1	风伤抵抗+N1%	23	730	0.42	0.6					3	70
7304	减少风系伤害R1	风伤抵抗+N1%	23	730	0.56	0.8					3	70
7305	减少风系伤害R1	风伤抵抗+N1%	23	730	0.7	1					3	70
7401	减少冰系伤害R1	冰伤抵抗+N1%	25	740	0.14	0.2					3	70
7402	减少冰系伤害R2	冰伤抵抗+N1%	25	740	0.28	0.4					3	70
7403	减少冰系伤害R3	冰伤抵抗+N1%	25	740	0.42	0.6					3	70
7404	减少冰系伤害R4	冰伤抵抗+N1%	25	740	0.56	0.8					3	70
7405	减少冰系伤害R5	冰伤抵抗+N1%	25	740	0.7	1					3	70
7501	减少岩系伤害R1	岩伤抵抗+N1%	27	750	0.14	0.2					3	70
7502	减少岩系伤害R2	岩伤抵抗+N1%	27	750	0.28	0.4					3	70
7503	减少岩系伤害R3	岩伤抵抗+N1%	27	750	0.42	0.6					3	70
7504	减少岩系伤害R4	岩伤抵抗+N1%	27	750	0.56	0.8					3	70
7505	减少岩系伤害R5	岩伤抵抗+N1%	27	750	0.7	1					3	70
