ID	Prefab路径	默认阵营	基础生命值	基础攻击力	基础防御力	暴击率	暴击抗性	暴击伤害	火元素抗性	草元素抗性	水元素抗性	电元素抗性	风元素抗性	冰元素抗性	岩元素抗性	火元素伤害加成	草元素伤害加成	水元素伤害加成	电元素伤害加成	风元素伤害加成	冰元素伤害加成	岩元素伤害加成	[属性成长]1类型	[属性成长]1曲线	[属性成长]2类型	[属性成长]2曲线	[属性成长]3类型	[属性成长]3曲线	怪物名	类型	脚本路径	服务器脚本	战斗Config	精英词缀	AI	装备1	装备2	会游泳	击杀经验	击杀经验成长曲线	[掉落]1ID	[掉落]1血量百分比	[掉落]2ID	[掉落]2血量百分比	[掉落]3ID	[掉落]3血量百分比	击杀掉落ID	全地图奖励	视距等级	Name
20010801	ART/Char/Monster/Monster_Slime_Ice_02/Monster_Slime_Ice_02	4001	23.7	7.4	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Slime_Ice_02	1	Data/ScriptData/Monster/Slime_01		ConfigMonster_Slime_Ice_02	3009,2003	assist01				18	11	101016	65	0		0		100016			MonsterData_Name_20010801
20010901	ART/Char/Monster/Monster_Slime_Ice_03/Monster_Slime_Ice_03	4001	62.7	23.7	27.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Slime_Ice_03	1	Data/ScriptData/Monster/Slime_01		ConfigMonster_Slime_Ice_03	3009,2003	assist01				18	11	101016	80	101016	55	101016	25	100026			MonsterData_Name_20010901
20011001	ART/Char/Monster/Monster_Slime_Water_02/Monster_Slime_Water_02	4001	23.7	7.4	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Slime_Water_02	1	Data/ScriptData/Monster/Slime_01		ConfigMonster_Slime_Water_02	3003	assist01				18	11	101012	65	0		0		100012			MonsterData_Name_20011001
20011101	ART/Char/Monster/Monster_Slime_Water_03/Monster_Slime_Water_03	4001	62.7	23.7	27.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Slime_Water_03	1	Data/ScriptData/Monster/Slime_01		ConfigMonster_Slime_Water_03	3003	assist01				18	11	101012	80	101012	55	101012	25	100022			MonsterData_Name_20011101
20011002	ART/Char/Monster/Monster_Slime_Water_02/Monster_Slime_Water_02	4001	9999.5	26	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Slime_Water_11	1	Data/ScriptData/Monster/Slime_01		ConfigMonster_Slime_Water_11		assist01				18	11	101012	80	101012	55	101012	25	100022			MonsterData_Name_20011002
21010201	ART/Char/Monster/Monster_Hili_None_01/Monster_Hili_None_01	4001	29.6	29.6	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Hili_None_01_Club	1	Data/ScriptData/Monster/Undead_01		ConfigMonster_Hili_None_01		sentry02	50004001			18	11	101010	65					100010			MonsterData_Name_21010201
21010301	ART/Char/Monster/Monster_Hili_None_01/Monster_Hili_None_01	4001	29.6	29.6	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Hili_None_01_Shield	1	Data/ScriptData/Monster/Undead_01		ConfigMonster_Hili_None_01		sentry02	50004001	50004002		18	11	101010	65					100010			MonsterData_Name_21010301
21010401	ART/Char/Monster/Monster_Hili_None_01/Monster_Hili_None_01	4001	29.6	14.8	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Hili_None_01_Range	1	Data/ScriptData/Monster/Undead_01		ConfigMonster_Hili_None_01		ranged01	50004004			18	11	101010	65					100010			MonsterData_Name_21010401
21010501	ART/Char/Monster/Monster_Hili_Fire_01/Monster_Hili_Fire_01	4001	29.6	14.8	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Hili_Fire_Range	1	Data/ScriptData/Monster/Undead_01		ConfigMonster_Hili_Fire_01	2001	ranged01	50004017			18	11	101010	65					100010			MonsterData_Name_21010501
21010601	ART/Char/Monster/Monster_Hili_Fire_01/Monster_Hili_Fire_01	4001	29.6	29.6	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Hili_Fire_Bomb	1	Data/ScriptData/Monster/Undead_01		ConfigMonster_Hili_Fire_01	2001	scout01				18	11	101010	65					100010			MonsterData_Name_21010601
21010701	ART/Char/Monster/Monster_Hili_Fire_01/Monster_Hili_Fire_01	4001	29.6	29.6	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Hili_Fire_Rush	1	Data/ScriptData/Monster/Undead_01		ConfigMonster_Hili_Fire_Rush	2001	scout01	50004020			18	11	101010	65					100010			MonsterData_Name_21010701
21010901	ART/Char/Monster/Monster_Hili_Ice_01/Monster_Hili_Ice_01	4001	29.6	14.8	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Hili_Ice_Range	1	Data/ScriptData/Monster/Undead_01		ConfigMonster_Hili_Ice_01	2001	ranged01	50004018			18	11	101010	65					100010			MonsterData_Name_21010901
21011001	ART/Char/Monster/Monster_Hili_Electric_01/Monster_Hili_Electric_01	4001	29.6	14.8	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Hili_Electric_Range	1	Data/ScriptData/Monster/Undead_01		ConfigMonster_Hili_Electric_01	2001	ranged01	50004019			18	11	101010	65					100010			MonsterData_Name_21011001
21011101	ART/Char/Monster/Monster_Hili_Grass_01/Monster_Hili_Grass_01	4001	27.5	7.6	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Hili_Grass_Club	1	Data/ScriptData/Monster/Undead_01		ConfigMonster_Hili_Grass_01		assist01	50004016			18	11										MonsterData_Name_21011101
20011202	ART/Char/Monster/Monster_Slime_Fire_02/Monster_Slime_Fire_02	4001	16	0	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Slime_Fire_Tutorial	1	Data/ScriptData/Monster/Slime_01		ConfigMonster_Slime_Fire_Tutorial	3006	assist01				0	11	101011	65	0		0		100011			MonsterData_Name_20011202
20011201	ART/Char/Monster/Monster_Slime_Fire_02/Monster_Slime_Fire_02	4001	23.7	7.4	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Slime_Fire_02	1	Data/ScriptData/Monster/Slime_01		ConfigMonster_Slime_Fire_02	3006	assist01				18	11	101011	65	0		0		100011			MonsterData_Name_20011201
20011301	ART/Char/Monster/Monster_Slime_Fire_03/Monster_Slime_Fire_03	4001	62.7	23.7	27.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Slime_Fire_03	1	Data/ScriptData/Monster/Slime_01		ConfigMonster_Slime_Fire_03	3006	assist01				18	11	101011	80	101011	55	101011	25	100021			MonsterData_Name_20011301
20011401	ART/Char/Monster/Monster_Slime_Rock_02/Monster_Slime_Rock_02	4001	23.7	7.4	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Slime_Rock_02	1	Data/ScriptData/Monster/Slime_01		ConfigMonster_Slime_Rock_02	3021	assist01				18	11	101017	65	0		0		100017			MonsterData_Name_20011401
20011501	ART/Char/Monster/Monster_Slime_Rock_03/Monster_Slime_Rock_03	4001	62.7	23.7	27.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Slime_Rock_03	1	Data/ScriptData/Monster/Slime_01		ConfigMonster_Slime_Rock_03	3021	assist01				18	11	101017	80	101017	55	101017	25	100027			MonsterData_Name_20011501
22010101	ART/Char/Monster/Monster_Abyss_Fire_01/Monster_Abyss_Fire_01	4001	41.3	59.2	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Abyss_Fire_01	1	Data/ScriptData/Monster/Abyss_01		ConfigMonster_Abyss_Fire_01	2001	scout01	50004006			18	11	101021	80	101021	40			100021			MonsterData_Name_22010101
22010201	ART/Char/Monster/Monster_Abyss_Ice_01/Monster_Abyss_Ice_01	4001	41.3	59.2	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Abyss_Ice_01	1	Data/ScriptData/Monster/Abyss_01		ConfigMonster_Abyss_Ice_01	2003	scout01	50004007			18	11	101026	80	101026	40			100026			MonsterData_Name_22010201
22010301	ART/Char/Monster/Monster_Abyss_Water_01/Monster_Abyss_Water_01	4001	41.3	59.2	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Abyss_Water_01	1	Data/ScriptData/Monster/Abyss_01		ConfigMonster_Abyss_Water_01		scout01	50004008			18	11	101022	80	101022	40			100022			MonsterData_Name_22010301
21030101	ART/Char/Monster/Monster_Shaman_Water_01/Monster_Shaman_Water_01	4001	16.3	29.6	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Shaman_Water_01	1	Data/ScriptData/Monster/Undead_01		ConfigMonster_Shaman_Water_01		scout01	50004009			18	11	101012	65	0		0		100012			MonsterData_Name_21030101
21030201	ART/Char/Monster/Monster_Shaman_Grass_01/Monster_Shaman_Grass_01	4001	16.3	29.6	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Shaman_Grass_01	1	Data/ScriptData/Monster/Undead_01		ConfigMonster_Shaman_Grass_01		scout01	50004010			18	11	101013	65	0		0		100013			MonsterData_Name_21030201
21030301	ART/Char/Monster/Monster_Shaman_Wind_01/Monster_Shaman_Wind_01	4001	16.3	29.6	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Shaman_Wind_01	1	Data/ScriptData/Monster/Undead_01		ConfigMonster_Shaman_Wind_01		scout01	50004014			18	11	101015	65	0		0		100015			MonsterData_Name_21030301
23040101	ART/Char/Monster/Monster_Defender_None_01/Monster_Defender_None_01	4001	174.1	147.9	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Defender_None_01	1	Data/ScriptData/Monster/Defender_01		ConfigMonster_Defender_None_01		scout01				18	11	101030	80	101030	55	101030	25	100030		1	MonsterData_Name_23040101
21010801	ART/Char/Monster/Monster_Hili_Grass_01/Monster_Hili_Grass_01	4001	27.5	7.6	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Hili_Grass_01	1	Data/ScriptData/Monster/Undead_01		ConfigMonster_Hili_Grass_01		assist01	50004004			18	11										MonsterData_Name_21010801
21010102	ART/Char/Monster/Monster_Hili_None_Test/Monster_Hili_None_Test	4001	29.6	29.6	37.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	Hili_None_Test	1	Data/ScriptData/Monster/Undead_01		ConfigMonster_Hili_None_Test		sentry02	50004001			18	11	101010	65					100010			MonsterData_Name_21010102
28010101	ART/Char/Animal/Monster/Animal_Crab_01/Animal_Crab_01_01	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	Crab_01	3	Data/ScriptData/Monster/Undead_01		ConfigAnimal_Crab_01		sentry02				0										5	MonsterData_Name_28010101
28010102	ART/Char/Animal/Monster/Animal_Crab_01/Animal_Crab_01_02	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	Crab_02	3	Data/ScriptData/Monster/Undead_01		ConfigAnimal_Crab_01		sentry02				0										5	MonsterData_Name_28010102
28010103	ART/Char/Animal/Monster/Animal_Crab_01/Animal_Crab_01_03	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	Crab_03	3	Data/ScriptData/Monster/Undead_01		ConfigAnimal_Crab_01		sentry02				0										5	MonsterData_Name_28010103
28020101	ART/Char/Animal/Monster/Animal_Fox_01/Animal_Fox_01_01	2001	3.48	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	Fox_01	1	Data/ScriptData/Monster/TestAnimal_Type_02		ConfigAnimal_Fox_01		playing				0	11							110010		4	MonsterData_Name_28020101
28020102	ART/Char/Animal/Monster/Animal_Fox_01/Animal_Fox_01_02	2001	3.48	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	Fox_02	1	Data/ScriptData/Monster/TestAnimal_Type_02		ConfigAnimal_Fox_01		playing				0	11							110010		4	MonsterData_Name_28020102
28020201	ART/Char/Animal/Monster/Animal_Squirrel_01/Animal_Squirrel_01	2001	3.48	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	Squirrel_01	1	Data/ScriptData/Monster/TestAnimal_Type_02		ConfigAnimal_Squirrel_01		playing				0	11							110010		4	MonsterData_Name_28020201
28030101	ART/Char/Animal/Monster/Animal_Crane_01/Animal_Crane_01	2001	3.48	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	Crane_01	1	Data/ScriptData/Monster/TestAnimal_Type_02		ConfigAnimal_Crane_01		playing				0	11							110020			MonsterData_Name_28030101
28050101	ART/Char/Animal/Monster/Animal_Wisp_Wind_01/Animal_Wisp_Wind_01	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	Wisp_Wind_01	3	Data/ScriptData/Monster/TestAnimal_Type_02		ConfigAnimal_Wisp_Wind_01		playing				0										4	MonsterData_Name_28050101
28010201	ART/Char/Animal/Monster/Animal_Lizard_01/Animal_Lizard_01_01	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	Lizard_01	3	Data/ScriptData/Monster/Undead_01		ConfigAnimal_Lizard_01		sentry02				0										5	MonsterData_Name_28010201
28010202	ART/Char/Animal/Monster/Animal_Lizard_01/Animal_Lizard_01_02	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	Lizard_02	3	Data/ScriptData/Monster/Undead_01		ConfigAnimal_Lizard_01		sentry02				0										5	MonsterData_Name_28010202
28010203	ART/Char/Animal/Monster/Animal_Lizard_01/Animal_Lizard_01_03	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	Lizard_03	3	Data/ScriptData/Monster/Undead_01		ConfigAnimal_Lizard_01		sentry02				0										5	MonsterData_Name_28010203
28010301	ART/Char/Animal/Monster/Animal_Frog_01/Animal_Frog_01_01	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	Frog_01	3	Data/ScriptData/Monster/Undead_01		ConfigAnimal_Frog_01		sentry02				0										5	MonsterData_Name_28010301
28010302	ART/Char/Animal/Monster/Animal_Frog_01/Animal_Frog_01_02	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	Frog_02	3	Data/ScriptData/Monster/Undead_01		ConfigAnimal_Frog_01		sentry02				0										5	MonsterData_Name_28010302
28010303	ART/Char/Animal/Monster/Animal_Frog_01/Animal_Frog_01_03	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	Frog_03	3	Data/ScriptData/Monster/Undead_01		ConfigAnimal_Frog_01		sentry02				0										5	MonsterData_Name_28010303
28020301	ART/Char/Animal/Monster/Animal_Boar_01/Animal_Boar_01	2001	10.88	2.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	Boar_01	1	Data/ScriptData/Monster/Undead_01		ConfigAnimal_Boar_01		sentry02				0	11							110010			MonsterData_Name_28020301
28020302	ART/Char/Animal/Monster/Animal_Boar_01_Small/Animal_Boar_01_Small	2001	3.48	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	Boar_02	1	Data/ScriptData/Monster/Undead_01		ConfigAnimal_Boar_01_Small		sentry02				0	11							110010		4	MonsterData_Name_28020302
28030301	ART/Char/Animal/Monster/Animal_Pigeon_01/Animal_Pigeon_01_01	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	Pigeon_01	1	Data/ScriptData/Monster/TestAnimal_Type_02		ConfigAnimal_Pigeon_01		playing				0	11							110020		4	MonsterData_Name_28030301
28030302	ART/Char/Animal/Monster/Animal_Pigeon_01/Animal_Pigeon_01_02	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	Pigeon_02	1	Data/ScriptData/Monster/TestAnimal_Type_02		ConfigAnimal_Pigeon_01		playing				0	11							110020		4	MonsterData_Name_28030302
28030303	ART/Char/Animal/Monster/Animal_Pigeon_01/Animal_Pigeon_01_03	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	Pigeon_03	1	Data/ScriptData/Monster/TestAnimal_Type_02		ConfigAnimal_Pigeon_01		playing				0	11							110020		4	MonsterData_Name_28030303
28030304	ART/Char/Animal/Monster/Animal_Pigeon_01/Animal_Pigeon_01_04	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	Pigeon_04	1	Data/ScriptData/Monster/TestAnimal_Type_02		ConfigAnimal_Pigeon_01		playing				0	11							110020		4	MonsterData_Name_28030304
28030305	ART/Char/Animal/Monster/Animal_Pigeon_01/Animal_Pigeon_01_05	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	Pigeon_05	1	Data/ScriptData/Monster/TestAnimal_Type_02		ConfigAnimal_Pigeon_01		playing				0	11							110020		4	MonsterData_Name_28030305
28030401	ART/Char/Animal/Monster/Animal_Tit_01/Animal_Tit_01_01	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	Tit_01	1	Data/ScriptData/Monster/TestAnimal_Type_02		ConfigAnimal_Tit_01		playing				0	11							110020		5	MonsterData_Name_28030401
28030402	ART/Char/Animal/Monster/Animal_Tit_01/Animal_Tit_01_02	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	Tit_02	1	Data/ScriptData/Monster/TestAnimal_Type_02		ConfigAnimal_Tit_01		playing				0	11							110020		5	MonsterData_Name_28030402
28030403	ART/Char/Animal/Monster/Animal_Tit_01/Animal_Tit_01_03	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	Tit_03	1	Data/ScriptData/Monster/TestAnimal_Type_02		ConfigAnimal_Tit_01		playing				0	11							110020		5	MonsterData_Name_28030403
28030404	ART/Char/Animal/Monster/Animal_Tit_01/Animal_Tit_01_04	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	Tit_04	1	Data/ScriptData/Monster/TestAnimal_Type_02		ConfigAnimal_Tit_01		playing				0	11							110020		5	MonsterData_Name_28030404
28040101	ART/Char/Animal/Monster/Animal_Fish_01/Animal_Fish_01_01	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	Fish_01	3	Data/ScriptData/Monster/TestAnimal_Type_02		ConfigAnimal_Fish_01		playing				0										5	MonsterData_Name_28040101
28040102	ART/Char/Animal/Monster/Animal_Fish_01/Animal_Fish_01_02	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	Fish_02	3	Data/ScriptData/Monster/TestAnimal_Type_02		ConfigAnimal_Fish_01		playing				0										5	MonsterData_Name_28040102
28040103	ART/Char/Animal/Monster/Animal_Fish_01/Animal_Fish_01_03	2001	0.22	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	4	2	7	12	Fish_03	3	Data/ScriptData/Monster/TestAnimal_Type_02		ConfigAnimal_Fish_01		playing				0										5	MonsterData_Name_28040103
