ID	教程类型	教程图片名称	Name	Desc
14903	0	UI_LisaTutorial4_03	TutorialDetailData_Name_14903	TutorialDetailData_Desc_14903
15001	0	UI_FlyTutorial01	TutorialDetailData_Name_15001	TutorialDetailData_Desc_15001
16001	0	UI_TimeCheck_03	TutorialDetailData_Name_16001	TutorialDetailData_Desc_16001
16002	0	UI_TimeCheck_01	TutorialDetailData_Name_16002	TutorialDetailData_Desc_16002
16003	0	UI_TimeCheck_02	TutorialDetailData_Name_16003	TutorialDetailData_Desc_16003
17001	0	UI_GameGuide01a,UI_GameGuide01b,UI_GameGuide01c	TutorialDetailData_Name_17001	TutorialDetailData_Desc_17001
17002	0	UI_GameGuide02	TutorialDetailData_Name_17002	TutorialDetailData_Desc_17002
17003	0	UI_GameGuide03a,UI_GameGuide03b,UI_GameGuide03c	TutorialDetailData_Name_17003	TutorialDetailData_Desc_17003
17004	0	UI_GameGuide04	TutorialDetailData_Name_17004	TutorialDetailData_Desc_17004
17005	0	UI_GameGuide05	TutorialDetailData_Name_17005	TutorialDetailData_Desc_17005
18001	0	UI_KaeyaPuzzle1	TutorialDetailData_Name_18001	TutorialDetailData_Desc_18001
18101	0	UI_KaeyaPuzzle2	TutorialDetailData_Name_18101	TutorialDetailData_Desc_18101
18201	0	UI_KaeyaPuzzle3	TutorialDetailData_Name_18201	TutorialDetailData_Desc_18201
18301	0	UI_KaeyaTutorial04_01	TutorialDetailData_Name_18301	TutorialDetailData_Desc_18301
18302	0	UI_KaeyaTutorial04_02	TutorialDetailData_Name_18302	TutorialDetailData_Desc_18302
19001	0	UI_Playerlevel01,UI_GeneralArrow,UI_Playerlevel02	TutorialDetailData_Name_19001	TutorialDetailData_Desc_19001
20101	0	UI_Helps_Attribute	TutorialDetailData_Name_20101	TutorialDetailData_Desc_20101
20201	0	UI_Helps_AttributeUpgrade1	TutorialDetailData_Name_20201	TutorialDetailData_Desc_20201
21101	0	UI_Helps_Weapon	TutorialDetailData_Name_21101	TutorialDetailData_Desc_21101
21102	0	UI_Helps_WeaponReplace	TutorialDetailData_Name_21102	TutorialDetailData_Desc_21102
21201	0	UI_Helps_WeaponUpgrade1	TutorialDetailData_Name_21201	TutorialDetailData_Desc_21201
22101	0	UI_Helps_Artifact1	TutorialDetailData_Name_22101	TutorialDetailData_Desc_22101
22102	0	UI_Helps_Artifact2	TutorialDetailData_Name_22102	TutorialDetailData_Desc_22102
22103	0	UI_Helps_ArtifactReplace	TutorialDetailData_Name_22103	TutorialDetailData_Desc_22103
22201	0	UI_Helps_ArtifactUpgrade1	TutorialDetailData_Name_22201	TutorialDetailData_Desc_22201
23101	0	UI_Helps_Talent	TutorialDetailData_Name_23101	TutorialDetailData_Desc_23101
23102	0	UI_Helps_TalentUpgrade1	TutorialDetailData_Name_23102	TutorialDetailData_Desc_23102
23103	0	UI_Helps_TalentUpgrade2	TutorialDetailData_Name_23103	TutorialDetailData_Desc_23103
23201	0	UI_Helps_TransferPoint	TutorialDetailData_Name_23201	TutorialDetailData_Desc_23201
